depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
984,2352,7.75,2470.775,-2.291,1071,-25.24,8.39,2455.733,0.26,135,2.048,6150,0.044,2410.733,-2.865
994,2387,6.18,2490.789,-3.058,1078,-25.65,6.91,2475.747,0.266,136,1.956,6200,0.042,2430.747,-2.653
1004,2423,6.55,2510.804,-2.638,1086,-25.88,8.27,2495.761,0.222,137,1.99,6250,0.04,2450.761,-2.211
1014,2458,6.84,2530.818,-2.192,1092,-25.51,7.94,2515.775,0.289,138,2.066,6300,0.038,2470.775,-2.291
1019,2476,7.52,2550.832,-1.942,1099,-24.92,8.86,2535.789,0.332,139,2.007,6350,0.04,2490.789,-3.058
1029,2512,6.63,2570.846,-2.21,1104,-24.59,8.27,2555.804,0.18,140,2.14,6400,0.034,2510.804,-2.638
1039,2548,7.29,2590.86,-2.865,1111,-25.66,10.11,2575.818,0.216,141,2.066,6450,0.036,2530.818,-2.192
1049,2583,5.37,2610.874,-3.164,1115,-24.55,9.41,2595.832,0.228,142,2.041,6500,0.034,2550.832,-1.942
1059,2619,6.87,2630.888,-3.06,1121,-25.5,11.01,2615.846,0.196,143,1.933,6550,0.034,2570.846,-2.21
1069,2655,7.78,2650.902,-2.495,1148,-24.73,9.91,2635.86,0.238,144,1.899,6600,0.034,2590.86,-2.865
1074,2672,5.55,2670.916,-2.382,1161,-24.23,7.84,2655.874,0.301,145,2.079,6650,0.032,2610.874,-3.164
1079,2690,6.5,2690.93,-3.472,1168,-24.25,9.82,2675.888,0.28,146,1.895,6700,0.034,2630.888,-3.06
1084,2707,6.38,2710.944,-4.444,1178,-25.14,10.87,2695.902,0.297,147,1.902,6750,0.032,2650.902,-2.495
1099.5,2761,4.58,2730.959,-4.895,1186,-24.03,7.53,2715.916,0.229,148,1.978,6800,0.034,2670.916,-2.382
1102.5,2771,4.6,2750.973,-5.8,1198,-24.8,9.16,2735.93,0.258,149,1.986,6850,0.032,2690.93,-3.472
1104.5,2778,4.78,2770.987,-6.085,1211,-24.64,8.01,2755.944,0.352,150,1.899,6900,0.032,2710.944,-4.444
1106.5,2785,6.28,2791.001,-4.999,1221,-25.29,9.74,2775.959,0.374,151,1.923,6950,0.032,2730.959,-4.895
1108.5,2791,5.85,2811.015,-5.733,1235,-25.21,7.56,2795.973,0.472,152,1.939,7000,0.02,2750.973,-5.8
1112.5,2805,5.79,2831.029,-4.364,1237,-26.72,11.91,2815.987,0.48,153,1.94,7050,0.014,2770.987,-6.085
1118.5,2824,6.14,2851.043,-5.07,1243,-25.04,10.18,2836.001,0.386,154,2,7100,0.01,2791.001,-4.999
1122.5,2837,5.17,2871.057,-7.595,1250,-26.59,8.22,2856.015,0.502,155,1.987,7150,0.008,2811.015,-5.733
1128.5,2856,6.45,2891.071,-9.047,1257,-25.27,8.05,2876.029,0.345,156,1.942,7200,0.01,2831.029,-4.364
1131.5,2865,7.37,2911.085,-12.078,1264,-25.65,8.6,2896.043,0.445,157,1.96,7250,0.01,2851.043,-5.07
1135.5,2878,8.38,2931.099,-7.934,1273,-24.64,8.73,2916.057,0.869,158,1.943,7300,0.01,2871.057,-7.595
1138.5,2887,7.95,2951.114,-2.525,1282,-25.88,10.46,2936.071,1.267,159,2.006,7350,0.012,2891.071,-9.047
1140.5,2893,6.1,2971.128,-2.144,1290,-24.72,7.93,2956.085,1.747,160,1.895,7400,0.012,2911.085,-12.078
1143.5,2901,6.7,2991.142,-1.993,1299,-25.96,9.7,2976.099,1.053,161,1.711,7450,0.01,2931.099,-7.934
1145.5,2907,6.98,3011.156,-0.964,1310,-25.7,8.53,2996.114,0.199,162,1.799,7500,0.012,2951.114,-2.525
1148.5,2915,5.9,3031.17,-0.899,1317,-26.58,9.81,3016.128,0.317,163,1.771,7550,0.012,2971.128,-2.144
1150.5,2921,5.35,3051.184,-1.143,1327,-25.48,9.95,3036.142,0.397,164,1.983,7600,0.012,2991.142,-1.993
1153.5,2929,6.06,3071.198,-1.081,1335,-26.05,10.13,3056.156,0.28,165,2.016,7650,0.012,3011.156,-0.964
1156.5,2937,4.28,3091.212,-1.897,1347,-24.93,9.95,3076.17,0.301,166,1.988,7700,0.012,3031.17,-0.899
1160.5,2983,7.77,3111.226,-2.059,1353,-25.36,9.87,3096.184,0.392,167,2.031,7750,0.01,3051.184,-1.143
1162.5,2999,5.95,3131.24,-0.415,1360,-24.29,10.02,3116.198,0.278,168,2.045,7800,0.012,3071.198,-1.081
1166.5,3032,6.29,3151.254,-0.741,1373,-25.2,9.28,3136.212,0.311,169,1.915,7850,0.018,3091.212,-1.897
1168.5,3048,9.1,3171.268,-0.751,1389,-25.05,10.58,3156.226,0.31,170,1.84,7900,0.026,3111.226,-2.059
1172.5,3080,5.7,3191.283,-0.185,1399,-25.01,11.05,3176.24,0.246,171,1.862,7950,0.028,3131.24,-0.415
1176.5,3110,6.2,3211.297,-0.051,1407,-24.77,11.88,3196.254,0.259,172,1.945,8000,0.068,3151.254,-0.741
1178.5,3125,8.28,3231.311,-0.359,1418,-25.36,11.92,3216.268,0.284,173,1.994,8050,0.116,3171.268,-0.751
1184.5,3169,6.74,3251.325,-0.262,1425,-25.92,6.96,3236.283,0.287,174,2.049,8100,0.262,3191.283,-0.185
1188.5,3198,9.76,3271.339,-0.324,1436,-24.93,8.76,3256.297,0.279,175,1.989,8150,0.322,3211.297,-0.051
1190.5,3212,6.18,3291.353,-0.854,1444,-25.5,8.93,3276.311,0.201,176,1.938,8200,0.268,3231.311,-0.359
1192.5,3227,6.8,3311.367,-0.983,1453,-24.69,7.04,3296.325,0.227,177,1.967,8250,0.246,3251.325,-0.262
1196.5,3255,8.35,3331.381,-1.709,1462,-25.35,7.88,3316.339,0.225,178,1.949,8300,0.188,3271.339,-0.324
1198.5,3269,6.43,3351.395,-0.729,1471,-25.22,7.81,3336.353,0.233,179,1.916,8350,0.138,3291.353,-0.854
1200.5,3284,7.23,3371.409,-2.017,1481,-25.79,7,3356.367,0.231,180,1.926,8400,0.112,3311.367,-0.983
1202.5,3297,6.02,3391.423,-1.587,1492,-25.13,5.61,3376.381,0.27,203,2.094,8450,0.07,3331.381,-1.709
1206.5,3324,6.18,3411.438,-1.955,1499,-25.64,5.46,3396.395,0.263,204,2.031,8500,0.044,3351.395,-0.729
