depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2938,1.793,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2941,1.793,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2944,1.718,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2947,1.679,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2950,1.751,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2953,1.691,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2956,1.688,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2958,1.75,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2961,1.755,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2964,1.866,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2967,1.794,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2969,1.772,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2972,1.714,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2975,1.689,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2978,1.754,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2980,1.951,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2983,2.004,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2986,2.103,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2988,2.229,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2991,2.217,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2993,2.029,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3030,1.907,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3039,1.924,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3047,2.079,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3055,2.063,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3063,1.975,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3071,1.987,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3079,1.959,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3086,1.907,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3094,2.027,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3102,1.965,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3109,2.046,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3117,1.985,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3124,1.998,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3132,1.908,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3139,1.922,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3146,1.995,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3154,1.967,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3161,2.041,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3168,1.936,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3176,1.966,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3183,1.997,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3190,1.985,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3198,1.992,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205,1.955,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3212,1.946,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3220,1.993,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3227,1.985,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3234,1.92,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3242,1.942,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3249,2.071,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256,1.979,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3264,1.964,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3271,1.972,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3279,1.994,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3286,1.927,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3294,1.896,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3301,2.011,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3309,1.891,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3316,1.933,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3323,2.056,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3331,1.922,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3338,1.943,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3346,2.059,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3353,2.007,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3361,2.053,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3368,2.053,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3376,1.965,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3383,2.03,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3391,1.987,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3398,2.059,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3406,2.147,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3413,2.09,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3421,1.994,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3428,2.043,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3436,2.039,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3443,2.095,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,2.086,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3458,2.076,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3465,2.061,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3473,2.136,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3480,2.177,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3487,2.084,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3495,2.176,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3502,2.176,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3509,2.302,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3516,2.345,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3523,2.216,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3530,2.249,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3537,2.23,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3545,2.27,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3552,2.199,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3559,2.107,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3565,2.128,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572,2.169,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3579,2.164,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3586,2.087,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3593,2.025,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600,1.994,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3606,1.928,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3613,2.064,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3620,2.055,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3626,1.908,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3633,1.914,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3639,1.944,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3646,1.921,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3652,1.98,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3658,2.01,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3665,2.095,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3671,2.072,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3677,2.176,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3684,2.196,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3690,2.08,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3696,2.162,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3702,2.166,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3709,2.015,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3715,2.153,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3721,2.075,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3727,1.94,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3733,2.013,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3739,2.086,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3745,2.047,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3751,1.939,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3757,1.973,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3763,1.853,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3769,2.005,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3775,2.043,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3781,2.058,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3787,2.124,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3793,1.958,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3799,1.999,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3805,2.032,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3811,2.057,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3817,1.944,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,2.059,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829,2.051,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3835,2.103,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3841,2.133,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3847,2.15,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3853,1.896,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3859,1.988,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3866,2.04,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3872,1.988,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3878,1.907,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3884,1.924,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3891,2.006,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897,1.965,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3903,1.98,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3910,1.86,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3916,1.962,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3923,2.033,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929,1.911,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3936,1.987,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3942,2.04,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3949,1.919,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3956,1.882,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3962,1.93,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3969,1.942,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976,1.888,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3983,1.979,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3990,1.923,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3997,1.989,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4004,1.901,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4011,1.893,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4018,1.975,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4025,1.905,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4032,1.839,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4039,1.857,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4046,1.863,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4053,1.85,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4060,1.924,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4068,2.046,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4075,1.971,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4082,1.893,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4089,1.81,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4096,1.756,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4103,1.84,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110,1.911,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4117,1.86,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4124,1.9,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4131,1.905,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4138,1.88,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4145,1.963,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4151,1.916,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4158,1.823,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4164,1.876,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4170,1.884,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4176,1.923,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4182,2.12,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4188,2.101,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4193,1.936,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4199,2.022,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4204,1.993,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4209,1.916,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4213,1.953,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4217,2.029,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4221,2.127,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4225,2.058,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4228,2.044,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4231,2.041,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4233,2.087,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4235,2.144,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4236,2.218,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4237,2.222,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4235,1.857,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4252,1.73,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269,1.784,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4286,1.882,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4301,1.838,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4316,1.852,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4330,1.829,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4344,1.873,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4358,1.871,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4371,1.861,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4383,1.824,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4395,1.823,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4407,1.817,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4418,1.944,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429,1.94,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4440,1.928,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4450,1.866,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4460,1.869,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4470,1.767,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4480,1.822,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4490,2.161,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4499,1.963,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4509,1.939,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4518,1.891,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4527,1.993,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4537,1.77,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4546,1.775,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4555,1.749,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4564,1.804,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4574,1.935,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4583,1.8,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592,1.851,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4602,1.826,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4611,1.844,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4621,1.8,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4631,1.785,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4641,1.805,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4651,1.775,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4662,1.709,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4672,1.784,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4683,1.782,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4694,1.826,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4706,1.799,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4717,1.771,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4729,1.782,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4741,1.803,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4753,1.784,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4766,1.744,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4778,1.791,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4791,1.756,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4805,1.789,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4818,1.806,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4832,1.888,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4846,1.758,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4861,1.765,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4875,1.849,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4890,1.847,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4905,1.888,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4921,1.869,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4937,1.797,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4953,1.832,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4969,1.8,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4986,1.87,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5002,1.884,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5020,1.894,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5037,1.826,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5054,1.897,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5072,1.963,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5090,1.859,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5108,1.861,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5127,1.799,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5145,1.837,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5164,1.843,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5183,1.849,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5202,1.825,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5221,1.891,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5241,1.936,NA,NA,NA,NA
