depth (cm),age (BP),d18O (per mil v smow)
192469,22100,-40.17
192509,22120,-41.61
192550,22140,-41.1
192590,22160,-39.8
192626,22180,-40.06
192669,22200,-41.84
192708,22220,-40.3
192744,22240,-39.73
192787,22260,-39.94
192827,22280,-40.9
192867,22300,-42.31
192909,22320,-41.33
192953,22340,-42.29
192995,22360,-41.7
193039,22380,-41.28
193082,22400,-41.72
193127,22420,-40.84
193174,22440,-41.59
193217,22460,-40.17
193265,22480,-40.53
193305,22500,-42.12
193345,22520,-39.93
193391,22540,-41.6
193432,22560,-39.66
193474,22580,-40.85
193516,22600,-40.44
193557,22620,-41.82
193600,22640,-42.92
193641,22660,-41.8
193688,22680,-39.28
193736,22700,-39.8
193779,22720,-40.43
193826,22740,-40.97
193868,22760,-41.09
193905,22780,-41.52
193946,22800,-40.53
193988,22820,-40.62
194028,22840,-40.41
194072,22860,-40.03
194119,22880,-39.54
194171,22900,-37.86
194219,22920,-38.31
194266,22940,-39.35
194312,22960,-39.54
194351,22980,-40.64
194396,23000,-41.55
194443,23020,-40.08
194488,23040,-41.99
194528,23060,-40.82
194577,23080,-41.95
194623,23100,-41.68
194664,23120,-40.8
194699,23140,-42.52
194735,23160,-41.11
194780,23180,-40.46
194831,23200,-39.78
194881,23220,-39.2
194937,23240,-37.76
194986,23260,-37.44
195046,23280,-38.48
195100,23300,-39.38
195141,23320,-39.89
195185,23340,-38.33
195226,23360,-40.71
195268,23380,-41.96
195307,23400,-41.55
195343,23420,-40.4
195383,23440,-42.22
195422,23460,-41.47
195459,23480,-41.6
195490,23500,-41.65
195523,23520,-42.26
195562,23540,-42.02
195600,23560,-41.67
195633,23580,-40.73
195666,23600,-42.9
195698,23620,-41.87
195733,23640,-43.3
195764,23660,-44.05
195800,23680,-42.49
195833,23700,-42.52
195866,23720,-40.16
195900,23740,-41.77
195932,23760,-42.5
195966,23780,-41.73
195998,23800,-43.62
196030,23820,-44.93
196063,23840,-42.91
196095,23860,-43.31
196126,23880,-41.12
196157,23900,-42.38
196187,23920,-42
196217,23940,-42.04
196248,23960,-41.94
196277,23980,-42.73
196306,24000,-42.49
196340,24020,-43.06
196372,24040,-43.5
196404,24060,-43.9
196436,24080,-42.11
196468,24100,-40.21
196497,24120,-42.3
196529,24140,-42.33
196563,24160,-41.81
196594,24180,-41.41
196630,24200,-42.1
196666,24220,-40.79
196696,24240,-41.2
196733,24260,-41.03
196767,24280,-41.9
196800,24300,-39.55
196832,24320,-40.63
196869,24340,-41.25
196903,24360,-41.54
196933,24380,-40.7
196968,24400,-42.2
197001,24420,-41.96
197038,24440,-40.28
197071,24460,-40.18
197101,24480,-41.43
197131,24500,-40.61
197160,24520,-41.56
197193,24540,-40.71
197224,24560,-39.36
197254,24580,-41.45
197285,24600,-43.8
197315,24620,-40.98
197345,24640,-43.11
197377,24660,-41.45
197404,24680,-40.15
197439,24700,-40.51
197470,24720,-41.84
197499,24740,-39.04
197525,24760,-40.9
197558,24780,-43.05
197590,24800,-42.38
197625,24820,-41.26
197661,24840,-42.08
197695,24860,-41.45
197726,24880,-40.05
197760,24900,-40.3
197794,24920,-41.49
197824,24940,-41.76
197862,24960,-39.17
197896,24980,-40.1
197928,25000,-40.07
197959,25020,-39.44
197991,25040,-40.2
198020,25060,-40.9
198051,25080,-40.61
198084,25100,-41.79
198112,25120,-41.17
198139,25140,-42.74
198167,25160,-41.18
198197,25180,-40.96
198224,25200,-41.03
198253,25220,-42.27
198280,25240,-40.85
198309,25260,-40.27
198338,25280,-43.21
198370,25300,-40.88
198402,25320,-42.24
