depth (m),age (BP),deep.temp (degC),temperature (degC),d18O (permil),Mg/Ca (mmol_mol),planktic.MgCa (mmol_mol),planktic.d18O (permil),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d18O (permil),planktic.d18O (permil)
4.53,18620,NA,NA,NA,NA,NA,2.25,NA,NA,NA,5.09,18834,NA,0.572,NA,NA,NA
4.54,18624,NA,7.25,4.58,NA,1.34,2.16,NA,NA,NA,5.12,18853,21.491,0.875,3.044,NA,NA
4.55,18629,NA,NA,NA,NA,NA,2.22,NA,NA,NA,5.13,18859,NA,0.723,NA,NA,NA
4.56,18633,NA,NA,NA,NA,NA,2.42,NA,NA,NA,5.14,18866,NA,0.696,NA,NA,NA
4.57,18637,NA,NA,NA,NA,NA,2.21,NA,NA,NA,5.15,18872,NA,0.794,NA,NA,NA
4.58,18641,NA,NA,NA,NA,NA,2.35,NA,NA,NA,5.16,18878,20.257,0.656,2.684,NA,NA
4.59,18645,NA,NA,NA,NA,NA,2.5,NA,NA,NA,5.17,18884,NA,0.915,NA,NA,NA
4.6,18649,NA,NA,NA,NA,NA,2.37,NA,NA,NA,5.18,18891,NA,0.528,NA,NA,NA
4.61,18653,NA,5.72,NA,NA,1.21,2.08,NA,NA,NA,5.19,18897,NA,0.88,NA,NA,NA
4.62,18657,NA,NA,NA,NA,NA,2.25,NA,NA,NA,5.2,18903,20.814,0.656,2.841,NA,NA
4.63,18661,NA,NA,NA,NA,NA,2.24,NA,NA,NA,5.21,18910,NA,0.53,NA,NA,NA
4.64,18665,NA,NA,NA,NA,NA,2.48,NA,NA,NA,5.22,18916,NA,1.017,NA,NA,NA
4.65,18669,NA,NA,4.69,NA,NA,2.36,NA,NA,NA,5.23,18922,NA,0.734,NA,NA,NA
4.66,18673,NA,NA,4.61,NA,NA,2.42,NA,NA,NA,5.24,18929,20.19,0.904,2.666,NA,NA
4.67,18677,NA,NA,4.54,NA,NA,2.28,NA,NA,NA,5.25,18935,NA,0.737,NA,NA,NA
4.68,18681,NA,NA,4.64,NA,NA,2.36,NA,NA,NA,5.26,18941,NA,0.962,NA,NA,NA
4.69,18686,NA,9.32,4.65,NA,1.54,2.33,NA,NA,NA,5.27,18947,21.448,0.74,3.031,NA,NA
4.7,18690,NA,NA,4.65,NA,NA,2.23,NA,NA,NA,5.28,18954,NA,0.958,NA,NA,NA
4.71,18694,NA,NA,4.55,NA,NA,2.51,NA,NA,NA,5.29,18960,NA,0.872,NA,NA,NA
4.72,18698,NA,NA,4.61,NA,NA,2.19,NA,NA,NA,5.3,18966,NA,0.858,NA,NA,NA
4.73,18702,NA,NA,NA,NA,NA,2.2,NA,NA,NA,5.31,18973,NA,0.871,NA,NA,NA
4.74,18706,NA,NA,4.65,NA,NA,2.34,NA,NA,NA,5.33,18985,NA,0.579,NA,NA,NA
4.75,18710,NA,9.1,NA,NA,1.52,2.57,NA,NA,NA,5.34,18991,NA,0.563,NA,NA,NA
4.76,18714,NA,NA,4.6,NA,NA,2.25,NA,NA,NA,5.35,18998,NA,0.772,NA,NA,NA
4.77,18718,NA,NA,4.56,NA,NA,2.14,NA,NA,NA,5.36,19004,21.525,0.824,3.055,NA,NA
4.78,18722,NA,NA,4.71,NA,NA,2.32,NA,NA,NA,5.37,19010,NA,0.885,NA,NA,NA
4.79,18726,NA,NA,4.58,NA,NA,2.35,NA,NA,NA,5.38,19017,NA,0.678,NA,NA,NA
4.8,18730,NA,NA,4.52,NA,NA,2.36,NA,NA,NA,5.39,19023,NA,0.78,NA,NA,NA
4.81,18734,NA,NA,NA,NA,NA,2.46,NA,NA,NA,5.4,19029,NA,0.642,NA,NA,NA
4.82,18739,NA,8,4.55,NA,1.41,2.25,NA,NA,NA,5.41,19036,NA,0.767,NA,NA,NA
4.83,18743,NA,NA,4.58,NA,NA,2.33,NA,NA,NA,5.47,19073,NA,0.541,NA,NA,NA
4.84,18747,NA,NA,4.41,NA,NA,2.54,NA,NA,NA,5.48,19080,NA,0.63,NA,NA,NA
4.85,18751,NA,NA,4.57,NA,NA,2.44,NA,NA,NA,5.49,19086,NA,0.671,NA,NA,NA
4.86,18755,NA,NA,4.6,NA,NA,2.73,NA,NA,NA,5.5,19092,NA,0.874,NA,NA,NA
4.87,18759,NA,NA,4.49,NA,NA,2.35,NA,NA,NA,5.51,19099,NA,0.538,NA,NA,NA
4.88,18763,NA,NA,NA,NA,NA,2.34,NA,NA,NA,5.52,19105,20.654,0.782,2.795,NA,NA
4.89,18767,NA,11.81,4.65,NA,1.81,2.21,NA,NA,NA,5.53,19111,NA,0.684,NA,NA,NA
4.9,18771,NA,NA,4.6,NA,NA,2.4,NA,NA,NA,5.54,19117,NA,0.887,NA,NA,NA
4.91,18775,NA,NA,4.45,NA,NA,2.26,NA,NA,NA,5.55,19124,NA,0.686,NA,NA,NA
4.92,18779,NA,NA,4.46,NA,NA,2.33,NA,NA,NA,5.56,19130,20.589,0.737,2.777,NA,NA
4.93,18783,NA,NA,4.56,NA,NA,2.32,NA,NA,NA,5.57,19136,NA,0.814,NA,NA,NA
4.94,18787,NA,NA,4.63,NA,NA,2.33,NA,NA,NA,5.58,19143,NA,0.583,NA,NA,NA
4.95,18791,NA,NA,4.66,NA,NA,2.2,NA,NA,NA,5.59,19149,NA,0.962,NA,NA,NA
4.96,18796,NA,13.13,4.52,NA,1.98,2.18,NA,NA,NA,5.6,19155,20.572,0.828,2.772,NA,NA
4.97,18800,NA,NA,4.68,NA,NA,2.07,NA,NA,NA,5.61,19161,NA,0.685,NA,NA,NA
4.98,18804,NA,NA,4.67,NA,NA,2.01,NA,NA,NA,5.62,19168,NA,0.629,NA,NA,NA
4.99,18808,NA,NA,4.6,NA,NA,1.99,NA,NA,NA,5.64,19180,19.962,0.867,2.605,NA,NA
5,18812,NA,NA,4.62,NA,NA,2.05,NA,NA,NA,5.65,19187,NA,0.715,NA,NA,NA
5.01,18816,NA,NA,4.73,NA,NA,2.12,NA,NA,NA,5.67,19199,NA,0.69,NA,NA,NA
5.02,18820,NA,NA,4.59,NA,NA,2.26,NA,NA,NA,5.68,19206,NA,0.816,NA,NA,NA
5.03,18824,NA,NA,4.71,NA,NA,2.01,NA,NA,NA,5.69,19212,NA,0.723,NA,NA,NA
5.04,18828,NA,9.49,4.6,NA,1.55,2.05,NA,NA,NA,5.7,19218,NA,0.456,NA,NA,NA
5.05,18832,NA,NA,4.63,NA,NA,2.29,NA,NA,NA,5.71,19224,NA,0.754,NA,NA,NA
5.06,18836,NA,NA,4.59,NA,NA,2.31,NA,NA,NA,5.72,19231,20.403,0.648,2.725,NA,NA
5.07,18840,NA,NA,4.74,NA,NA,2.21,NA,NA,NA,5.75,19250,NA,0.581,NA,NA,NA
5.08,18844,NA,NA,4.67,NA,NA,2.17,NA,NA,NA,5.76,19256,20.688,0.851,2.805,NA,NA
5.09,18849,NA,NA,4.65,NA,NA,2.24,NA,NA,NA,5.77,19262,NA,0.805,NA,NA,NA
5.1,18853,NA,13.12,NA,NA,1.98,1.82,NA,NA,NA,5.78,19269,NA,1.006,NA,NA,NA
5.11,18857,NA,NA,4.68,NA,NA,2.12,NA,NA,NA,5.79,19275,NA,0.783,NA,NA,NA
5.12,18861,NA,NA,4.49,NA,NA,1.99,NA,NA,NA,5.8,19281,21.077,0.653,2.918,NA,NA
5.13,18865,NA,NA,NA,NA,NA,2.19,NA,NA,NA,5.81,19287,NA,0.588,NA,NA,NA
5.14,18869,NA,NA,NA,NA,NA,1.97,NA,NA,NA,5.82,19294,NA,0.716,NA,NA,NA
5.15,18873,NA,NA,NA,NA,NA,1.93,NA,NA,NA,5.83,19300,20.06,0.537,2.631,NA,NA
5.16,18877,NA,12.09,NA,NA,1.85,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.18,18885,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.19,18889,NA,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.2,18893,NA,NA,4.72,NA,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.21,18897,NA,NA,4.62,NA,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.22,18901,NA,NA,4.4,NA,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.23,18906,NA,NA,4.64,NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.24,18910,NA,13.26,4.6,NA,1.99,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.26,18918,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.27,18922,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.28,18926,NA,NA,NA,NA,NA,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.29,18930,NA,NA,NA,NA,NA,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.3,18934,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.31,18938,NA,NA,NA,NA,NA,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.32,18942,NA,NA,NA,NA,NA,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.33,18946,NA,NA,NA,NA,NA,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.34,18950,NA,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.35,18954,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.36,18959,NA,NA,4.82,NA,NA,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.37,18963,NA,NA,4.74,NA,NA,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.38,18967,NA,NA,4.7,NA,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.39,18971,NA,NA,4.48,NA,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.4,18975,NA,NA,4.67,NA,NA,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.41,18979,NA,NA,4.73,NA,NA,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.42,18983,NA,NA,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.43,18987,NA,NA,4.63,NA,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.45,18995,NA,NA,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.46,18999,NA,NA,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
