year (AD),age (BP),Ti (cps)
-9398,11348,0.13
-9400,11350,0.117
-9402,11352,0.153
-9404,11354,0.187
-9407,11357,0.197
-9409,11359,0.167
-9411,11361,0.17
-9413,11363,0.18
-9416,11366,0.197
-9418,11368,0.207
-9420,11370,0.23
-9422,11372,0.253
-9424,11374,0.27
-9427,11377,0.247
-9429,11379,0.24
-9431,11381,0.233
-9434,11384,0.237
-9436,11386,0.23
-9438,11388,0.227
-9440,11390,0.217
-9442,11392,0.213
-9445,11395,0.2
-9447,11397,0.187
-9449,11399,0.18
-9451,11401,0.193
-9454,11404,0.2
-9456,11406,0.2
-9458,11408,0.183
-9460,11410,0.193
-9463,11413,0.187
-9465,11415,0.187
-9467,11417,0.19
-9469,11419,0.197
-9472,11422,0.217
-9474,11424,0.21
-9476,11426,0.2
-9478,11428,0.187
-9481,11431,0.183
-9483,11433,0.19
-9485,11435,0.207
-9487,11437,0.213
-9490,11440,0.22
-9492,11442,0.207
-9494,11444,0.207
-9496,11446,0.207
-9499,11449,0.203
-9501,11451,0.183
-9503,11453,0.187
-9505,11455,0.2
-9508,11458,0.223
-9510,11460,0.23
-9512,11462,0.247
-9514,11464,0.26
-9517,11467,0.25
-9519,11469,0.243
-9521,11471,0.21
-9523,11473,0.197
-9526,11476,0.183
-9528,11478,0.2
-9530,11480,0.21
-9532,11482,0.2
-9535,11485,0.2
-9537,11487,0.203
-9539,11489,0.213
-9541,11491,0.207
-9544,11494,0.213
-9546,11496,0.217
-9548,11498,0.22
-9550,11500,0.22
-9553,11503,0.213
-9555,11505,0.227
-9557,11507,0.223
-9559,11509,0.227
-9561,11511,0.203
-9564,11514,0.193
-9566,11516,0.193
-9568,11518,0.217
-9571,11521,0.23
-9573,11523,0.24
-9575,11525,NA
-9577,11527,NA
-9579,11529,0.19
-9582,11532,0.2
-9584,11534,0.2
-9586,11536,0.207
-9588,11538,0.203
-9591,11541,0.183
-9593,11543,0.173
-9595,11545,0.16
-9597,11547,0.177
-9600,11550,0.19
-9602,11552,0.223
-9604,11554,0.26
-9606,11556,0.25
-9609,11559,0.223
-9611,11561,0.19
-9613,11563,0.197
-9615,11565,0.2
-9618,11568,0.193
-9620,11570,0.193
-9622,11572,0.173
-9624,11574,0.17
-9627,11577,0.137
-9629,11579,0.137
-9631,11581,0.14
-9633,11583,0.163
-9636,11586,0.18
-9638,11588,0.173
-9640,11590,0.17
-9642,11592,0.183
-9645,11595,0.173
-9647,11597,0.177
-9649,11599,0.167
-9652,11602,0.183
-9656,11606,0.2
-9659,11609,0.21
-9663,11613,0.22
-9667,11617,0.217
-9670,11620,0.21
-9674,11624,0.207
-9678,11628,0.183
-9682,11632,0.173
-9685,11635,0.143
-9689,11639,0.13
-9693,11643,0.117
-9696,11646,0.12
-9700,11650,0.133
-9704,11654,0.147
-9707,11657,0.177
-9711,11661,0.177
-9715,11665,0.153
-9718,11668,0.133
-9722,11672,0.137
-9726,11676,0.143
-9729,11679,0.16
-9733,11683,0.177
-9737,11687,0.217
-9740,11690,0.19
-9744,11694,0.157
-9748,11698,0.14
-9751,11701,0.157
-9755,11705,0.16
-9759,11709,0.14
-9762,11712,0.12
-9766,11716,0.113
-9770,11720,0.1
-9773,11723,0.087
-9777,11727,0.107
-9781,11731,0.137
-9784,11734,0.17
-9788,11738,0.17
-9792,11742,0.17
-9795,11745,0.167
-9799,11749,0.187
-9803,11753,0.19
-9806,11756,0.223
-9810,11760,0.22
-9814,11764,0.217
-9817,11767,0.183
-9821,11771,0.153
-9825,11775,0.15
-9828,11778,0.153
-9832,11782,0.17
-9836,11786,0.143
-9839,11789,0.147
-9843,11793,0.157
-9847,11797,0.197
-9850,11800,0.203
-9854,11804,0.203
-9858,11808,0.197
-9861,11811,0.203
-9865,11815,0.193
-9869,11819,0.163
-9872,11822,0.133
-9876,11826,0.11
-9880,11830,0.103
-9883,11833,0.08
-9887,11837,0.093
-9891,11841,0.08
-9895,11845,0.107
-9898,11848,0.13
-9902,11852,0.17
-9906,11856,0.19
-9909,11859,0.177
-9913,11863,0.183
-9917,11867,0.18
-9920,11870,0.183
-9924,11874,0.177
-9927,11877,0.173
-9931,11881,0.173
-9935,11885,0.18
-9938,11888,0.177
-9942,11892,0.16
-9946,11896,0.153
-9950,11900,0.143
-9953,11903,0.173
-9957,11907,0.187
-9961,11911,0.173
-9964,11914,0.133
-9968,11918,0.083
-9972,11922,0.1
-9975,11925,0.14
-9979,11929,0.163
-9983,11933,0.18
-9986,11936,0.143
-9990,11940,0.163
-9994,11944,0.153
-9997,11947,0.167
-10001,11951,0.147
-10005,11955,0.137
-10008,11958,0.157
-10012,11962,0.173
-10016,11966,0.17
-10019,11969,0.123
-10023,11973,0.11
-10027,11977,0.14
-10030,11980,0.177
-10034,11984,0.177
-10038,11988,0.157
-10041,11991,0.16
-10045,11995,0.197
-10049,11999,0.2
-10052,12002,0.203
-10056,12006,0.17
-10060,12010,0.173
-10063,12013,0.153
-10067,12017,0.173
-10071,12021,0.18
-10074,12024,0.2
-10078,12028,0.197
-10082,12032,0.187
-10085,12035,0.177
-10089,12039,0.167
-10093,12043,0.203
-10096,12046,0.23
-10100,12050,0.253
-10104,12054,0.23
-10107,12057,0.23
-10111,12061,0.22
-10115,12065,0.193
-10119,12069,0.173
-10122,12072,0.157
-10126,12076,0.133
-10129,12079,0.093
-10133,12083,0.097
-10137,12087,0.137
-10140,12090,0.17
-10144,12094,0.197
-10148,12098,0.207
-10151,12101,0.217
-10155,12105,0.19
-10159,12109,0.19
-10163,12113,0.177
-10166,12116,0.177
-10170,12120,0.16
-10174,12124,0.157
-10177,12127,0.157
-10181,12131,0.163
-10185,12135,0.173
-10188,12138,0.163
-10192,12142,0.167
-10196,12146,0.177
-10199,12149,0.197
-10203,12153,0.193
-10207,12157,0.19
-10210,12160,0.197
-10214,12164,0.22
-10218,12168,0.233
-10221,12171,0.227
-10225,12175,0.197
-10229,12179,0.19
-10232,12182,0.197
-10236,12186,0.19
-10240,12190,0.177
-10243,12193,0.16
-10247,12197,0.19
-10251,12201,0.19
-10254,12204,0.183
-10258,12208,0.163
-10262,12212,0.15
-10265,12215,0.177
-10269,12219,0.187
-10273,12223,0.21
-10276,12226,0.193
-10280,12230,0.16
-10284,12234,0.117
-10287,12237,0.11
-10291,12241,0.127
-10295,12245,0.177
-10298,12248,0.17
-10302,12252,0.17
-10306,12256,0.147
-10309,12259,0.143
-10313,12263,0.14
-10317,12267,0.133
-10320,12270,0.14
-10324,12274,0.153
-10328,12278,0.15
-10332,12282,0.18
-10335,12285,0.187
-10339,12289,0.22
-10342,12292,0.183
-10346,12296,0.16
-10350,12300,0.12
-10353,12303,0.14
-10357,12307,0.16
-10361,12311,0.187
-10364,12314,0.16
-10368,12318,0.137
-10372,12322,0.133
-10376,12326,0.18
-10379,12329,0.197
-10383,12333,0.177
-10387,12337,0.147
-10390,12340,0.16
-10394,12344,0.16
-10398,12348,0.16
-10401,12351,0.16
-10405,12355,0.19
-10409,12359,0.223
-10412,12362,0.24
-10416,12366,0.237
-10419,12369,0.227
-10423,12373,0.193
-10427,12377,0.183
-10431,12381,0.173
-10434,12384,0.217
-10438,12388,0.223
-10442,12392,0.237
-10445,12395,0.207
-10449,12399,0.227
-10453,12403,0.22
-10456,12406,0.217
-10460,12410,0.207
-10464,12414,0.22
-10467,12417,0.227
-10471,12421,0.233
-10475,12425,0.23
-10478,12428,0.233
-10482,12432,0.233
-10486,12436,0.183
-10489,12439,0.177
-10493,12443,0.14
-10497,12447,0.177
-10500,12450,0.187
-10504,12454,0.22
-10508,12458,0.227
-10511,12461,0.207
-10515,12465,0.187
-10519,12469,0.183
-10522,12472,0.2
-10526,12476,0.23
-10530,12480,0.24
-10533,12483,0.233
-10537,12487,0.22
-10541,12491,0.193
-10544,12494,0.18
-10548,12498,0.177
-10552,12502,0.18
-10555,12505,0.19
-10559,12509,0.153
-10563,12513,0.16
-10566,12516,0.145
-10570,12520,0.19
-10574,12524,0.25
-10577,12527,0.23
-10581,12531,0.207
-10585,12535,0.153
-10588,12538,0.15
-10592,12542,0.167
-10596,12546,0.22
-10600,12550,0.227
-10603,12553,0.233
-10607,12557,0.183
-10611,12561,0.17
-10614,12564,0.163
-10618,12568,0.183
-10621,12571,0.17
-10625,12575,0.15
-10629,12579,0.197
-10632,12582,0.167
-10636,12586,0.18
-10640,12590,0.147
-10644,12594,0.203
-10647,12597,0.217
-10651,12601,0.237
-10655,12605,0.247
-10658,12608,0.24
-10662,12612,0.233
-10666,12616,0.233
-10669,12619,0.243
-10673,12623,0.237
-10677,12627,0.223
-10680,12630,0.243
-10684,12634,0.24
-10688,12638,0.23
-10691,12641,0.197
-10695,12645,0.193
-10699,12649,0.213
-10702,12652,0.203
-10706,12656,0.213
-10710,12660,0.207
-10713,12663,0.193
-10717,12667,0.173
-10721,12671,0.157
-10724,12674,0.183
-10728,12678,0.2
-10732,12682,0.21
-10735,12685,0.227
-10739,12689,0.22
-10743,12693,0.21
-10746,12696,0.17
-10750,12700,0.15
-10754,12704,0.167
-10757,12707,0.177
-10761,12711,0.217
-10765,12715,0.203
-10768,12718,0.227
-10772,12722,0.17
-10776,12726,0.183
-10779,12729,0.147
-10783,12733,0.183
-10787,12737,0.197
-10790,12740,0.213
-10794,12744,0.187
-10798,12748,0.17
-10801,12751,0.17
-10805,12755,0.173
-10809,12759,0.187
-10813,12763,0.203
-10816,12766,0.207
-10820,12770,0.18
-10824,12774,0.163
-10827,12777,0.183
-10831,12781,0.207
-10834,12784,0.217
-10838,12788,0.247
-10842,12792,0.243
-10845,12795,0.257
-10849,12799,0.23
-10853,12803,0.22
-10857,12807,0.197
-10860,12810,0.203
-10864,12814,0.2
-10868,12818,0.217
-10871,12821,0.21
-10875,12825,0.22
-10879,12829,0.217
-10882,12832,0.22
-10886,12836,0.22
-10890,12840,0.22
-10893,12843,0.243
-10897,12847,0.28
-10901,12851,0.33
-10904,12854,0.307
-10908,12858,0.273
-10912,12862,0.26
-10915,12865,0.283
-10919,12869,0.29
-10923,12873,0.27
-10926,12876,0.253
-10930,12880,0.263
-10934,12884,0.263
-10937,12887,0.287
-10941,12891,0.28
-10945,12895,0.287
-10948,12898,0.263
-10953,12903,0.233
-10958,12908,0.22
-10963,12913,0.24
-10968,12918,0.277
-10973,12923,0.283
-10978,12928,0.283
-10983,12933,0.25
-10988,12938,0.243
-10993,12943,0.243
-10998,12948,0.273
-11003,12953,0.283
-11008,12958,0.267
-11013,12963,0.26
-11018,12968,0.25
-11023,12973,0.257
-11028,12978,0.26
-11033,12983,0.27
-11038,12988,0.26
-11043,12993,0.25
-11049,12999,0.237
-11054,13004,0.24
-11059,13009,0.243
-11064,13014,0.24
-11069,13019,0.25
-11074,13024,0.263
-11079,13029,0.28
-11084,13034,0.26
-11089,13039,0.247
-11094,13044,0.243
-11099,13049,0.257
-11104,13054,0.257
-11109,13059,0.247
-11114,13064,0.237
-11119,13069,0.243
-11124,13074,0.25
-11129,13079,0.237
-11134,13084,0.213
-11139,13089,0.193
-11144,13094,0.217
-11149,13099,0.247
-11154,13104,0.26
-11159,13109,0.257
-11164,13114,0.247
-11170,13120,0.253
-11174,13124,0.257
-11180,13130,0.263
-11185,13135,0.257
-11190,13140,0.253
-11195,13145,0.25
-11200,13150,0.263
-11205,13155,0.263
-11210,13160,0.253
-11215,13165,0.23
-11220,13170,0.217
-11225,13175,0.22
-11230,13180,0.227
-11235,13185,0.23
-11240,13190,0.233
-11245,13195,0.233
-11250,13200,0.24
-11255,13205,0.23
-11260,13210,0.237
-11265,13215,0.233
-11270,13220,0.23
-11275,13225,0.233
-11280,13230,0.227
-11285,13235,0.24
-11291,13241,0.233
-11295,13245,0.257
-11301,13251,0.26
-11306,13256,0.277
-11311,13261,0.273
-11316,13266,0.263
-11321,13271,0.24
-11326,13276,0.227
-11331,13281,0.23
-11336,13286,0.233
-11341,13291,0.223
-11346,13296,0.2
-11351,13301,0.19
-11356,13306,0.197
-11361,13311,0.207
-11366,13316,0.22
-11371,13321,0.253
-11376,13326,0.263
-11381,13331,0.273
-11386,13336,0.25
-11391,13341,0.247
-11396,13346,0.24
-11401,13351,0.23
-11406,13356,0.237
-11412,13362,0.24
-11416,13366,0.253
-11422,13372,0.267
-11426,13376,0.283
-11432,13382,0.28
-11437,13387,0.253
-11442,13392,0.21
-11447,13397,0.19
-11452,13402,0.187
-11457,13407,0.183
-11462,13412,0.177
-11467,13417,0.183
-11472,13422,0.197
-11477,13427,0.21
-11482,13432,0.21
-11487,13437,0.22
-11492,13442,0.223
-11497,13447,0.203
-11502,13452,0.18
-11507,13457,0.183
-11512,13462,0.23
-11566,13516,0.273
-11571,13521,0.29
-11577,13527,0.277
-11582,13532,0.27
-11587,13537,0.283
-11592,13542,0.317
-11597,13547,0.317
-11602,13552,0.3
-11607,13557,0.27
-11612,13562,0.253
-11617,13567,0.263
-11622,13572,0.27
-11628,13578,0.273
-11633,13583,0.27
-11638,13588,0.26
-11643,13593,0.26
-11648,13598,0.247
-11653,13603,0.267
-11658,13608,0.29
-11663,13613,0.273
-11668,13618,0.237
-11674,13624,0.21
-11679,13629,0.247
-11684,13634,0.277
-11689,13639,0.297
-11694,13644,0.273
-11699,13649,0.263
-11704,13654,0.24
-11709,13659,0.237
-11714,13664,0.25
-11720,13670,0.26
-11725,13675,0.27
-11730,13680,0.26
-11735,13685,0.277
-11740,13690,0.283
-11745,13695,0.28
-11750,13700,0.277
-11755,13705,0.293
-11760,13710,0.3
-11765,13715,0.283
-11771,13721,0.267
-11776,13726,0.28
-11781,13731,0.29
-11786,13736,0.293
-11791,13741,0.277
-11796,13746,0.257
-11801,13751,0.243
-11806,13756,0.233
-11811,13761,0.25
-11817,13767,0.24
-11822,13772,0.257
-11827,13777,0.247
-11832,13782,0.24
-11837,13787,0.237
-11842,13792,0.237
-11847,13797,0.267
-11852,13802,0.257
-11857,13807,0.257
-11863,13813,0.253
-11868,13818,0.263
-11873,13823,0.29
-11878,13828,0.283
-11883,13833,0.27
-11888,13838,0.243
-11893,13843,0.243
-11898,13848,0.25
-11903,13853,0.27
-11908,13858,0.27
-11914,13864,0.287
-11919,13869,0.27
-11924,13874,0.273
-11929,13879,0.243
-11934,13884,0.24
-11939,13889,0.237
-11944,13894,0.263
-11949,13899,0.267
-11954,13904,0.273
-11960,13910,0.27
-11965,13915,0.277
-11970,13920,0.253
-11975,13925,0.237
-11980,13930,0.233
-11985,13935,0.24
-11990,13940,0.257
-11995,13945,0.263
-12000,13950,0.29
-12006,13956,0.29
-12011,13961,0.287
-12016,13966,0.273
-12021,13971,0.243
-12026,13976,0.263
-12031,13981,0.217
-12036,13986,0.207
-12041,13991,0.173
-12046,13996,0.2
-12051,14001,0.22
-12057,14007,0.2
-12062,14012,0.193
-12067,14017,0.183
-12072,14022,0.18
-12077,14027,0.183
-12082,14032,0.177
-12087,14037,0.187
-12092,14042,0.17
-12097,14047,0.19
-12103,14053,0.213
-12108,14058,0.237
-12113,14063,0.227
-12118,14068,0.233
-12123,14073,0.253
-12128,14078,0.28
-12133,14083,0.307
-12138,14088,0.307
-12143,14093,0.303
-12149,14099,0.27
-12154,14104,0.293
-12159,14109,0.327
-12164,14114,0.337
-12169,14119,0.327
-12174,14124,0.28
-12179,14129,0.277
-12184,14134,0.27
-12189,14139,0.357
-12194,14144,0.41
-12200,14150,0.423
-12205,14155,0.36
-12210,14160,0.29
-12215,14165,0.263
-12220,14170,0.263
-12225,14175,0.277
-12230,14180,0.263
-12235,14185,0.227
-12240,14190,0.177
-12246,14196,0.177
-12251,14201,0.157
-12256,14206,0.177
-12261,14211,0.177
-12266,14216,0.207
-12271,14221,0.19
-12276,14226,0.2
-12281,14231,0.217
-12286,14236,0.293
-12292,14242,0.32
-12297,14247,0.33
-12302,14252,0.297
-12307,14257,0.283
-12312,14262,0.277
-12317,14267,0.273
-12322,14272,0.267
-12327,14277,0.253
