year (AD),age (BP),d18O (missing),d13C (missing)
-5180.82,7130.82,-8.62,-10.41
-5183.09,7133.09,-8.64,-10.37
-5185.37,7135.37,-8.57,-10.48
-5187.64,7137.64,-8.53,-10.33
-5189.92,7139.92,-8.42,-10.15
-5192.19,7142.19,-8.47,-10.02
-5194.47,7144.47,-8.48,-10.07
-5196.74,7146.74,-8.34,-9.88
-5199.02,7149.02,-8.2,-10
-5201.3,7151.3,-8.43,-10.21
-5203.57,7153.57,-8.46,-10.08
-5205.85,7155.85,-8.41,-10.3
-5208.12,7158.12,-8.47,-10.46
-5210.4,7160.4,-8.6,-10.54
-5212.67,7162.67,-8.52,-10.26
-5214.95,7164.95,-8.44,-10.34
-5217.22,7167.22,-8.42,-10.43
-5219.5,7169.5,-8.29,-10.27
-5221.78,7171.78,-8.23,-10.28
-5224.05,7174.05,-8.26,-10.48
-5226.33,7176.33,-8.4,-10.83
-5228.6,7178.6,-8.37,-10.5
-5230.88,7180.88,-8.4,-10.43
-5233.15,7183.15,-8.27,-10.7
-5235.43,7185.43,-8.19,-10.47
-5237.7,7187.7,-8.29,-10.6
-5239.98,7189.98,-8.34,-10.33
-5242.26,7192.26,-8.38,-10.45
-5244.53,7194.53,-8.3,-10.26
-5246.81,7196.81,-8.26,-10
-5249.08,7199.08,-8.18,-9.99
-5251.36,7201.36,-8.21,-9.82
-5253.63,7203.63,-8.25,-9.55
-5255.91,7205.91,-8.31,-10
-5258.18,7208.18,-8.31,-10.29
-5260.46,7210.46,-8.6,-10.62
-5262.73,7212.73,-8.68,-10.29
-5265.01,7215.01,-8.76,-10.62
-5267.29,7217.29,-8.86,-10.41
-5269.56,7219.56,-8.87,-10.29
-5271.84,7221.84,-9,-10.59
-5274.11,7224.11,-8.9,-10.69
-5276.39,7226.39,-8.82,-10.66
-5278.66,7228.66,-8.78,-10.75
-5280.94,7230.94,-8.61,-10.49
-5283.21,7233.21,-8.4,-10.54
-5285.49,7235.49,-8.46,-10.54
-5287.77,7237.77,-8.51,-10.64
-5290.04,7240.04,-8.38,-10.47
-5292.32,7242.32,-8.61,-10.34
-5294.59,7244.59,-8.65,-10.59
-5296.87,7246.87,-8.57,-10.55
-5299.14,7249.14,-8.35,-10.59
-5301.42,7251.42,-8.33,-10.18
-5303.69,7253.69,-8.32,-10.21
-5305.97,7255.97,-8.51,-10.39
-5308.24,7258.24,-8.48,-10.35
-5310.52,7260.52,-8.43,-10.25
-5312.8,7262.8,-8.5,-9.98
-5315.07,7265.07,-8.54,-9.81
-5317.35,7267.35,-8.65,-10.15
-5319.62,7269.62,-8.57,-10.37
-5321.9,7271.9,-8.59,-10.39
-5324.17,7274.17,-8.64,-10.55
-5326.45,7276.45,-8.44,-10.3
-5328.72,7278.72,-8.5,-10.59
-5331,7281,-8.56,-10.72
-5334.05,7284.05,-8.73,-10.72
-5337.11,7287.11,-8.63,-10.52
-5340.16,7290.16,-8.69,-10.71
-5343.21,7293.21,-8.78,-10.49
-5346.27,7296.27,-8.7,-10.48
-5349.32,7299.32,-8.51,-10.38
-5352.38,7302.38,-8.5,-10.47
-5355.43,7305.43,-8.51,-10.7
-5358.48,7308.48,-8.4,-10.67
-5361.54,7311.54,-8.35,-10.64
-5364.59,7314.59,-8.39,-10.55
-5367.64,7317.64,-8.55,-10.8
-5370.7,7320.7,-8.66,-10.71
-5373.75,7323.75,-8.62,-10.32
-5376.81,7326.81,-8.63,-10.3
-5379.86,7329.86,-8.53,-10.13
-5382.91,7332.91,-8.6,-10.53
-5385.97,7335.97,-8.52,-10.57
-5389.02,7339.02,-8.59,-10.17
-5392.07,7342.07,-8.53,-10.43
-5395.13,7345.13,-8.47,-10.38
-5398.18,7348.18,-8.43,-10.08
-5401.23,7351.23,-8.53,-10.32
-5404.29,7354.29,-8.52,-10.19
-5407.34,7357.34,-8.78,-10.17
-5410.4,7360.4,-8.65,-10.22
-5413.45,7363.45,-8.66,-10.15
-5416.5,7366.5,-8.59,-10.12
-5419.56,7369.56,-8.63,-10.54
-5422.61,7372.61,-8.53,-10.58
-5425.66,7375.66,-8.54,-9.94
-5428.72,7378.72,-8.63,-10.27
-5431.77,7381.77,-8.59,-10.23
-5434.83,7384.83,-8.45,-10.2
-5437.88,7387.88,-8.46,-10.21
-5440.93,7390.93,-8.84,-10.69
-5443.99,7393.99,-8.7,-10.73
-5447.04,7397.04,-8.68,-10.93
-5450.09,7400.09,-8.68,-10.92
-5453.15,7403.15,-8.67,-10.58
-5456.2,7406.2,-8.59,-10.55
-5459.26,7409.26,-8.67,-10.55
-5462.31,7412.31,-8.55,-10.7
-5465.36,7415.36,-8.64,-10.79
-5468.42,7418.42,-8.53,-11.06
-5471.47,7421.47,-8.51,-11.09
-5474.52,7424.52,-8.63,-11.16
-5477.58,7427.58,-8.71,-10.97
-5480.63,7430.63,-8.64,-10.75
-5483.68,7433.68,-8.65,-10.59
-5486.74,7436.74,-8.92,-10.61
-5489.79,7439.79,-8.94,-10.32
-5492.85,7442.85,-8.96,-10.33
-5495.9,7445.9,-8.98,-10.5
-5498.95,7448.95,-8.89,-10.44
-5502.01,7452.01,-8.98,-10.46
-5505.06,7455.06,-9.22,-10.71
-5508.11,7458.11,-9.11,-10.8
-5511.17,7461.17,-9.16,-10.89
-5514.22,7464.22,-9.18,-10.98
-5517.28,7467.28,-9.33,-11
-5520.33,7470.33,-9.27,-11.17
-5523.38,7473.38,-9.34,-10.98
-5526.44,7476.44,-9.41,-10.95
-5529.49,7479.49,-9.11,-10.87
-5532.54,7482.54,-8.98,-11.08
-5535.6,7485.6,-8.88,-11.19
-5538.65,7488.65,-8.84,-11.16
-5541.7,7491.7,-8.87,-11.04
-5544.76,7494.76,-9.01,-11.02
-5547.81,7497.81,-9.16,-11.27
-5550.87,7500.87,-9.34,-11.21
-5553.92,7503.92,-9.15,-11.26
-5556.97,7506.97,-9.14,-11.16
-5560.03,7510.03,-9.03,-10.8
-5563.08,7513.08,-9.19,-10.92
-5566.13,7516.13,-9.29,-10.86
-5569.19,7519.19,-9.17,-10.68
-5572.24,7522.24,-9.29,-10.54
-5575.3,7525.3,-9.11,-10.3
-5578.35,7528.35,-8.78,-10.49
-5581.4,7531.4,-8.73,-10.58
-5584.46,7534.46,-8.92,-10.69
-5587.51,7537.51,-9,-10.46
-5590.56,7540.56,-9.02,-10.54
-5593.62,7543.62,-9.02,-10.93
-5596.67,7546.67,-9.09,-10.46
-5599.72,7549.72,-9.18,-10.36
-5602.78,7552.78,-8.85,-10.49
-5605.83,7555.83,-8.65,-10.82
-5608.89,7558.89,-8.7,-10.91
-5611.94,7561.94,-8.65,-10.83
-5614.99,7564.99,-8.67,-10.99
-5618.05,7568.05,-8.35,-11.2
-5621.1,7571.1,-8.62,-10.96
-5624.15,7574.15,-8.98,-11
-5627.21,7577.21,-8.78,-10.97
-5630.26,7580.26,-8.67,-10.84
-5633.32,7583.32,-8.97,-10.57
-5636.37,7586.37,-9.05,-10.56
-5639.42,7589.42,-8.95,-10.59
-5642.48,7592.48,-8.99,-10.66
-5645.53,7595.53,-9,-10.71
-5648.58,7598.58,-8.9,-10.63
-5651.64,7601.64,-8.67,-10.7
-5654.69,7604.69,-8.61,-10.27
-5657.74,7607.74,-8.39,-9.58
-5660.8,7610.8,-8.48,-10.07
-5663.85,7613.85,-8.66,-10.43
-5666.91,7616.91,-8.66,-10.4
-5669.96,7619.96,-8.61,-10.34
-5673.01,7623.01,-8.61,-10.14
-5676.07,7626.07,-8.46,-9.86
-5679.12,7629.12,-8.28,-9.77
-5682.17,7632.17,-8.43,-10.08
-5685.23,7635.23,-8.67,-10.23
-5688.28,7638.28,-8.74,-10.36
-5691.34,7641.34,-8.67,-10.29
-5694.39,7644.39,-8.86,-10.36
-5697.44,7647.44,-8.73,-10.11
-5700.5,7650.5,-8.73,-10.1
-5703.55,7653.55,-8.66,-10.13
-5706.6,7656.6,-8.72,-10.07
-5709.66,7659.66,-8.72,-10.24
-5712.71,7662.71,-8.76,-10.21
-5715.77,7665.77,-8.8,-10.3
-5718.82,7668.82,-8.72,-10.2
-5721.87,7671.87,-8.67,-9.88
-5724.93,7674.93,-8.71,-10.09
-5727.98,7677.98,-8.66,-10.02
-5731.03,7681.03,-8.97,-10.8
-5734.09,7684.09,-8.79,-10.85
-5737.14,7687.14,-8.85,-10.71
-5740.19,7690.19,-8.83,-10.73
-5743.25,7693.25,-8.8,-10.25
-5746.3,7696.3,-8.9,-10.04
-5749.36,7699.36,-8.82,-9.79
-5752.41,7702.41,-8.82,-9.52
-5755.46,7705.46,-9.01,-10.06
-5758.52,7708.52,-9.02,-10.1
-5761.57,7711.57,-8.98,-9.91
-5764.62,7714.62,-9.03,-10.07
-5767.68,7717.68,-8.99,-10.1
-5770.73,7720.73,-9.12,-9.97
-5773.79,7723.79,-9.1,-10.14
-5776.84,7726.84,-9.12,-10.18
-5779.89,7729.89,-9.12,-10.4
-5782.95,7732.95,-9.25,-10.37
-5786,7736,-9.22,-10.64
-5792.93,7742.93,-9.11,-10.36
-5799.86,7749.86,-9.08,-10.31
-5806.79,7756.79,-9.16,-10.47
-5813.72,7763.72,-8.97,-10.04
-5820.65,7770.65,-8.71,-10.19
-5827.58,7777.58,-8.81,-9.94
-5834.51,7784.51,-8.77,-10.08
-5841.44,7791.44,-8.79,-10.12
-5848.37,7798.37,-8.86,-10.19
-5855.3,7805.3,-8.92,-10.3
-5862.23,7812.23,-8.65,-10.04
-5869.15,7819.15,-8.48,-9.71
-5876.08,7826.08,-8.75,-10.07
-5883.01,7833.01,-8.66,-9.89
-5889.94,7839.94,-8.71,-10.13
-5896.87,7846.87,-8.74,-10.06
-5903.8,7853.8,-8.85,-10.04
-5910.73,7860.73,-8.8,-10.15
-5917.66,7867.66,-9.01,-10.23
-5924.59,7874.59,-9.07,-10.2
-5931.52,7881.52,-9.13,-10.09
-5938.45,7888.45,-9.08,-10.06
-5945.38,7895.38,-9.01,-10.12
-5952.31,7902.31,-9.01,-9.99
-5959.24,7909.24,-9.09,-9.77
-5966.17,7916.17,-8.97,-9.48
-5973.1,7923.1,-9.13,-9.27
-5980.03,7930.03,-9.04,-9.27
-5986.96,7936.96,-9.19,-9.68
-5993.89,7943.89,-9.22,-9.63
-6000.82,7950.82,-9.17,-9.58
-6007.75,7957.75,-9.32,-9.75
-6014.68,7964.68,-9.25,-9.58
-6021.61,7971.61,-8.99,-9.67
-6028.54,7978.54,-9.1,-10
-6035.46,7985.46,-8.54,-10.26
-6042.39,7992.39,-8.36,-10.11
-6049.32,7999.32,-8.39,-10.02
-6056.25,8006.25,-8.49,-9.85
-6063.18,8013.18,-8.3,-9.6
-6070.11,8020.11,-8.63,-10.56
-6077.04,8027.04,-8.76,-10.72
-6083.97,8033.97,-8.57,-10.08
-6090.9,8040.9,-8.49,-9.91
-6097.83,8047.83,-8.57,-10.17
-6104.76,8054.76,-8.63,-10.04
-6111.69,8061.69,-8.67,-10.04
-6118.62,8068.62,-8.64,-9.91
-6125.55,8075.55,-8.76,-9.89
-6132.48,8082.48,-8.91,-10.02
-6139.41,8089.41,-8.88,-10.24
-6146.34,8096.34,-8.95,-10.16
-6153.27,8103.27,-8.82,-9.94
-6160.2,8110.2,-8.86,-10.05
-6167.13,8117.13,-8.95,-9.87
-6174.06,8124.06,-9.05,-9.78
-6180.99,8130.99,-8.97,-9.79
-6187.92,8137.92,-8.97,-10.11
-6194.85,8144.85,-8.9,-9.86
-6201.77,8151.77,-8.97,-10.32
-6208.7,8158.7,-8.99,-10.26
-6215.63,8165.63,-9.01,-9.97
-6222.56,8172.56,-8.97,-9.9
-6229.49,8179.49,-8.91,-9.77
-6236.42,8186.42,-8.89,-9.56
-6243.35,8193.35,-8.79,-9.71
-6250.28,8200.28,-8.75,-9.97
-6257.21,8207.21,-8.74,-10.24
-6264.14,8214.14,-8.68,-10.09
-6271.07,8221.07,-8.4,-9.51
-6278,8228,-8.44,-9.35
-6283.48,8233.48,-8.53,-9.5
-6288.95,8238.95,-8.65,-9.7
-6294.43,8244.43,-8.61,-9.42
-6299.9,8249.9,-8.6,-9.51
-6305.38,8255.38,-8.87,-9.78
-6310.86,8260.86,-8.92,-10
-6316.33,8266.33,-8.94,-10.07
-6321.81,8271.81,-8.78,-10.06
-6327.29,8277.29,-8.81,-9.91
-6332.76,8282.76,-8.8,-10.27
-6338.24,8288.24,-8.83,-10.63
-6343.71,8293.71,-8.67,-10.19
-6349.19,8299.19,-8.5,-9.52
-6354.67,8304.67,-9.07,-9.82
-6360.14,8310.14,-9.04,-9.73
-6365.62,8315.62,-9.16,-9.91
-6371.1,8321.1,-9.02,-9.82
-6376.57,8326.57,-8.96,-10.04
-6382.05,8332.05,-9.01,-10.26
-6387.52,8337.52,-8.99,-10.18
-6393,8343,-9.15,-10.23
-6398.48,8348.48,-9.04,-9.98
-6403.95,8353.95,-9.02,-9.84
-6409.43,8359.43,-9.12,-10.1
-6414.9,8364.9,-9.16,-10.12
-6420.38,8370.38,-9.33,-9.95
-6425.86,8375.86,-9.19,-10.19
-6431.33,8381.33,-9.13,-10.14
-6436.81,8386.81,-9.23,-10.08
-6442.29,8392.29,-9.16,-10.02
-6447.76,8397.76,-8.95,-9.75
-6453.24,8403.24,-8.99,-9.87
-6458.71,8408.71,-8.99,-9.74
-6464.19,8414.19,-9.03,-9.83
-6469.67,8419.67,-9.02,-9.79
-6475.14,8425.14,-8.95,-9.64
-6480.62,8430.62,-9.04,-9.64
-6486.1,8436.1,-9.06,-9.85
-6491.57,8441.57,-9.01,-9.73
-6497.05,8447.05,-9.04,-9.84
-6502.52,8452.52,-9.09,-9.66
-6508,8458,-9.3,-9.68
-6513.34,8463.34,-9.29,-9.82
-6518.68,8468.68,-9.11,-9.57
-6524.01,8474.01,-9.06,-9.6
-6529.35,8479.35,-9.2,-9.81
-6534.69,8484.69,-9.15,-9.87
-6540.03,8490.03,-9.37,-9.6
-6545.37,8495.37,-9.12,-9.57
-6550.71,8500.71,-9.22,-9.44
-6556.04,8506.04,-9.35,-9.96
-6561.38,8511.38,-9.36,-10.25
-6566.72,8516.72,-9.38,-10.06
-6572.06,8522.06,-9.25,-9.77
-6577.4,8527.4,-9.17,-10
-6582.74,8532.74,-9.24,-9.81
-6588.07,8538.07,-9.28,-9.64
-6593.41,8543.41,-9.33,-10.08
-6598.75,8548.75,-9.3,-9.72
-6604.09,8554.09,-9.22,-9.38
-6609.43,8559.43,-9.26,-9.81
-6614.76,8564.76,-9.12,-9.87
-6620.1,8570.1,-9.25,-10.18
-6625.44,8575.44,-9.31,-10.18
-6630.78,8580.78,-9.06,-9.89
-6636.12,8586.12,-9.11,-9.9
-6641.46,8591.46,-9.21,-10.01
-6646.79,8596.79,-9.22,-10.06
-6652.13,8602.13,-9.3,-10.12
-6657.47,8607.47,-9.28,-10.18
-6662.81,8612.81,-9.2,-9.96
-6668.15,8618.15,-9.28,-10.11
-6673.49,8623.49,-9.27,-10.05
-6678.82,8628.82,-9.25,-10.05
-6684.16,8634.16,-9.36,-10.25
-6689.5,8639.5,-9.38,-9.92
-6694.84,8644.84,-9.27,-9.83
-6700.18,8650.18,-9.14,-10.2
-6705.51,8655.51,-9.19,-10.31
-6710.85,8660.85,-9.27,-10.05
-6716.19,8666.19,-9.3,-10.14
-6721.53,8671.53,-9.03,-10.41
-6726.87,8676.87,-9.15,-10.42
-6732.21,8682.21,-9.07,-10.15
-6737.54,8687.54,-9.08,-10.17
-6742.88,8692.88,-9.15,-10.33
-6748.22,8698.22,-9.33,-10.32
-6753.56,8703.56,-9.33,-10.25
-6758.9,8708.9,-9.32,-10.37
-6764.24,8714.24,-9.44,-10.5
-6769.57,8719.57,-9.45,-10.52
-6774.91,8724.91,-9.56,-10.58
-6780.25,8730.25,-9.46,-10.77
-6785.59,8735.59,-9.42,-10.55
-6790.93,8740.93,-9.41,-10.38
-6796.26,8746.26,-9.23,-10.25
-6801.6,8751.6,-9.24,-10.19
-6806.94,8756.94,-9.36,-10.31
-6812.28,8762.28,-9.42,-10.45
-6817.62,8767.62,-9.26,-10.3
-6822.96,8772.96,-9.39,-10.43
-6828.29,8778.29,-9.22,-10.1
-6833.63,8783.63,-9.27,-10.29
-6838.97,8788.97,-9.35,-10.37
-6844.31,8794.31,-9.4,-10.55
-6849.65,8799.65,-9.39,-10.48
-6854.99,8804.99,-9.35,-10.41
-6860.32,8810.32,-9.51,-10.39
-6865.66,8815.66,-9.55,-10.29
-6871,8821,-9.5,-10.47
-6876.34,8826.34,-9.49,-10.61
-6881.68,8831.68,-9.42,-10.62
-6887.01,8837.01,-9.5,-10.73
-6892.35,8842.35,-9.63,-11.11
-6897.69,8847.69,-9.55,-10.93
-6903.03,8853.03,-9.61,-11.3
-6908.37,8858.37,-9.52,-10.86
-6913.71,8863.71,-9.54,-11.07
-6919.04,8869.04,-9.49,-10.63
-6924.38,8874.38,-9.46,-10.69
-6929.72,8879.72,-9.45,-10.75
-6935.06,8885.06,-9.45,-10.58
-6940.4,8890.4,-9.48,-10.83
-6945.74,8895.74,-9.39,-10.85
-6951.07,8901.07,-9.54,-10.78
-6956.41,8906.41,-9.53,-10.74
-6961.75,8911.75,-9.51,-10.56
-6967.09,8917.09,-9.29,-10.17
-6972.43,8922.43,-9.5,-10.81
-6977.76,8927.76,-9.42,-10.85
-6983.1,8933.1,-9.48,-11.14
-6988.44,8938.44,-9.5,-11.28
-6993.78,8943.78,-9.46,-11.04
-6999.12,8949.12,-9.6,-11.01
-7004.46,8954.46,-9.33,-10.63
-7009.79,8959.79,-9.55,-10.6
-7015.13,8965.13,-9.51,-10.69
-7020.47,8970.47,-9.4,-10.59
-7025.81,8975.81,-9.35,-10.68
-7031.15,8981.15,-9.27,-10.58
-7036.49,8986.49,-9.25,-10.44
-7041.82,8991.82,-9.47,-10.57
-7047.16,8997.16,-9.4,-10.46
-7052.5,9002.5,-9.51,-10.43
-7057.84,9007.84,-9.39,-10.19
-7063.18,9013.18,-9.39,-10.36
-7068.51,9018.51,-9.41,-10.44
-7073.85,9023.85,-9.45,-10.74
-7079.19,9029.19,-9.35,-10.62
-7084.53,9034.53,-9.29,-10.17
-7089.87,9039.87,-9.29,-10.28
-7095.21,9045.21,-9.3,-10.52
-7100.54,9050.54,-9.31,-10.55
-7105.88,9055.88,-9.38,-10.51
-7111.22,9061.22,-9.52,-10.61
-7116.56,9066.56,-9.31,-10.42
-7121.9,9071.9,-9.42,-10.39
-7127.24,9077.24,-9.15,-10.13
-7132.57,9082.57,-8.97,-10.26
-7137.91,9087.91,-9.05,-10.28
-7143.25,9093.25,-9.34,-10.47
-7148.59,9098.59,-9.31,-10.76
-7153.93,9103.93,-9.35,-10.82
-7159.26,9109.26,-9.33,-10.44
-7164.6,9114.6,-9.39,-10.41
-7169.94,9119.94,-9.46,-10.61
-7175.28,9125.28,-9.4,-10.64
-7180.62,9130.62,-9.31,-10.62
-7185.96,9135.96,-9.3,-10.45
-7191.29,9141.29,-9.36,-10.47
-7196.63,9146.63,-9.24,-10.41
-7201.97,9151.97,-9.31,-10.56
-7207.31,9157.31,-9.31,-10.53
-7212.65,9162.65,-9.32,-10.67
-7217.99,9167.99,-9.34,-10.66
-7223.32,9173.32,-9.27,-10.19
-7228.66,9178.66,-9.17,-10.3
-7234,9184,-9.24,-10.67
-7236.2,9186.2,-9.08,-10.34
-7238.41,9188.41,-9.19,-10.45
-7240.61,9190.61,-9.26,-10.43
-7242.82,9192.82,-9.33,-10.66
-7245.02,9195.02,-9.33,-10.58
-7247.23,9197.23,-9.31,-10.66
-7249.43,9199.43,-9.35,-10.82
-7251.64,9201.64,-9.41,-11.16
-7253.84,9203.84,-9.27,-11.09
-7256.05,9206.05,-9.25,-10.95
-7258.25,9208.25,-9.41,-10.97
-7260.46,9210.46,-9.41,-10.69
-7262.66,9212.66,-9.45,-10.71
-7264.87,9214.87,-9.43,-10.84
-7267.07,9217.07,-9.38,-10.58
-7269.28,9219.28,-9.46,-10.71
-7271.48,9221.48,-9.44,-10.91
-7273.69,9223.69,-9.3,-10.59
-7275.89,9225.89,-9.17,-10.58
-7278.1,9228.1,-9.09,-10.44
-7280.3,9230.3,-9.05,-10.51
-7282.5,9232.5,-9.11,-10.49
-7284.71,9234.71,-9.23,-10.5
-7286.91,9236.91,-9.39,-10.82
-7289.12,9239.12,-9.29,-10.81
-7291.32,9241.32,-9.22,-10.86
-7293.53,9243.53,-9.12,-10.9
-7295.73,9245.73,-9.25,-10.96
-7297.94,9247.94,-9.42,-10.97
-7300.14,9250.14,-9.26,-11.1
-7302.35,9252.35,-9.44,-11.17
-7304.55,9254.55,-9.48,-11.26
-7306.76,9256.76,-9.5,-11.38
-7308.96,9258.96,-9.5,-11.1
-7311.17,9261.17,-9.4,-11.06
-7313.37,9263.37,-9.41,-11.34
-7315.58,9265.58,-9.47,-11.29
-7317.78,9267.78,-9.52,-11.15
-7319.99,9269.99,-9.46,-10.93
-7322.19,9272.19,-9.59,-10.88
-7324.4,9274.4,-9.53,-11.06
-7326.6,9276.6,-9.45,-10.97
-7328.8,9278.8,-9.52,-11.34
-7331.01,9281.01,-9.62,-11.46
-7333.21,9283.21,-9.63,-11.36
-7335.42,9285.42,-9.61,-11.05
-7337.62,9287.62,-9.65,-11.23
-7339.83,9289.83,-9.62,-10.8
-7342.03,9292.03,-9.6,-10.67
-7344.24,9294.24,-9.64,-11.11
-7346.44,9296.44,-9.71,-10.94
-7348.65,9298.65,-9.6,-11.02
-7350.85,9300.85,-9.41,-10.56
-7353.06,9303.06,-9.54,-10.85
-7355.26,9305.26,-9.55,-10.75
-7357.47,9307.47,-9.55,-10.97
-7359.67,9309.67,-9.57,-10.89
-7361.88,9311.88,-9.56,-10.72
-7364.08,9314.08,-9.47,-10.94
-7366.29,9316.29,-9.55,-10.96
-7368.49,9318.49,-9.79,-11.04
-7370.7,9320.7,-9.58,-10.78
-7372.9,9322.9,-9.64,-10.68
-7375.1,9325.1,-9.58,-10.76
-7377.31,9327.31,-9.67,-10.8
-7379.51,9329.51,-9.71,-10.92
-7381.72,9331.72,-9.85,-10.95
-7383.92,9333.92,-9.75,-10.84
-7386.13,9336.13,-9.87,-10.67
-7388.33,9338.33,-9.87,-10.85
-7390.54,9340.54,-9.89,-11.07
-7392.74,9342.74,-9.9,-11.15
-7394.95,9344.95,-9.78,-10.9
-7397.15,9347.15,-9.73,-10.9
-7399.36,9349.36,-9.88,-10.85
-7401.56,9351.56,-10,-11.07
-7403.77,9353.77,-10.06,-11.03
-7405.97,9355.97,-10.06,-10.95
-7408.18,9358.18,-9.94,-11.08
-7410.38,9360.38,-10.04,-10.78
-7412.59,9362.59,-10.14,-10.98
-7414.79,9364.79,-10.14,-10.83
-7417,9367,-10.12,-10.68
-7419.2,9369.2,-10.11,-10.86
-7421.4,9371.4,-10.12,-10.84
-7423.61,9373.61,-10.1,-10.85
-7425.81,9375.81,-10.02,-10.79
-7428.02,9378.02,-9.99,-10.55
-7430.22,9380.22,-10,-10.54
-7432.43,9382.43,-9.99,-10.79
-7434.63,9384.63,-9.87,-10.84
-7436.84,9386.84,-9.88,-10.85
-7439.04,9389.04,-9.96,-11.06
-7441.25,9391.25,-9.95,-11.1
-7443.45,9393.45,-9.91,-10.97
-7445.66,9395.66,-9.98,-10.88
-7447.86,9397.86,-10,-10.98
-7450.07,9400.07,-10.05,-11.11
-7452.27,9402.27,-9.93,-10.89
-7454.48,9404.48,-9.77,-10.67
-7456.68,9406.68,-9.68,-10.52
-7458.89,9408.89,-9.77,-10.49
-7461.09,9411.09,-9.99,-10.97
-7463.3,9413.3,-10.1,-10.76
-7465.5,9415.5,-10.16,-10.7
-7467.7,9417.7,-10.02,-10.5
-7469.91,9419.91,-9.89,-10.66
-7472.11,9422.11,-9.87,-10.5
-7474.32,9424.32,-9.99,-10.72
-7476.52,9426.52,-9.85,-10.75
-7478.73,9428.73,-9.88,-10.91
-7480.93,9430.93,-9.73,-10.76
-7483.14,9433.14,-9.67,-10.7
-7485.34,9435.34,-9.83,-10.4
-7487.55,9437.55,-9.9,-10.26
-7489.75,9439.75,-9.78,-10.05
-7491.96,9441.96,-9.81,-10.05
-7494.16,9444.16,-9.95,-10.15
-7496.37,9446.37,-9.83,-10.11
-7498.57,9448.57,-9.84,-10
-7500.78,9450.78,-9.8,-10.18
-7502.98,9452.98,-9.82,-10.21
-7505.19,9455.19,-9.89,-10.35
-7507.39,9457.39,-9.91,-10.38
-7509.6,9459.6,-9.94,-10.54
-7511.8,9461.8,-9.79,-10.26
-7514,9464,-9.79,-10.54
-7516.21,9466.21,-9.66,-10.58
-7518.41,9468.41,-9.62,-10.52
-7520.62,9470.62,-9.69,-10.22
-7522.82,9472.82,-9.67,-10.18
-7525.03,9475.03,-9.79,-10.15
-7527.23,9477.23,-9.74,-10.03
-7529.44,9479.44,-9.73,-10.14
-7531.64,9481.64,-9.73,-10.26
-7533.85,9483.85,-9.75,-10.19
-7536.05,9486.05,-9.91,-10.32
-7538.26,9488.26,-10.05,-10.44
-7540.46,9490.46,-10.05,-10.56
-7542.67,9492.67,-10.03,-10.36
-7544.87,9494.87,-10.07,-10.49
-7547.08,9497.08,-9.84,-10.62
-7549.28,9499.28,-9.83,-10.67
-7551.49,9501.49,-9.9,-10.65
-7553.69,9503.69,-9.78,-10.46
-7555.9,9505.9,-9.71,-10.44
-7558.1,9508.1,-9.68,-10.7
-7560.3,9510.3,-9.69,-10.88
-7562.51,9512.51,-9.82,-11.06
-7564.71,9514.71,-9.75,-10.71
-7566.92,9516.92,-9.79,-10.87
-7569.12,9519.12,-9.7,-10.77
-7571.33,9521.33,-9.71,-10.81
-7573.53,9523.53,-9.89,-11.22
-7575.74,9525.74,-9.9,-11.12
-7577.94,9527.94,-9.85,-11.03
-7580.15,9530.15,-9.61,-10.63
-7582.35,9532.35,-9.65,-10.34
-7584.56,9534.56,-9.79,-10.16
-7586.76,9536.76,-9.9,-10.43
-7588.97,9538.97,-9.91,-10.24
-7591.17,9541.17,-10.12,-10.32
-7593.38,9543.38,-10.2,-10.19
-7595.58,9545.58,-9.93,-10.06
-7597.79,9547.79,-9.99,-10.26
-7599.99,9549.99,-10.11,-10.66
-7602.2,9552.2,-10.13,-10.55
-7604.4,9554.4,-10.09,-10.29
-7606.6,9556.6,-10.1,-10.49
-7608.81,9558.81,-9.95,-10.18
-7611.01,9561.01,-9.97,-10.41
-7613.22,9563.22,-10.06,-10.55
-7615.42,9565.42,-10.04,-10.5
-7617.63,9567.63,-10.07,-10.74
-7619.83,9569.83,-10.08,-10.66
-7622.04,9572.04,-10,-10.58
-7624.24,9574.24,-9.91,-10.24
-7626.45,9576.45,-9.69,-9.93
-7628.65,9578.65,-9.54,-10.16
-7630.86,9580.86,-9.51,-10.45
-7633.06,9583.06,-9.7,-10.55
-7635.27,9585.27,-9.76,-10.42
-7637.47,9587.47,-9.76,-10.28
-7639.68,9589.68,-9.88,-10.33
-7641.88,9591.88,-10.07,-10.56
-7644.09,9594.09,-10.09,-10.55
-7646.29,9596.29,-10.22,-10.21
-7648.5,9598.5,-10.14,-10.51
-7650.7,9600.7,-10.1,-10.4
-7652.9,9602.9,-10.11,-10.35
-7655.11,9605.11,-10.16,-10.3
-7657.31,9607.31,-10.2,-10.26
-7659.52,9609.52,-10.11,-10.38
-7661.72,9611.72,-10.11,-10.35
-7663.93,9613.93,-10.15,-10.54
-7666.13,9616.13,-10.21,-10.53
-7668.34,9618.34,-10.1,-10.37
-7670.54,9620.54,-10.08,-10.27
-7672.75,9622.75,-9.99,-10.39
-7674.95,9624.95,-10.06,-10.49
-7677.16,9627.16,-10.15,-10.36
-7679.36,9629.36,-10.27,-10.44
-7681.57,9631.57,-10.36,-10.54
