depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],age (BP) [2-1],d18O (permil) [2-1],depth (cm) [3-1],age (BP) [3-1],depth.top (mm) [3-1],mass dry (g) [3-1],mass dry >1mm (g) [3-1],mass dry 106 to 1000 um (g) [3-1],mass dry 63 to 106 um (g) [3-1],depth (cm) [4-1],age (BP) [4-1],carbonate (percent) [4-1]
NA,NA,NA,NA,NA,2055.5,10856,20550,24.947,0,0.065,1.097,2079.5,10874,1.67
NA,NA,NA,NA,NA,2061.5,10860,20610,20.843,0,0.076,0.807,2085.5,10880,0.92
NA,NA,NA,NA,NA,2067.5,10865,20670,18.602,0,0.029,1.139,2091.5,10886,0.75
NA,NA,NA,NA,NA,2073.5,10869,20730,26.864,0,0.031,0.325,2097.5,10892,1.08
NA,NA,NA,NA,NA,2079.5,10875,20790,27.234,0,0.099,1.647,2103.5,10897,0.92
NA,NA,NA,NA,NA,2085.5,10880,20850,23.466,0,0.028,0.351,2109.5,10903,1.17
NA,NA,NA,NA,NA,2091.5,10886,20910,23.245,0.005,0.046,0.379,2115.5,10909,0.83
NA,NA,NA,NA,NA,2097.5,10892,20970,22.207,0,0.043,0.398,2121.5,10914,1.08
NA,NA,NA,NA,NA,2103.5,10897,21030,24.033,0,0.049,0.641,2127.5,10920,0.83
NA,NA,NA,NA,NA,2109.5,10903,21090,26.281,0,0.186,1.705,2133.5,10927,0.92
NA,NA,NA,NA,NA,2115.5,10909,21150,28.976,0,0.036,0.461,2139.5,10940,1
NA,NA,NA,NA,NA,2121.5,10914,21210,28.199,0,0.036,0.552,2145.5,10951,0.92
NA,NA,NA,NA,NA,2127.5,10923,21270,29.906,0,0.059,0.679,2151.5,10976,0.67
NA,NA,NA,NA,NA,2133.5,10932,21330,30.556,0,0.154,1.45,2157.5,11004,0.92
NA,NA,NA,NA,NA,2139.5,10942,21390,24.785,0,0.042,0.699,2163.5,11033,1
NA,NA,NA,NA,NA,2145.5,10951,21450,22.288,0.014,0.051,0.774,2169.5,11047,0.92
NA,NA,NA,NA,NA,2151.5,10975,21510,23.202,0,0.046,0.461,2175.5,11062,0.92
NA,NA,NA,NA,NA,2157.5,10999,21570,22.952,0,0.056,0.64,2181.5,11076,1
NA,NA,NA,NA,NA,2163.5,11023,21630,25.696,0.005,0.047,0.61,2187.5,11091,0.83
NA,NA,NA,NA,NA,2169.5,11047,21690,17.804,0,0.052,0.415,2193.5,11106,0.58
NA,NA,NA,NA,NA,2175.5,11062,21750,28.331,0,0.057,0.792,2199.5,11122,2
NA,NA,NA,NA,NA,2181.5,11077,21810,27.491,0.017,0.089,0.697,2205.5,11136,0.83
NA,NA,NA,NA,NA,2187.5,11091,21870,25.306,0.004,0.122,1.467,2211.5,11148,0.58
NA,NA,NA,NA,NA,2193.5,11106,21930,25.202,0,0.151,1.052,2217.5,11160,0.75
NA,NA,NA,NA,NA,2199.5,11120,21990,20.346,0,0.054,0.628,2223.5,11166,0.75
NA,NA,NA,NA,NA,2205.5,11133,22050,25.742,0,0.086,1.078,2229.5,11171,0.83
NA,NA,NA,NA,NA,2211.5,11147,22110,23.352,0,0.046,0.527,2235.5,11177,1.42
NA,NA,NA,NA,NA,2217.5,11160,22170,22.608,0.001,0.103,1.357,2241.5,11183,0.5
NA,NA,NA,NA,NA,2223.5,11166,22230,21.986,0,0.055,0.654,2247.5,11188,0.67
NA,NA,NA,NA,NA,2229.5,11171,22290,20.127,0.003,0.027,0.431,2253.5,11194,0.92
NA,NA,NA,NA,NA,2235.5,11177,22350,19.645,0,0.029,0.596,2259.5,11199,0.83
NA,NA,NA,NA,NA,2241.5,11183,22410,20.338,0.007,0.03,0.533,2265.5,11205,0.67
NA,NA,NA,NA,NA,2247.5,11188,22470,20.851,0.042,0.126,1.041,2271.5,11211,0.67
NA,NA,NA,NA,NA,2253.5,11194,22530,26.389,0,0.096,1.309,2277.5,11216,0.58
NA,NA,NA,NA,NA,2259.5,11199,22590,27.022,0.014,0.252,1.555,2283.5,11222,0.67
NA,NA,NA,NA,NA,2265.5,11205,22650,22.889,0.021,0.228,1.544,2289.5,11229,0.42
NA,NA,NA,NA,NA,2271.5,11211,22710,23.624,0.001,0.081,0.823,2295.5,11237,0.25
NA,NA,NA,NA,NA,2277.5,11217,22770,27.114,0,0.072,1.404,2301.5,11246,1.67
NA,NA,NA,NA,NA,2283.5,11223,22830,27.427,0,0.061,0.744,2307.5,11254,0.25
NA,NA,NA,NA,NA,2289.5,11229,22890,19.153,0,0.038,0.527,2313.5,11262,0.5
NA,NA,NA,NA,NA,2295.5,11237,22950,19.017,0.069,0.039,0.292,2319.5,11270,0.33
NA,NA,NA,NA,NA,2300.5,11244,23000,28.693,0,0.056,1.002,2325.5,11279,0.42
NA,NA,NA,NA,NA,2301.5,11245,23010,21.243,0,0.032,0.669,2331.5,11288,0.5
NA,NA,NA,NA,NA,2307.5,11254,23070,16.268,0,0.03,0.242,2337.5,11296,0.75
NA,NA,NA,NA,NA,2313.5,11262,23130,16.633,0,0.02,0.18,2343.5,11307,0.42
NA,NA,NA,NA,NA,2319.5,11271,23190,19.016,0,0.024,0.502,2349.5,11324,0.42
NA,NA,NA,NA,NA,2325.5,11279,23250,16.819,0.001,0.026,0.43,2355.5,11341,0.5
NA,NA,NA,NA,NA,2331.5,11288,23310,12.819,0,0.015,0.504,2361.5,11368,0.42
NA,NA,NA,NA,NA,2337.5,11296,23370,16.871,0,0.034,0.458,2367.5,11394,0.5
NA,NA,NA,NA,NA,2343.5,11314,23430,16.296,0,0.036,0.428,2373.5,11415,0.5
NA,NA,NA,NA,NA,2349.5,11332,23490,14.893,0,0.056,0.628,2379.5,11433,0.75
NA,NA,NA,NA,NA,2355.5,11350,23550,16.986,0.002,0.016,0.419,2385.5,11451,0.83
NA,NA,NA,NA,NA,2361.5,11368,23610,18.472,0,0.025,0.344,2391.5,11468,0.58
NA,NA,NA,NA,NA,2367.5,11388,23670,18.022,0,0.041,0.32,2397.5,11486,0.42
NA,NA,NA,NA,NA,2373.5,11409,23730,19.966,0.036,0.029,0.453,2403.5,11501,0.75
NA,NA,NA,NA,NA,2379.5,11430,23790,14.62,0,0.015,0.245,2409.5,11512,0.42
NA,NA,NA,NA,NA,2385.5,11451,23850,22.417,0,0.061,0.85,2415.5,11523,0.25
NA,NA,NA,NA,NA,2391.5,11466,23910,21.921,0,0.056,0.653,2421.5,11535,0.58
NA,NA,NA,NA,NA,2397.5,11482,23970,24.294,0,0.06,0.755,2427.5,11546,0.42
NA,NA,NA,NA,NA,2403.5,11497,24030,27.724,0,0.125,2.284,2433.5,11558,0.5
NA,NA,NA,NA,NA,2409.5,11512,24090,24.622,0,0.074,0.9,2439.5,11569,0.67
NA,NA,NA,NA,NA,2415.5,11524,24150,26.468,0,0.027,0.466,2445.5,11577,0.75
NA,NA,NA,NA,NA,2421.5,11535,24210,30.745,0,0.066,1.041,2451.5,11584,0.75
NA,NA,NA,NA,NA,2427.5,11546,24270,25.892,0,0.025,0.453,2457.5,11589,2.75
NA,NA,NA,NA,NA,2433.5,11558,24330,26.165,0,0.026,0.632,2463.5,11593,0.58
NA,NA,NA,NA,NA,2439.5,11566,24390,27.208,0,0.128,1.802,2469.5,11597,0.58
NA,NA,NA,NA,NA,2445.5,11573,24450,24.779,0,0.064,1.043,2475.5,11600,0.67
NA,NA,NA,NA,NA,2451.5,11581,24510,27.449,0,0.054,0.96,2481.5,11604,0.67
NA,NA,NA,NA,NA,2457.5,11589,24570,24.323,0,0.124,1.079,2487.5,11607,0.58
NA,NA,NA,NA,NA,2463.5,11593,24630,26.402,0,0.031,0.322,2493.5,11611,0.67
NA,NA,NA,NA,NA,2469.5,11596,24690,23.969,0,0.019,0.38,2505.5,11619,1
NA,NA,NA,NA,NA,2475.5,11600,24750,25.818,0,0.051,0.979,2511.5,11624,0.25
NA,NA,NA,NA,NA,2481.5,11604,24810,20.83,0.01,0.019,0.485,2517.5,11629,0.58
NA,NA,NA,NA,NA,2487.5,11608,24870,20.436,0,0.031,0.251,2523.5,11635,0.25
NA,NA,NA,NA,NA,2493.5,11611,24930,28.734,0,0.05,0.904,2529.5,11641,0.5
NA,NA,NA,NA,NA,2499.5,11615,24990,24.651,0,0.046,0.497,2535.5,11649,0.58
NA,NA,NA,NA,NA,2505.5,11619,25050,21.329,0,0.065,0.849,2541.5,11657,0.5
NA,NA,NA,NA,NA,2511.5,11625,25110,22.629,0,0.028,0.248,2547.5,11665,0.58
NA,NA,NA,NA,NA,2517.5,11630,25170,16.796,0,0.026,0.33,2553.5,11674,0.75
NA,NA,NA,NA,NA,2523.5,11636,25230,22.412,0,0.024,0.2,2559.5,11684,0.42
NA,NA,NA,NA,NA,2529.5,11641,25290,21.25,0.007,0.026,0.216,2565.5,11694,0.58
NA,NA,NA,NA,NA,2535.5,11650,25350,18.622,0,0.022,0.145,2571.5,11704,0.42
NA,NA,NA,NA,NA,2541.5,11658,25410,23.225,0,0.034,0.249,2577.5,11715,0.67
NA,NA,NA,NA,NA,2547.5,11666,25470,25.096,0,0.039,0.675,2583.5,11726,1.17
NA,NA,NA,NA,NA,2553.5,11674,25530,25.191,0,0.209,1.03,2589.5,11738,0.92
NA,NA,NA,NA,NA,2559.5,11685,25590,21.994,0,0.044,0.301,2595.5,11750,1
NA,NA,NA,NA,NA,2565.5,11695,25650,22.568,0.003,0.04,0.254,2601.5,11763,1.42
NA,NA,NA,NA,NA,2571.5,11705,25710,18.749,0,0.034,0.208,2607.5,11776,0.42
NA,NA,NA,NA,NA,2577.5,11715,25770,21.254,0,0.039,0.311,2613.5,11789,0.92
NA,NA,NA,NA,NA,2583.5,11727,25830,18.625,0,0.015,0.248,NA,NA,NA
NA,NA,NA,NA,NA,2589.5,11739,25890,22.484,0,0.036,0.329,NA,NA,NA
NA,NA,NA,NA,NA,2595.5,11751,25950,21.952,0,0.026,0.158,NA,NA,NA
NA,NA,NA,NA,NA,2601.5,11763,26010,28.162,0,0.056,0.685,NA,NA,NA
NA,NA,NA,NA,NA,2607.5,11776,26070,25.622,0.058,0.038,0.172,NA,NA,NA
NA,NA,NA,NA,NA,2613.5,11789,26130,25.793,NA,0.031,0.285,NA,NA,NA
