depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil),depth (m),age (BP),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d18O (permil),d18O (permil),depth (m),temperature (degC),temperature (degC),uncertainty.temperature (degC),uncertainty.temperature (degC),depth (m),age (BP),temperature (degC)
NA,NA,NA,11.12,19489,4.575,-0.2,NA,NA,NA,NA,NA,NA,3.095,4289,1.67,2.04,3.43,NA,NA,NA,NA,NA,6.505,10768,11.02
NA,NA,NA,11.13,19505,4.65,-0.1,NA,NA,NA,NA,NA,NA,3.105,4302,1.75,2.27,4.07,NA,NA,NA,NA,NA,6.555,10871,8.33
NA,NA,NA,11.14,19516,4.73,-0.13,NA,NA,NA,NA,NA,NA,3.115,4316,1.41,1.99,4,NA,NA,NA,NA,NA,6.605,10976,9.9
NA,NA,NA,11.15,19527,4.57,-0.23,NA,NA,NA,NA,NA,NA,3.125,4329,1.38,2.2,3.47,NA,NA,NA,NA,NA,6.655,11082,10.13
NA,NA,NA,11.16,19537,4.7,-0.16,NA,NA,NA,NA,NA,NA,3.155,4368,1.59,2.47,4.36,NA,NA,NA,NA,NA,6.705,11191,10
NA,NA,NA,11.18,19548,4.55,-0.1,NA,NA,NA,NA,NA,NA,3.245,4499,1.39,2.04,3.71,NA,NA,NA,NA,NA,6.755,11303,9.04
NA,NA,NA,11.19,19559,4.63,-0.11,NA,NA,NA,NA,NA,NA,3.255,4516,1.65,2.13,4.11,NA,NA,NA,NA,NA,6.805,11417,8.86
NA,NA,NA,11.2,19569,4.68,-0.16,NA,NA,NA,NA,NA,NA,3.265,4532,1.39,1.99,3.82,NA,NA,NA,NA,NA,6.855,11534,7.62
NA,NA,NA,11.21,19581,4.62,-0.11,NA,NA,NA,NA,NA,NA,3.275,4548,1.47,2.07,3.85,NA,NA,NA,NA,NA,6.905,11655,5.81
NA,NA,NA,11.22,19583,4.61,-0.03,NA,NA,NA,NA,NA,NA,3.285,4565,1.43,1.97,3.84,NA,NA,NA,NA,NA,6.955,11778,3.25
NA,NA,NA,11.23,19584,4.6,-0.06,NA,NA,NA,NA,NA,NA,3.295,4581,1.36,2.03,3.87,NA,NA,NA,NA,NA,7.005,11906,2.83
NA,NA,NA,11.24,19585,4.52,-0.18,NA,NA,NA,NA,NA,NA,3.305,4597,1.42,2.05,4.13,NA,NA,NA,NA,NA,7.055,12037,3.24
NA,NA,NA,11.26,19586,4.72,-0.05,NA,NA,NA,NA,NA,NA,3.315,4613,1.38,1.81,3.8,NA,NA,NA,NA,NA,7.105,12172,2.1
NA,NA,NA,11.27,19588,4.56,-0.17,NA,NA,NA,NA,NA,NA,3.325,4630,NA,1.77,NA,NA,NA,NA,NA,NA,7.155,12310,3.63
NA,NA,NA,11.28,19589,4.64,-0.06,NA,NA,NA,NA,NA,NA,3.335,4646,1.55,1.92,3.67,NA,NA,NA,NA,NA,7.205,12450,2.43
NA,NA,NA,11.29,19591,4.53,-0.11,NA,NA,NA,NA,NA,NA,3.345,4662,1.29,1.97,4.03,NA,NA,NA,NA,NA,7.255,12592,3.18
NA,NA,NA,11.3,19593,4.69,-0.04,NA,NA,NA,NA,NA,NA,3.355,4679,1.54,2.26,4.29,NA,NA,NA,NA,NA,7.305,12735,2.73
NA,NA,NA,11.31,19594,4.65,-0.01,NA,NA,NA,NA,NA,NA,3.365,4695,1.44,2.1,3.81,NA,NA,NA,NA,NA,7.355,12878,2.41
NA,NA,NA,11.32,19595,4.54,-0.06,NA,NA,NA,NA,NA,NA,3.375,4711,1.59,2.22,4.24,NA,NA,NA,NA,NA,7.405,13022,3.27
NA,NA,NA,11.34,19597,4.65,-0.18,NA,NA,NA,NA,NA,NA,3.385,4728,1.46,1.96,3.74,NA,NA,NA,NA,NA,7.455,13166,3.66
NA,NA,NA,11.35,19598,4.68,-0.14,NA,NA,NA,NA,NA,NA,3.395,4744,1.41,2.09,3.9,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.36,19599,4.67,-0.23,NA,NA,NA,NA,NA,NA,3.405,4760,1.58,2.21,4.35,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.37,19601,4.3,-0.13,NA,NA,NA,NA,NA,NA,3.415,4777,1.52,NA,3.82,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.38,19602,4.27,-0.145,NA,NA,NA,NA,NA,NA,3.425,4793,1.38,2.09,4.13,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.39,19604,4.21,-0.07,NA,NA,NA,NA,NA,NA,3.435,4809,1.29,2.09,3.99,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.4,19606,3.52,-0.07,NA,NA,NA,NA,NA,NA,3.445,4826,1.36,2.06,4.33,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.41,19607,4,-0.22,NA,NA,NA,NA,NA,NA,3.455,4842,1.58,2.35,4.23,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.43,19608,4.22,-0.06,NA,NA,NA,NA,NA,NA,3.465,4858,1.28,2.13,4.18,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.44,19610,3.85,0.01,NA,NA,NA,NA,NA,NA,3.475,4875,1.7,2.1,4.28,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.45,19611,4.02,-0.22,NA,NA,NA,NA,NA,NA,3.485,4891,1.64,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.46,19613,3.84,-0.08,NA,NA,NA,NA,NA,NA,3.495,4907,1.63,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.47,19615,3.74,-0.29,NA,NA,NA,NA,NA,NA,3.505,4923,1.57,2.56,4.06,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.48,19616,3.92,-0.06,NA,NA,NA,NA,NA,NA,3.515,4940,1.59,2.26,4.28,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.49,19617,3.81,-0.08,NA,NA,NA,NA,NA,NA,3.525,4956,1.47,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.51,19619,3.57,-0.06,NA,NA,NA,NA,NA,NA,3.535,4972,1.44,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.52,19620,3.86,-0.08,NA,NA,NA,NA,NA,NA,3.545,4989,1.37,2.06,3.87,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.53,19621,3.69,0.21,NA,NA,NA,NA,NA,NA,3.555,5005,1.61,2.09,4.52,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.54,19623,3.565,0.045,NA,NA,NA,NA,NA,NA,3.565,5021,1.54,2.13,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.55,19625,3.96,-0.08,NA,NA,NA,NA,NA,NA,3.575,5038,1.41,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.56,19626,3.8,-0.03,NA,NA,NA,NA,NA,NA,3.585,5054,1.6,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.57,19628,3.86,0.01,NA,NA,NA,NA,NA,NA,3.595,5070,1.61,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.59,19629,3.98,0,NA,NA,NA,NA,NA,NA,3.605,5087,1.75,2.43,4.17,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.6,19630,3.8,0.29,NA,NA,NA,NA,NA,NA,3.615,5103,1.36,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.61,19631,3.38,-0.22,NA,NA,NA,NA,NA,NA,3.625,5119,1.34,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.62,19634,4.01,-0.01,NA,NA,NA,NA,NA,NA,3.635,5136,1.38,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.63,19635,3.98,-0.08,NA,NA,NA,NA,NA,NA,3.645,5152,1.36,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.64,19637,3.84,-0.07,NA,NA,NA,NA,NA,NA,3.655,5168,1.68,2.28,4.04,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.65,19638,3.83,-0.09,NA,NA,NA,NA,NA,NA,3.665,5184,1.56,2.02,3.92,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.66,19639,3.85,-0.08,NA,NA,NA,NA,NA,NA,3.675,5201,1.43,2.21,3.7,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.68,19640,4.04,0.08,NA,NA,NA,NA,NA,NA,3.685,5217,1.53,1.99,3.63,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.69,19642,3.44,0.02,NA,NA,NA,NA,NA,NA,3.695,5233,1.42,2.02,3.56,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.7,19643,3.93,-0.11,NA,NA,NA,NA,NA,NA,3.705,5250,1.69,2.08,4.09,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.71,19645,3.66,-0.09,NA,NA,NA,NA,NA,NA,3.715,5266,1.47,2.04,4.23,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.72,19647,4.09,-0.09,NA,NA,NA,NA,NA,NA,3.725,5282,1.32,2.1,3.68,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.73,19648,3.97,0.05,NA,NA,NA,NA,NA,NA,3.735,5299,1.56,1.91,4.04,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.74,19649,4.05,-0.17,NA,NA,NA,NA,NA,NA,3.745,5315,1.55,1.96,3.82,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.76,19651,4.17,-0.21,NA,NA,NA,NA,NA,NA,3.755,5331,NA,1.98,4.37,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.78,19653,4.01,-0.29,NA,NA,NA,NA,NA,NA,3.765,5348,1.42,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.79,19655,3.895,-0.08,NA,NA,NA,NA,NA,NA,3.775,5364,1.38,1.99,3.96,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.8,19657,3.76,-0.03,NA,NA,NA,NA,NA,NA,3.785,5380,1.4,2.05,3.81,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.81,19658,3.7,-0.19,NA,NA,NA,NA,NA,NA,3.795,5397,1.41,1.91,4.12,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.82,19660,3.98,0.02,NA,NA,NA,NA,NA,NA,3.805,5413,1.34,2.26,4.25,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.84,19661,4.35,-0.09,NA,NA,NA,NA,NA,NA,3.815,5429,1.28,2.07,3.59,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.85,19662,4.38,-0.09,NA,NA,NA,NA,NA,NA,3.825,5446,1.34,2.03,3.83,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.86,19664,4.35,-0.2,NA,NA,NA,NA,NA,NA,3.835,5462,1.32,2.05,3.99,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.87,19665,4.73,-0.11,NA,NA,NA,NA,NA,NA,3.845,5478,1.51,1.94,4.22,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.88,19666,4.71,-0.16,NA,NA,NA,NA,NA,NA,3.855,5494,1.27,2.03,4.14,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.89,19669,4.59,-0.08,NA,NA,NA,NA,NA,NA,3.865,5511,1.6,2,3.82,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.9,19670,4.63,-0.24,NA,NA,NA,NA,NA,NA,3.875,5527,1.62,1.85,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.91,19674,4.58,-0.2,NA,NA,NA,NA,NA,NA,3.885,5543,1.79,1.93,4.23,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.93,19678,4.72,-0.22,NA,NA,NA,NA,NA,NA,3.895,5560,1.35,1.85,3.68,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.94,19682,4.65,-0.08,NA,NA,NA,NA,NA,NA,3.905,5576,1.54,1.94,4.15,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.95,19686,4.69,-0.08,NA,NA,NA,NA,NA,NA,3.915,5592,1.51,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.96,19692,4.66,-0.18,NA,NA,NA,NA,NA,NA,3.925,5609,1.39,2,3.96,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.97,19698,4.59,-0.21,NA,NA,NA,NA,NA,NA,3.935,5625,1.63,2.05,3.81,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.98,19702,4.44,-0.14,NA,NA,NA,NA,NA,NA,3.945,5641,1.38,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11.99,19706,4.27,-0.27,NA,NA,NA,NA,NA,NA,3.955,5658,1.64,2.12,4.24,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12.01,19710,4.62,0.03,NA,NA,NA,NA,NA,NA,3.965,5674,1.54,2,4.01,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12.21,19921,4.57,0.01,NA,NA,NA,NA,NA,NA,3.975,5690,1.65,1.86,3.93,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12.4,20131,4.57,0.09,NA,NA,NA,NA,NA,NA,3.985,5707,1.45,2,4.23,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12.61,20342,4.58,-0.11,NA,NA,NA,NA,NA,NA,3.995,5723,1.6,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12.8,20552,4.58,-0.05,NA,NA,NA,NA,NA,NA,4.005,5739,1.57,2.12,4.34,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13.01,20763,4.69,-0.01,NA,NA,NA,NA,NA,NA,4.015,5756,NA,NA,3.32,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13.21,20974,4.62,-0.05,NA,NA,NA,NA,NA,NA,4.025,5772,NA,NA,3.47,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13.4,21184,4.58,0,NA,NA,NA,NA,NA,NA,4.035,5788,1.43,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13.61,21395,4.48,-0.09,NA,NA,NA,NA,NA,NA,4.045,5804,1.75,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13.8,21537,4.57,-0.12,NA,NA,NA,NA,NA,NA,4.055,5821,1.59,2.11,4.13,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14.01,21610,4.48,-0.22,NA,NA,NA,NA,NA,NA,4.065,5837,1.47,1.98,4.02,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14.21,21683,4.62,-0.1,NA,NA,NA,NA,NA,NA,4.075,5853,1.52,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14.4,21757,4.64,-0.08,NA,NA,NA,NA,NA,NA,4.085,5870,1.33,2.16,4.13,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14.61,21830,4.47,-0.11,NA,NA,NA,NA,NA,NA,4.095,5886,1.27,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14.8,21903,4.52,-0.13,NA,NA,NA,NA,NA,NA,4.105,5902,1.48,2.36,4.18,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15.01,21977,4.55,-0.02,NA,NA,NA,NA,NA,NA,4.115,5919,1.41,1.98,4.16,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15.21,22050,4.52,-0.01,NA,NA,NA,NA,NA,NA,4.125,5935,1.55,2.04,3.94,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15.4,22123,4.37,-0.08,NA,NA,NA,NA,NA,NA,4.145,5968,1.22,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15.61,22278,4.47,-0.01,NA,NA,NA,NA,NA,NA,4.155,5984,1.54,2.12,4.21,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15.8,22514,4.56,0.03,NA,NA,NA,NA,NA,NA,4.165,6000,1.21,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16,22750,4.53,-0.04,NA,NA,NA,NA,NA,NA,4.175,6017,1.51,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16.2,22961,4.41,0.15,NA,NA,NA,NA,NA,NA,4.185,6033,1.37,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16.41,23172,4.58,0.08,NA,NA,NA,NA,NA,NA,4.195,6049,1.26,2.1,3.58,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16.61,23383,4.6,-0.01,NA,NA,NA,NA,NA,NA,4.205,6066,1.59,2.09,4.21,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16.8,23594,4.52,0.07,NA,NA,NA,NA,NA,NA,4.215,6082,1.35,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,17,23805,4.37,-0.13,NA,NA,NA,NA,NA,NA,4.225,6098,1.32,2.06,4.05,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,17.2,24015,4.6,-0.02,NA,NA,NA,NA,NA,NA,4.235,6114,1.43,1.92,3.9,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,17.41,24226,4.18,-0.08,NA,NA,NA,NA,NA,NA,4.245,6131,1.49,1.97,3.96,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.255,6147,1.82,2.25,4.4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.265,6163,1.58,2.09,4.09,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.275,6180,1.52,2.09,4.08,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.285,6196,1.43,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.295,6212,1.52,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.305,6229,1.66,1.98,4.3,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.315,6245,1.37,2.09,3.9,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.325,6261,1.24,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.335,6278,1.36,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.345,6294,1.34,2.24,4.02,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.355,6310,1.58,2.06,4.32,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.365,6327,1.39,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.375,6343,1.38,1.87,4.02,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.385,6359,1.37,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.395,6375,1.34,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.405,6392,1.69,2.28,4.26,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.415,6408,1.48,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.425,6424,1.47,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.435,6441,1.4,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.445,6457,1.36,1.94,3.96,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.455,6473,1.9,2.26,4.52,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.465,6490,1.32,2.09,3.93,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.475,6506,1.32,2.16,3.75,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.485,6522,1.46,2.06,3.89,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.495,6539,1.41,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.505,6555,1.8,2.23,4.39,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.515,6571,1.47,2,3.95,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.525,6588,1.56,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.535,6604,1.35,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.545,6620,1.51,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.555,6637,1.76,2.07,4.37,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.565,6653,1.53,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.575,6669,1.63,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.585,6685,1.22,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.595,6702,1.25,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605,6718,1.56,2.26,4.41,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.615,6734,1.28,2.06,4.17,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.625,6751,1.69,2.06,4.28,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.635,6767,1.43,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.645,6783,1.4,2.24,4.03,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.655,6800,1.82,2.27,4.37,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.665,6816,1.4,1.99,4.31,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.675,6832,1.36,2.13,4.34,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.685,6849,1.36,2.12,4.09,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.695,6865,1.37,2.1,4.26,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.705,6881,1.67,2.19,4.02,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.715,6898,1.39,2.05,3.85,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.725,6914,1.26,2.01,4.35,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.735,6930,1.25,2.1,4.3,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.745,6947,1.52,2.15,4.27,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.755,6963,1.7,2.41,4.3,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.765,6979,1.41,2.11,4.37,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.775,6995,1.51,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.785,7012,1.48,2.08,4.33,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.795,7028,1.4,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.805,7044,1.93,2.23,4.22,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.815,7061,1.3,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.825,7077,1.34,2.05,4.15,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835,7093,1.4,2.06,3.96,NA,NA,NA,NA,NA,NA,NA,NA
