depth (m),age (BP),temperature (degC),C37.concentration (g),depth (m),age (BP),temperature (degC),label (missing),planktic.d18O (permil),planktic.MgCa (mmol_mol)
39.5,126922,22.8,747,41.4,131940,NA,"161-976C-5H-5,100-101",1.22,NA
39.52,126990,22.6,959,41.42,131980,NA,"161-976C-5H-5,102-103",2.18,NA
39.54,127058,22.8,1083,41.44,132010,NA,"161-976C-5H-5,104-105",2.2,NA
39.56,127125,22.6,1212,41.46,132050,NA,"161-976C-5H-5,106-107",1.97,NA
39.58,127193,22.7,1193,41.48,132090,NA,"161-976C-5H-5,108-109",2.47,NA
39.6,127261,22.3,1233,41.51,132140,NA,"161-976C-5H-5,110-113",1.65,NA
39.62,127329,22.3,1073,41.54,132190,15.98,"161-976C-5H-5,114-115",2.11,2.77
39.64,127397,22.2,823,41.56,132220,16.59,"161-976C-5H-5,116-117",2.19,2.94
39.66,127465,21.9,1365,41.59,132270,16.27,"161-976C-5H-5,118-121",2.35,2.85
39.68,127533,21,1156,41.63,132340,NA,"161-976C-5H-5,122-125",2.17,NA
39.7,127595,20.9,1165,41.66,132390,NA,"161-976C-5H-5,126-127",1.9,NA
39.72,127657,20.8,1198,41.68,132430,14.17,"161-976C-5H-5,128-129",1.59,2.31
39.74,127719,21.3,1001,41.7,132460,16.85,"161-976C-5H-5,130-131",1.67,3.02
39.76,127780,21.5,1138,41.72,132490,16.71,"161-976C-5H-5,132-133",1.73,2.98
39.78,127842,21.7,1223,41.74,132540,15.91,"161-976C-5H-5,134-135",1.84,2.75
39.8,127904,21.8,1226,41.76,132570,15.85,"161-976C-5H-5,136-137",1.46,2.73
39.82,127966,21.7,1519,41.78,132600,15.8,"161-976C-5H-5,138-139",1.9,2.72
39.84,128028,21.8,1278,41.8,132640,14.59,"161-976C-5H-5,140-141",NA,2.41
39.86,128090,21.5,1097,41.82,132670,16.73,"161-976C-5H-5,142-143",2.12,2.98
39.88,128152,21.5,1328,41.84,132700,17.71,"161-976C-5H-5,144-145",2.24,3.29
39.9,128213,21.6,1275,41.87,132820,NA,"161-976C-5H-5,146-149",2.61,NA
39.92,128275,21.3,1114,41.9,132950,NA,"161-976C-5H-6,0-1",3.09,NA
39.94,128337,21.5,1240,41.92,133030,18.02,"161-976C-5H-6,2-3",2.4,3.4
39.96,128399,21.1,949,41.95,133140,15.56,"161-976C-5H-6,4-6-5-7",3.01,2.65
39.98,128461,21.3,1148,41.99,133300,14.81,"161-976C-5H-6,8-11",3.07,2.46
40,128523,21.1,1227,42.04,133500,NA,"161-976C-5H-6,12-17",2.74,NA
40.02,128585,21.1,1000,42.1,133740,NA,"161-976C-5H-6,18-23",2.67,NA
40.04,128646,21,967,42.15,133940,16.24,"161-976C-5H-6,24-27",2.95,2.84
40.06,128708,21.2,955,42.19,134100,14.11,"161-976C-5H-6,28-31",2.21,2.3
40.08,128770,20.9,960,42.23,134260,13.46,"161-976C-5H-6,32-35",2.42,2.15
40.1,128832,20.7,917,42.29,134480,NA,"161-976C-5H-6,36-43",2.52,NA
40.12,128894,20.9,946,42.35,134690,14.72,"161-976C-5H-6,44-47",1.99,2.44
40.14,128956,20.6,912,42.38,134790,14.97,"161-976C-5H-6,48-49",1.93,2.5
40.16,129018,20.7,929,42.4,134850,15.83,"161-976C-5H-6,50-51",1.58,2.73
40.18,129079,20.4,1079,42.43,134960,15.42,"161-976C-5H-6,52-55",2.62,2.62
40.2,129141,20,889,42.46,135060,NA,"161-976C-5H-6,56-57",2.25,NA
40.22,129203,20,790,42.48,135130,NA,"161-976C-5H-6,58-59",2.11,NA
40.24,129265,19.8,1076,42.5,135200,16.75,"161-976C-5H-6,60-61",2.06,2.99
40.25,129296,19.7,1078,42.54,135340,16.76,"161-976C-5H-6,64-65",1.97,2.99
40.26,129371,19.4,1214,42.56,135400,15.84,"161-976C-5H-6,66-67",1.95,2.73
40.28,129520,18.3,1389,42.58,135470,15.95,"161-976C-5H-6,68-69",NA,2.76
40.3,129669,17,1328,42.61,135570,15.99,"161-976C-5H-6,70-73",2.45,2.77
40.32,129818,16.8,1492,42.65,135710,18.51,"161-976C-5H-6,74-77",2.12,3.57
40.34,129967,16.3,1371,42.68,135810,NA,"161-976C-5H-6,78-79",2.37,NA
40.36,130116,16.6,1257,42.7,135880,NA,"161-976C-5H-6,80-81",2.2,NA
40.38,130265,16.1,1379,42.74,136010,NA,"161-976C-5H-6,82-87",2.08,NA
40.4,130415,16.3,1338,42.79,136170,NA,"161-976C-5H-6,88-91",1.93,NA
40.42,130564,16.3,1238,42.84,136330,NA,"161-976C-5H-6,92-97",1.9,NA
40.44,130713,16.1,1237,42.9,136530,15.07,"161-976C-5H-6,98-103",2.31,2.53
40.46,130862,16.1,1263,42.95,136700,16.11,"161-976C-5H-6,104-107",1.99,2.8
40.48,131011,15.9,1276,42.99,136830,16.73,"161-976C-5H-6,108-111",1.98,2.98
40.5,131160,15.9,1253,43.03,136960,16.86,"161-976C-5H-6,112-115",2.57,3.02
40.52,131309,16,1240,43.08,137130,19.17,"161-976C-5H-6,118-119",1.73,3.81
40.54,131459,15.5,1210,43.1,137190,18.53,"161-976C-5H-6,120-121",2.05,3.57
40.56,131608,15.5,1376,43.12,137260,NA,"161-976C-5H-6,122-123",2.1,NA
40.58,131757,15.8,1355,43.14,137330,17.45,"161-976C-5H-6,124-125",2.04,3.21
40.6,131906,16.3,1225,43.16,137390,18.55,"161-976C-5H-6,126-127",1.54,3.58
40.62,131947,16,1403,43.18,137460,NA,"161-976C-5H-6,128-129",2.14,NA
40.64,131989,15.8,1236,43.2,137530,18.04,"161-976C-5H-6,130-131",2.39,3.4
40.66,132030,15.6,1345,43.22,137600,NA,"161-976C-5H-6,132-133",2.73,NA
40.68,132072,15,1321,43.24,137660,15.75,"161-976C-5H-6,134-135",2.11,2.7
40.7,132113,14.9,734,43.26,137720,NA,"161-976C-5H-6,136-137",2.51,NA
40.72,132154,14.7,1343,43.28,137780,NA,"161-976C-5H-6,138-139",1.85,NA
40.74,132196,14.4,1401,43.31,137900,15.32,"161-976C-5H-6,140-143",3.19,2.59
40.76,132237,14.2,1421,43.34,138060,NA,"161-976C-5H-6,144-145",2.57,NA
40.78,132278,14.1,1293,43.4,138380,NA,"161-976C-5H-7,0-1",2.52,NA
40.8,132320,13.8,1141,43.42,138480,15.1,"161-976C-5H-7,2-3",2.91,2.53
40.82,132361,13.6,922,43.44,138590,NA,"161-976C-5H-7,4-5",2.8,NA
40.84,132403,13.3,922,43.48,138800,16.84,"161-976C-5H-7,8-9",2.41,3.02
40.86,132444,13.3,894,43.5,138910,NA,"161-976C-5H-7,10-11",3.26,NA
40.88,132485,13.4,1044,43.52,139010,17.08,"161-976C-5H-7,12-13",2.3,3.09
40.9,132527,12.8,932,43.54,139120,18.19,"161-976C-5H-7,14-15",NA,3.45
40.92,132568,12.7,751,43.56,139220,14.92,"161-976C-5H-7,16-17",2.88,2.49
40.94,132610,12.7,882,43.58,139330,15.47,"161-976C-5H-7,18-19",2.29,2.63
40.96,132651,12.6,999,43.6,139440,NA,"161-976C-5H-7,20-21",2.48,NA
40.98,132692,12.4,800,43.62,139540,14.77,"161-976C-5H-7,22-23",3.01,2.45
41,132734,12.5,741,43.64,139640,14.94,"161-976C-5H-7,24-25",2.27,2.49
41.02,132775,12,721,43.66,139750,16,"161-976C-5H-7,26-27",NA,2.77
41.04,132817,12,811,43.68,139860,NA,"161-976C-5H-7,28-29",2.92,NA
41.06,132858,11.9,883,43.7,139960,14.53,"161-976C-5H-7,30-31",NA,2.39
41.08,132899,11.9,844,43.72,140070,15.85,"161-976C-5H-7,32-33",NA,2.73
41.1,132941,12,677,43.74,140170,15.24,"161-976C-5H-7,34-35",2.22,2.57
41.12,132982,12.2,753,43.77,140320,15.41,"161-976C-5H-7,36-39",2.44,2.61
41.14,133023,12.2,642,43.81,140530,NA,"161-976C-5H-7,40-43",2.38,NA
41.16,133065,12.2,634,43.84,140690,16.87,"161-976C-5H-7,44-45",2.62,3.03
41.18,133106,12.4,546,43.87,140850,NA,"161-976C-5H-7,46-49",2.28,NA
41.2,133148,12.2,525,43.9,141010,15.78,"161-976C-5H-7,50-51",2.04,2.71
41.22,133189,12.4,547,43.92,141110,NA,"161-976C-5H-7,52-53",2.73,NA
41.24,133230,12.4,582,43.95,141270,14.59,"161-976C-5H-7,54-57",2.16,2.41
41.26,133272,12.5,456,43.98,141430,15.83,"161-976C-5H-7,58-59",2.71,2.73
41.28,133313,12.6,500,44.04,141750,15.51,"161-976C-5H-cc,0-1",2.59,2.64
41.3,133355,12.6,412,44.06,141860,NA,"161-976C-5H-cc,2-3",2.71,NA
41.32,133396,12.1,445,44.08,141960,15.45,"161-976C-5H-cc,4-5",NA,2.63
41.34,133437,12.4,378,44.1,142060,17.19,"161-976C-5H-cc,6-7",2.16,3.12
41.36,133479,11.8,538,44.12,142230,NA,"161-976C-5H-cc,8-9",2.53,NA
41.38,133520,12.4,605,44.14,142390,16.25,"161-976C-5H-cc,10-11",NA,2.84
41.4,133561,12.6,759,44.16,142550,17.52,"161-976C-5H-cc,12-13",2.74,3.23
41.42,133603,11.7,562,44.18,142710,17.78,"161-976C-5H-cc,14-15",NA,3.31
41.44,133644,12.3,478,44.2,142870,18.59,"161-976C-5H-cc,16-17",2.99,3.59
41.46,133686,12,431,44.22,143030,16.92,"161-976C-5H-cc,18-19",3.28,3.04
41.48,133727,12,654,44.24,143100,15.07,"161-976C-5H-cc,20-21",3.62,2.53
41.5,133768,11.9,539,44.26,143140,17.38,"161-976C-5H-cc,22-23",3.09,3.19
41.52,133810,12.4,475,44.28,143210,18.41,"161-976C-5H-cc,24-25",3.25,3.53
41.54,133851,11.5,444,44.31,143290,17.99,"161-976C-5H-cc,26-28",2.64,3.38
41.56,133893,11.8,577,44.32,143320,NA,"161-976C-5H-cc,28-29",1.9,NA
41.58,133934,11.8,531,44.34,143380,18.12,"161-976C-5H-cc,30-31",2.23,3.43
41.6,133975,11.7,553,44.36,143430,18.44,"161-976C-5H-cc,32-33",NA,3.54
41.62,134017,12.3,520,44.39,143510,16.96,"161-976B-6H-2,128-131",2.97,3.05
41.64,134058,12.3,535,44.46,143700,NA,"161-976B-6H-2,135.5-136.5",3.14,NA
41.66,134100,13,537,44.48,143750,18.12,"161-976B-6H-2,137.5-139.5",2.19,3.43
41.68,134141,13.6,563,44.52,143870,17.25,"161-976B-6H-2,141.5-143",2.87,3.14
41.7,134182,14.6,729,44.54,143930,17.41,"161-976B-6H-2,144-145",2.54,3.19
41.72,134224,14.7,808,44.56,143990,20.28,"161-976B-6H-2,146-147.5",2.81,4.26
41.74,134265,15.3,714,44.59,144070,17.18,"161-976B-6H-2,148.5-150",1.95,3.12
41.76,134306,15,729,44.65,144250,17.95,"161-976C-6H-1,2-3",3.16,3.37
41.78,134348,14.7,777,44.67,144300,20.23,"161-976C-6H-1,4-5",3.12,4.24
41.8,134389,15.3,772,44.69,144370,NA,"161-976C-6H-1,6-7",2.89,NA
41.82,134431,14.8,817,44.71,144430,16.43,"161-976C-6H-1,8-9",2.41,2.89
41.84,134472,13.1,436,44.74,144560,18.01,"161-976C-6H-1,10-13",2.41,3.39
41.86,134568,13.1,633,44.77,144710,NA,"161-976C-6H-1,14-15",2.99,NA
41.88,134664,12.4,540,44.81,144910,15.82,"161-976C-6H-1,16-21",3.14,2.73
41.9,134760,12.1,496,44.85,145100,NA,"161-976C-6H-1,22-23",3.01,NA
41.92,134856,13.1,518,44.88,145240,16.64,"161-976C-6H-1,24-27",2.89,2.96
41.94,134952,12.1,521,44.92,145440,15.28,"161-976C-6H-1,28-31",2.76,2.58
41.96,135048,11.7,547,44.95,145580,15.82,"161-976C-6H-1,32-33",2.71,2.72
41.98,135144,12,593,44.97,145680,NA,"161-976C-6H-1,34-35",2.21,NA
42,135240,12.3,637,44.99,145780,16.96,"161-976C-6H-1,36-37",1.63,3.05
42.02,135336,11.9,558,45.01,145880,15.06,"161-976C-6H-1,38-39",1.84,2.53
42.04,135432,11.8,426,45.03,145980,16.83,"161-976C-6H-1,40-41",1.79,3.01
42.06,135528,11.5,378,45.05,146060,18.82,"161-976C-6H-1,42-43",1.95,3.68
42.08,135624,11.6,353,45.07,146160,20.38,"161-976C-6H-1,44-45",1.8,4.3
42.1,135720,11.3,353,45.09,146260,15.79,"161-976C-6H-1,46-47",1.79,2.72
42.12,135816,11.5,318,NA,NA,NA,NA,NA,NA
42.14,135912,11.5,334,NA,NA,NA,NA,NA,NA
42.16,136008,11.8,358,NA,NA,NA,NA,NA,NA
42.18,136104,12.1,349,NA,NA,NA,NA,NA,NA
42.2,136200,12.5,311,NA,NA,NA,NA,NA,NA
42.22,136296,12.4,322,NA,NA,NA,NA,NA,NA
42.24,136392,14.1,487,NA,NA,NA,NA,NA,NA
42.26,136488,15.1,917,NA,NA,NA,NA,NA,NA
42.28,136570,15,927,NA,NA,NA,NA,NA,NA
42.3,136652,14.9,1036,NA,NA,NA,NA,NA,NA
42.32,136734,14.9,1165,NA,NA,NA,NA,NA,NA
42.34,136816,15.3,1408,NA,NA,NA,NA,NA,NA
42.36,136898,15.4,1418,NA,NA,NA,NA,NA,NA
42.38,136980,15.6,1497,NA,NA,NA,NA,NA,NA
42.4,137062,15.6,1459,NA,NA,NA,NA,NA,NA
42.42,137144,15.3,1032,NA,NA,NA,NA,NA,NA
42.44,137227,14.8,873,NA,NA,NA,NA,NA,NA
42.46,137309,14.7,1187,NA,NA,NA,NA,NA,NA
42.48,137391,14.8,1574,NA,NA,NA,NA,NA,NA
42.5,137473,14.9,1532,NA,NA,NA,NA,NA,NA
42.52,137555,14.9,1449,NA,NA,NA,NA,NA,NA
42.54,137637,14.9,1473,NA,NA,NA,NA,NA,NA
42.56,137719,14.9,1387,NA,NA,NA,NA,NA,NA
42.58,137801,14.8,1033,NA,NA,NA,NA,NA,NA
42.6,137883,14.5,1027,NA,NA,NA,NA,NA,NA
42.62,137965,13.9,926,NA,NA,NA,NA,NA,NA
42.64,138047,14.4,1090,NA,NA,NA,NA,NA,NA
42.66,138129,14,1165,NA,NA,NA,NA,NA,NA
42.68,138211,14.4,1205,NA,NA,NA,NA,NA,NA
42.7,138293,15,1256,NA,NA,NA,NA,NA,NA
42.72,138375,14.3,1165,NA,NA,NA,NA,NA,NA
42.74,138457,14.9,1526,NA,NA,NA,NA,NA,NA
42.76,138539,15.1,1449,NA,NA,NA,NA,NA,NA
42.78,138621,14.9,1286,NA,NA,NA,NA,NA,NA
42.8,138704,15.1,1278,NA,NA,NA,NA,NA,NA
42.82,138786,15,1129,NA,NA,NA,NA,NA,NA
42.84,138868,14.8,1073,NA,NA,NA,NA,NA,NA
42.86,138950,14.8,1139,NA,NA,NA,NA,NA,NA
42.88,139032,14.6,995,NA,NA,NA,NA,NA,NA
42.9,139114,14.8,985,NA,NA,NA,NA,NA,NA
42.92,139196,14.7,1249,NA,NA,NA,NA,NA,NA
42.94,139278,15,961,NA,NA,NA,NA,NA,NA
42.96,139360,15,821,NA,NA,NA,NA,NA,NA
42.98,139442,14.9,1059,NA,NA,NA,NA,NA,NA
43,139524,15.1,1009,NA,NA,NA,NA,NA,NA
43.02,139606,15,882,NA,NA,NA,NA,NA,NA
43.04,139688,14.9,833,NA,NA,NA,NA,NA,NA
43.06,139770,14.9,884,NA,NA,NA,NA,NA,NA
43.08,139852,14.7,832,NA,NA,NA,NA,NA,NA
43.1,139934,14.8,982,NA,NA,NA,NA,NA,NA
43.12,140016,14.6,842,NA,NA,NA,NA,NA,NA
43.14,140099,15,1068,NA,NA,NA,NA,NA,NA
43.16,140181,15.1,1144,NA,NA,NA,NA,NA,NA
43.18,140263,14.8,1165,NA,NA,NA,NA,NA,NA
43.2,140345,14.6,1099,NA,NA,NA,NA,NA,NA
43.22,140427,13.8,917,NA,NA,NA,NA,NA,NA
43.24,140509,14.7,1258,NA,NA,NA,NA,NA,NA
43.26,140591,13.9,1182,NA,NA,NA,NA,NA,NA
43.28,140673,14.1,1183,NA,NA,NA,NA,NA,NA
43.3,140755,12.6,837,NA,NA,NA,NA,NA,NA
43.32,140886,15,1343,NA,NA,NA,NA,NA,NA
43.34,141017,12.5,608,NA,NA,NA,NA,NA,NA
43.4,141410,14.1,1156,NA,NA,NA,NA,NA,NA
43.42,141541,14.3,850,NA,NA,NA,NA,NA,NA
43.44,141672,14.3,673,NA,NA,NA,NA,NA,NA
43.46,141803,14.3,777,NA,NA,NA,NA,NA,NA
43.48,141934,14.3,908,NA,NA,NA,NA,NA,NA
43.5,142065,14.4,986,NA,NA,NA,NA,NA,NA
43.52,142196,14.4,893,NA,NA,NA,NA,NA,NA
43.54,142327,14.5,961,NA,NA,NA,NA,NA,NA
43.56,142458,14.3,1045,NA,NA,NA,NA,NA,NA
43.58,142589,14.5,905,NA,NA,NA,NA,NA,NA
43.6,142720,14.6,1076,NA,NA,NA,NA,NA,NA
43.62,142851,14.7,947,NA,NA,NA,NA,NA,NA
43.64,142982,14.7,906,NA,NA,NA,NA,NA,NA
43.66,143113,14.7,972,NA,NA,NA,NA,NA,NA
43.68,143244,14.6,1016,NA,NA,NA,NA,NA,NA
43.7,143375,14.6,892,NA,NA,NA,NA,NA,NA
43.72,143506,14.5,915,NA,NA,NA,NA,NA,NA
43.74,143637,14.5,764,NA,NA,NA,NA,NA,NA
43.78,143898,14.8,826,NA,NA,NA,NA,NA,NA
43.8,144029,14.4,823,NA,NA,NA,NA,NA,NA
43.82,144160,14.2,916,NA,NA,NA,NA,NA,NA
43.84,144291,14.3,931,NA,NA,NA,NA,NA,NA
43.86,144422,14.4,720,NA,NA,NA,NA,NA,NA
43.88,144553,14.2,818,NA,NA,NA,NA,NA,NA
43.9,144684,15.1,597,NA,NA,NA,NA,NA,NA
43.92,144815,14.9,663,NA,NA,NA,NA,NA,NA
43.94,144946,14.5,670,NA,NA,NA,NA,NA,NA
43.96,145077,14.4,762,NA,NA,NA,NA,NA,NA
43.98,145208,14.8,648,NA,NA,NA,NA,NA,NA
44,145339,14.7,550,NA,NA,NA,NA,NA,NA
44.06,145732,14.6,818,NA,NA,NA,NA,NA,NA
44.08,145863,14.7,867,NA,NA,NA,NA,NA,NA
44.1,145994,14.7,924,NA,NA,NA,NA,NA,NA
44.12,146125,14.4,936,NA,NA,NA,NA,NA,NA
44.14,146256,14.4,918,NA,NA,NA,NA,NA,NA
44.16,146387,14.5,979,NA,NA,NA,NA,NA,NA
44.18,146518,14.3,1025,NA,NA,NA,NA,NA,NA
44.2,146649,11.6,643,NA,NA,NA,NA,NA,NA
44.22,146780,11.2,742,NA,NA,NA,NA,NA,NA
44.24,146826,12.3,1058,NA,NA,NA,NA,NA,NA
44.26,146872,13.6,1126,NA,NA,NA,NA,NA,NA
44.28,146918,13.8,730,NA,NA,NA,NA,NA,NA
44.3,146964,13.7,628,NA,NA,NA,NA,NA,NA
44.31,146987,14.7,780,NA,NA,NA,NA,NA,NA
44.34,147056,14.7,771,NA,NA,NA,NA,NA,NA
44.36,147101,15.1,896,NA,NA,NA,NA,NA,NA
44.67,147813,13.7,654,NA,NA,NA,NA,NA,NA
44.69,147859,12.9,864,NA,NA,NA,NA,NA,NA
44.71,147905,14.5,921,NA,NA,NA,NA,NA,NA
44.73,147984,12,776,NA,NA,NA,NA,NA,NA
44.75,148063,11.9,515,NA,NA,NA,NA,NA,NA
44.77,148141,11.7,609,NA,NA,NA,NA,NA,NA
44.79,148220,11.6,643,NA,NA,NA,NA,NA,NA
44.81,148299,11.2,754,NA,NA,NA,NA,NA,NA
44.83,148378,12.3,1092,NA,NA,NA,NA,NA,NA
44.85,148456,11.7,1123,NA,NA,NA,NA,NA,NA
44.87,148535,12.3,765,NA,NA,NA,NA,NA,NA
44.89,148614,12.2,598,NA,NA,NA,NA,NA,NA
44.91,148693,11.9,432,NA,NA,NA,NA,NA,NA
44.93,148771,12.5,605,NA,NA,NA,NA,NA,NA
44.95,148850,12.3,564,NA,NA,NA,NA,NA,NA
44.97,148929,14,950,NA,NA,NA,NA,NA,NA
44.99,149008,14.4,1021,NA,NA,NA,NA,NA,NA
45.01,149086,14.8,1146,NA,NA,NA,NA,NA,NA
45.03,149165,14.9,997,NA,NA,NA,NA,NA,NA
45.05,149244,14.6,851,NA,NA,NA,NA,NA,NA
45.07,149323,14.7,772,NA,NA,NA,NA,NA,NA
45.09,149401,14.1,706,NA,NA,NA,NA,NA,NA
45.11,149480,13.6,528,NA,NA,NA,NA,NA,NA
