age (BP) [1-1],d13C (permil) [1-1],C/N (unitless) [1-1],TOC (mg/g) [1-1],MS (unitless) [1-1],SE (cm yr-1) [1-1],BSi (mg/g) [1-1],age (BP) [2-1],PC1 (unitless) [2-1]
775,NA,NA,NA,NA,0.463,NA,NA,NA
776,NA,NA,14.482,595.369,0.463,NA,NA,NA
777,NA,NA,NA,NA,0.465,NA,NA,NA
778,NA,NA,13.402,518.902,0.465,76.455,NA,NA
779,NA,NA,NA,NA,0.465,NA,NA,NA
780,-26.323,12.182,19.26,415.372,0.465,NA,NA,NA
781,NA,NA,NA,NA,0.467,NA,NA,NA
782,NA,NA,NA,NA,0.467,NA,NA,NA
783,NA,NA,NA,NA,0.469,NA,NA,NA
784,NA,NA,12.87,NA,0.469,NA,NA,NA
785,NA,NA,NA,NA,0.469,NA,NA,NA
786,NA,NA,12.606,468.516,0.472,61.405,NA,NA
787,NA,NA,NA,NA,0.472,NA,NA,NA
788,NA,NA,12.27,570.098,0.474,NA,NA,NA
790,NA,NA,NA,NA,0.476,NA,NA,NA
791,-27.592,11.5,10.262,647.812,0.476,NA,NA,NA
792,NA,NA,NA,NA,0.478,NA,NA,NA
793,NA,NA,10.302,692.176,0.481,NA,NA,NA
794,NA,NA,NA,NA,0.481,NA,NA,NA
795,NA,NA,11.027,714.356,0.483,56.24,NA,NA
796,NA,NA,NA,NA,0.485,NA,NA,NA
797,NA,NA,11.288,718.694,0.488,NA,NA,NA
798,NA,NA,NA,NA,0.49,NA,NA,NA
799,NA,NA,12.158,716.591,0.493,NA,NA,NA
800,NA,NA,NA,NA,0.495,NA,NA,NA
801,-27.854,10.857,15.319,718.3,0.495,58.673,NA,NA
802,NA,NA,NA,NA,0.498,NA,NA,NA
803,NA,NA,11.906,727.237,0.495,NA,NA,NA
804,NA,NA,NA,NA,0.5,NA,NA,NA
805,NA,NA,11.642,736.438,0.503,67.899,NA,NA
806,NA,NA,NA,NA,0.508,NA,NA,NA
807,NA,NA,8.386,743.273,0.51,NA,NA,NA
808,NA,NA,NA,NA,0.513,NA,NA,NA
809,NA,NA,9.197,745.77,0.515,NA,NA,NA
810,NA,NA,NA,NA,0.518,NA,NA,NA
811,-27.24,10.429,10.396,739.987,0.543,64.108,NA,NA
812,NA,NA,NA,NA,0.524,NA,NA,NA
813,NA,NA,13.518,729.077,0.526,NA,NA,NA
814,NA,NA,NA,NA,0.529,NA,NA,NA
815,NA,NA,12.134,717.642,0.535,NA,NA,NA
815,NA,NA,NA,NA,0.61,NA,NA,NA
816,NA,NA,14.222,707.785,0.541,66.42,NA,NA
817,NA,NA,NA,NA,0.541,NA,NA,NA
818,NA,NA,14.044,706.996,0.541,56.742,NA,NA
819,NA,NA,NA,NA,0.541,NA,NA,NA
820,-27.739,11,12.656,715.671,0.578,NA,NA,NA
821,NA,NA,NA,NA,0.532,NA,NA,NA
822,NA,NA,14.054,728.289,0.505,NA,NA,NA
823,NA,NA,NA,NA,0.481,NA,NA,NA
824,NA,NA,10.158,738.278,0.461,NA,NA,NA
825,NA,NA,NA,NA,0.413,NA,NA,NA
826,NA,NA,11.882,739.198,0.427,54.335,NA,NA
827,NA,NA,NA,NA,0.418,NA,NA,NA
828,NA,NA,12.839,730.917,0.403,NA,NA,NA
830,NA,NA,NA,NA,0.407,NA,NA,NA
831,-26.992,12.364,13.691,724.74,0.38,NA,NA,NA
832,NA,NA,NA,NA,0.369,NA,NA,NA
834,NA,NA,11.919,729.209,0.36,NA,NA,NA
835,NA,NA,NA,NA,0.35,NA,NA,NA
836,NA,NA,13.592,743.93,0.342,57.858,NA,NA
838,NA,NA,NA,NA,0.336,NA,NA,NA
839,NA,NA,12.092,761.411,0.327,NA,NA,NA
841,NA,NA,NA,NA,0.322,NA,NA,NA
842,NA,NA,14.782,771.268,0.315,NA,NA,NA
844,NA,NA,NA,NA,0.31,NA,NA,NA
846,-27.543,10.5,13.486,776,0.304,49.895,NA,NA
847,NA,NA,NA,NA,0.296,NA,NA,NA
849,NA,NA,10.508,782.703,0.292,NA,NA,NA
851,NA,NA,NA,NA,0.287,NA,NA,NA
852,NA,NA,10.092,787.698,0.283,43.052,NA,NA
854,NA,NA,NA,NA,0.279,NA,NA,NA
856,NA,NA,10.824,787.698,0.275,NA,NA,NA
858,NA,NA,NA,NA,0.265,NA,NA,NA
860,NA,NA,10.502,786.384,0.266,NA,NA,NA
862,NA,NA,NA,NA,0.263,NA,NA,NA
864,-27.397,12.538,9.544,788.749,0.26,55.425,NA,NA
865,NA,NA,NA,NA,0.257,NA,NA,NA
867,NA,NA,11.44,794.007,0.254,NA,NA,NA
869,NA,NA,NA,NA,0.251,NA,NA,NA
871,NA,NA,11.434,800.184,0.249,NA,NA,NA
873,NA,NA,NA,NA,0.246,NA,NA,NA
875,NA,NA,13.225,800.316,0.244,NA,NA,NA
877,NA,NA,NA,NA,0.242,NA,NA,NA
879,NA,NA,11.903,789.669,0.24,66.335,NA,NA
882,NA,NA,NA,NA,0.238,NA,NA,NA
884,-26.557,11.5,13.329,776.263,0.236,NA,NA,NA
886,NA,NA,NA,NA,0.235,NA,NA,NA
888,NA,NA,13.226,766.011,0.233,NA,NA,NA
890,NA,NA,NA,NA,0.231,NA,NA,NA
892,NA,NA,11.142,762.725,0.23,NA,NA,NA
894,NA,NA,NA,NA,0.218,NA,NA,NA
897,NA,NA,11.307,763.777,0.227,43.519,NA,NA
899,NA,NA,NA,NA,0.226,NA,NA,NA
901,NA,NA,11.172,762.594,0.225,57.228,NA,NA
903,NA,NA,NA,NA,0.22,NA,NA,NA
906,-27.099,9.846,12.797,757.731,0.225,NA,NA,NA
908,NA,NA,NA,NA,0.226,NA,NA,NA
910,NA,NA,11.348,750.633,0.203,NA,NA,NA
913,NA,NA,NA,NA,0.218,NA,NA,NA
915,NA,NA,12.787,737.752,0.214,55.882,NA,NA
917,NA,NA,NA,NA,0.203,NA,NA,NA
920,NA,NA,14.04,722.374,0.19,NA,NA,NA
922,NA,NA,NA,NA,0.192,NA,NA,NA
925,NA,NA,12.194,712.911,0.187,NA,NA,NA
928,NA,NA,NA,NA,0.185,NA,NA,NA
930,-27.281,11.462,14.152,711.596,0.186,62.009,NA,NA
933,NA,NA,NA,NA,0.176,NA,NA,NA
936,NA,NA,13.331,714.619,0.173,NA,NA,NA
939,NA,NA,NA,NA,0.172,NA,NA,NA
942,NA,NA,14.178,717.38,0.168,40.797,NA,NA
945,NA,NA,NA,NA,0.164,NA,NA,NA
948,NA,NA,25.822,716.459,0.162,NA,NA,NA
951,NA,NA,NA,NA,0.159,NA,NA,NA
954,-27.391,9.636,13.706,712.516,0.157,58.899,NA,NA
957,NA,NA,NA,NA,0.155,NA,NA,NA
960,NA,NA,13.26,708.442,0.153,NA,NA,NA
964,NA,NA,NA,NA,0.151,NA,NA,NA
967,NA,NA,12.925,704.63,0.149,NA,NA,NA
970,NA,NA,NA,NA,0.147,NA,NA,NA
974,NA,NA,12.805,700.293,0.145,54.925,NA,NA
977,NA,NA,NA,NA,0.143,NA,NA,NA
981,NA,NA,13.557,699.11,0.145,NA,NA,NA
984,NA,NA,NA,NA,0.142,NA,NA,NA
987,-27.786,9.545,14.823,705.287,0.134,NA,NA,NA
991,NA,NA,NA,NA,0.133,NA,NA,NA
995,-27.281,11.643,11.133,720.797,0.142,41.214,NA,NA
998,NA,NA,NA,NA,0.127,NA,NA,NA
1002,NA,NA,11.726,739.855,0.136,NA,NA,NA
1006,NA,NA,NA,NA,0.13,NA,NA,NA
1010,NA,NA,11.565,751.947,0.128,NA,NA,NA
1014,NA,NA,NA,NA,0.125,NA,NA,NA
1018,NA,NA,11.516,749.187,0.123,NA,NA,NA
1022,NA,NA,NA,NA,0.121,NA,NA,NA
1026,NA,NA,13.714,739.987,0.118,75.863,NA,NA
1030,NA,NA,NA,NA,0.117,NA,NA,NA
1035,NA,NA,11.897,734.729,0.116,NA,NA,NA
1039,NA,NA,NA,NA,0.114,NA,NA,NA
1043,NA,NA,12.571,735.123,0.111,NA,NA,NA
1048,NA,NA,NA,NA,0.109,34.565,NA,NA
1052,NA,NA,11.909,736.569,0.101,NA,NA,NA
1057,-25.504,11.538,NA,NA,0.107,NA,NA,NA
1062,NA,NA,13.785,733.152,0.106,NA,NA,NA
1067,NA,NA,NA,NA,0.104,NA,NA,NA
1072,NA,NA,13.737,722.9,0.102,NA,NA,NA
1076,NA,NA,NA,NA,0.096,NA,NA,NA
1082,NA,NA,13.069,708.31,0.099,NA,NA,NA
1087,NA,NA,NA,NA,0.097,NA,NA,NA
1092,NA,NA,10.136,695.035,0.096,53.114,NA,NA
1097,NA,NA,NA,NA,0.095,NA,NA,NA
1102,NA,NA,12.227,683.338,0.091,NA,NA,NA
1108,NA,NA,NA,NA,0.092,NA,NA,NA
1113,NA,NA,14.194,668.354,0.09,37.671,NA,NA
1119,NA,NA,NA,NA,0.091,NA,NA,NA
1124,NA,NA,11.734,647.324,0.087,NA,NA,NA
1130,-25.081,11.156,NA,NA,0.093,NA,NA,NA
1135,NA,NA,14.164,626.031,0.092,NA,NA,NA
1141,NA,NA,NA,NA,0.102,38.875,NA,NA
1146,NA,NA,15.37,620.117,0.113,NA,NA,NA
1150,NA,NA,NA,NA,0.117,NA,NA,NA
1154,NA,NA,15.689,633.523,0.122,NA,NA,NA
1159,-25.32,11.619,NA,NA,0.134,NA,NA,NA
1162,NA,NA,21.302,652.187,0.144,NA,NA,NA
1166,NA,NA,NA,NA,0.155,NA,NA,NA
1169,NA,NA,19.947,662.176,0.167,32.005,NA,NA
1172,NA,NA,NA,NA,0.18,NA,NA,NA
1175,NA,NA,20.584,664.279,0.195,NA,NA,NA
1177,NA,NA,NA,NA,0.211,NA,NA,NA
1180,NA,NA,19.57,663.228,0.229,NA,NA,NA
1182,NA,NA,NA,NA,0.249,42.116,NA,NA
1184,NA,NA,19.842,661.782,0.271,56.984,NA,NA
1186,NA,NA,NA,NA,0.296,NA,NA,NA
1187,NA,NA,14.695,669.274,0.322,NA,NA,NA
1189,NA,NA,NA,NA,0.35,NA,NA,NA
1190,NA,NA,10.545,692.669,0.35,NA,NA,NA
1192,NA,NA,NA,NA,0.351,NA,NA,NA
1193,NA,NA,9.714,731.706,0.353,54.844,NA,NA
1194,-26.777,14.325,NA,NA,0.355,NA,NA,NA
1195,NA,NA,11.169,767.72,0.357,NA,NA,NA
1196,NA,NA,NA,NA,0.359,NA,NA,NA
1197,NA,NA,10.869,792.955,0.361,NA,NA,NA
1198,-26.133,10.783,NA,NA,0.363,NA,NA,NA
1199,NA,NA,10.494,795.058,0.365,42.728,NA,NA
1199,NA,NA,NA,NA,0.367,NA,NA,NA
1200,NA,NA,12.673,778.76,0.367,NA,NA,NA
1201,NA,NA,NA,NA,0.363,NA,NA,NA
1202,NA,NA,15.207,757.993,0.361,NA,NA,NA
1203,NA,NA,NA,NA,0.359,NA,NA,NA
1204,NA,NA,13.727,742.615,0.357,68.001,NA,NA
1205,-26.464,12.097,NA,NA,0.355,NA,NA,NA
1206,NA,NA,12.488,738.672,0.354,NA,NA,NA
1207,NA,NA,NA,NA,0.353,NA,NA,NA
1208,NA,NA,12.255,745.77,0.351,44.701,NA,NA
1209,NA,NA,NA,NA,0.355,NA,NA,NA
1211,NA,NA,13.616,755.89,0.325,NA,NA,NA
1212,-25.605,11.902,NA,NA,0.299,NA,NA,NA
1214,NA,NA,12.989,763.514,0.287,NA,NA,NA
1216,NA,NA,NA,NA,0.29,NA,NA,NA
1217,NA,NA,11.261,769.034,0.292,45.094,NA,NA
1219,NA,NA,NA,NA,0.295,NA,NA,NA
1221,NA,NA,11.547,773.503,0.298,NA,NA,NA
1223,NA,NA,NA,NA,0.3,NA,NA,NA
1224,NA,NA,12.377,778.235,0.303,NA,NA,NA
1226,-26.039,10.493,NA,NA,0.306,NA,NA,NA
1228,NA,NA,10.675,784.675,0.309,46.495,NA,NA
1229,NA,NA,NA,NA,0.312,NA,NA,NA
1231,NA,NA,11.12,791.904,0.313,NA,NA,NA
1232,-26.742,10.095,NA,NA,0.316,NA,NA,NA
1234,NA,NA,9.361,799.659,0.319,NA,NA,NA
1235,NA,NA,NA,NA,0.323,NA,NA,NA
1237,NA,NA,9.277,807.545,0.326,33.558,NA,NA
1239,NA,NA,NA,NA,0.329,NA,NA,NA
1240,NA,NA,8.955,811.225,0.332,NA,NA,NA
1242,-26.587,10.474,NA,NA,0.336,NA,NA,NA
1243,NA,NA,7.883,804.916,0.339,NA,NA,NA
1245,NA,NA,NA,NA,0.342,NA,NA,NA
1246,NA,NA,9.512,788.355,0.346,35.884,NA,NA
1247,NA,NA,NA,NA,0.35,NA,NA,NA
1249,NA,NA,11.672,757.073,0.353,NA,NA,NA
1250,-25.631,11.85,NA,NA,0.357,NA,NA,NA
1252,NA,NA,11.168,713.962,0.362,NA,NA,NA
1253,NA,NA,NA,NA,0.366,NA,NA,NA
1254,NA,NA,8.476,649.821,0.37,50.174,NA,NA
1256,NA,NA,NA,NA,0.374,NA,NA,NA
1257,NA,NA,8.546,566.491,0.374,45.605,NA,NA
1258,NA,NA,NA,NA,0.374,NA,NA,NA
1260,NA,NA,NA,NA,0.374,NA,NA,NA
1261,NA,NA,NA,NA,0.374,NA,NA,NA
1262,NA,NA,NA,NA,0.374,NA,NA,NA
1264,NA,NA,NA,NA,0.374,NA,NA,NA
1265,NA,NA,NA,NA,0.374,NA,NA,NA
1266,NA,NA,NA,NA,0.374,NA,NA,NA
1267,NA,NA,NA,NA,0.374,NA,NA,NA
1269,NA,NA,NA,NA,0.374,NA,NA,NA
1270,NA,NA,NA,NA,0.374,NA,NA,NA
1271,NA,NA,NA,NA,0.374,NA,NA,NA
1272,NA,NA,9.017,NA,0.374,56.13,NA,NA
1273,-26.367,10.86,NA,NA,0.374,56.4,NA,NA
1274,NA,NA,11.365,446.752,0.374,54.032,NA,NA
1275,NA,NA,NA,NA,0.374,NA,NA,NA
1277,NA,NA,9.823,560.445,0.374,43.902,NA,NA
1278,NA,NA,NA,NA,0.374,NA,NA,NA
1279,NA,NA,11.046,642.855,0.374,NA,NA,NA
1280,NA,NA,NA,NA,0.374,NA,NA,NA
1282,NA,NA,11.822,689.384,0.368,NA,NA,NA
1283,-26.748,11.321,NA,NA,0.357,NA,NA,NA
1284,NA,NA,11.104,715.934,0.356,51.705,NA,NA
1286,NA,NA,NA,NA,0.338,NA,NA,NA
1287,NA,NA,12.532,729.997,0.329,NA,NA,NA
1289,-25.889,11.76,NA,NA,0.321,NA,NA,NA
1290,NA,NA,11.043,738.935,0.313,NA,NA,NA
1292,NA,NA,NA,NA,0.305,NA,NA,NA
1294,NA,NA,13.067,742.352,0.298,48.187,NA,NA
1295,NA,NA,NA,NA,0.291,NA,NA,NA
1297,NA,NA,13.019,743.93,0.285,NA,NA,NA
1299,-26.61,11.74,NA,NA,0.279,NA,NA,NA
1301,NA,NA,15.303,744.85,0.274,NA,NA,NA
1302,NA,NA,NA,NA,0.269,41.42,NA,NA
1304,NA,NA,16.294,744.061,0.264,40.7,NA,NA
1306,NA,NA,NA,NA,0.259,NA,NA,NA
1308,NA,NA,14.882,743.273,0.255,NA,NA,NA
1310,-26.232,11.334,NA,NA,0.251,NA,NA,NA
1312,NA,NA,15.037,746.033,0.246,NA,NA,NA
1314,NA,NA,NA,NA,0.243,NA,NA,NA
1316,NA,NA,14.165,753.13,0.239,NA,NA,NA
1318,NA,NA,NA,NA,0.236,NA,NA,NA
1320,NA,NA,10.783,763.908,0.233,50.223,NA,NA
1322,NA,NA,NA,NA,0.23,NA,NA,NA
1325,NA,NA,12.101,772.32,0.227,59.768,NA,NA
1327,-25.78,12.058,NA,NA,0.224,NA,NA,NA
1329,NA,NA,12.845,770.217,0.221,NA,NA,NA
1331,NA,NA,NA,NA,0.219,NA,NA,NA
1334,NA,NA,14.207,758.651,0.216,39.957,NA,NA
1336,-25.965,10.34,NA,NA,0.214,NA,NA,NA
1338,NA,NA,16.111,751.027,0.212,43.093,NA,NA
1341,NA,NA,NA,NA,0.21,NA,NA,NA
1343,NA,NA,18.638,760.885,0.208,NA,NA,NA
1345,NA,NA,NA,NA,0.209,NA,NA,NA
1348,NA,NA,16.386,784.149,0.204,33.775,NA,NA
1350,NA,NA,NA,NA,0.202,NA,NA,NA
1353,NA,NA,17.297,795.584,0.201,NA,NA,NA
1355,-26.064,11.296,NA,NA,0.199,NA,NA,NA
1358,NA,NA,15.41,786.384,0.198,NA,NA,NA
1360,-25.561,11.371,NA,NA,0.196,NA,NA,NA
1363,NA,NA,17.273,769.56,0.195,41.916,NA,NA
1365,NA,NA,NA,NA,0.193,NA,NA,NA
1368,NA,NA,14.185,750.239,0.192,NA,NA,NA
1371,NA,NA,NA,NA,0.191,NA,NA,NA
1373,NA,NA,12.904,735.781,0.19,NA,NA,NA
1376,-26.085,12.028,NA,NA,0.189,44.045,NA,NA
1378,NA,NA,11.907,710.952,0.186,37.956,NA,NA
1381,NA,NA,NA,NA,0.187,NA,NA,NA
1384,NA,NA,15.712,656.771,0.186,NA,NA,NA
1387,NA,NA,NA,NA,0.186,NA,NA,NA
1389,NA,NA,15.787,582.295,0.185,NA,NA,NA
1392,-25.687,12.348,NA,NA,0.184,NA,NA,NA
1395,NA,NA,14.219,493.077,0.183,NA,NA,NA
1397,NA,NA,NA,NA,0.182,NA,NA,NA
1400,NA,NA,NA,NA,0.182,62.715,NA,NA
1403,NA,NA,NA,NA,0.184,NA,NA,NA
1406,NA,NA,NA,NA,0.181,NA,NA,NA
1408,NA,NA,NA,NA,0.18,NA,NA,NA
1411,NA,NA,NA,NA,0.18,NA,NA,NA
1414,NA,NA,NA,NA,0.179,NA,NA,NA
1417,NA,NA,NA,NA,0.179,NA,NA,NA
1420,NA,NA,NA,NA,0.178,NA,NA,NA
1422,NA,NA,NA,NA,0.178,NA,NA,NA
1425,NA,NA,NA,NA,0.178,NA,NA,NA
1428,NA,NA,NA,NA,0.178,NA,NA,NA
1431,NA,NA,NA,NA,0.178,NA,NA,NA
1434,NA,NA,NA,NA,0.178,NA,NA,NA
1436,NA,NA,NA,NA,0.18,NA,NA,NA
1439,NA,NA,NA,NA,0.178,NA,NA,NA
1442,NA,NA,NA,NA,0.178,NA,NA,NA
1445,NA,NA,NA,NA,0.178,NA,NA,NA
1448,NA,NA,NA,NA,0.178,NA,NA,NA
1450,NA,NA,NA,NA,0.178,NA,NA,NA
1453,NA,NA,NA,NA,0.178,NA,NA,NA
1456,NA,NA,NA,NA,0.179,NA,NA,NA
1459,NA,NA,NA,NA,0.179,NA,NA,NA
1462,-26.513,9.959,11.687,NA,0.18,52.165,NA,NA
1464,NA,NA,NA,NA,0.18,NA,NA,NA
1467,NA,NA,11.134,501.355,0.181,NA,NA,NA
1470,NA,NA,NA,NA,0.181,NA,NA,NA
1473,NA,NA,11.828,586.804,0.182,48.728,NA,NA
1475,NA,NA,NA,NA,0.182,NA,NA,NA
1478,-26.434,10.092,11.133,628.766,0.183,56.794,NA,NA
1481,NA,NA,NA,NA,0.183,NA,NA,NA
1484,NA,NA,11.87,649.21,0.184,NA,NA,NA
1486,NA,NA,NA,NA,0.184,NA,NA,NA
1489,NA,NA,13.354,657.182,0.185,40.304,NA,NA
1492,NA,NA,NA,NA,0.185,NA,NA,NA
1494,NA,NA,17.267,660.336,0.186,33.158,NA,NA
1497,-26.553,10.639,NA,NA,0.187,NA,NA,NA
1500,NA,NA,15.686,665.725,0.188,68.776,NA,NA
1503,NA,NA,NA,NA,0.188,NA,NA,NA
1505,NA,NA,10.243,677.291,0.189,57.827,NA,NA
1508,NA,NA,NA,NA,0.19,NA,NA,NA
1510,NA,NA,11.746,696.35,0.192,49.612,NA,NA
1513,NA,NA,NA,NA,0.193,NA,NA,NA
1516,NA,NA,11.067,719.088,0.195,NA,NA,NA
1518,NA,NA,NA,NA,0.196,NA,NA,NA
1521,NA,NA,8.271,739.855,0.198,46.043,NA,NA
1523,NA,NA,NA,NA,0.199,NA,NA,NA
1526,NA,NA,8.769,752.604,0.201,55.262,NA,NA
1528,NA,NA,NA,NA,0.203,NA,NA,NA
1531,NA,NA,9.569,757.862,0.203,47.707,NA,NA
1533,NA,NA,NA,NA,0.203,NA,NA,NA
1536,NA,NA,10.127,756.81,0.203,51.33,NA,NA
1538,NA,NA,NA,NA,0.203,NA,NA,NA
1541,NA,NA,10.483,751.422,0.203,43.684,NA,NA
1543,NA,NA,NA,NA,0.203,NA,NA,NA
1546,NA,NA,10.78,745.901,0.203,52.97,NA,NA
1548,NA,NA,NA,NA,0.203,NA,NA,NA
1550,NA,NA,11.746,744.455,0.203,51.147,NA,NA
1553,-27.373,9.564,NA,NA,0.203,NA,NA,NA
1555,NA,NA,11.697,747.479,0.203,69.498,NA,NA
1558,NA,NA,NA,NA,0.203,NA,NA,NA
1560,NA,NA,10.951,753.919,0.203,62.868,NA,NA
1563,NA,NA,NA,NA,0.203,NA,NA,NA
1565,NA,NA,11.153,760.228,0.203,38.886,NA,NA
1568,NA,NA,NA,NA,0.203,NA,NA,NA
1570,NA,NA,11.925,765.617,0.203,48.177,NA,NA
1573,-26.654,9.773,NA,NA,0.203,NA,NA,NA
1575,NA,NA,10.966,770.48,0.203,53.03,NA,NA
1578,NA,NA,NA,NA,0.203,NA,NA,NA
1580,NA,NA,11.757,775.737,0.203,50.065,NA,NA
1582,NA,NA,NA,785.069,0.202,40.214,NA,NA
1585,NA,NA,13.317,793.087,0.202,49.059,NA,NA
1587,-26.199,10.131,NA,NA,0.202,NA,NA,NA
1590,NA,NA,10.246,791.378,0.202,47.316,NA,NA
1592,NA,NA,NA,NA,0.192,NA,NA,NA
1595,NA,NA,10.613,779.943,0.203,50.734,NA,NA
1597,NA,NA,NA,NA,0.203,NA,NA,NA
1600,NA,NA,10.131,765.222,0.203,NA,NA,NA
1602,NA,NA,NA,NA,0.203,59.533,NA,NA
1605,NA,NA,10.184,751.553,0.203,61.211,NA,NA
1607,NA,NA,NA,NA,0.203,46.891,NA,NA
1610,-27.707,9.388,10.608,NA,0.202,NA,NA,NA
1612,NA,NA,NA,NA,0.202,NA,NA,NA
1615,NA,NA,10.524,743.404,0.202,NA,NA,NA
1617,NA,NA,NA,NA,0.202,NA,NA,NA
1620,NA,NA,12.418,743.798,0.202,55.663,NA,NA
1622,NA,NA,NA,NA,0.202,NA,NA,NA
1625,NA,NA,10.147,749.581,0.201,43.218,NA,NA
1627,NA,NA,NA,NA,0.201,NA,NA,NA
1630,NA,NA,10.239,756.942,0.201,56.496,NA,NA
1632,NA,NA,NA,NA,0.201,NA,NA,NA
1635,NA,NA,9.925,765.485,0.201,46.7,NA,NA
1637,NA,NA,NA,NA,0.2,NA,NA,NA
1639,NA,NA,12.099,777.709,0.2,58.851,NA,NA
1642,NA,NA,NA,NA,0.2,NA,NA,NA
1644,NA,NA,11.805,793.875,0.2,45.76,NA,NA
1647,NA,NA,NA,NA,0.199,NA,NA,NA
1649,-27.334,9.338,9.739,809.385,0.199,56.609,NA,NA
1652,NA,NA,NA,NA,0.199,NA,NA,NA
1655,NA,NA,9.686,824.237,0.199,42.129,NA,NA
1657,NA,NA,NA,NA,0.198,NA,NA,NA
1660,NA,NA,9.002,836.987,0.198,50.42,NA,NA
1662,NA,NA,NA,NA,0.198,44.809,NA,NA
1665,NA,NA,9.704,845.53,0.198,NA,NA,NA
1667,NA,NA,NA,NA,0.197,NA,NA,NA
1670,NA,NA,9.743,850.787,0.197,32.654,NA,NA
1672,NA,NA,NA,NA,0.197,NA,NA,NA
1675,NA,NA,9.996,850.393,0.196,42.707,NA,NA
1677,NA,NA,NA,NA,0.196,NA,NA,NA
1680,NA,NA,10.491,841.324,0.196,39.45,NA,NA
1682,NA,NA,NA,NA,0.196,NA,NA,NA
1685,NA,NA,8.341,823.712,0.195,48.612,NA,NA
1688,NA,NA,NA,NA,0.195,NA,NA,NA
1690,-27.314,9.437,9.924,802.156,0.195,58.934,NA,NA
1693,NA,NA,NA,NA,0.194,NA,NA,NA
1695,NA,NA,11.189,783.623,0.194,55.184,NA,NA
1698,NA,NA,NA,NA,0.193,NA,NA,NA
1700,NA,NA,11.577,773.634,0.193,NA,NA,NA
1703,NA,NA,NA,NA,0.193,NA,NA,NA
1706,-26.599,10.176,11.095,768.64,0.193,45.99,NA,NA
1708,NA,NA,NA,NA,0.192,NA,NA,NA
1711,NA,NA,11.46,765.222,0.192,60.587,NA,NA
1713,NA,NA,NA,NA,0.191,NA,NA,NA
1716,NA,NA,11.191,761.411,0.191,NA,NA,NA
1719,NA,NA,NA,NA,0.19,NA,NA,NA
1721,-27.617,9.57,12.007,760.885,0.19,60.732,NA,NA
1724,NA,NA,NA,NA,0.19,NA,NA,NA
1726,NA,NA,11.112,766.931,0.189,59.385,NA,NA
1729,NA,NA,NA,NA,0.189,NA,NA,NA
1732,NA,NA,13.269,776.789,0.189,NA,NA,NA
1734,NA,NA,NA,NA,0.188,NA,NA,NA
1737,NA,NA,12.177,787.304,0.188,63.825,NA,NA
1740,NA,NA,NA,NA,0.187,NA,NA,NA
1742,NA,NA,10.188,795.978,0.187,57.131,NA,NA
1745,NA,NA,NA,NA,0.187,NA,NA,NA
1748,NA,NA,9.381,795.453,0.186,48.526,NA,NA
1750,NA,NA,NA,NA,0.186,NA,NA,NA
1753,NA,NA,10.497,789.801,0.185,NA,NA,NA
1756,NA,NA,NA,NA,0.185,NA,NA,NA
1759,-27.186,9.913,10.091,786.121,0.184,57.069,NA,NA
1761,NA,NA,NA,NA,0.184,80.7,NA,NA
1764,NA,NA,10.704,784.938,0.183,44.835,NA,NA
1767,NA,NA,NA,NA,0.183,NA,NA,NA
1769,NA,NA,10.737,785.069,0.182,NA,NA,NA
1772,NA,NA,NA,NA,0.182,NA,NA,NA
1775,NA,NA,12.001,785.858,0.181,61.77,NA,NA
1778,NA,NA,NA,NA,0.181,NA,NA,NA
1780,-27.541,9.532,11.063,788.618,0.181,63.286,NA,NA
1783,NA,NA,NA,NA,0.18,NA,NA,NA
1786,NA,NA,8.224,789.407,0.18,50.9,NA,NA
1789,NA,NA,NA,NA,0.179,NA,NA,NA
1792,NA,NA,7.595,784.675,0.179,48.896,NA,NA
1794,NA,NA,NA,NA,0.178,NA,NA,NA
1797,NA,NA,9.424,779.155,0.178,NA,NA,NA
1800,NA,NA,NA,NA,0.173,NA,NA,NA
1803,NA,NA,6.69,784.018,0.178,37.356,NA,NA
1806,NA,NA,NA,NA,0.177,NA,NA,NA
1809,NA,NA,8.195,802.025,0.177,NA,NA,NA
1811,NA,NA,NA,NA,0.177,NA,NA,NA
1814,NA,NA,8.006,820.294,0.177,36.956,NA,NA
1817,NA,NA,NA,NA,0.177,NA,NA,NA
1820,NA,NA,8.567,829.1,0.176,38.179,NA,NA
1823,NA,NA,NA,NA,0.176,NA,NA,NA
1826,NA,NA,9.044,826.866,0.176,NA,NA,NA
1828,NA,NA,NA,NA,0.175,NA,NA,NA
1831,NA,NA,9.795,817.403,0.175,47.771,NA,NA
1834,NA,NA,NA,NA,0.175,NA,NA,NA
1837,NA,NA,10.572,803.47,0.174,51.022,NA,NA
1840,NA,NA,NA,NA,0.174,NA,NA,NA
1843,NA,NA,10.013,787.698,0.174,NA,NA,NA
1846,NA,NA,NA,NA,0.173,NA,NA,NA
1848,NA,NA,10.537,774.291,0.173,72.712,NA,NA
1851,NA,NA,NA,NA,0.172,NA,NA,NA
1854,NA,NA,10.458,766.8,0.172,62.087,NA,NA
1857,NA,NA,NA,NA,0.172,NA,NA,NA
1860,NA,NA,10.005,765.485,0.171,NA,NA,NA
1863,NA,NA,NA,NA,0.171,NA,NA,NA
1866,NA,NA,11.418,768.903,0.171,NA,NA,NA
1869,NA,NA,NA,NA,0.171,NA,NA,NA
