depth (m) [1-1],age (yr BP) [1-1],Temperature (degC) [1-1],Core (unitless) [1-1],Sample interval (cm) [1-1],UK37 (unitless) [1-1],UK37_error (1sigma) [1-1],U371sigmaUncertainty- (unitless) [1-1],K37s (Âµg/g) [1-1],Temperature_uncertainty_plus (degC) [1-1],Temperature_uncertainty_minus (degC) [1-1],depth (m) [1-2],age (yr BP) [1-2],BSI (percentByWeight) [1-2],depth (m) [1-3],age (yr BP) [1-3],Al (percent) [1-3],Mn (ppm) [1-3],Co (ppm) [1-3],Cr (ppm) [1-3],U (ppm) [1-3],Mo (ppm) [1-3],Cd (ppm) [1-3],Mo_xs (ppm) [1-3],U_xs (ppm) [1-3],depth (m) [1-4],age (yr BP) [1-4],TOC (percent) [1-4],TN (percent) [1-4],d13C (permil) [1-4],dN15 (permil) [1-4],dN15_corrected (permil) [1-4],depth (m) [1-5],age (yr BP) [1-5],d13C_benthic (permil) [1-5],d18O_benthic (permil) [1-5],depth (m) [1-6],age (yr BP) [1-6],d18O_plank (permil) [1-6],d13C_plank (permil) [1-6],depth (m) [1-7],age (yr BP) [1-7],d18O_Gb (permil) [1-7],d13C_Gb (permil) [1-7]
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42,16830,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,17103.6,0.55,0.03,-24.76,2.46,3.87,6.85,15070,-0.94,4.19,6.71,14354,2.41,0.42,6.8,14820,2.97,-0.04
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,16910,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.42,17120.4,0.69,0.04,-24.9,2.85,4.89,6.88,15282.73,-1.13,4.41,6.72,14402,2.24,0.28,6.83,14958.8889,2.68,-0.34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,16980,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,17136.4,0.61,0.04,-24.78,2.74,4.46,6.9,15460,-1.2,4.38,6.73,14450,1.78,0.26,6.85,15070,3.1,-0.29
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57,17010,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.82,17152.4,0.62,0.03,-25.75,2.7,6.98,6.95,15675.36,-1.27,4.31,6.74,14498,1.93,0.15,6.88,15282.7273,2.86,-0.45
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,17020,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.02,17168.4,0.66,0.03,-25.87,2.63,7.34,7,15914.64,-1.22,4.36,6.75,14546,2.33,0.23,6.9,15460,3.12,-0.49
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,17030,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22,17184.69,0.64,0.04,-24.89,3.01,5.19,7.04,16130,-1.15,4.48,6.76,14595,2.36,0.17,6.95,15675.3571,3.23,-0.58
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,17040,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42,17201.02,0.6,0.03,-25.01,2.94,5.29,7.11,16268.86,-1.27,4.35,6.77,14645,2.29,0.14,7,15914.6429,3.4,-0.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.77,17050,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62,17219,0.59,0.04,-25.03,3.34,6.23,7.16,16375.68,-0.96,4.48,6.79,14745,2.65,0.22,7.04,16130,3.17,-0.51
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.82,17050,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82,17239,0.71,0.05,-25.07,3.22,6.06,7.26,16600,-1.13,4.48,6.8,14820,2.95,0.31,7.11,16268.8636,3.61,-0.39
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87,17060,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.02,17259,0.47,0.04,-24.94,3.26,5.83,7.54,17010,-1.12,4.46,6.83,14958.89,3.05,0.14,7.16,16375.6818,3.5,-0.73
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92,17070,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.22,17279,0.44,0.03,-24.82,3.44,5.93,8.04,17090,-0.88,4.54,6.85,15070,2.82,0.16,7.26,16600,3.57,-0.46
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.97,17080,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.42,17299,0.42,0.03,-24.58,3.33,5.24,8.54,17130,-0.81,4.66,6.88,15282.73,3.34,-0.08,7.54,17010,3.5,-0.43
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,17090,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.62,17320.8,0.36,0.03,-25.16,3.57,7.17,9.04,17170,-1.48,4.54,6.9,15460,3.11,-0.09,8.04,17090,3.63,-0.73
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.07,17090,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.82,17344.8,0.44,0.03,-25.96,3,NA,9.53,17210,-1.12,4.69,6.95,15675.36,3.3,-0.11,8.54,17130,3.32,-0.7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12,17100,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.02,17368.8,0.41,0.03,-26.28,3.09,NA,10.03,17260,-0.8,4.53,7,15914.64,3.52,-0.11,9.04,17170,3.47,-0.71
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17,17100,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,17310,-0.7,4.88,7.04,16130,3.62,-0.18,9.53,17210,3.48,-0.66
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,17100,4.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.03,17370,-0.76,4.67,7.11,16268.86,3.46,-0.11,10.03,17260,3.68,-0.63
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23,17110,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,16375.68,3.58,-0.04,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27,17110,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26,16600,3.69,0.05,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.32,17110,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.54,17010,3.59,0.03,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.37,17120,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04,17090,3.61,-0.08,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.42,17120,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54,17130,3.71,-0.06,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47,17120,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.04,17170,3.58,-0.23,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.52,17130,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.53,17210,3.59,-0.07,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57,17130,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.03,17260,3.69,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,17140,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,17310,3.56,0.03,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,17140,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.03,17370,3.54,-0.11,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.72,17140,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.77,17150,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.82,17150,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87,17160,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.92,17160,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.97,17160,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.02,17170,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.07,17170,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12,17180,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17,17180,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22,17180,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.27,17190,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32,17190,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.37,17200,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42,17200,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.47,17210,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52,17210,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.57,17210,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62,17220,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.67,17220,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.72,17230,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73,17230,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.77,17230,4.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82,17240,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.87,17240,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92,17250,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.97,17250,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.02,17260,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,17260,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.12,17270,4.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.17,17270,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.22,17280,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.27,17280,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32,17290,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.37,17290,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.42,17300,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.47,17300,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.52,17310,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.57,17310,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.62,17320,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.67,17330,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.72,17330,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.77,17340,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.82,17340,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.87,17350,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.92,17360,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.97,17360,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.02,17370,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.07,17370,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.12,17380,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.17,17390,4.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,17390,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
