year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],Actinocyclus_curvatulus (unitless) [1-1],Roperia_tesselata (unitless) [1-1],CAL (unitless) [1-1],Actinocyclus_octonarius (unitless) [1-1],Actinoptychus_spp. (unitless) [1-1],Azpeitia_nodulifer (unitless) [1-1],Coscinodiscus_spp. (unitless) [1-1],Cyclotella_spp. (unitless) [1-1],Stephanopyxis_spp. (unitless) [1-1],Number_counted (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],CAL (unitless) [2-1],Dictyocha_acueata (unitless) [2-1],D_aff_D_aculeata (unitless) [2-1],D_aspinosa (unitless) [2-1],D_calida (unitless) [2-1],D_calida_ampliata (unitless) [2-1],D_perlaevis (unitless) [2-1],D_stapedia (unitless) [2-1],Ds_speculum (unitless) [2-1],Octactis_pulchra_(lrg) (unitless) [2-1],O_pulchra_(med) (unitless) [2-1],O_pulchra_(small) (unitless) [2-1],O_pulchra_(thick) (unitless) [2-1],Numbe_counted (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],BSI (%) [3-1],CAL (unitless) [3-1],%Al (%) [3-1],%Si (%) [3-1],%Fe (%) [3-1],%Ti (%) [3-1],%Mg (%) [3-1],%K (%) [3-1],%P (%) [3-1],Ba (ppm) (unitless) [3-1],Sr (ppm) (unitless) [3-1],% Total C (%) [3-1],%TIC (%) [3-1],%TOC (%) [3-1],%CaCO3 (%) [3-1]
-9066.67,11016.67,1005.5,8.9,1.5,CAL,1.5,51.7,18.2,13.3,4.9,0,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9150,11100,1010.5,6.9,6.4,CAL,1.5,34.5,10.8,33.5,5.4,1,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9233.33,11183.33,1015.5,10.9,12.9,CAL,0.5,31.2,20.3,19.8,3.5,1,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9316.67,11266.67,1020.5,4.4,14.7,CAL,0,31.4,11.8,28.9,8.8,0,204,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9400,11350,1025.5,7.8,6.3,CAL,2,36.1,18,17.6,12.2,0,205,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9483.33,11433.33,1030.5,5.4,24.5,CAL,1,27.9,9.8,26.5,4.9,0,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9566.67,11516.67,1035.5,4,8.5,CAL,4,40.3,10,26.4,7,0,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9650,11600,1040.5,6.9,7.4,CAL,2,46.3,5.4,25.6,6.4,0,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9733.33,11683.33,1045.5,2.5,3,CAL,5,36.8,22.9,20.4,9.5,0,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9816.67,11766.67,1050.5,0.5,4.9,CAL,1,19.9,27.7,29.1,17,0,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9900,11850,1055.5,0,1.4,CAL,1.4,8.2,59.6,21.6,7.7,0,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9983.33,11933.33,1060.5,2.4,0.5,CAL,0.5,19.2,41.3,25,11.1,0,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10066.67,12016.67,1065.5,1,0.5,CAL,1,13.9,61.4,11.4,10.9,0,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10150,12100,1070.5,1.4,0.5,CAL,2.4,9.6,61.7,14.4,10,0,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10233.33,12183.33,1075.5,3.9,0.5,CAL,1,6.9,64.2,12.7,10.8,0,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10316.67,12266.67,1080.5,1.9,1.5,CAL,1,14.1,53.9,17,10.7,0,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10400,12350,1085.5,2,0.5,CAL,1,12.3,60.1,15.8,8.4,0,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10483.33,12433.33,1090.5,1.5,0,CAL,2,13.2,52.9,19.1,11.3,0,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10566.67,12516.67,1095.5,1.9,1,CAL,1.9,14.4,50.7,18.2,12,0,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10693.1,12643.1,1100.5,1.5,0,CAL,1.9,18.9,42.7,21.8,12.1,1,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10779.31,12729.31,1105.5,1,1,CAL,1.5,13.2,52.5,19.1,11.3,0.5,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10865.52,12815.52,1110.5,0.5,0.5,CAL,1.5,13.7,46.1,27.5,9.8,0.5,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10951.72,12901.72,1115.5,0.5,1,CAL,2,17.8,47,22.8,8.9,0,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10994.64,12944.64,1120.5,1,0,CAL,2.5,20.1,50,20.1,6.4,0,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11039.29,12989.29,1125.5,2,0.5,CAL,3.9,39.2,17.6,32.8,2.9,1,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11083.93,13033.93,1130.5,2.5,2.9,CAL,7.8,13.2,50.5,14.7,7.8,0.5,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11128.57,13078.57,1135.5,5.4,0.5,CAL,8.4,37.1,27.7,14.4,5.4,1,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11173.21,13123.21,1140.5,3.9,0,CAL,7.9,20.7,52.7,10.8,3.4,0.5,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11217.86,13167.86,1145.5,2,0,CAL,7.9,29.1,37.9,21.2,2,0,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11262.5,13212.5,1150.5,11.4,0,CAL,4,29.2,25.7,24.3,5.4,0,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11307.14,13257.14,1155.5,2,0,CAL,0.5,43.4,37.6,13.7,2.4,0.5,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11351.79,13301.79,1160.5,10.8,0,CAL,3.9,32.4,24.5,15.2,11.8,1.5,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11396.43,13346.43,1165.5,6.4,0.5,CAL,6.9,28.6,26.1,25.6,5.4,0.5,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11441.07,13391.07,1170.5,5.9,0,CAL,2.5,41.6,28.2,18.3,3,0.5,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11485.71,13435.71,1175.5,20.8,1,CAL,1.5,33.2,5.9,14.9,22.3,0.5,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11530.36,13480.36,1180.5,2.9,2,CAL,3.9,33.8,28.9,19.1,9.3,0,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11575,13525,1185.5,7.9,1.5,CAL,2.5,37.9,27.6,14.8,7.9,0,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11619.64,13569.64,1190.5,2.5,0.5,CAL,3.4,36.3,31.9,14.7,9.8,1,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11664.29,13614.29,1195.5,23.3,0.5,CAL,3.5,39.1,9.9,17.3,6.4,0,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11708.93,13658.93,1200.5,10.7,0,CAL,5.9,42.9,18.5,13.2,8.3,0.5,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11753.57,13703.57,1205.5,2.9,16.3,CAL,1.9,9.6,51.2,8.6,9.6,0,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11798.21,13748.21,1210.5,9.9,0.5,CAL,3,30,29.6,20.7,6.4,0,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11842.86,13792.86,1215.5,4.3,0,CAL,8.2,27.4,38,10.6,11.5,0,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11887.5,13837.5,1220.5,10.8,0,CAL,3,54.2,14.3,10.3,6.4,1,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11932.14,13882.14,1225.5,8.8,1,CAL,1.5,31.9,19.6,26.5,10.3,0.5,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11976.79,13926.79,1230.5,12.9,0,CAL,2.5,25.7,31.2,18.3,7.9,1.5,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12021.43,13971.43,1235.5,2,0,CAL,1,26,44.1,21.1,5.9,0,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12066.07,14016.07,1240.5,7.9,0,CAL,2,44.8,23.2,13.8,7.9,0.5,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12110.71,14060.71,1245.5,10.6,0,CAL,4.3,28.5,22.7,26.6,7.2,0,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12155.36,14105.36,1250.5,4.9,2.9,CAL,1.5,34.6,28.8,14.1,13.2,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12200,14150,1255.5,5.8,0,CAL,2.4,28.5,32.9,18.4,12.1,0,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12244.64,14194.64,1260.5,6.9,0,CAL,3.4,32.4,34.3,19.1,3.9,0,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12289.29,14239.29,1265.5,9.2,0,CAL,3.9,33.5,30.6,16,5.8,1,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12333.93,14283.93,1270.5,2.4,0,CAL,1.5,14.1,63.1,16,2.4,0.5,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12378.57,14328.57,1275.5,5.8,0.5,CAL,5.8,37.4,33.5,10.7,5.3,1,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12423.21,14373.21,1280.5,3.9,0,CAL,4.9,35.1,37.1,11.7,7.3,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12467.86,14417.86,1285.5,5.4,0.5,CAL,2,33,36.5,15.8,6.4,0.5,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12512.5,14462.5,1290.5,5.9,0,CAL,5.9,30.2,32.2,18,7.8,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12557.14,14507.14,1295.5,2.9,0.5,CAL,5.8,18.8,42,14,15.9,0,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12601.79,14551.79,1300.5,2.4,0.5,CAL,3.4,16.6,67.3,4.9,4.4,0.5,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12646.43,14596.43,1305.5,0,0.5,CAL,3.9,22.3,49,16.5,7.8,0,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12691.07,14641.07,1310.5,0.5,0,CAL,0,8.5,71.6,14.9,4.5,0,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12735.71,14685.71,1315.5,1.5,1.5,CAL,2.9,19,40.5,29.3,5.4,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12780.36,14730.36,1320.5,1.5,0,CAL,2.4,14.6,61.5,16.6,3.4,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12825,14775,1325.5,1,0,CAL,0,21.8,50.5,20.4,6.3,0,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12967.86,14917.86,1341.5,0.5,0.5,CAL,3.2,13.9,52.8,16.2,13,0,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13012.5,14962.5,1346.5,0.5,1,CAL,1.9,10.6,57.5,22.2,5.8,0.5,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13057.14,15007.14,1351.5,0,0,CAL,0,10.2,62.9,22,4.9,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13101.79,15051.79,1356.5,1,0,CAL,0.5,6.9,54.2,26.1,10.8,0.5,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13146.43,15096.43,1361.5,1,0,CAL,1.5,10.2,62.1,14.6,10.7,0,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13191.07,15141.07,1366.5,2.9,0,CAL,1.9,12.1,57.8,13.1,12.1,0,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13235.71,15185.71,1371.5,1.5,0,CAL,2,12.7,54.9,18.1,10.8,0,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
