deuteriumExcess (permil),year (AD),depth (m)
NA,-5937.76,1198.45
NA,-5942.67,1199
NA,-5947.63,1199.55
NA,-5952.66,1200.1
NA,-5957.62,1200.65
NA,-5962.57,1201.2
NA,-5967.5,1201.75
NA,-5972.3,1202.3
NA,-5977.02,1202.85
NA,-5981.71,1203.4
NA,-5986.37,1203.95
NA,-5990.99,1204.5
NA,-5995.65,1205.05
NA,-6000.33,1205.6
NA,-6005.04,1206.15
NA,-6009.75,1206.7
NA,-6014.48,1207.25
NA,-6019.27,1207.8
NA,-6024.09,1208.35
NA,-6028.97,1208.9
NA,-6033.94,1209.45
NA,-6038.88,1210
NA,-6043.79,1210.55
NA,-6048.68,1211.1
NA,-6053.61,1211.65
NA,-6058.51,1212.2
NA,-6063.55,1212.75
NA,-6068.59,1213.3
NA,-6073.57,1213.85
NA,-6078.55,1214.4
NA,-6083.54,1214.95
NA,-6088.44,1215.5
NA,-6093.29,1216.05
NA,-6098.24,1216.6
NA,-6103.15,1217.15
NA,-6107.97,1217.7
NA,-6112.75,1218.25
NA,-6117.67,1218.8
NA,-6122.65,1219.35
NA,-6127.67,1219.9
NA,-6132.78,1220.45
NA,-6138.04,1221
NA,-6143.35,1221.55
NA,-6148.64,1222.1
NA,-6153.95,1222.65
NA,-6159.26,1223.2
NA,-6164.55,1223.75
NA,-6169.87,1224.3
NA,-6175.24,1224.85
NA,-6180.68,1225.4
NA,-6186.25,1225.95
NA,-6191.94,1226.5
NA,-6197.49,1227.05
NA,-6203.05,1227.6
NA,-6208.63,1228.15
NA,-6214.2,1228.7
NA,-6219.73,1229.25
NA,-6225.33,1229.8
NA,-6230.86,1230.35
NA,-6236.28,1230.9
NA,-6242.61,1231.45
NA,-6248.92,1232
NA,-6255.22,1232.55
NA,-6261.58,1233.1
NA,-6267.98,1233.65
NA,-6274.34,1234.2
NA,-6280.6,1234.75
NA,-6286.69,1235.3
NA,-6292.65,1235.85
NA,-6298.59,1236.4
NA,-6304.57,1236.95
NA,-6310.53,1237.5
NA,-6316.54,1238.05
NA,-6322.55,1238.6
NA,-6328.56,1239.15
NA,-6334.55,1239.7
NA,-6340.65,1240.25
NA,-6346.81,1240.8
NA,-6352.96,1241.35
NA,-6359.12,1241.9
NA,-6365.22,1242.45
NA,-6371.21,1243
NA,-6377.11,1243.55
NA,-6383.13,1244.1
NA,-6389.22,1244.65
NA,-6395.38,1245.2
NA,-6401.63,1245.75
NA,-6407.84,1246.3
NA,-6413.95,1246.85
NA,-6420.03,1247.4
NA,-6426.23,1247.95
NA,-6432.28,1248.5
NA,-6438.43,1249.05
NA,-6444.54,1249.6
NA,-6450.57,1250.15
NA,-6456.48,1250.7
NA,-6462.56,1251.25
NA,-6468.65,1251.8
NA,-6474.84,1252.35
NA,-6481.09,1252.9
NA,-6487.28,1253.45
NA,-6493.32,1254
NA,-6499.35,1254.55
NA,-6505.27,1255.1
NA,-6511.26,1255.65
NA,-6517.29,1256.2
NA,-6523.35,1256.75
NA,-6529.49,1257.3
NA,-6535.75,1257.85
NA,-6541.92,1258.4
NA,-6548.07,1258.95
NA,-6554.3,1259.5
NA,-6560.48,1260.05
NA,-6566.59,1260.6
NA,-6572.65,1261.15
NA,-6578.86,1261.7
NA,-6584.93,1262.25
NA,-6590.96,1262.8
NA,-6596.96,1263.35
NA,-6603.02,1263.9
NA,-6609,1264.45
NA,-6615.1,1265
NA,-6621.19,1265.55
NA,-6627.2,1266.1
NA,-6633.22,1266.65
NA,-6639.23,1267.2
NA,-6645.3,1267.75
NA,-6651.41,1268.3
NA,-6657.61,1268.85
NA,-6663.95,1269.4
NA,-6670.39,1269.95
NA,-6676.8,1270.5
NA,-6683.21,1271.05
NA,-6689.67,1271.6
NA,-6696.05,1272.15
NA,-6702.47,1272.7
NA,-6708.79,1273.25
NA,-6715.04,1273.8
NA,-6721.23,1274.35
NA,-6727.26,1274.9
NA,-6733.3,1275.45
NA,-6739.34,1276
NA,-6745.49,1276.55
NA,-6751.58,1277.1
NA,-6757.79,1277.65
NA,-6763.88,1278.2
NA,-6770.06,1278.75
NA,-6776.26,1279.3
NA,-6782.58,1279.85
NA,-6788.94,1280.4
NA,-6795.23,1280.95
NA,-6801.46,1281.5
NA,-6807.65,1282.05
NA,-6813.89,1282.6
NA,-6820.23,1283.15
NA,-6826.61,1283.7
NA,-6833.07,1284.25
NA,-6839.64,1284.8
NA,-6846.1,1285.35
NA,-6852.52,1285.9
NA,-6858.88,1286.45
NA,-6865.11,1287
NA,-6871.21,1287.55
NA,-6877.35,1288.1
NA,-6883.42,1288.65
NA,-6889.66,1289.2
NA,-6895.93,1289.75
NA,-6902.24,1290.3
NA,-6908.55,1290.85
NA,-6914.92,1291.4
NA,-6921.13,1291.95
NA,-6927.24,1292.5
NA,-6933.33,1293.05
NA,-6939.36,1293.6
NA,-6945.28,1294.15
NA,-6951.27,1294.7
NA,-6957.42,1295.25
NA,-6963.64,1295.8
NA,-6969.88,1296.35
NA,-6976.15,1296.9
NA,-6982.37,1297.45
NA,-6988.61,1298
NA,-6994.79,1298.55
NA,-7001.07,1299.1
NA,-7007.29,1299.65
NA,-7013.5,1300.2
NA,-7019.71,1300.75
NA,-7025.91,1301.3
NA,-7032.05,1301.85
NA,-7038.3,1302.4
NA,-7044.61,1302.95
NA,-7051.02,1303.5
NA,-7057.61,1304.05
NA,-7064.21,1304.6
NA,-7070.86,1305.15
NA,-7077.58,1305.7
NA,-7084.17,1306.25
NA,-7090.65,1306.8
NA,-7097.14,1307.35
NA,-7103.61,1307.9
NA,-7109.96,1308.45
NA,-7116.33,1309
NA,-7122.63,1309.55
NA,-7128.93,1310.1
NA,-7135.19,1310.65
NA,-7141.53,1311.2
NA,-7147.9,1311.75
NA,-7154.37,1312.3
NA,-7160.8,1312.85
NA,-7167.26,1313.4
NA,-7173.62,1313.95
NA,-7179.93,1314.5
NA,-7186.16,1315.05
NA,-7192.38,1315.6
NA,-7198.63,1316.15
NA,-7204.87,1316.7
NA,-7211.15,1317.25
NA,-7217.44,1317.8
NA,-7223.76,1318.35
NA,-7230.08,1318.9
NA,-7236.49,1319.45
NA,-7242.88,1320
NA,-7249.34,1320.55
NA,-7255.84,1321.1
NA,-7262.32,1321.65
NA,-7268.86,1322.2
NA,-7275.55,1322.75
NA,-7282.21,1323.3
NA,-7288.95,1323.85
NA,-7295.68,1324.4
NA,-7302.54,1324.95
NA,-7309.41,1325.5
NA,-7316.53,1326.05
NA,-7323.6,1326.6
NA,-7330.83,1327.15
NA,-7337.91,1327.7
NA,-7344.72,1328.25
NA,-7351.29,1328.8
NA,-7357.85,1329.35
NA,-7364.4,1329.9
NA,-7370.99,1330.45
NA,-7377.63,1331
NA,-7384.25,1331.55
NA,-7390.87,1332.1
NA,-7397.38,1332.65
NA,-7403.72,1333.2
NA,-7409.99,1333.75
NA,-7416.35,1334.3
NA,-7422.79,1334.85
NA,-7429.18,1335.4
NA,-7435.61,1335.95
NA,-7442.2,1336.5
NA,-7448.76,1337.05
NA,-7455.24,1337.6
NA,-7461.75,1338.15
NA,-7468.35,1338.7
NA,-7474.9,1339.25
NA,-7481.47,1339.8
NA,-7488.13,1340.35
NA,-7494.87,1340.9
NA,-7501.61,1341.45
NA,-7508.35,1342
NA,-7515.04,1342.55
NA,-7521.65,1343.1
NA,-7528.27,1343.65
NA,-7534.79,1344.2
NA,-7541.4,1344.75
NA,-7547.95,1345.3
NA,-7554.49,1345.85
NA,-7561.02,1346.4
NA,-7567.62,1346.95
NA,-7574.2,1347.5
NA,-7580.8,1348.05
NA,-7587.32,1348.6
NA,-7593.93,1349.15
NA,-7600.51,1349.7
NA,-7607.02,1350.25
NA,-7613.67,1350.8
NA,-7620.38,1351.35
NA,-7627.02,1351.9
NA,-7633.67,1352.45
NA,-7640.26,1353
NA,-7646.91,1353.55
NA,-7653.53,1354.1
NA,-7660.13,1354.65
NA,-7666.76,1355.2
NA,-7673.57,1355.75
NA,-7680.24,1356.3
NA,-7686.89,1356.85
NA,-7693.55,1357.4
NA,-7700.17,1357.95
NA,-7706.69,1358.5
NA,-7713.26,1359.05
NA,-7719.87,1359.6
NA,-7726.52,1360.15
NA,-7733.18,1360.7
NA,-7739.77,1361.25
NA,-7746.37,1361.8
NA,-7752.96,1362.35
NA,-7759.49,1362.9
NA,-7766.03,1363.45
NA,-7772.62,1364
NA,-7779.19,1364.55
NA,-7785.82,1365.1
NA,-7792.47,1365.65
NA,-7799.14,1366.2
NA,-7805.79,1366.75
NA,-7812.31,1367.3
NA,-7818.82,1367.85
NA,-7825.36,1368.4
NA,-7831.94,1368.95
NA,-7838.61,1369.5
NA,-7845.44,1370.05
NA,-7852.3,1370.6
NA,-7859.21,1371.15
NA,-7866.05,1371.7
