Mg_Ca (mmol/mol),year (AD),depth (cm),temperature (degC),d18O (permil),d18O (per mil),Mg_Ca (mmol/mol) [2-1],year (AD) [2-1],depth (cm) [2-1],temperature (degC) [2-1],dD (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
3.19,-130550,3185.5,24.46,1.6,-0.32,NA,NA,NA,NA,NA,NA,NA
3.29,-131050,3190.5,24.78,1.34,-0.65,NA,NA,NA,NA,NA,NA,NA
3.2,-131550,3195.5,24.47,1.34,-0.59,NA,NA,NA,NA,NA,NA,NA
3.19,-132050,3200.5,24.44,1.39,-0.53,NA,NA,NA,NA,NA,NA,NA
3.1,-132550,3205.5,24.14,1.36,-0.5,NA,NA,NA,NA,NA,NA,NA
3.09,-133050,3210.5,24.08,1.24,-0.61,NA,NA,NA,NA,NA,NA,NA
3.07,-133220,3215.5,24,1.27,-0.56,NA,NA,NA,NA,NA,NA,NA
3.27,-133400,3220.5,24.72,1.32,-0.66,NA,NA,NA,NA,NA,NA,NA
3.07,-133570,3225.5,24,1.39,-0.44,NA,NA,NA,NA,NA,NA,NA
3.6,-133750,3230.5,25.78,1.55,-0.65,NA,NA,NA,NA,NA,NA,NA
2.94,-133920,3235.5,23.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.16,-134100,3240.5,24.33,1.35,-0.55,NA,NA,NA,NA,NA,NA,NA
3.17,-134270,3245.5,24.38,1.37,-0.54,NA,NA,NA,NA,NA,NA,NA
3.27,-134450,3250.5,24.72,1.38,-0.6,NA,NA,NA,NA,NA,NA,NA
3.05,-134620,3255.5,23.94,1.21,-0.61,NA,NA,NA,NA,NA,NA,NA
3.03,-134800,3260.5,23.86,1.15,-0.65,NA,NA,NA,NA,NA,NA,NA
3.19,-134970,3265.5,24.43,1.32,-0.6,NA,NA,NA,NA,NA,NA,NA
2.96,-135150,3270.5,23.59,1.09,-0.66,NA,NA,NA,NA,NA,NA,NA
3.08,-135320,3275.5,24.04,1.37,-0.46,NA,NA,NA,NA,NA,NA,NA
3.07,-135490,3280.5,24.01,1.59,-0.24,NA,NA,NA,NA,NA,NA,NA
3.19,-135670,3285.5,24.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.09,-135840,3290.5,24.07,1.37,-0.48,NA,NA,NA,NA,NA,NA,NA
3.51,-136020,3295.5,25.49,1.66,-0.48,NA,NA,NA,NA,NA,NA,NA
3.1,-136190,3300.5,24.11,1.12,-0.73,NA,NA,NA,NA,NA,NA,NA
2.93,-136370,3305.5,23.49,1.1,-0.63,NA,NA,NA,NA,NA,NA,NA
2.76,-136540,3310.5,22.82,1,-0.58,NA,NA,NA,NA,NA,NA,NA
2.91,-136720,3315.5,23.43,1,-0.71,NA,NA,NA,NA,NA,NA,NA
3.04,-136890,3320.5,23.91,1.23,-0.58,NA,NA,NA,NA,NA,NA,NA
2.88,-137070,3325.5,23.31,0.96,-0.72,NA,NA,NA,NA,NA,NA,NA
3.04,-137240,3330.5,23.91,1.12,-0.7,NA,NA,NA,NA,NA,NA,NA
2.85,-137410,3335.5,23.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.86,-137590,3340.5,23.24,0.85,-0.83,NA,NA,NA,NA,NA,NA,NA
2.96,-137760,3345.5,23.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.87,-137940,3350.5,23.28,0.98,-0.7,NA,NA,NA,NA,NA,NA,NA
2.98,-138110,3355.5,23.67,1.04,-0.72,NA,NA,NA,NA,NA,NA,NA
3.01,-138290,3360.5,23.78,0.98,-0.81,NA,NA,NA,NA,NA,NA,NA
2.98,-138460,3365.5,23.69,0.81,-0.96,NA,NA,NA,NA,NA,NA,NA
2.82,-138640,3370.5,23.08,0.84,-0.79,NA,NA,NA,NA,NA,NA,NA
2.73,-138850,3375.5,22.69,0.82,-0.74,NA,NA,NA,NA,NA,NA,NA
2.99,-139050,3380.5,23.7,1.07,-0.69,NA,NA,NA,NA,NA,NA,NA
3.03,-139260,3385.5,23.88,1.07,-0.74,NA,NA,NA,NA,NA,NA,NA
3.01,-139470,3390.5,23.78,0.86,-0.92,NA,NA,NA,NA,NA,NA,NA
2.98,-139680,3395.5,23.7,0.75,-1.02,NA,NA,NA,NA,NA,NA,NA
2.91,-139890,3400.5,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.08,-140100,3405.5,24.03,0.82,-1.02,NA,NA,NA,NA,NA,NA,NA
3.01,-140310,3410.5,23.81,0.85,-0.94,NA,NA,NA,NA,NA,NA,NA
2.92,-140520,3415.5,23.45,1.01,-0.7,NA,NA,NA,NA,NA,NA,NA
3.06,-140730,3420.5,23.98,0.8,-1.02,NA,NA,NA,NA,NA,NA,NA
3.3,-140930,3425.5,24.8,1.16,-0.84,NA,NA,NA,NA,NA,NA,NA
3.06,-141140,3430.5,23.96,0.94,-0.88,NA,NA,NA,NA,NA,NA,NA
3.05,-141350,3435.5,23.96,0.73,-1.09,NA,NA,NA,NA,NA,NA,NA
3.14,-141560,3440.5,24.27,0.76,-1.13,NA,NA,NA,NA,NA,NA,NA
3.3,-141770,3445.5,24.81,0.82,-1.18,NA,NA,NA,NA,NA,NA,NA
3.24,-141980,3450.5,24.61,1.23,-0.72,NA,NA,NA,NA,NA,NA,NA
2.99,-142190,3455.5,23.71,1.02,-0.75,NA,NA,NA,NA,NA,NA,NA
3.13,-142400,3460.5,24.24,1.07,-0.81,NA,NA,NA,NA,NA,NA,NA
3.06,-142610,3465.5,23.98,0.96,-0.87,NA,NA,NA,NA,NA,NA,NA
3.05,-142810,3470.5,23.93,0.83,-0.99,NA,NA,NA,NA,NA,NA,NA
3.09,-143020,3475.5,24.09,1.06,-0.79,NA,NA,NA,NA,NA,NA,NA
2.92,-143230,3480.5,23.48,0.83,-0.89,NA,NA,NA,NA,NA,NA,NA
2.87,-143440,3485.5,23.26,0.69,-0.98,NA,NA,NA,NA,NA,NA,NA
3.09,-143650,3490.5,24.07,0.87,-0.98,NA,NA,NA,NA,NA,NA,NA
3.22,-143860,3495.5,24.54,0.96,-0.99,NA,NA,NA,NA,NA,NA,NA
3.18,-144070,3500.5,24.41,0.95,-0.96,NA,NA,NA,NA,NA,NA,NA
3.15,-144280,3505.5,24.31,0.93,-0.96,NA,NA,NA,NA,NA,NA,NA
3.01,-144490,3510.5,23.8,0.9,-0.89,NA,NA,NA,NA,NA,NA,NA
3.13,-144690,3515.5,24.24,0.84,-1.04,NA,NA,NA,NA,NA,NA,NA
3.16,-144900,3520.5,24.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.16,-145110,3525.5,24.35,0.92,-0.98,NA,NA,NA,NA,NA,NA,NA
3.37,-145320,3530.5,25.04,0.99,-1.06,NA,NA,NA,NA,NA,NA,NA
3.35,-145530,3535.5,24.98,0.96,-1.08,NA,NA,NA,NA,NA,NA,NA
3.08,-145740,3540.5,24.06,0.3,-1.55,NA,NA,NA,NA,NA,NA,NA
3.22,-145950,3545.5,24.53,1.12,-0.82,NA,NA,NA,NA,NA,NA,NA
3.33,-146160,3550.5,24.91,0.98,-1.04,NA,NA,NA,NA,NA,NA,NA
3.27,-146370,3555.5,24.72,1.35,-0.63,NA,NA,NA,NA,NA,NA,NA
3.13,-146570,3560.5,24.23,1.21,-0.67,NA,NA,NA,NA,NA,NA,NA
3.42,-146780,3565.5,25.22,0.98,-1.11,NA,NA,NA,NA,NA,NA,NA
3.3,-146990,3570.5,24.8,0.71,-1.29,NA,NA,NA,NA,NA,NA,NA
3.21,-147200,3575.5,24.5,0.68,-1.26,NA,NA,NA,NA,NA,NA,NA
3.2,-147410,3580.5,24.46,1.08,-0.84,NA,NA,NA,NA,NA,NA,NA
3.3,-147620,3585.5,24.83,1.21,-0.79,NA,NA,NA,NA,NA,NA,NA
NA,-147830,3590.5,NA,NA,-0.61,NA,NA,NA,NA,NA,NA,NA
3.37,-148040,3595.5,25.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.54,-148250,3600.5,25.61,1.22,-0.95,NA,NA,NA,NA,NA,NA,NA
3.39,-148450,3605.5,25.12,1.73,-0.33,NA,NA,NA,NA,NA,NA,NA
3.23,-148660,3610.5,24.57,1.14,-0.8,NA,NA,NA,NA,NA,NA,NA
3.17,-148870,3615.5,24.38,1.25,-0.66,NA,NA,NA,NA,NA,NA,NA
3.31,-149080,3620.5,24.84,1.27,-0.74,NA,NA,NA,NA,NA,NA,NA
3.21,-149290,3625.5,24.52,0.94,-1,NA,NA,NA,NA,NA,NA,NA
3.23,-149500,3630.5,24.58,1.1,-0.85,NA,NA,NA,NA,NA,NA,NA
3.15,-149710,3635.5,24.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.3,-149920,3640.5,24.82,1.22,-0.78,NA,NA,NA,NA,NA,NA,NA
3.22,-150130,3645.5,24.54,1.38,-0.56,NA,NA,NA,NA,NA,NA,NA
3.21,-150330,3650.5,24.5,1.32,-0.62,NA,NA,NA,NA,NA,NA,NA
3.26,-150540,3655.5,24.68,1.01,-0.96,NA,NA,NA,NA,NA,NA,NA
3.25,-150750,3660.5,24.63,1.33,-0.63,NA,NA,NA,NA,NA,NA,NA
3.26,-150960,3665.5,24.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.13,-151170,3670.5,24.23,1.27,-0.61,NA,NA,NA,NA,NA,NA,NA
3.22,-151380,3675.5,24.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.08,-151590,3680.5,24.06,1.22,-0.62,NA,NA,NA,NA,NA,NA,NA
3.02,-151800,3685.5,23.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.1,-152010,3690.5,24.12,1.2,-0.65,NA,NA,NA,NA,NA,NA,NA
2.86,-152210,3695.5,23.22,1.29,-0.38,NA,NA,NA,NA,NA,NA,NA
2.97,-152420,3700.5,23.63,1.2,-0.55,NA,NA,NA,NA,NA,NA,NA
2.9,-152630,3705.5,23.39,1.04,-0.67,NA,NA,NA,NA,NA,NA,NA
2.99,-152840,3710.5,23.73,1.24,-0.54,NA,NA,NA,NA,NA,NA,NA
2.98,-153050,3715.5,23.67,0.96,-0.8,NA,NA,NA,NA,NA,NA,NA
2.95,-153260,3720.5,23.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.01,-153470,3725.5,23.79,0.97,-0.81,NA,NA,NA,NA,NA,NA,NA
3.04,-153680,3730.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
