d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1],d18O (permil) [2-1]
0.65,1896.71,8.91,1896.79,-5.04
0.7,1896.63,8.85,1896.71,-5.33
0.78,1896.54,8.83,1896.63,-5.34
0.72,1896.46,8.84,1896.54,-5.22
0.7,1896.38,8.9,1896.46,-5.14
0.67,1896.29,8.95,1896.38,-5.05
0.73,1896.21,8.99,1896.29,-4.98
0.85,1896.13,9.02,1896.21,-4.86
0.86,1896.04,9,1896.13,-4.79
0.94,1895.96,8.98,1896.04,-4.82
0.85,1895.88,8.94,1895.96,-4.82
0.83,1895.79,8.94,1895.88,-4.91
0.79,1895.71,8.92,1895.79,-4.98
0.67,1895.63,8.9,1895.71,-5.07
0.66,1895.54,8.93,1895.63,-5.12
0.65,1895.46,8.94,1895.54,-5.1
0.76,1895.38,8.96,1895.46,-5.07
0.65,1895.29,8.94,1895.38,-5
0.69,1895.21,8.99,1895.29,-5
0.75,1895.13,9.03,1895.21,-4.87
0.74,1895.04,9.06,1895.13,-4.74
0.75,1894.96,9.05,1895.04,-4.76
0.74,1894.88,9.03,1894.96,-4.8
0.67,1894.79,9.05,1894.88,-4.77
0.79,1894.71,9.08,1894.79,-4.77
0.7,1894.63,9.04,1894.71,-4.73
0.83,1894.54,9.03,1894.63,-4.84
0.9,1894.46,9.01,1894.54,-4.78
0.95,1894.38,9.01,1894.46,-4.7
0.88,1894.29,9.03,1894.38,-4.61
0.84,1894.21,9.05,1894.29,-4.62
0.89,1894.13,9.07,1894.21,-4.62
0.76,1894.04,9.08,1894.13,-4.54
0.67,1893.96,9.11,1894.04,-4.61
0.78,1893.88,9.07,1893.96,-4.79
0.9,1893.79,9.11,1893.88,-4.59
0.81,1893.71,9.09,1893.79,-4.51
0.72,1893.63,9.04,1893.71,-4.72
1.03,1893.54,9.04,1893.63,-4.8
0.85,1893.46,8.99,1893.54,-4.62
0.82,1893.38,9.07,1893.46,-4.62
0.85,1893.29,9.06,1893.38,-4.66
0.74,1893.21,9.09,1893.29,-4.57
0.82,1893.13,9.11,1893.21,-4.63
0.89,1893.04,9.09,1893.13,-4.59
0.8,1892.96,9.07,1893.04,-4.57
0.67,1892.88,9.08,1892.96,-4.63
0.75,1892.79,9.11,1892.88,-4.69
0.74,1892.71,9.08,1892.79,-4.68
0.7,1892.63,9.07,1892.71,-4.73
0.8,1892.54,9.06,1892.63,-4.79
0.83,1892.46,9.04,1892.54,-4.74
0.82,1892.38,9.03,1892.46,-4.72
0.85,1892.29,9.04,1892.38,-4.71
0.89,1892.21,9.05,1892.29,-4.65
0.91,1892.13,9.06,1892.21,-4.59
0.88,1892.04,9.05,1892.13,-4.59
0.79,1891.96,9.04,1892.04,-4.65
0.81,1891.88,9.03,1891.96,-4.76
0.88,1891.79,9,1891.88,-4.82
0.8,1891.71,8.94,1891.79,-4.88
0.94,1891.63,8.93,1891.71,-5
0.92,1891.54,8.88,1891.63,-4.98
0.96,1891.46,8.92,1891.54,-4.91
0.75,1891.38,8.95,1891.46,-4.79
0.78,1891.29,8.98,1891.38,-4.93
0.88,1891.21,9.02,1891.29,-4.8
0.9,1891.13,8.98,1891.21,-4.79
0.89,1891.04,8.99,1891.13,-4.76
0.84,1890.96,8.99,1891.04,-4.76
0.85,1890.88,8.99,1890.96,-4.82
0.81,1890.79,9,1890.88,-4.79
0.75,1890.71,9.01,1890.79,-4.79
0.73,1890.63,8.97,1890.71,-4.95
0.79,1890.54,8.97,1890.63,-4.96
0.94,1890.46,8.98,1890.54,-4.87
0.9,1890.38,8.96,1890.46,-4.78
0.81,1890.29,8.99,1890.38,-4.76
0.91,1890.21,9.01,1890.29,-4.78
0.93,1890.13,9.04,1890.21,-4.62
0.74,1890.04,9.08,1890.13,-4.5
0.83,1889.96,9.13,1890.04,-4.57
0.88,1889.88,9.11,1889.96,-4.53
0.86,1889.79,9.09,1889.88,-4.54
0.7,1889.71,9.06,1889.79,-4.63
0.71,1889.63,9.07,1889.71,-4.77
0.75,1889.54,9.05,1889.63,-4.8
0.78,1889.46,9.05,1889.54,-4.76
0.82,1889.38,9.05,1889.46,-4.73
0.85,1889.29,9.05,1889.38,-4.69
0.87,1889.21,9.04,1889.29,-4.67
0.91,1889.13,9.04,1889.21,-4.66
0.87,1889.04,9.03,1889.13,-4.64
0.79,1888.96,9.03,1889.04,-4.67
0.76,1888.88,9.04,1888.96,-4.75
0.73,1888.79,9.02,1888.88,-4.82
0.73,1888.71,8.99,1888.79,-4.92
0.82,1888.63,8.94,1888.71,-5.04
0.86,1888.54,8.88,1888.63,-5.09
0.91,1888.46,8.89,1888.54,-5.03
0.97,1888.38,8.89,1888.46,-4.97
0.94,1888.29,8.9,1888.38,-4.9
0.91,1888.21,8.95,1888.29,-4.8
0.98,1888.13,9.01,1888.21,-4.7
0.95,1888.04,9.05,1888.13,-4.54
0.93,1887.96,9.08,1888.04,-4.49
1.02,1887.88,9.05,1887.96,-4.59
0.95,1887.79,8.98,1887.88,-4.66
0.91,1887.71,9.01,1887.79,-4.65
0.94,1887.63,9.01,1887.71,-4.69
0.93,1887.54,9,1887.63,-4.69
0.84,1887.46,8.99,1887.54,-4.71
0.87,1887.38,9.04,1887.46,-4.69
0.92,1887.29,9.05,1887.38,-4.63
0.75,1887.21,9.06,1887.29,-4.56
0.89,1887.13,9.13,1887.21,-4.56
0.78,1887.04,9.14,1887.13,-4.39
1.02,1886.96,9.23,1887.04,-4.3
0.92,1886.88,9.06,1886.96,-4.47
0.79,1886.79,9.06,1886.88,-4.57
0.73,1886.71,9.09,1886.79,-4.62
0.74,1886.63,9.11,1886.71,-4.63
0.83,1886.54,9,1886.63,-4.89
0.78,1886.46,8.99,1886.54,-4.82
0.81,1886.38,9,1886.46,-4.85
0.86,1886.29,8.99,1886.38,-4.84
0.69,1886.21,8.98,1886.29,-4.81
0.82,1886.13,9.02,1886.21,-4.89
NA,NA,9.01,1886.13,-4.79
