d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-3.6,1859.54,NA,NA
-3.52,1859.46,NA,NA
-3.45,1859.38,NA,NA
-3.35,1859.29,NA,NA
-3.17,1859.21,NA,NA
-3.23,1859.13,NA,NA
-3.41,1859.04,NA,NA
-3.56,1858.96,NA,NA
-3.67,1858.88,NA,NA
-3.8,1858.79,NA,NA
-3.68,1858.71,NA,NA
-3.5,1858.63,NA,NA
-3.47,1858.54,NA,NA
-3.31,1858.46,NA,NA
-3.08,1858.38,NA,NA
-3.22,1858.29,NA,NA
-2.89,1858.21,NA,NA
-2.97,1858.13,NA,NA
-3.09,1858.04,NA,NA
-3.26,1857.96,NA,NA
-3.35,1857.88,NA,NA
-3.44,1857.79,NA,NA
-3.53,1857.71,NA,NA
-3.61,1857.63,NA,NA
-3.51,1857.54,NA,NA
-3.21,1857.46,NA,NA
-3.39,1857.38,NA,NA
-3.37,1857.29,NA,NA
-3.15,1857.21,NA,NA
-3.38,1857.13,NA,NA
-3.58,1857.04,NA,NA
-3.65,1856.96,NA,NA
-3.72,1856.88,NA,NA
-3.8,1856.79,NA,NA
-3.85,1856.71,NA,NA
-3.87,1856.63,NA,NA
-3.78,1856.54,NA,NA
-3.59,1856.46,NA,NA
-3.63,1856.38,NA,NA
-3.42,1856.29,NA,NA
-2.77,1856.21,NA,NA
-3.08,1856.13,NA,NA
-2.89,1856.04,NA,NA
-3.09,1855.96,NA,NA
-2.73,1855.88,NA,NA
-3.06,1855.79,NA,NA
-3.4,1855.71,NA,NA
-3.33,1855.63,NA,NA
-3.13,1855.54,NA,NA
-2.98,1855.46,NA,NA
-3.02,1855.38,NA,NA
-2.95,1855.29,NA,NA
-2.89,1855.21,NA,NA
-3.1,1855.13,NA,NA
-3.31,1855.04,NA,NA
-3.47,1854.96,NA,NA
-3.63,1854.88,NA,NA
-3.45,1854.79,NA,NA
-3.27,1854.71,NA,NA
-3.22,1854.63,NA,NA
-3.17,1854.54,NA,NA
-3.13,1854.46,NA,NA
-3.08,1854.38,NA,NA
-3.03,1854.29,NA,NA
-2.98,1854.21,NA,NA
-3.06,1854.13,NA,NA
-3.14,1854.04,NA,NA
-3.22,1853.96,NA,NA
-3.3,1853.88,NA,NA
-3.38,1853.79,NA,NA
-3.46,1853.71,NA,NA
-3.49,1853.63,NA,NA
-3.52,1853.54,NA,NA
-3.55,1853.46,NA,NA
-3.48,1853.38,NA,NA
-3.27,1853.29,NA,NA
-3.11,1853.21,NA,NA
-3.6,1853.13,NA,NA
-3.61,1853.04,NA,NA
-3.62,1852.96,NA,NA
-3.62,1852.88,NA,NA
-3.63,1852.79,NA,NA
-3.63,1852.71,NA,NA
-3.65,1852.63,NA,NA
-3.55,1852.54,NA,NA
-3.36,1852.46,NA,NA
-3.17,1852.38,NA,NA
-2.98,1852.29,NA,NA
-2.63,1852.21,NA,NA
-2.99,1852.13,NA,NA
-3.36,1852.04,NA,NA
-3.2,1851.96,NA,NA
-3.36,1851.88,NA,NA
-3.53,1851.79,NA,NA
-3.62,1851.71,NA,NA
-3.62,1851.63,NA,NA
-3.52,1851.54,NA,NA
-3.4,1851.46,NA,NA
-3.27,1851.38,NA,NA
-3.14,1851.29,NA,NA
-3.01,1851.21,NA,NA
-3.11,1851.13,NA,NA
-3.21,1851.04,NA,NA
-3.19,1850.96,NA,NA
-3.48,1850.88,NA,NA
-3.51,1850.79,NA,NA
-3.55,1850.71,NA,NA
-3.58,1850.63,NA,NA
-3.54,1850.54,NA,NA
-3.39,1850.46,NA,NA
-3.24,1850.38,NA,NA
-3.12,1850.29,NA,NA
-3.09,1850.21,NA,NA
-3.11,1850.13,NA,NA
-3.14,1850.04,NA,NA
-3.17,1849.96,NA,NA
-3.22,1849.88,NA,NA
-3.31,1849.79,NA,NA
-3.37,1849.71,NA,NA
-3.3,1849.63,NA,NA
-3.23,1849.54,NA,NA
-3.15,1849.46,NA,NA
-3.08,1849.38,NA,NA
-2.98,1849.29,NA,NA
-2.79,1849.21,NA,NA
-2.84,1849.13,NA,NA
-3.05,1849.04,NA,NA
-3.21,1848.96,NA,NA
-3.26,1848.88,NA,NA
-3.39,1848.79,NA,NA
-3.47,1848.71,NA,NA
-3.5,1848.63,NA,NA
-3.54,1848.54,NA,NA
-3.43,1848.46,NA,NA
-3.14,1848.38,NA,NA
-3.01,1848.29,NA,NA
-2.98,1848.21,NA,NA
-3.14,1848.13,NA,NA
-2.99,1848.04,NA,NA
-3.07,1847.96,NA,NA
-3.16,1847.88,NA,NA
-3.15,1847.79,NA,NA
-3.16,1847.71,NA,NA
-3.2,1847.63,NA,NA
-3.15,1847.54,NA,NA
-3.08,1847.46,NA,NA
-2.79,1847.38,NA,NA
-2.78,1847.29,NA,NA
-2.47,1847.21,NA,NA
-2.65,1847.13,NA,NA
-2.98,1847.04,NA,NA
-3.06,1846.96,NA,NA
-3.13,1846.88,NA,NA
-3.26,1846.79,NA,NA
-3.4,1846.71,NA,NA
-3.53,1846.63,NA,NA
-3.6,1846.54,NA,NA
-3.54,1846.46,NA,NA
-3.47,1846.38,NA,NA
-3.39,1846.29,NA,NA
-3.1,1846.21,NA,NA
-3.11,1846.13,NA,NA
-3.21,1846.04,NA,NA
-3.27,1845.96,NA,NA
-3.35,1845.88,NA,NA
-3.41,1845.79,NA,NA
-3.42,1845.71,NA,NA
-3.47,1845.63,NA,NA
-3.62,1845.54,NA,NA
-3.7,1845.46,NA,NA
-3.62,1845.38,NA,NA
-3.54,1845.29,NA,NA
-3.15,1845.21,NA,NA
-3.17,1845.13,NA,NA
-3.18,1845.04,NA,NA
-3.25,1844.96,NA,NA
-3.33,1844.88,NA,NA
-3.53,1844.79,NA,NA
-3.61,1844.71,NA,NA
-3.4,1844.63,NA,NA
-3.28,1844.54,NA,NA
-3.15,1844.46,NA,NA
-3.1,1844.38,NA,NA
-3.05,1844.29,NA,NA
-2.82,1844.21,NA,NA
-2.94,1844.13,NA,NA
-2.92,1844.04,NA,NA
-2.96,1843.96,NA,NA
-3.14,1843.88,NA,NA
-3.39,1843.79,NA,NA
-3.6,1843.71,NA,NA
-3.61,1843.63,NA,NA
-3.36,1843.54,NA,NA
-3.01,1843.46,NA,NA
-2.74,1843.38,NA,NA
-2.85,1843.29,NA,NA
-2.96,1843.21,NA,NA
-2.97,1843.13,NA,NA
-3.03,1843.04,NA,NA
-3.17,1842.96,NA,NA
-3.27,1842.88,NA,NA
-3.27,1842.79,NA,NA
-3.36,1842.71,NA,NA
-3.46,1842.63,NA,NA
-3.49,1842.54,NA,NA
-3.31,1842.46,NA,NA
-3.17,1842.38,NA,NA
-3.09,1842.29,NA,NA
-2.99,1842.21,NA,NA
-3.13,1842.13,NA,NA
-3.21,1842.04,NA,NA
-3.22,1841.96,NA,NA
-3.15,1841.88,NA,NA
-3.1,1841.79,NA,NA
-3.11,1841.71,NA,NA
-3.13,1841.63,NA,NA
-3.12,1841.54,NA,NA
-3.01,1841.46,NA,NA
-2.93,1841.38,NA,NA
-2.83,1841.29,NA,NA
-2.66,1841.21,NA,NA
-2.81,1841.13,NA,NA
-2.97,1841.04,NA,NA
-3.02,1840.96,NA,NA
-3.07,1840.88,NA,NA
-3.21,1840.79,NA,NA
-3.24,1840.71,NA,NA
-3.27,1840.63,NA,NA
-3.25,1840.54,NA,NA
-3.17,1840.46,NA,NA
-3.13,1840.38,NA,NA
-3.08,1840.29,NA,NA
-2.68,1840.21,NA,NA
-2.79,1840.13,NA,NA
-2.91,1840.04,NA,NA
-3.05,1839.96,NA,NA
-3.33,1839.88,NA,NA
-3.31,1839.79,NA,NA
-3.67,1839.71,NA,NA
-3.38,1839.63,NA,NA
-3.45,1839.54,NA,NA
-3.4,1839.46,NA,NA
-3.19,1839.38,NA,NA
-2.83,1839.29,NA,NA
-2.66,1839.21,NA,NA
-2.84,1839.13,NA,NA
-2.9,1839.04,NA,NA
-2.98,1838.96,NA,NA
-3.18,1838.88,NA,NA
-3.32,1838.79,NA,NA
-3.39,1838.71,NA,NA
-3.43,1838.63,NA,NA
-3.51,1838.54,NA,NA
-3.45,1838.46,NA,NA
-3.4,1838.38,NA,NA
-3.28,1838.29,NA,NA
-3.04,1838.21,NA,NA
-3.13,1838.13,NA,NA
-3.35,1838.04,NA,NA
-3.44,1837.96,NA,NA
-3.47,1837.88,NA,NA
-3.49,1837.79,NA,NA
-3.56,1837.71,NA,NA
-3.63,1837.63,NA,NA
-3.45,1837.54,NA,NA
-3.34,1837.46,NA,NA
-3.25,1837.38,NA,NA
-3.03,1837.29,NA,NA
-2.94,1837.21,NA,NA
-3.06,1837.13,NA,NA
-3.18,1837.04,NA,NA
-3.27,1836.96,NA,NA
-3.37,1836.88,NA,NA
-3.53,1836.79,NA,NA
-3.69,1836.71,NA,NA
-3.7,1836.63,NA,NA
-3.6,1836.54,NA,NA
-3.46,1836.46,NA,NA
-3.34,1836.38,NA,NA
-3.23,1836.29,NA,NA
-3.12,1836.21,NA,NA
-3.24,1836.13,NA,NA
-3.16,1836.04,NA,NA
-3.37,1835.96,NA,NA
-3.59,1835.88,NA,NA
-3.69,1835.79,NA,NA
-3.71,1835.71,NA,NA
-3.68,1835.63,NA,NA
-3.57,1835.54,NA,NA
-3.4,1835.46,NA,NA
-3.3,1835.38,NA,NA
-3.19,1835.29,NA,NA
-3,1835.21,NA,NA
-3.11,1835.13,NA,NA
-3.08,1835.04,NA,NA
-3.18,1834.96,NA,NA
-3.34,1834.88,NA,NA
-3.42,1834.79,NA,NA
-3.51,1834.71,NA,NA
-3.59,1834.63,NA,NA
-3.57,1834.54,NA,NA
-3.55,1834.46,NA,NA
-3.48,1834.38,NA,NA
-3.31,1834.29,NA,NA
-3.15,1834.21,NA,NA
-3.33,1834.13,NA,NA
-3.32,1834.04,NA,NA
-3.46,1833.96,NA,NA
-3.67,1833.88,NA,NA
-3.92,1833.79,NA,NA
-3.79,1833.71,NA,NA
-3.97,1833.63,NA,NA
-3.83,1833.54,NA,NA
-3.65,1833.46,NA,NA
-3.37,1833.38,NA,NA
-3.3,1833.29,NA,NA
-3.29,1833.21,NA,NA
-3.41,1833.13,NA,NA
-3.44,1833.04,NA,NA
-3.54,1832.96,NA,NA
-3.66,1832.88,NA,NA
-3.73,1832.79,NA,NA
-3.7,1832.71,NA,NA
-3.76,1832.63,NA,NA
-3.62,1832.54,NA,NA
-3.44,1832.46,NA,NA
-3.22,1832.38,NA,NA
-2.98,1832.29,NA,NA
-2.89,1832.21,NA,NA
-3.27,1832.13,NA,NA
-3.35,1832.04,NA,NA
-3.54,1831.96,NA,NA
-3.71,1831.88,NA,NA
-3.83,1831.79,NA,NA
-3.82,1831.71,NA,NA
-3.72,1831.63,NA,NA
-3.57,1831.54,NA,NA
-3.32,1831.46,NA,NA
-3.13,1831.38,NA,NA
-3.17,1831.29,NA,NA
-2.91,1831.21,NA,NA
-3.18,1831.13,NA,NA
-3.41,1831.04,NA,NA
-3.54,1830.96,NA,NA
-3.56,1830.88,NA,NA
-3.62,1830.79,NA,NA
-3.67,1830.71,NA,NA
-3.65,1830.63,NA,NA
-3.54,1830.54,NA,NA
-3.24,1830.46,NA,NA
-3.17,1830.38,NA,NA
-3.19,1830.29,NA,NA
-3.17,1830.21,NA,NA
-3.18,1830.13,NA,NA
-3.23,1830.04,NA,NA
-3.33,1829.96,NA,NA
-3.45,1829.88,NA,NA
-3.48,1829.79,NA,NA
-3.51,1829.71,NA,NA
-3.52,1829.63,NA,NA
-3.48,1829.54,NA,NA
-3.39,1829.46,NA,NA
-3.31,1829.38,NA,NA
-3.19,1829.29,NA,NA
-3.01,1829.21,NA,NA
-3.08,1829.13,NA,NA
-3.13,1829.04,NA,NA
-3.25,1828.96,NA,NA
-3.31,1828.88,NA,NA
-3.34,1828.79,NA,NA
-3.39,1828.71,NA,NA
-3.39,1828.63,NA,NA
-3.29,1828.54,NA,NA
-3.1,1828.46,NA,NA
-2.93,1828.38,NA,NA
-2.97,1828.29,NA,NA
-2.81,1828.21,NA,NA
-2.94,1828.13,NA,NA
-3.04,1828.04,NA,NA
-3.13,1827.96,NA,NA
-3.21,1827.88,NA,NA
-3.29,1827.79,NA,NA
-3.46,1827.71,NA,NA
-3.58,1827.63,NA,NA
-3.46,1827.54,NA,NA
-3.3,1827.46,NA,NA
-3.11,1827.38,NA,NA
-2.9,1827.29,NA,NA
-2.7,1827.21,NA,NA
-3.03,1827.13,NA,NA
-3.09,1827.04,NA,NA
-3.25,1826.96,NA,NA
-3.43,1826.88,NA,NA
-3.48,1826.79,NA,NA
-3.62,1826.71,NA,NA
-3.68,1826.63,NA,NA
-3.54,1826.54,NA,NA
-3.41,1826.46,NA,NA
-3.22,1826.38,NA,NA
-3.08,1826.29,NA,NA
-3,1826.21,NA,NA
-3.1,1826.13,NA,NA
-3.07,1826.04,NA,NA
-3.15,1825.96,NA,NA
-3.24,1825.88,NA,NA
-3.82,1825.79,NA,NA
-3.74,1825.71,NA,NA
-3.88,1825.63,NA,NA
-3.94,1825.54,NA,NA
-3.79,1825.46,NA,NA
-3.37,1825.38,NA,NA
-3.2,1825.29,NA,NA
-3.1,1825.21,NA,NA
