d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1],d13C (permil) [2-1]
-5.8292,1985.5,-2.1474,-5.7597,1985.5,-2.6868
-5.7355,1985.42,-2.1378,-5.6787,1985.42,-2.3903
-5.5952,1985.33,-2.2298,-5.4944,1985.33,-1.9942
-5.5527,1985.25,-2.1245,-5.5351,1985.25,-2.0376
-5.5086,1985.17,-2.0741,-5.3717,1985.17,-2.2782
-5.6711,1985.08,-2.1467,-5.6279,1985.08,-2.0225
-5.6729,1985,-1.9922,-5.6625,1985,-1.8611
-5.6468,1984.92,-1.8074,-5.6202,1984.92,-1.7994
-5.9462,1984.83,-1.803,-5.7479,1984.83,-2.2233
-5.8247,1984.75,-1.9173,-5.691,1984.75,-1.925
-5.8746,1984.67,-2.1332,-5.7363,1984.67,-2.0346
-5.8123,1984.58,-2.1142,-5.7618,1984.58,-1.9329
-5.8072,1984.5,-2.2071,-5.5985,1984.5,-1.7383
-5.7474,1984.42,-2.2205,-5.5974,1984.42,-1.626
-5.6949,1984.33,-2.225,-5.6036,1984.33,-1.8341
-5.698,1984.25,-2.1649,-5.6429,1984.25,-2.1037
-5.5732,1984.17,-2.4024,-5.6246,1984.17,-2.1778
-5.7161,1984.08,-2.3818,-5.761,1984.08,-2.274
-5.7147,1984,-2.2771,-5.8074,1984,-1.9433
-5.885,1983.92,-2.4566,-5.7596,1983.92,-2.0231
-5.7744,1983.83,-2.1239,-5.7138,1983.83,-2.2418
-5.8639,1983.75,-2.2216,-5.6833,1983.75,-1.8648
-5.9429,1983.67,-1.9115,-5.7465,1983.67,-1.7372
-5.7501,1983.58,-2.1785,-5.5818,1983.58,-2.1861
-5.6985,1983.5,-2.5426,-5.5581,1983.5,-2.3896
-5.6403,1983.42,-2.4064,-5.5625,1983.42,-1.8111
-5.4206,1983.33,-2.0878,-5.3385,1983.33,-1.524
-5.4443,1983.25,-2.4364,-5.3731,1983.25,-1.826
-5.3232,1983.17,-2.1642,-5.1974,1983.17,-1.7231
-5.3665,1983.08,-2.1147,-5.094,1983.08,-2.4745
-5.4449,1983,-2.184,-5.1539,1983,-2.7218
-5.6126,1982.92,-2.2108,-5.4192,1982.92,-2.8079
-5.7663,1982.83,-2.1835,-5.402,1982.83,-2.3769
-5.691,1982.75,-2.4147,-5.4183,1982.75,-2.2992
-5.6988,1982.67,-2.3037,-5.3032,1982.67,-2.2543
-5.8105,1982.58,-2.0945,-5.3786,1982.58,-2.2565
-5.9344,1982.5,-2.4475,-5.392,1982.5,-2.3494
-5.9344,1982.42,-2.3571,-5.4892,1982.42,-2.2124
-5.8877,1982.33,-2.3151,-5.5066,1982.33,-2.4212
-5.8019,1982.25,-2.1512,-5.5896,1982.25,-2.4152
-5.6851,1982.17,-2.1789,-5.4759,1982.17,-2.2004
-5.8705,1982.08,-2.4168,-5.5219,1982.08,-2.3648
-5.8058,1982,-2.1826,-5.4942,1982,-2.4423
-5.914,1981.92,-2.2597,-5.5818,1981.92,-2.3382
-5.9876,1981.83,-2.2323,-5.6037,1981.83,-2.3987
-5.9801,1981.75,-2.1606,-5.6131,1981.75,-2.3453
-5.9456,1981.67,-2.3331,-5.7652,1981.67,-2.3014
-5.928,1981.58,-1.8941,-5.6581,1981.58,-2.5164
-5.9702,1981.5,-1.9533,-5.7114,1981.5,-2.2178
-5.9982,1981.42,-2.4898,-5.7314,1981.42,-2.0435
-6.0442,1981.33,-2.0577,-5.7929,1981.33,-2.3254
-5.8819,1981.25,-2.4226,-5.5709,1981.25,-1.9404
-5.839,1981.17,-1.9838,-5.4367,1981.17,-1.601
-5.9199,1981.08,-2.3281,-5.5086,1981.08,-2.1992
-6.068,1981,-2.1055,-5.5567,1981,-2.1366
-6.0321,1980.92,-1.8614,-5.5388,1980.92,-2.2999
-5.8469,1980.83,-1.8406,-5.7422,1980.83,-2.4756
-5.8856,1980.75,-1.8057,-5.8285,1980.75,-2.3694
-5.8611,1980.67,-1.8801,-5.8448,1980.67,-2.352
-5.85,1980.58,-1.9516,-5.7935,1980.58,-2.4086
-5.9438,1980.5,-2.1448,-5.6756,1980.5,-2.6456
-5.8901,1980.42,-2.0644,-5.604,1980.42,-2.2046
-5.7476,1980.33,-2.0012,-5.5318,1980.33,-2.1355
-5.6895,1980.25,-2.1423,-5.518,1980.25,-2.2918
-5.5172,1980.17,-2.2338,-5.397,1980.17,-2.3905
-5.5167,1980.08,-2.0937,-5.4966,1980.08,-2.5149
-5.6143,1980,-2.0873,-5.515,1980,-2.749
-5.7288,1979.92,-2.2222,-5.586,1979.92,-2.0229
-5.7358,1979.83,-2.0143,-5.5211,1979.83,-1.8484
-5.797,1979.75,-2.2437,-5.6778,1979.75,-2.0684
-5.8345,1979.67,-2.239,-5.7349,1979.67,-1.7084
-5.8889,1979.58,-2.1592,-5.6854,1979.58,-2.4258
-5.9194,1979.5,-1.7711,-5.7595,1979.5,-2.5873
-5.8837,1979.42,-2.4813,-5.6252,1979.42,-1.9156
-5.9235,1979.33,-1.9768,-5.6118,1979.33,-1.9364
-5.6224,1979.25,-1.9672,-5.5589,1979.25,-2.3378
-5.56,1979.17,-1.9025,-5.454,1979.17,-2.2872
-5.6328,1979.08,-2.1861,-5.5183,1979.08,-2.2635
-5.8222,1979,-2.1954,-5.5821,1979,-2.2555
-5.7918,1978.92,-2.3297,-5.6917,1978.92,-2.6043
-5.9056,1978.83,-1.863,-5.7093,1978.83,-2.3577
-5.9272,1978.75,-1.9971,-5.8075,1978.75,-2.4572
-5.8967,1978.67,-2.338,-5.7268,1978.67,-2.4542
-5.8967,1978.58,-1.9312,-5.6611,1978.58,-2.4651
-5.8051,1978.5,-1.6523,-5.7147,1978.5,-1.8009
-5.6177,1978.42,-1.9704,-5.4919,1978.42,-1.5466
-5.4732,1978.33,-1.9795,-5.5016,1978.33,-1.9546
-5.5333,1978.25,-2.1132,-5.4735,1978.25,-2.3671
-5.4507,1978.17,-2.125,-5.4005,1978.17,-2.3608
-5.7051,1978.08,-2.0561,-5.4084,1978.08,-2.207
-5.6797,1978,-1.9904,-5.4911,1978,-2.1244
-5.7935,1977.92,-1.6375,-5.6334,1977.92,-2.129
-5.8071,1977.83,-1.6411,-5.6089,1977.83,-1.8576
-5.9684,1977.75,-1.9114,-5.6562,1977.75,-2.1498
-5.8666,1977.67,-2.24,-5.5218,1977.67,-2.1638
-6.01,1977.58,-2.0401,-5.6693,1977.58,-2.5527
-5.9694,1977.5,-2.1118,-5.5702,1977.5,-1.8265
-5.8952,1977.42,-2.0766,-5.5277,1977.42,-2.1029
