d18O (permil),year (AD),depth (cm),core (),d18O (permil)
-1.896,549.14,63.3,CAR 7-2,-1.204
-1.897,547.29,63.4,CAR 7-2,-1.278
-2.006,545.43,63.5,CAR 7-2,-1.188
-1.723,543.57,63.6,CAR 7-2,-1.303
-2.058,541.71,63.7,CAR 7-2,-1.211
-1.9,539.85,63.8,CAR 7-2,-1.174
-1.705,537.99,63.9,CAR 7-2,-1.25
-1.513,536.13,64,CAR 7-2,-0.959
-1.83,534.26,64.1,CAR 7-2,-1.252
-1.937,532.4,64.2,CAR 7-2,-0.913
-1.671,530.54,64.3,CAR 7-2,-1.053
-1.606,528.67,64.4,CAR 7-2,-1.315
-2.126,526.8,64.5,CAR 7-2,-1.084
-1.818,524.94,64.6,CAR 7-2,-1.376
-1.621,523.07,64.7,CAR 7-2,-1.299
-1.67,521.2,64.8,CAR 7-2,-1.42
-2.028,519.33,64.9,CAR 7-2,-1.433
-1.905,517.46,65,CAR 7-2,-1.083
-1.94,515.59,65.1,CAR 7-2,-0.95
-1.923,513.72,65.2,CAR 7-2,-1.233
-2.186,511.85,65.3,CAR 7-2,-1.375
-1.785,509.98,65.4,CAR 7-2,-1.488
-2.238,508.1,65.5,CAR 7-2,-1.279
-2.091,506.23,65.6,CAR 7-2,-1.436
-1.915,504.35,65.7,CAR 7-2,-1.331
-2.065,502.47,65.8,CAR 7-2,-1.41
-2.225,500.6,65.9,CAR 7-2,-1.159
-1.745,498.72,66,CAR 7-2,-1.337
-2.074,496.46,66.1,CAR 7-2,-1.391
-1.914,494.21,66.2,CAR 7-2,-1.115
-1.714,491.95,66.3,CAR 7-2,-1.432
-2.004,489.7,66.4,CAR 7-2,-1.147
-1.854,487.45,66.5,CAR 7-2,-1.047
-1.843,485.21,66.6,CAR 7-2,-1.116
-1.933,482.96,66.7,CAR 7-2,-1.327
-1.943,480.72,66.8,CAR 7-2,-1.317
-1.663,478.47,66.9,CAR 7-2,-1.281
-1.743,476.23,67,CAR 7-2,-1.274
-2.072,474,67.1,CAR 7-2,-1.479
-1.692,471.76,67.2,CAR 7-2,-1.253
-1.742,469.52,67.3,CAR 7-2,-1.175
-1.924,467.29,67.4,CAR 7-2,-1.23
-1.891,465.06,67.5,CAR 7-2,-1.235
-1.937,462.83,67.6,CAR 7-2,-1.155
-1.703,460.6,67.7,CAR 7-2,-1.252
-2.08,458.38,67.8,CAR 7-2,-1.122
-1.776,456.15,67.9,CAR 7-2,-1.339
-1.852,453.93,68,CAR 7-2,-1.302
-1.809,451.71,68.1,CAR 7-2,-1.07
-2.095,449.49,68.2,CAR 7-2,-1.065
-1.841,447.27,68.3,CAR 7-2,-1.172
-2.218,445.06,68.4,CAR 7-2,-1.336
-1.854,442.84,68.5,CAR 7-2,-1.054
-1.86,440.63,68.6,CAR 7-2,-1.126
-2.197,438.42,68.7,CAR 7-2,-1.265
-1.753,436.21,68.8,CAR 7-2,-1.059
-1.619,434.01,68.9,CAR 7-2,-1.228
-1.916,431.8,69,CAR 7-2,-1.1
-1.966,429.6,69.1,CAR 7-2,-1.358
-2.114,427.4,69.2,CAR 7-2,-1.478
-2.112,425.2,69.3,CAR 7-2,-1.214
-1.74,423,69.4,CAR 7-2,-1.11
-1.837,420.8,69.5,CAR 7-2,-1.415
-1.995,418.61,69.6,CAR 7-2,-1.405
-1.963,416.41,69.7,CAR 7-2,-1.335
-1.791,414.22,69.8,CAR 7-2,-1.206
-2.009,412.03,69.9,CAR 7-2,-1.389
-1.866,409.84,70,CAR 7-2,-1.365
-1.574,407.66,70.1,CAR 7-2,-1.331
-1.842,405.47,70.2,CAR 7-2,-1.351
-1.85,403.29,70.3,CAR 7-2,-1.329
-1.988,401.1,70.4,CAR 7-2,-1.643
-1.575,398.92,70.5,CAR 7-2,-1.613
-1.863,396.74,70.6,CAR 7-2,-1.411
-1.881,394.57,70.7,CAR 7-2,-1.26
-1.955,392.39,70.8,CAR 7-2,-1.322
-1.945,390.22,70.9,CAR 7-2,-1.413
-2.004,388.04,71,CAR 7-2,-1.359
-2.193,385.87,71.1,CAR 7-2,-1.306
-1.593,383.7,71.2,CAR 7-2,-1.132
-1.972,381.54,71.3,CAR 7-2,-1.199
-2.181,379.37,71.4,CAR 7-2,-1.22
-1.981,377.21,71.5,CAR 7-2,-1.536
-2.06,375.04,71.6,CAR 7-2,-1.523
-2.009,372.88,71.7,CAR 7-2,-1.395
-2.209,370.72,71.8,CAR 7-2,-1.231
-1.908,368.56,71.9,CAR 7-2,-1.479
-1.927,366.4,72,CAR 7-2,-1.16
-1.967,364.25,72.1,CAR 7-2,-1.313
-1.866,362.09,72.2,CAR 7-2,-1.04
-1.975,359.94,72.3,CAR 7-2,-1.384
-1.895,357.79,72.4,CAR 7-2,-1.415
-1.66,355.64,72.5,CAR 7-2,-1.405
-1.612,353.49,72.6,CAR 7-2,-1.31
-1.868,351.35,72.7,CAR 7-2,-1.346
-2.481,349.2,72.8,CAR 7-2,-1.395
-2.083,347.06,72.9,CAR 7-2,-1.398
-1.758,344.91,73,CAR 7-2,-1.197
-2.395,342.77,73.1,CAR 7-2,-1.187
-2.312,340.63,73.2,CAR 7-2,-1.252
-1.965,338.5,73.3,CAR 7-2,-1.472
-2.034,336.36,73.4,CAR 7-2,-1.427
-2.276,334.22,73.5,CAR 7-2,-1.386
-1.99,332.09,73.6,CAR 7-2,-1.185
-2.066,329.96,73.7,CAR 7-2,-1.575
-2.009,327.83,73.8,CAR 7-2,-1.121
-1.943,325.7,73.9,CAR 7-2,-1.029
-2.125,323.57,74,CAR 7-2,-1.176
-1.77,321.44,74.1,CAR 7-2,-1.265
-2.176,319.32,74.2,CAR 7-2,-1.328
-1.398,317.19,74.3,CAR 7-2,-1.042
-1.936,315.07,74.4,CAR 7-2,-1.256
-2.155,312.95,74.5,CAR 7-2,-1.053
-1.877,310.83,74.6,CAR 7-2,-1.168
-1.858,308.71,74.7,CAR 7-2,-1.211
-2.051,306.59,74.8,CAR 7-2,-1.19
-1.891,304.48,74.9,CAR 7-2,-1.307
-1.79,302.36,75,CAR 7-2,-1.261
-1.719,300.25,75.1,CAR 7-2,-1.261
-1.964,298.14,75.2,CAR 7-2,-1.433
-2.112,296.03,75.3,CAR 7-2,-1.169
-1.75,293.92,75.4,CAR 7-2,-1.326
-1.644,291.81,75.5,CAR 7-2,-1.283
-1.93,289.7,75.6,CAR 7-2,-1.199
-1.757,287.6,75.7,CAR 7-2,-1.184
-1.51,285.49,75.8,CAR 7-2,-1.103
-1.898,283.39,75.9,CAR 7-2,-1.213
-1.813,281.29,76,CAR 7-2,-1.343
-2.068,279.19,76.1,CAR 7-2,-1.235
-1.983,277.09,76.2,CAR 7-2,-1.359
-1.698,274.99,76.3,CAR 7-2,-1.34
-1.933,272.89,76.4,CAR 7-2,-1.39
-2.137,270.8,76.5,CAR 7-2,-1.35
-1.542,268.71,76.6,CAR 7-2,-1.497
-2.127,266.61,76.7,CAR 7-2,-1.385
-1.812,264.52,76.8,CAR 7-2,-1.195
-1.857,262.43,76.9,CAR 7-2,-1.454
-1.962,260.34,77,CAR 7-2,-1.316
-1.996,258.25,77.1,CAR 7-2,-1.336
-1.51,256.17,77.2,CAR 7-2,-1.332
-1.435,254.08,77.3,CAR 7-2,-1.041
-1.969,252,77.4,CAR 7-2,-1.168
-1.783,249.91,77.5,CAR 7-2,-0.957
-2.138,247.83,77.6,CAR 7-2,-1.191
-2.222,245.75,77.7,CAR 7-2,-1.198
-1.957,243.67,77.8,CAR 7-2,-1.24
-2.351,241.59,77.9,CAR 7-2,-1.162
-2.145,239.52,78,CAR 7-2,-1.352
-1.91,237.44,78.1,CAR 7-2,-1.159
-1.864,235.36,78.2,CAR 7-2,-1.218
-2.179,233.29,78.3,CAR 7-2,-0.995
-2.423,231.22,78.4,CAR 7-2,-1.056
-1.947,229.15,78.5,CAR 7-2,-1.328
-2.362,227.08,78.6,CAR 7-2,-1.227
-1.686,225.01,78.7,CAR 7-2,-1.346
-2.093,222.94,78.8,CAR 7-2,-1.063
-2.387,220.87,78.9,CAR 7-2,-1.366
-1.771,218.8,79,CAR 7-2,-1.266
-1.985,216.74,79.1,CAR 7-2,-1.147
-1.599,214.68,79.2,CAR 7-2,-1.217
-1.643,212.61,79.3,CAR 7-2,-1.192
-1.727,210.55,79.4,CAR 7-2,-1.292
-2.131,208.49,79.5,CAR 7-2,-1.137
NA,206.43,79.6,CAR 7-2,-1.33
-1.645,204.37,79.7,CAR 7-2,-1.057
-2.129,202.32,79.8,CAR 7-2,-1.329
-2.353,200.26,79.9,CAR 7-2,-1.124
-1.777,198.2,80,CAR 7-2,-1.285
-2.281,196.15,80.1,CAR 7-2,-1.123
-1.615,194.1,80.2,CAR 7-2,-1.261
-1.919,192.04,80.3,CAR 7-2,-1.405
-2.003,189.99,80.4,CAR 7-2,-1.306
-2.421,187.94,80.5,CAR 7-2,-1.247
-1.67,185.89,80.6,CAR 7-2,-1.348
-1.69,183.84,80.7,CAR 7-2,-1.453
-2.169,181.8,80.8,CAR 7-2,-1.121
-1.658,179.75,80.9,CAR 7-2,-1.017
-1.998,177.71,81,CAR 7-2,-0.979
-1.757,175.66,81.1,CAR 7-2,-1.294
-1.956,173.62,81.2,CAR 7-2,-1.401
-2.176,171.58,81.3,CAR 7-2,-1.195
-2.135,169.53,81.4,CAR 7-2,-1.28
-1.644,167.49,81.5,CAR 7-2,-1.322
-2.053,165.46,81.6,CAR 7-2,-1.369
-2.113,163.42,81.7,CAR 7-2,-1.483
-1.802,161.38,81.8,CAR 7-2,-1.123
-1.831,159.34,81.9,CAR 7-2,-1.239
-2.041,157.31,82,CAR 7-2,-1.336
-2.19,155.27,82.1,CAR 7-2,-1.347
NA,153.24,82.2,CAR 7-2,-1.451
-2.283,151.21,82.3,CAR 7-2,-1.376
-2.12,149.17,82.4,CAR 7-2,-1.472
-2.697,147.14,82.5,CAR 7-2,-1.305
-2.444,145.11,82.6,CAR 7-2,-1.236
-2.301,143.08,82.7,CAR 7-2,-1.228
-1.938,141.05,82.8,CAR 7-2,-1.336
-2.465,139.03,82.9,CAR 7-2,-1.296
-2.352,137,83,CAR 7-2,-1.352
-2.359,134.98,83.1,CAR 7-2,-1.357
-2.426,132.95,83.2,CAR 7-2,-1.555
-2.343,130.93,83.3,CAR 7-2,-1.518
-1.9,128.9,83.4,CAR 7-2,-1.004
-2.187,126.88,83.5,CAR 7-2,-1.357
-1.874,124.86,83.6,CAR 7-2,-1.303
-2.161,122.84,83.7,CAR 7-2,-1.357
-2.058,120.82,83.8,CAR 7-2,-1.239
-1.995,118.8,83.9,CAR 7-2,-1.331
-1.934,116.78,84,CAR 7-2,-1.467
-1.841,114.76,84.1,CAR 7-2,-1.335
-2.369,112.75,84.2,CAR 7-2,-1.231
-1.886,110.73,84.3,CAR 7-2,-1.305
-2.274,108.72,84.4,CAR 7-2,-1.107
-2.151,106.7,84.5,CAR 7-2,-1.492
-1.959,104.69,84.6,CAR 7-2,-1.338
-2.136,102.68,84.7,CAR 7-2,-1.491
-1.984,100.67,84.8,CAR 7-2,-1.377
-2.261,98.65,84.9,CAR 7-2,-1.413
-2.039,96.64,85,CAR 7-2,-1.389
-1.636,94.63,85.1,CAR 7-2,-1.525
-2.064,92.63,85.2,CAR 7-2,-1.11
-2.191,90.62,85.3,CAR 7-2,-1.478
-1.669,88.61,85.4,CAR 7-2,-1.354
-2.036,86.6,85.5,CAR 7-2,-1.23
-1.884,84.6,85.6,CAR 7-2,-1.376
-2.068,82.59,85.7,CAR 7-2,-1.312
-1.637,80.59,85.8,CAR 7-2,-1.207
-2.016,78.59,85.9,CAR 7-2,-1.163
-2.126,76.58,86,CAR 7-2,NA
-1.725,74.58,86.1,CAR 7-2,-1.411
-1.354,72.58,86.2,CAR 7-2,-1.457
-1.984,70.58,86.3,CAR 7-2,-1.523
-1.853,68.58,86.4,CAR 7-2,-1.157
-1.833,66.58,86.5,CAR 7-2,-1.441
-1.652,64.58,86.6,CAR 7-2,-1.266
-1.491,62.58,86.7,CAR 7-2,-1.281
-2.021,60.59,86.8,CAR 7-2,-1.376
-1.9,58.59,86.9,CAR 7-2,-1.471
-1.909,56.59,87,CAR 7-2,-1.004
-1.809,54.6,87.1,CAR 7-2,-1.22
-1.858,52.6,87.2,CAR 7-2,-1.175
-1.957,50.61,87.3,CAR 7-2,-1.019
-2.012,48.62,87.4,CAR 7-2,-1.405
-1.827,46.62,87.5,CAR 7-2,-1.117
-1.622,44.63,87.6,CAR 7-2,-1.115
-1.726,42.64,87.7,CAR 7-2,-1.169
-2.311,40.65,87.8,CAR 7-2,-1.027
-2.245,38.66,87.9,CAR 7-2,-1.249
-1.77,36.67,88,CAR 7-2,-1.134
-2.155,34.68,88.1,CAR 7-2,-1.189
-1.999,32.69,88.2,CAR 7-2,-1.321
-2.214,30.7,88.3,CAR 7-2,-1.185
-2.279,28.72,88.4,CAR 7-2,-1.213
-2.073,26.73,88.5,CAR 7-2,-1.054
-1.758,24.74,88.6,CAR 7-2,-1.205
-2.343,22.76,88.7,CAR 7-2,-1.431
-1.867,20.77,88.8,CAR 7-2,-1.402
-2.072,18.79,88.9,CAR 7-2,-1.154
-1.567,16.8,89,CAR 7-2,-1.313
-1.324,14.82,89.1,CAR 7-2,-1.189
-2.263,12.84,89.2,CAR 7-2,-1.345
-1.652,10.86,89.3,CAR 7-2,-1.301
-2.001,8.87,89.4,CAR 7-2,-1.277
-1.77,6.89,89.5,CAR 7-2,-1.233
-1.839,4.91,89.6,CAR 7-2,-1.319
-1.918,2.93,89.7,CAR 7-2,-1.335
-1.808,0.95,89.8,CAR 7-2,-1.481
-2.097,-1.03,89.9,CAR 7-2,-1.18
