dD (permil),year (AD)
-157,800
-160.5,799
-164,798
-155.7,797
-147.4,796
-146.35,795
-145.3,794
-145.6,793
-145.9,792
-150.1,791
-154.3,790
-158.1,789
-161.9,788
-158.866666666667,787
-155.833333333333,786
-152.8,785
-148.75,784
-144.7,783
-149.1,782
-153.5,781
-154.65,780
-155.8,779
-146.65,778
-137.5,777
-145.1,776
-152.7,775
-150.633333333333,774
-148.566666666667,773
-146.5,772
-150.05,771
-153.6,770
-153.15,769
-152.7,768
-159.3,767
-165.9,766
-160.25,765
-154.6,764
-152.233333333333,763
-149.866666666667,762
-147.5,761
-155.35,760
-163.2,759
-155.8,758
-148.4,757
-147.65,756
-146.9,755
-149.6,754
-152.3,753
-155,752
-154.7,751
-154.4,750
-151.75,749
-149.1,748
-149.7,747
-150.3,746
-154,745
-157.7,744
-161.4,743
-159.2,742
-157,741
-154.15,740
-151.3,739
-148.166666666667,738
-145.033333333333,737
-141.9,736
-144.5,735
-147.1,734
-150.5,733
-153.9,732
-152.933333333333,731
-151.966666666667,730
-151,729
-148.5,728
-146,727
-147.15,726
-148.3,725
-148.9,724
-149.5,723
-150.1,722
-146.75,721
-143.4,720
-152.25,719
-161.1,718
-155.566666666667,717
-150.033333333333,716
-144.5,715
-148.5,714
-152.5,713
-152.8,712
-153.1,711
-153.733333333333,710
-154.366666666667,709
-155,708
-156.25,707
-157.5,706
-146.6,705
-146.1,704
-143.6,703
-149.3,702
-152.05,701
-154.8,700
-169.2,699
-161.3,698
-150.5,697
-146.3,696
-134.4,695
-157.2,694
-150.6,693
-146.7,692
-148.5,691
-153.35,690
-158.2,689
-157.9,688
-150.6,687
-148.3,686
-146.6,685
-143.7,684
-153,683
-160,682
-156.4,681
-152.8,680
-143.9,679
-148.5,678
-165.3,677
-159.3,676
-151.3,675
-144,674
-137.8,673
-141.75,672
-145.7,671
-160.6,670
-149.9,669
-142.9,668
-146.1,667
-157.8,666
-162.6,665
-160.25,664
-157.9,663
-140,662
-137.8,661
-162.4,660
