dD (permil),year (AD)
NA,1963.925
NA,1963.895
NA,1963.865
NA,1963.835
-252.877662,1963.805
-256.398161,1963.775
-260.026297,1963.75
-265.277092,1963.725
-267.350602,1963.695
NA,1963.665
NA,1963.635
NA,1963.605
-280.810911,1963.575
-280.543823,1963.545
-269.924255,1963.515
-275.082215,1963.485
-274.16213,1963.455
-265.178607,1963.425
-262.059865,1963.395
-257.700125,1963.365
-255.479125,1963.335
-253.356633,1963.305
-252.117667,1963.275
-252.523885,1963.25
-251.8912,1963.225
-251.065561,1963.195
-251.66778,1963.165
-248.441389,1963.135
-247.187189,1963.105
-246.230545,1963.075
NA,1963.045
NA,1963.015
-243.316943,1962.985
-245.644575,1962.955
-246.654028,1962.92
-248.453576,1962.885
NA,1962.855
-251.88206,1962.825
-253.985256,1962.79
-257.08775,1962.755
-259.425538,1962.725
-263.051038,1962.695
-265.439603,1962.665
-268.299381,1962.63
-271.107367,1962.595
-271.077916,1962.565
-274.372348,1962.535
-273.825984,1962.5
-271.555222,1962.465
-273.221734,1962.435
-274.86895,1962.405
-274.650608,1962.37
-229.229285,1962.335
-247.646216,1962.305
-247.250153,1962.275
-250.342492,1962.245
-246.219374,1962.21
-241.601685,1962.175
-238.713471,1962.145
-238.464662,1962.115
-239.380685,1962.08
-241.906349,1962.045
-245.982752,1962.015
-248.478964,1961.985
-252.617315,1961.955
-252.184693,1961.925
NA,1961.895
-250.621767,1961.86
-238.32147,1961.825
-239.212104,1961.795
-249.486782,1961.765
-252.029187,1961.735
-250.860918,1961.705
-246.641154,1961.675
-254.636495,1961.645
-250.91061,1961.61
-255.182093,1961.575
-256.451774,1961.545
-255.789552,1961.515
-254.870758,1961.485
-247.820579,1961.455
-265.000826,1961.425
-265.405461,1961.395
-264.565767,1961.36
-260.606634,1961.325
-263.356934,1961.295
-262.03756,1961.265
-258.589544,1961.235
-254.840334,1961.205
-250.335602,1961.175
-243.178941,1961.145
-240.155842,1961.11
-234.695807,1961.075
-230.368547,1961.045
-218.635151,1961.015
-222.810293,1960.985
-220.454487,1960.955
-219.072238,1960.925
-219.823702,1960.895
-220.525475,1960.865
-223.66317,1960.835
-226.968195,1960.805
-231.142322,1960.775
-235.721085,1960.745
-241.068552,1960.715
-242.088759,1960.685
NA,1960.655
NA,1960.625
-252.294887,1960.595
-251.316259,1960.565
-252.747185,1960.535
-255.994405,1960.5
-255.895021,1960.465
-234.61772,1960.435
-252.727917,1960.405
-253.908355,1960.375
-252.420638,1960.345
-250.087142,1960.315
-248.122787,1960.285
-244.942499,1960.255
-242.539029,1960.225
-238.943966,1960.195
-237.792937,1960.165
-237.249367,1960.135
-237.522166,1960.105
-238.06675,1960.075
-238.273812,1960.045
-240.789014,1960.015
-245.178448,1959.98
-250.779843,1959.94
-257.349794,1959.9
-263.527252,1959.855
-269.646901,1959.81
-273.385221,1959.77
-274.656007,1959.73
-274.921726,1959.69
-273.866964,1959.65
-272.953174,1959.605
-270.62357,1959.56
-266.208782,1959.52
-265.599251,1959.48
-262.611435,1959.44
-260.069863,1959.4
-256.638844,1959.355
-254.672321,1959.31
-252.559754,1959.27
-249.532384,1959.23
-247.401562,1959.19
-244.848834,1959.15
-243.525311,1959.105
-243.872165,1959.06
-241.932011,1959.02
-247.02631,1958.97
-249.344758,1958.91
-259.149989,1958.85
-263.465386,1958.79
-280.555575,1958.735
-285.363871,1958.68
-286.126545,1958.62
-279.895335,1958.56
-279.29696,1958.5
-272.000846,1958.44
-264.616497,1958.38
-257.030774,1958.32
-247.14048,1958.265
-241.014878,1958.21
-234.884213,1958.15
-231.758616,1958.09
-230.377115,1958.03
-230.745785,1957.975
-235.371384,1957.93
-241.372408,1957.885
-247.323802,1957.84
-251.971684,1957.795
-255.773851,1957.75
-257.010518,1957.705
-257.503767,1957.66
-258.108427,1957.615
-260.044959,1957.57
-262.879873,1957.525
-266.621271,1957.475
-269.97678,1957.43
-273.234044,1957.385
-274.089886,1957.34
-274.151669,1957.295
-274.733034,1957.25
-272.268816,1957.205
-271.013919,1957.16
-269.18981,1957.115
-268.436264,1957.07
-267.16111,1957.025
-266.66381,1956.97
-265.488926,1956.915
-263.763062,1956.86
-261.398102,1956.805
-262.060493,1956.75
-259.878855,1956.695
-258.508495,1956.64
-258.419366,1956.585
-258.724228,1956.53
-254.576685,1956.47
-251.711386,1956.415
-247.403816,1956.36
-247.601318,1956.305
-243.913601,1956.25
-241.825143,1956.195
-240.901441,1956.14
-242.734665,1956.085
-245.847095,1956.03
-250.95784,1955.97
-255.182358,1955.915
-260.302218,1955.86
-265.067588,1955.805
-268.086837,1955.75
-270.461926,1955.695
-272.075366,1955.64
-271.252947,1955.585
-268.83937100000003,1955.53
-264.145924,1955.47
-257.694375,1955.415
-251.781046,1955.36
-246.888512,1955.305
-244.057802,1955.25
-242.109287,1955.195
-242.545325,1955.14
-242.489682,1955.085
-243.672348,1955.03
-245.555104,1954.96
-247.373111,1954.885
-251.998559,1954.81
-257.187519,1954.73
-262.413911,1954.655
-270.288908,1954.58
-277.80779,1954.5
-281.580383,1954.42
-280.658733,1954.345
-276.026203,1954.27
-269.953026,1954.19
-260.999568,1954.115
-253.737655,1954.04
-247.994289,1953.98
-243.440671,1953.94
-242.059714,1953.9
-242.702137,1953.865
-244.248,1953.83
-247.233498,1953.79
-249.220458,1953.75
-253.134687,1953.71
-256.721129,1953.67
-261.029918,1953.635
-265.183919,1953.6
-269.920652,1953.56
-273.862198,1953.52
-274.995291,1953.48
-275.001361,1953.44
-273.639626,1953.4
-267.799138,1953.365
-261.756312,1953.33
-260.122432,1953.29
-255.754965,1953.25
-251.484621,1953.21
-248.631654,1953.17
-245.117042,1953.135
-243.668302,1953.1
-243.550946,1953.06
-245.513625,1953.02
-249.366141,1952.97
-255.212699,1952.915
-260.482594,1952.86
-267.039359,1952.805
-272.135242,1952.75
-273.15705,1952.695
-273.794414,1952.64
-274.562987,1952.585
-273.230649,1952.53
-271.506209,1952.47
-268.394719,1952.415
-266.086685,1952.36
-262.843481,1952.305
-259.314559,1952.25
-256.156462,1952.195
-252.62754,1952.14
-236.379099,1952.085
-227.010181,1952.03
-225.49547,1951.975
-225.832861,1951.925
-226.824768,1951.88
-231.395244,1951.835
-237.089341,1951.785
-245.514985,1951.735
-254.725846,1951.69
-263.790808,1951.645
-272.971274,1951.595
-279.90247,1951.545
-285.300717,1951.5
-288.178162,1951.455
-287.158898,1951.405
-283.813362,1951.355
-274.950023,1951.31
-267.81923,1951.265
-259.933615,1951.215
-254.615409,1951.165
-250.201976,1951.12
-247.83923,1951.075
-247.092513,1951.025
-246.618343,1950.975
-247.801742,1950.93
-248.221201,1950.885
-249.29315,1950.84
-250.81698,1950.795
-249.668028,1950.75
-251.195911,1950.705
-250.315453,1950.66
-256.583013,1950.615
-258.563789,1950.57
-257.736017,1950.525
-255.709648,1950.475
-252.535341,1950.43
-250.85852,1950.385
-249.923351,1950.34
-248.549472,1950.295
-247.895968,1950.25
-246.962825,1950.205
-243.634514,1950.16
-243.141093,1950.115
-240.990102,1950.07
-241.009353,1950.025
-242.434903,1949.975
-242.689904,1949.92
-245.403387,1949.865
-248.020969,1949.815
-249.349446,1949.765
-250.386182,1949.71
-251.557179,1949.655
-252.19618,1949.605
-251.821663,1949.555
-251.075657,1949.5
-250.483092,1949.445
-249.874375,1949.395
-249.358531,1949.345
-250.077281,1949.29
-249.407995,1949.235
-250.50631,1949.185
-252.237569,1949.135
-252.534356,1949.08
-253.668002,1949.025
-256.78023,1948.975
-258.505432,1948.92
-259.955046,1948.865
-263.008724,1948.815
-265.730283,1948.765
-268.209567,1948.71
-268.897023,1948.655
-269.676341,1948.605
-268.55178,1948.555
-266.59137,1948.5
-264.116124,1948.445
-258.78203,1948.395
-255.531503,1948.345
-254.572497,1948.29
-253.367177,1948.235
-252.411199,1948.185
-249.641185,1948.135
