year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1934.917,-4.32,9.24,-2.44
1934.75,-4.65,9.14,-2.18
1934.583,-5.02,8.88,-1.52
1934.417,-4.66,8.99,-1.03
1934.25,-3.65,9.33,-1.22
1934.083,-3.6,9.43,-1.94
1933.917,-4.53,9.13,-2.56
1933.75,-4.79,9.03,-2.33
1933.583,-4.88,8.97,-1.58
1933.417,-4.62,9.02,-1.48
1933.25,-3.94,9.3,-2
1933.083,-3.96,9.33,-2.24
1932.917,-4.48,9.16,-2.4
1932.75,-4.9,8.97,-2.25
1932.583,-4.98,8.91,-1.71
1932.417,-4.66,8.93,-1.59
1932.25,-4.1,9.11,-1.88
1932.083,-3.83,9.29,-2.09
1931.917,-4.27,9.22,-2.38
1931.75,-4.73,9.04,-2.31
1931.583,-4.95,8.82,-1.6
1931.417,-4.7,8.93,-1.75
1931.25,-4.04,9.14,-2.09
1931.083,-3.85,9.26,-2.31
1930.917,-4.26,9.13,-2.52
1930.75,-4.8,9,-2.13
1930.583,-4.79,9.01,-1.51
1930.417,-4.44,9.08,-1.78
1930.25,-3.99,9.26,-1.86
1930.083,-4.22,9.08,-2.2
1929.917,-4.89,9,-2.36
1929.75,-5.02,8.91,-2.09
1929.583,-4.77,8.99,-1.8
1929.417,-4.41,9.05,-1.88
1929.25,-3.83,9.22,-1.93
1929.083,-3.89,9.31,-1.98
1928.917,-4.48,9.11,-2.02
1928.75,-4.91,8.99,-2.09
1928.583,-4.64,9.02,-2.2
1928.417,-4.13,9.23,-2.15
1928.25,-3.7,9.35,-1.87
1928.083,-3.93,9.31,-2.22
1927.917,-4.48,9.14,-2.31
1927.75,-4.89,8.98,-1.85
1927.583,-4.91,9.03,-1.78
1927.417,-4.53,9.1,-1.74
1927.25,-3.84,9.31,-2.1
1927.083,-3.72,9.36,-2.38
1926.917,-4.59,9.14,-2.17
1926.75,-4.99,8.92,-1.88
1926.583,-4.85,8.97,-1.67
1926.417,-4.33,9.13,-2.05
1926.25,-3.82,9.33,-2.12
1926.083,-4,9.32,-2.22
1925.917,-4.56,9.09,-2.49
1925.75,-4.79,9.02,-2.04
1925.583,-4.77,9.09,-1.86
1925.417,-4.58,9.15,-2.06
1925.25,-3.91,9.25,-1.96
1925.083,-3.93,9.27,-2.32
1924.917,-4.54,9.08,-2.6
1924.75,-5.01,8.93,-1.98
1924.583,-5.05,8.9,-1.48
1924.417,-4.56,9.01,-1.9
1924.25,-4.14,9.2,-1.95
1924.083,-4.18,9.19,-2.24
1923.917,-4.64,9.05,-2
1923.75,-5.07,8.91,-1.57
1923.583,-5.01,8.89,-1.58
1923.417,-4.8,8.89,-1.86
1923.25,-4.09,9.15,-2.17
1923.083,-3.85,9.3,-2.05
1922.917,-4.12,9.2,-2.42
1922.75,-4.7,9.04,-2.4
1922.583,-4.8,9.02,-1.99
1922.417,-4.63,8.99,-1.95
1922.25,-3.98,9.3,-2.12
1922.083,-3.75,9.38,-2.3
1921.917,-4.26,9.19,-2.41
1921.75,-4.76,9.03,-2.02
1921.583,-4.76,9.05,-1.89
1921.417,-4.58,9.11,-2.23
1921.25,-3.7,9.4,-2.02
1921.083,-3.82,9.28,-2.34
1920.917,-4.5,9.17,-2.49
1920.75,-4.93,9.02,-2
1920.583,-4.84,9.01,-1.64
1920.417,-4.4,9.1,-2.06
1920.25,-3.84,9.29,-2.19
1920.083,-3.84,9.24,-2.16
1919.917,-4.49,9.14,-2.36
1919.75,-4.96,9.03,-2.15
1919.583,-4.92,8.98,-1.6
1919.417,-4.64,9.01,-1.84
1919.25,-4.08,9.2,-1.85
1919.083,-3.86,9.24,-1.7
1918.917,-4.41,9.1,-1.92
1918.75,-4.85,8.86,-1.43
1918.583,-4.97,8.95,-1.24
1918.417,-4.72,8.95,-1.54
1918.25,-4.01,9.26,-1.8
1918.083,-3.97,9.33,-2.08
1917.917,-4.69,9.09,-2.3
1917.75,-5.09,8.91,-1.73
1917.583,-4.98,8.93,-1.53
1917.417,-4.29,9.13,-1.62
1917.25,-3.65,9.37,-1.65
1917.083,-4,9.3,-2.04
1916.917,-4.79,9.06,-2.13
1916.75,-5.04,8.96,-1.65
1916.583,-4.82,8.96,-1.41
1916.417,-4.36,9.1,-1.95
1916.25,-3.9,9.3,-2.09
1916.083,-4.11,9.26,-2.23
1915.917,-4.53,9.14,-2.33
1915.75,-4.85,9.04,-1.8
1915.583,-4.99,8.96,-1.74
1915.417,-4.68,9.03,-1.77
1915.25,-3.82,9.35,-1.73
1915.083,-3.87,9.33,-2.36
1914.917,-4.35,9.11,-2.31
1914.75,-4.91,8.92,-1.67
1914.583,-4.7,9.05,-1.66
1914.417,-4.6,9.02,-1.7
1914.25,-4.05,9.23,-2.11
1914.083,-3.72,9.31,-2.28
1913.917,-4.28,9.18,-2.41
1913.75,-4.71,9.03,-2.12
1913.583,-4.96,8.93,-1.65
1913.417,-4.36,9.06,-1.69
1913.25,-3.66,9.36,-2.13
1913.083,-4.07,9.23,-2.32
1912.917,-4.67,9.1,-2.17
1912.75,-4.85,8.96,-1.81
1912.583,-4.79,9.02,-1.7
1912.417,-4.33,9.14,-1.99
1912.25,-3.89,9.26,-1.93
1912.083,-4.09,9.26,-2.23
1911.917,-4.55,9.16,-2.23
1911.75,-4.9,9.02,-1.78
1911.583,-5.06,8.94,-1.34
1911.417,-4.8,8.99,-1.29
1911.25,-4.15,9.16,-1.28
1911.083,-3.88,9.27,-1.47
1910.917,-4.26,9.16,-1.96
1910.75,-4.72,9.02,-1.93
1910.583,-4.99,8.92,-1.6
1910.417,-4.97,8.9,-1.53
1910.25,-4.38,9.05,-1.22
1910.083,-3.99,9.21,-1.39
1909.917,-4.6,9.08,-1.83
1909.75,-4.86,8.92,-1.2
1909.583,-4.87,8.88,-1.05
1909.417,-4.38,9.02,-1.37
1909.25,-3.89,9.28,-1.78
1909.083,-4.1,9.18,-2.31
1908.917,-4.43,9.07,-2.02
1908.75,-4.56,9,-1.87
1908.583,-4.68,8.95,-1.77
1908.417,-4.42,9.06,-1.95
1908.25,-3.85,9.24,-1.99
1908.083,-3.69,9.29,-2.14
1907.917,-4.17,9.18,-2.16
1907.75,-4.62,9.02,-1.79
1907.583,-4.7,8.96,-1.6
1907.417,-4.56,8.99,-1.67
1907.25,-4.06,9.16,-1.69
1907.083,-3.73,9.29,-1.76
1906.917,-3.83,9.24,-1.98
1906.75,-4.37,9.15,-1.97
