year (AD),depth (cm),d18O (permil),d18O (permil),core ()
549.14,63.3,-1.896,-1.204,CAR 7-2
547.29,63.4,-1.897,-1.278,CAR 7-2
545.43,63.5,-2.006,-1.188,CAR 7-2
543.57,63.6,-1.723,-1.303,CAR 7-2
541.71,63.7,-2.058,-1.211,CAR 7-2
539.85,63.8,-1.9,-1.174,CAR 7-2
537.99,63.9,-1.705,-1.25,CAR 7-2
536.13,64,-1.513,-0.959,CAR 7-2
534.26,64.1,-1.83,-1.252,CAR 7-2
532.4,64.2,-1.937,-0.913,CAR 7-2
530.54,64.3,-1.671,-1.053,CAR 7-2
528.67,64.4,-1.606,-1.315,CAR 7-2
526.8,64.5,-2.126,-1.084,CAR 7-2
524.94,64.6,-1.818,-1.376,CAR 7-2
523.07,64.7,-1.621,-1.299,CAR 7-2
521.2,64.8,-1.67,-1.42,CAR 7-2
519.33,64.9,-2.028,-1.433,CAR 7-2
517.46,65,-1.905,-1.083,CAR 7-2
515.59,65.1,-1.94,-0.95,CAR 7-2
513.72,65.2,-1.923,-1.233,CAR 7-2
511.85,65.3,-2.186,-1.375,CAR 7-2
509.98,65.4,-1.785,-1.488,CAR 7-2
508.1,65.5,-2.238,-1.279,CAR 7-2
506.23,65.6,-2.091,-1.436,CAR 7-2
504.35,65.7,-1.915,-1.331,CAR 7-2
502.47,65.8,-2.065,-1.41,CAR 7-2
500.6,65.9,-2.225,-1.159,CAR 7-2
498.72,66,-1.745,-1.337,CAR 7-2
496.46,66.1,-2.074,-1.391,CAR 7-2
494.21,66.2,-1.914,-1.115,CAR 7-2
491.95,66.3,-1.714,-1.432,CAR 7-2
489.7,66.4,-2.004,-1.147,CAR 7-2
487.45,66.5,-1.854,-1.047,CAR 7-2
485.21,66.6,-1.843,-1.116,CAR 7-2
482.96,66.7,-1.933,-1.327,CAR 7-2
480.72,66.8,-1.943,-1.317,CAR 7-2
478.47,66.9,-1.663,-1.281,CAR 7-2
476.23,67,-1.743,-1.274,CAR 7-2
474,67.1,-2.072,-1.479,CAR 7-2
471.76,67.2,-1.692,-1.253,CAR 7-2
469.52,67.3,-1.742,-1.175,CAR 7-2
467.29,67.4,-1.924,-1.23,CAR 7-2
465.06,67.5,-1.891,-1.235,CAR 7-2
462.83,67.6,-1.937,-1.155,CAR 7-2
460.6,67.7,-1.703,-1.252,CAR 7-2
458.38,67.8,-2.08,-1.122,CAR 7-2
456.15,67.9,-1.776,-1.339,CAR 7-2
453.93,68,-1.852,-1.302,CAR 7-2
451.71,68.1,-1.809,-1.07,CAR 7-2
449.49,68.2,-2.095,-1.065,CAR 7-2
447.27,68.3,-1.841,-1.172,CAR 7-2
445.06,68.4,-2.218,-1.336,CAR 7-2
442.84,68.5,-1.854,-1.054,CAR 7-2
440.63,68.6,-1.86,-1.126,CAR 7-2
438.42,68.7,-2.197,-1.265,CAR 7-2
436.21,68.8,-1.753,-1.059,CAR 7-2
434.01,68.9,-1.619,-1.228,CAR 7-2
431.8,69,-1.916,-1.1,CAR 7-2
429.6,69.1,-1.966,-1.358,CAR 7-2
427.4,69.2,-2.114,-1.478,CAR 7-2
425.2,69.3,-2.112,-1.214,CAR 7-2
423,69.4,-1.74,-1.11,CAR 7-2
420.8,69.5,-1.837,-1.415,CAR 7-2
418.61,69.6,-1.995,-1.405,CAR 7-2
416.41,69.7,-1.963,-1.335,CAR 7-2
414.22,69.8,-1.791,-1.206,CAR 7-2
412.03,69.9,-2.009,-1.389,CAR 7-2
409.84,70,-1.866,-1.365,CAR 7-2
407.66,70.1,-1.574,-1.331,CAR 7-2
405.47,70.2,-1.842,-1.351,CAR 7-2
403.29,70.3,-1.85,-1.329,CAR 7-2
401.1,70.4,-1.988,-1.643,CAR 7-2
398.92,70.5,-1.575,-1.613,CAR 7-2
396.74,70.6,-1.863,-1.411,CAR 7-2
394.57,70.7,-1.881,-1.26,CAR 7-2
392.39,70.8,-1.955,-1.322,CAR 7-2
390.22,70.9,-1.945,-1.413,CAR 7-2
388.04,71,-2.004,-1.359,CAR 7-2
385.87,71.1,-2.193,-1.306,CAR 7-2
383.7,71.2,-1.593,-1.132,CAR 7-2
381.54,71.3,-1.972,-1.199,CAR 7-2
379.37,71.4,-2.181,-1.22,CAR 7-2
377.21,71.5,-1.981,-1.536,CAR 7-2
375.04,71.6,-2.06,-1.523,CAR 7-2
372.88,71.7,-2.009,-1.395,CAR 7-2
370.72,71.8,-2.209,-1.231,CAR 7-2
368.56,71.9,-1.908,-1.479,CAR 7-2
366.4,72,-1.927,-1.16,CAR 7-2
364.25,72.1,-1.967,-1.313,CAR 7-2
362.09,72.2,-1.866,-1.04,CAR 7-2
359.94,72.3,-1.975,-1.384,CAR 7-2
357.79,72.4,-1.895,-1.415,CAR 7-2
355.64,72.5,-1.66,-1.405,CAR 7-2
353.49,72.6,-1.612,-1.31,CAR 7-2
351.35,72.7,-1.868,-1.346,CAR 7-2
349.2,72.8,-2.481,-1.395,CAR 7-2
347.06,72.9,-2.083,-1.398,CAR 7-2
344.91,73,-1.758,-1.197,CAR 7-2
342.77,73.1,-2.395,-1.187,CAR 7-2
340.63,73.2,-2.312,-1.252,CAR 7-2
338.5,73.3,-1.965,-1.472,CAR 7-2
336.36,73.4,-2.034,-1.427,CAR 7-2
334.22,73.5,-2.276,-1.386,CAR 7-2
332.09,73.6,-1.99,-1.185,CAR 7-2
329.96,73.7,-2.066,-1.575,CAR 7-2
327.83,73.8,-2.009,-1.121,CAR 7-2
325.7,73.9,-1.943,-1.029,CAR 7-2
323.57,74,-2.125,-1.176,CAR 7-2
321.44,74.1,-1.77,-1.265,CAR 7-2
319.32,74.2,-2.176,-1.328,CAR 7-2
317.19,74.3,-1.398,-1.042,CAR 7-2
315.07,74.4,-1.936,-1.256,CAR 7-2
312.95,74.5,-2.155,-1.053,CAR 7-2
310.83,74.6,-1.877,-1.168,CAR 7-2
308.71,74.7,-1.858,-1.211,CAR 7-2
306.59,74.8,-2.051,-1.19,CAR 7-2
304.48,74.9,-1.891,-1.307,CAR 7-2
302.36,75,-1.79,-1.261,CAR 7-2
300.25,75.1,-1.719,-1.261,CAR 7-2
298.14,75.2,-1.964,-1.433,CAR 7-2
296.03,75.3,-2.112,-1.169,CAR 7-2
293.92,75.4,-1.75,-1.326,CAR 7-2
291.81,75.5,-1.644,-1.283,CAR 7-2
289.7,75.6,-1.93,-1.199,CAR 7-2
287.6,75.7,-1.757,-1.184,CAR 7-2
285.49,75.8,-1.51,-1.103,CAR 7-2
283.39,75.9,-1.898,-1.213,CAR 7-2
281.29,76,-1.813,-1.343,CAR 7-2
279.19,76.1,-2.068,-1.235,CAR 7-2
277.09,76.2,-1.983,-1.359,CAR 7-2
274.99,76.3,-1.698,-1.34,CAR 7-2
272.89,76.4,-1.933,-1.39,CAR 7-2
270.8,76.5,-2.137,-1.35,CAR 7-2
268.71,76.6,-1.542,-1.497,CAR 7-2
266.61,76.7,-2.127,-1.385,CAR 7-2
264.52,76.8,-1.812,-1.195,CAR 7-2
262.43,76.9,-1.857,-1.454,CAR 7-2
260.34,77,-1.962,-1.316,CAR 7-2
258.25,77.1,-1.996,-1.336,CAR 7-2
256.17,77.2,-1.51,-1.332,CAR 7-2
254.08,77.3,-1.435,-1.041,CAR 7-2
252,77.4,-1.969,-1.168,CAR 7-2
249.91,77.5,-1.783,-0.957,CAR 7-2
247.83,77.6,-2.138,-1.191,CAR 7-2
245.75,77.7,-2.222,-1.198,CAR 7-2
243.67,77.8,-1.957,-1.24,CAR 7-2
241.59,77.9,-2.351,-1.162,CAR 7-2
239.52,78,-2.145,-1.352,CAR 7-2
237.44,78.1,-1.91,-1.159,CAR 7-2
235.36,78.2,-1.864,-1.218,CAR 7-2
233.29,78.3,-2.179,-0.995,CAR 7-2
231.22,78.4,-2.423,-1.056,CAR 7-2
229.15,78.5,-1.947,-1.328,CAR 7-2
227.08,78.6,-2.362,-1.227,CAR 7-2
225.01,78.7,-1.686,-1.346,CAR 7-2
222.94,78.8,-2.093,-1.063,CAR 7-2
220.87,78.9,-2.387,-1.366,CAR 7-2
218.8,79,-1.771,-1.266,CAR 7-2
216.74,79.1,-1.985,-1.147,CAR 7-2
214.68,79.2,-1.599,-1.217,CAR 7-2
212.61,79.3,-1.643,-1.192,CAR 7-2
210.55,79.4,-1.727,-1.292,CAR 7-2
208.49,79.5,-2.131,-1.137,CAR 7-2
206.43,79.6,NA,-1.33,CAR 7-2
204.37,79.7,-1.645,-1.057,CAR 7-2
202.32,79.8,-2.129,-1.329,CAR 7-2
200.26,79.9,-2.353,-1.124,CAR 7-2
198.2,80,-1.777,-1.285,CAR 7-2
196.15,80.1,-2.281,-1.123,CAR 7-2
194.1,80.2,-1.615,-1.261,CAR 7-2
192.04,80.3,-1.919,-1.405,CAR 7-2
189.99,80.4,-2.003,-1.306,CAR 7-2
187.94,80.5,-2.421,-1.247,CAR 7-2
185.89,80.6,-1.67,-1.348,CAR 7-2
183.84,80.7,-1.69,-1.453,CAR 7-2
181.8,80.8,-2.169,-1.121,CAR 7-2
179.75,80.9,-1.658,-1.017,CAR 7-2
177.71,81,-1.998,-0.979,CAR 7-2
175.66,81.1,-1.757,-1.294,CAR 7-2
173.62,81.2,-1.956,-1.401,CAR 7-2
171.58,81.3,-2.176,-1.195,CAR 7-2
169.53,81.4,-2.135,-1.28,CAR 7-2
167.49,81.5,-1.644,-1.322,CAR 7-2
165.46,81.6,-2.053,-1.369,CAR 7-2
163.42,81.7,-2.113,-1.483,CAR 7-2
161.38,81.8,-1.802,-1.123,CAR 7-2
159.34,81.9,-1.831,-1.239,CAR 7-2
157.31,82,-2.041,-1.336,CAR 7-2
155.27,82.1,-2.19,-1.347,CAR 7-2
153.24,82.2,NA,-1.451,CAR 7-2
151.21,82.3,-2.283,-1.376,CAR 7-2
149.17,82.4,-2.12,-1.472,CAR 7-2
147.14,82.5,-2.697,-1.305,CAR 7-2
145.11,82.6,-2.444,-1.236,CAR 7-2
143.08,82.7,-2.301,-1.228,CAR 7-2
141.05,82.8,-1.938,-1.336,CAR 7-2
139.03,82.9,-2.465,-1.296,CAR 7-2
137,83,-2.352,-1.352,CAR 7-2
134.98,83.1,-2.359,-1.357,CAR 7-2
132.95,83.2,-2.426,-1.555,CAR 7-2
130.93,83.3,-2.343,-1.518,CAR 7-2
128.9,83.4,-1.9,-1.004,CAR 7-2
126.88,83.5,-2.187,-1.357,CAR 7-2
124.86,83.6,-1.874,-1.303,CAR 7-2
122.84,83.7,-2.161,-1.357,CAR 7-2
120.82,83.8,-2.058,-1.239,CAR 7-2
118.8,83.9,-1.995,-1.331,CAR 7-2
116.78,84,-1.934,-1.467,CAR 7-2
114.76,84.1,-1.841,-1.335,CAR 7-2
112.75,84.2,-2.369,-1.231,CAR 7-2
110.73,84.3,-1.886,-1.305,CAR 7-2
108.72,84.4,-2.274,-1.107,CAR 7-2
106.7,84.5,-2.151,-1.492,CAR 7-2
104.69,84.6,-1.959,-1.338,CAR 7-2
102.68,84.7,-2.136,-1.491,CAR 7-2
100.67,84.8,-1.984,-1.377,CAR 7-2
98.65,84.9,-2.261,-1.413,CAR 7-2
96.64,85,-2.039,-1.389,CAR 7-2
94.63,85.1,-1.636,-1.525,CAR 7-2
92.63,85.2,-2.064,-1.11,CAR 7-2
90.62,85.3,-2.191,-1.478,CAR 7-2
88.61,85.4,-1.669,-1.354,CAR 7-2
86.6,85.5,-2.036,-1.23,CAR 7-2
84.6,85.6,-1.884,-1.376,CAR 7-2
82.59,85.7,-2.068,-1.312,CAR 7-2
80.59,85.8,-1.637,-1.207,CAR 7-2
78.59,85.9,-2.016,-1.163,CAR 7-2
76.58,86,-2.126,NA,CAR 7-2
74.58,86.1,-1.725,-1.411,CAR 7-2
72.58,86.2,-1.354,-1.457,CAR 7-2
70.58,86.3,-1.984,-1.523,CAR 7-2
68.58,86.4,-1.853,-1.157,CAR 7-2
66.58,86.5,-1.833,-1.441,CAR 7-2
64.58,86.6,-1.652,-1.266,CAR 7-2
62.58,86.7,-1.491,-1.281,CAR 7-2
60.59,86.8,-2.021,-1.376,CAR 7-2
58.59,86.9,-1.9,-1.471,CAR 7-2
56.59,87,-1.909,-1.004,CAR 7-2
54.6,87.1,-1.809,-1.22,CAR 7-2
52.6,87.2,-1.858,-1.175,CAR 7-2
50.61,87.3,-1.957,-1.019,CAR 7-2
48.62,87.4,-2.012,-1.405,CAR 7-2
46.62,87.5,-1.827,-1.117,CAR 7-2
44.63,87.6,-1.622,-1.115,CAR 7-2
42.64,87.7,-1.726,-1.169,CAR 7-2
40.65,87.8,-2.311,-1.027,CAR 7-2
38.66,87.9,-2.245,-1.249,CAR 7-2
36.67,88,-1.77,-1.134,CAR 7-2
34.68,88.1,-2.155,-1.189,CAR 7-2
32.69,88.2,-1.999,-1.321,CAR 7-2
30.7,88.3,-2.214,-1.185,CAR 7-2
28.72,88.4,-2.279,-1.213,CAR 7-2
26.73,88.5,-2.073,-1.054,CAR 7-2
24.74,88.6,-1.758,-1.205,CAR 7-2
22.76,88.7,-2.343,-1.431,CAR 7-2
20.77,88.8,-1.867,-1.402,CAR 7-2
18.79,88.9,-2.072,-1.154,CAR 7-2
16.8,89,-1.567,-1.313,CAR 7-2
14.82,89.1,-1.324,-1.189,CAR 7-2
12.84,89.2,-2.263,-1.345,CAR 7-2
10.86,89.3,-1.652,-1.301,CAR 7-2
8.87,89.4,-2.001,-1.277,CAR 7-2
6.89,89.5,-1.77,-1.233,CAR 7-2
4.91,89.6,-1.839,-1.319,CAR 7-2
2.93,89.7,-1.918,-1.335,CAR 7-2
0.95,89.8,-1.808,-1.481,CAR 7-2
-1.03,89.9,-2.097,-1.18,CAR 7-2
