year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],Sr_Ca (mmol/mol) [2-1],d18O (permil) [2-1]
1896.79,0.81,1896.88,8.93,-4.86
1896.71,0.65,1896.79,8.91,-5.04
1896.63,0.7,1896.71,8.85,-5.33
1896.54,0.78,1896.63,8.83,-5.34
1896.46,0.72,1896.54,8.84,-5.22
1896.38,0.7,1896.46,8.9,-5.14
1896.29,0.67,1896.38,8.95,-5.05
1896.21,0.73,1896.29,8.99,-4.98
1896.13,0.85,1896.21,9.02,-4.86
1896.04,0.86,1896.13,9,-4.79
1895.96,0.94,1896.04,8.98,-4.82
1895.88,0.85,1895.96,8.94,-4.82
1895.79,0.83,1895.88,8.94,-4.91
1895.71,0.79,1895.79,8.92,-4.98
1895.63,0.67,1895.71,8.9,-5.07
1895.54,0.66,1895.63,8.93,-5.12
1895.46,0.65,1895.54,8.94,-5.1
1895.38,0.76,1895.46,8.96,-5.07
1895.29,0.65,1895.38,8.94,-5
1895.21,0.69,1895.29,8.99,-5
1895.13,0.75,1895.21,9.03,-4.87
1895.04,0.74,1895.13,9.06,-4.74
1894.96,0.75,1895.04,9.05,-4.76
1894.88,0.74,1894.96,9.03,-4.8
1894.79,0.67,1894.88,9.05,-4.77
1894.71,0.79,1894.79,9.08,-4.77
1894.63,0.7,1894.71,9.04,-4.73
1894.54,0.83,1894.63,9.03,-4.84
1894.46,0.9,1894.54,9.01,-4.78
1894.38,0.95,1894.46,9.01,-4.7
1894.29,0.88,1894.38,9.03,-4.61
1894.21,0.84,1894.29,9.05,-4.62
1894.13,0.89,1894.21,9.07,-4.62
1894.04,0.76,1894.13,9.08,-4.54
1893.96,0.67,1894.04,9.11,-4.61
1893.88,0.78,1893.96,9.07,-4.79
1893.79,0.9,1893.88,9.11,-4.59
1893.71,0.81,1893.79,9.09,-4.51
1893.63,0.72,1893.71,9.04,-4.72
1893.54,1.03,1893.63,9.04,-4.8
1893.46,0.85,1893.54,8.99,-4.62
1893.38,0.82,1893.46,9.07,-4.62
1893.29,0.85,1893.38,9.06,-4.66
1893.21,0.74,1893.29,9.09,-4.57
1893.13,0.82,1893.21,9.11,-4.63
1893.04,0.89,1893.13,9.09,-4.59
1892.96,0.8,1893.04,9.07,-4.57
1892.88,0.67,1892.96,9.08,-4.63
1892.79,0.75,1892.88,9.11,-4.69
1892.71,0.74,1892.79,9.08,-4.68
1892.63,0.7,1892.71,9.07,-4.73
1892.54,0.8,1892.63,9.06,-4.79
1892.46,0.83,1892.54,9.04,-4.74
1892.38,0.82,1892.46,9.03,-4.72
1892.29,0.85,1892.38,9.04,-4.71
1892.21,0.89,1892.29,9.05,-4.65
1892.13,0.91,1892.21,9.06,-4.59
1892.04,0.88,1892.13,9.05,-4.59
1891.96,0.79,1892.04,9.04,-4.65
1891.88,0.81,1891.96,9.03,-4.76
1891.79,0.88,1891.88,9,-4.82
1891.71,0.8,1891.79,8.94,-4.88
1891.63,0.94,1891.71,8.93,-5
1891.54,0.92,1891.63,8.88,-4.98
1891.46,0.96,1891.54,8.92,-4.91
1891.38,0.75,1891.46,8.95,-4.79
1891.29,0.78,1891.38,8.98,-4.93
1891.21,0.88,1891.29,9.02,-4.8
1891.13,0.9,1891.21,8.98,-4.79
1891.04,0.89,1891.13,8.99,-4.76
1890.96,0.84,1891.04,8.99,-4.76
1890.88,0.85,1890.96,8.99,-4.82
1890.79,0.81,1890.88,9,-4.79
1890.71,0.75,1890.79,9.01,-4.79
1890.63,0.73,1890.71,8.97,-4.95
1890.54,0.79,1890.63,8.97,-4.96
1890.46,0.94,1890.54,8.98,-4.87
1890.38,0.9,1890.46,8.96,-4.78
1890.29,0.81,1890.38,8.99,-4.76
1890.21,0.91,1890.29,9.01,-4.78
1890.13,0.93,1890.21,9.04,-4.62
1890.04,0.74,1890.13,9.08,-4.5
1889.96,0.83,1890.04,9.13,-4.57
1889.88,0.88,1889.96,9.11,-4.53
1889.79,0.86,1889.88,9.09,-4.54
1889.71,0.7,1889.79,9.06,-4.63
1889.63,0.71,1889.71,9.07,-4.77
1889.54,0.75,1889.63,9.05,-4.8
1889.46,0.78,1889.54,9.05,-4.76
1889.38,0.82,1889.46,9.05,-4.73
1889.29,0.85,1889.38,9.05,-4.69
1889.21,0.87,1889.29,9.04,-4.67
1889.13,0.91,1889.21,9.04,-4.66
1889.04,0.87,1889.13,9.03,-4.64
1888.96,0.79,1889.04,9.03,-4.67
1888.88,0.76,1888.96,9.04,-4.75
1888.79,0.73,1888.88,9.02,-4.82
1888.71,0.73,1888.79,8.99,-4.92
1888.63,0.82,1888.71,8.94,-5.04
1888.54,0.86,1888.63,8.88,-5.09
1888.46,0.91,1888.54,8.89,-5.03
1888.38,0.97,1888.46,8.89,-4.97
1888.29,0.94,1888.38,8.9,-4.9
1888.21,0.91,1888.29,8.95,-4.8
1888.13,0.98,1888.21,9.01,-4.7
1888.04,0.95,1888.13,9.05,-4.54
1887.96,0.93,1888.04,9.08,-4.49
1887.88,1.02,1887.96,9.05,-4.59
1887.79,0.95,1887.88,8.98,-4.66
1887.71,0.91,1887.79,9.01,-4.65
1887.63,0.94,1887.71,9.01,-4.69
1887.54,0.93,1887.63,9,-4.69
1887.46,0.84,1887.54,8.99,-4.71
1887.38,0.87,1887.46,9.04,-4.69
1887.29,0.92,1887.38,9.05,-4.63
1887.21,0.75,1887.29,9.06,-4.56
1887.13,0.89,1887.21,9.13,-4.56
1887.04,0.78,1887.13,9.14,-4.39
1886.96,1.02,1887.04,9.23,-4.3
1886.88,0.92,1886.96,9.06,-4.47
1886.79,0.79,1886.88,9.06,-4.57
1886.71,0.73,1886.79,9.09,-4.62
1886.63,0.74,1886.71,9.11,-4.63
1886.54,0.83,1886.63,9,-4.89
1886.46,0.78,1886.54,8.99,-4.82
1886.38,0.81,1886.46,9,-4.85
1886.29,0.86,1886.38,8.99,-4.84
1886.21,0.69,1886.29,8.98,-4.81
1886.13,0.82,1886.21,9.02,-4.89
NA,NA,1886.13,9.01,-4.79
