year (AD),d18O (permil),thickness (mwe),dust (permil),F (ppb),Cl (ppb),sulfate (ppb),nitrate (ppb),Na (ppb),ammonium (ppb),K (ppb),Mg (ppb),Ca (ppb)
1488,-17.285,1.1911,21275,0,12.725,1.4925,18.4725,0,19.0775,0,0.2375,1.1425
1487,-17.195,1.2527,17240,0,17.58,0.655,48.83,3.165,32.95,1.905,0,0
1486,-17.05,1.4937,12736,0,10.834,0,5.362,0,17.698,0,0,0
1485,-18.564,1.4961,13148,0,16.016,0,5.608,0,21.548,0,0,0
1484,-19.299,1.8182,25370,0.17,13.08833,0,0.48333333,0,18.22667,0,0,0
1483,-19.2465,1.1807,18815,0,11.1075,0,0,0,14.0275,0,0,0
1482,-17.3782,1.4632,18980,0,11.644,0,0,0,13.538,0,0,0.712
1481,-19.012,1.1845,19645,0,15.605,0,0,0,16.765,0,0,0
1480,-19.051,1.0255,13906.66667,0,16.01,0,0,0,18.85667,0,0,0
1479,-19.8367,0.8861,31906.66667,0,11.30333,0,0,0,15.28333,0,0,0
1478,-19.855,1.1901,21815,0,8.52,0,0,0,13.065,0,0.16,0
1477,-17.83,1.192,15955,0,14.59,0.96,2.54,3.16,18.235,0,0.15,0
1476,-17.82,1.1939,11445,0.25,10.71,0,0,0,15.03,0,0,0
1475,-18.8,1.7835,12810,0,11.79333,0,0,0,16.17667,0,0,0
1474,-18.6375,1.1976,14840,0,15.745,0,2.85,0,21.97,0,0,0
1473,-17.69,1.1995,21310,0,14.035,0,2.41,0,19.125,0,0,0
1472,-18.4725,1.2014,13680,0,11.685,0,0,0,15.75,0,0,0
1471,-18.88,1.2033,15610,0,13.19,0,7.965,0,22.345,0,0,0
1470,-17.2377,1.2052,15410,0,12.07,0,2.565,0,17.715,0,0,0
1469,-18.4725,1.2071,14325,0,12.365,0,4.665,0,18.77,0,0,0
1468,-18.3227,0.9016,14093.33333,0,14.42,0,4.8833333,0,20.67,0,0,0
1467,-18.3918,1.4776,21144,0,24.16,3.184,13.678,17.816,22.274,3.148,0.236,1.128
1466,-19.128,1.1716,14485,0,16.485,0,6.785,0,22.545,0,0,0
1465,-18.1047,0.8852,16220,0,14.55667,0,6.0033333,0,21.92,0,0.09,0
1464,-16.4557,0.8866,29613.33333,0,16.10333,0,11.356667,0,26.86,0,0.09,0
1463,-17.6975,1.177,22390,0,20.405,0,6.66,0,26.38,0,0,0
1462,-16.4667,0.8893,16886.66667,0,13.68667,0.43,5.38,0,22.77,0,0,0
1461,-20.62,0.8907,13133.33333,0,12.9,1.23,2.74,0,22.75667,0,0,0
1460,-17.8,0.8921,25720,0,9.483333,0,1.9733333,0,17.81667,0,0,0
1459,-21.185,1.1843,11510,0,16.0025,0,13.1775,0,25.9325,0,0,0
1458,-19.7408,1.4775,13808,0,11.636,0,41.554,0,33.776,1.208,0.116,0
1457,-19.7713,0.8962,17613.33333,0,11.40667,0,7.9466667,0,18.46,0,0,0
1456,-17.031,1.1898,16275,0,12.86,0,9.22,0,20.9,0,0,0
1455,-16.313,0.8989,15980,0,13.58667,0,9.9666667,0,23.12,0,0,0
1454,-16.8534,1.4865,13392,0,10.118,0,4.424,0,15.06,0,0,0
1453,-18.407,1.1952,14155,0,11.7325,0,6.71,0,18.52,0,0,0
1452,-16.9785,1.1971,11890,0,16.365,0,7.965,0,22.3825,0,0,0
1451,-16.5293,0.9044,15493.33333,0,14.2,0,5.4133333,0,22.44333,0,0,0
1450,-17.7313,0.9058,26733.33333,0,9.943333,0,0,0,15.17667,0,0,0
1449,-17.9958,1.2025,8795,0,12.51,0,0,0,15.6125,0,0,0
1448,-18.6277,0.9931,12553.33333,0,11.83,0,0,0,15.44,0,0,0
1447,-17.9075,1.312,13985,0,32.805,2.145,5.24,11.435,14.79,29.195,0,1.355
1446,-16.6372,1.1656,18420,0,31.37,0,33.586,2.24,48.5,0.704,0.054,0.408
1445,-16.361,1.1674,15625,0,18.9525,0,9.27,0,27.8075,0.88,0.0675,0.51
1444,-17.1627,0.7865,30800,0,12,0,0.93,0,16.73,0,0,0.96
1443,-17.0888,0.9793,16700,0,16.245,0,7.915,0,25.37,0.965,0,0.8
1442,-18.0668,1.5778,15633.33333,0,14.82,0,1.6266667,0,19.98333,0,0,0
1441,-19.856,1.3666,18540,0.37,20.128,0,0,0,24.028,0,0,0
1440,-17.98,1.3687,33020,0.71,16.788,0,0,0,23.108,0,0,0
1439,-20.574,1.178,24300,0,20.438,0,0,0,23.414,1.542,0,0
1438,-19.61,1.1797,29775,0,15.8075,0,0,0,21.335,1.9275,0,0
1437,-17.1833,0.7948,32533.33333,0.4533333,17.58667,0,0,0,24.71667,1.3,0,1.28
1436,-16.904,1.1833,17940,0.216,19.102,0,1.708,0,25.162,0,0,0.7
1435,-16.785,1.185,22725,0.265,18.18,0,5.4425,0,28.51,0,0,0
1434,-16.982,1.1868,19480,0.22,14.778,0,0.818,0,21.39,0,0,0
1433,-18.764,1.3831,16060,0.2,19.808,0.224,0,0,26.072,0,0,0
1432,-17.64,0.9956,12325,0.17,20.045,0.28,0,0,24.15,0,0,0
1431,-16.43,1.1921,11875,0.17,25.91,0,0,0,29.625,0,0,0
1430,-17.665,1.6064,16516.66667,0.2933333,20.53833,0,0,1.8333333,26.545,0,0,0
1429,-15.7633,0.8044,20433.33333,0.3633333,18.99667,0,0,0,22.84,0,0,0
1428,-16.7873,0.8056,20700,0.7833333,18.31,0,0,0,23.39667,0,0,1.04
1427,-18.847,1.003,18525,0.37,26.395,0,8.38,0,31.63,0,0,0
1426,-18.4105,1.201,28725,0.65,30.68,0,5.965,0,33.255,0,0,0
1425,-19.9568,1.2028,29000,0.24,30.418,0,12.078,0,38.31,0,0,0
1424,-18.7474,1.4017,19380,0.244,30.842,0,24.302,0,45.942,0,0,0
1423,-17.8562,1.009,36475,0,28.385,1.925,2.18,0,29.465,0,0,0
1422,-19.2755,1.0105,22875,0.27,26.395,0,1.47,0,29.635,0.985,0,0.805
1421,-16.752,0.814,24966.66667,0.36,31.31,0,0,0,32.87333,0,0,0
1420,-16.9162,1.2117,26200,0.276,23.942,0,0,0,26.78,0,0,0.812
1419,-18.8063,0.8164,22100,0,20.71667,0,0,0,23.68333,0,0,0
1418,-18.9255,1.0165,37825,0,17.565,1.1475,0,0,20.48,0,0,0
1417,-18.2025,1.2171,24075,0.295,16.125,6.2125,18.3,3.655,24.48,1.975,0.36,2.035
1416,-16.66,1.0195,21600,0,16.7875,0.89,1.865,0,21.5225,0,0,0.84
1415,-18.102,1.2207,19680,0,21.884,0.744,0,0,23.744,0,0,0.532
1414,-17.544,1.4226,22220,0,28.994,4.186,6.956,0,33.012,0,0.128,0.636
1413,-18.0667,0.6233,36533.33333,0,33.42333,3.23,13.566667,0,39.04,0,0.2333333,1.18
1412,-17.69,0.6242,15300,0,15.59,0,0,0,18.99,0,0,0
1411,-17.1133,0.8261,14033.33333,0,21.52333,0,0.95,14.07,26.98667,18.46,0.08666667,0.4566667
1410,-16.975,1.0285,15725,0,20.485,0,0.7125,10.5525,25.545,13.845,0.065,0.3425
1409,-17.3125,1.2315,11075,0.1475,14.4475,0,0,0,19.1175,0,0,0
1408,-18.3667,0.8297,23833.33333,0.1966667,13.21333,0,0,0,17.88333,0,0,0
1407,-18.666,1.2352,12400,0,18.132,1.682,1.27,0,25.88,0,0,0
1406,-19.2767,0.8321,13000,0,21.34,1.19,5.81,0,36.66667,1.826667,0,0
1405,-19.7175,1.2388,31900,0,10.695,0,0,0,16.59,0,0,0
1404,-18.8067,0.8346,34200,0,16.47333,0,7.1966667,0,23.02667,0,0.1433333,0
1403,-17.89,1.0391,14850,0,21.4725,0,17.9225,0,31.6175,0,0.1075,0
1402,-18.1313,1.2442,27775,0,9.2125,0.25,0,0,16.6175,0,0,0
1401,-17.9196,1.2461,14540,0,8.864,0.2,0,0,17.448,0,0,0
1400,-18.2662,1.2479,21250,0,11.6,0,0,0,18.265,0,0,0
1399,-18.836,0.8407,16800,0,8.34,0,0,0,14.94667,0,0,0
1398,-19.7227,0.842,27733.33333,0,6.74,0,0,0,13.5,0,0,0
1397,-18.357,1.6864,16100,0,13.89,0,0,0,18.99333,0,0,0
1396,-17.58,1.415,22425,0,9.115,2.055,2.3,0,18.115,0,0,0
1395,-17.5033,0.8457,18600,0.1866667,7.986667,0,0,0,12.82667,0,0,0
1394,-17.85,1.1444,23150,0.27,26.1125,0.4375,10.6975,0,29.9,0,0.1,0.345
1393,-17.1267,0.8481,43266.66667,0.1733333,12.01667,0.5833333,22.636667,0,19.51333,0,0.1333333,0.46
1392,-17.4025,1.1248,32925,0.355,14.56,0.67,4.995,0,18.885,0.975,0.31,1.085
1391,-19.5225,1.1495,18800,0.545,10.99,0,1.75,0,18.97,0,0,0
1390,-15.725,1.1511,23425,0.65,27.36,0.985,9.365,0,36.125,2.875,0,0
1389,-17.07,1.1298,11225,0,13.695,0,0,0,19.285,1.585,0,0
1388,-18.3575,1.1545,22850,0.33,16.085,0,0,0,22.51,0,0,0
1387,-18.25,0.8556,32166.66667,0.6466667,11.37,0.5233333,0,0,17.86667,0,0,0
1386,-17.4533,0.8568,18300,0.7933333,9.916667,0.5233333,0,0,16.83333,0,0,0
1385,-17.267,1.1596,16025,1.015,11.91,0.55,0,0,18.375,0,0,0
1384,-17.0727,0.8593,16866.66667,0.76,15.37667,0,0,2.8066667,21.18,5.506667,0,0
1383,-17.9014,1.4421,17160,0.448,19.238,0,0,1.684,23.02,3.304,0,0
1382,-18.0377,1.1647,28025,0.99,18.145,0,0,0,26.245,0,0,0
1381,-16.0093,0.8631,22300,1.063333,44.55667,0,9.73,0,51.62,0,0,0
1380,-17.3553,0.8644,27100,0.59,26.47,0,1.53,0,33.45333,0,0,0
1379,-16.7538,1.1698,23950,1.15,24.21,0,0,0,47.15,0,0,0.685
1378,-17.487,0.5623,46300,0.71,18.29,0,0,0,51.6,0,0,0
1377,-17.8727,0.8916,48733.33333,0.7733333,25.26667,0.3333333,0,0,31.37667,0,0,0.5466667
1376,-16.957,0.5639,47100,0.96,19.235,0.5,0,0,27.425,0.985,0,1.56
1375,-15.2223,0.8942,24400,1.093333,22.44333,0,0,0,31.5,0.6566667,0,0.4933333
1374,-16.3732,1.1548,17125,1.105,22.265,0,0,0,30.26,0,0,0
1373,-18.07,1.2036,27800,1.51,16.245,0.735,0,0,25.46,1.305,0.195,0.77
1372,-16.755,0.4254,70350,1.92,19.87,0,0,0,28.03,0,0.35,1.49
1371,-16.4567,0.8758,19166.66667,1.196667,23.97667,0,0,0,31.74667,0,0,0
1370,-16.04,0.6637,24050,1.255,33.645,0,0,0,41.93,0,0.155,0
1369,-15.3,0.8783,25333.33333,1.406667,31.42,0,0,0,37.6,0,0.5033333,1.433333
1368,-15.8225,1.0936,18500,0.905,36.24,0,0,0,49.34,0,0,0
1367,-17.2067,0.8809,16333.33333,0.7166667,31.35667,0.39,0,1.8166667,35.34667,-0.006666667,0,0
1366,-17.5967,0.8822,18300,0.7433333,30.51,1.97,2.1866667,9.9833333,33.62667,-0.04666667,0,0
1365,-18.1775,1.3133,17725,0.635,36.905,3.82,4.63,18.9,36.265,0,0,0
1364,-18.99,1.3152,17650,0.705,31.115,4.605,5.48,22.485,32.51,-0.03,0,0
1363,-19.3775,1.1016,15800,0.855,36.355,0,0,0,40.965,-0.01,0,0
1362,-20.575,1.1032,17175,0.865,27.195,0,0,0,31.69,0,0,0
1361,-20.4297,0.8886,23066.66667,0.9533333,20.50333,0,0,0,26.77667,0,0,0
1360,-17.3427,0.8899,34500,1.153333,24.59,0,0,0,32.70333,0,0,0
1359,-17.2913,1.3248,23100,1.08,33.46,0,0,0,37.59,0,0,0
1358,-17.5997,0.8925,27966.66667,1.116667,32.73333,0,0,0,38.89,0,0,0
1357,-18.1865,1.1113,29300,1.3025,40.725,0,0,0,45.4925,0,0,0.74
1356,-18.075,0.8951,29500,1.446667,42.96667,0,0,0,44.62,0,0,0
1355,-19.0603,0.8964,21933.33333,1.33,47.92667,0,0,0,51.63667,0,0,0
1354,-21.092,1.5529,21680,1.27,44.276,0,0,0,47.994,0,0,0
1353,-20.785,1.1178,33175,1.37,34.93,0,0,0,40.685,0,0,0
1352,-17.665,0.6814,17850,1.87,28.08,0,0,0,37.37,0,0,0
1351,-16.8425,1.121,22775,1.715,39.47,0,0,0,46.64,0,0,0
1350,-16.35,1.1227,20633.33333,1.706667,47.75333,0,20.4,0,59.27333,0,0,0
1349,-16.6275,1.1243,17200,1.49,57.655,0,40.91,0,70.735,0,0,0
1348,-17.2475,1.126,19200,0.87,31.12,1.255,9.22,5.855,37.07,0,0,0
1347,-18.0217,1.5688,11983.33333,0.24,31.41667,1.523333,3.08,0,36.14,0,0,0
1346,-17.48,0.6874,23800,0,39.97,1.34,4.72,0,44.41,0,0,0
1345,-16.58,1.1309,19175,1.06,68.795,1.565,74.075,0,83.035,0,0,0
1344,-19.3645,1.1326,21375,0.84,30.57,3.095,9.335,0,38.545,0,0,0
1343,-17.813,1.1342,18350,0,18.13,0.55,32.59,0,40.81,0,0,0
1342,-19.2353,0.9137,18525,0,15.145,0,25.465,0,34.82,0,0,0
1341,-21.5227,1.1376,14675,0,14.635,0,20.575,0,31.75,0,0,0
1340,-17.551,1.1392,15700,0,15.415,0,38.835,0,40.695,0,0,0
1339,-15.3263,0.9177,19133.33333,0,13.85667,0,25.246667,0,37.75333,0,0,0
1338,-16.5625,1.1426,14700,0,12.795,0,16.1725,0,28.45,0,0,0
1337,-18.2112,1.1442,13075,0,7.8825,0,8.7725,0,27.5725,0,0,0
1336,-16.1973,0.6975,10166.66667,0,14.45333,1.873333,11.286667,9.38,22.20333,0,0,0
1335,-18.2133,0.9231,16800,0,12.38333,0,23.02,0,35.00667,0,0,0
1334,-17.7514,1.3742,20240,0,8.754,0,0.808,0,16.6,0,0,0
1333,-18.7633,0.9258,11633.33333,0,9.16,0,1.5966667,0,17.97667,0,0,0
1332,-17.4833,0.7016,17866.66667,0,14.8,0,13.23,0,26.72333,0,0,0
1331,-16.3625,1.1544,15800,0,14.355,0,8.72,0,25.73,0,0,0
1330,-18.0425,1.1561,11475,0,10.625,0,8.845,0,20.2,0,0,0
1329,-16.715,0.7047,19900,0,7.05,1.19,22.68,0,15.26,0,0.44,0
1328,-15.4633,0.7058,14000,0,23.23667,0.5166667,140.83333,0,70.53333,0,0.17,0.4466667
1327,-16.7808,1.3884,15160,0,9.91,1.526,54.764,0,22.564,1.02,0.558,0.836
1326,-18.2095,0.7078,13200,0.73,8.245,11.06,145.96,4.13,11.88,3.92,15.01,11.325
1325,-18.6735,0.7595,25800,0,22.21,0.78,114.01,0,50.875,1.31,0.41,0
1324,-16.44,1.4452,24280,0,15.178,0.92,65.89,0,26.422,1.524,0.518,1.132
1323,-19.3025,1.168,22375,0,16.335,0.56,13.545,0,22.38,0,0.21,0
1322,-18.6533,0.89,22300,0,13.7,0,2.7333333,0,24.05667,0,0,0
1321,-18.3833,0.8659,19300,0,9.2,0,0,0,17.19667,0,0,0
1320,-17.4725,1.1732,16000,0,8.23,0,0,0,14.72,0,0,0
1319,-15.35,0.894,13600,0,8.503333,0,0,0,18.05,0,0,0
1318,-16.7033,0.8697,15866.66667,0,14.88333,0,4.2066667,0,28.08333,0,0,0
1317,-19.0475,1.1784,17975,0,14.485,0,0,0,21.55,0,0,0
1316,-18.32,0.898,19866.66667,0,12.64333,0,0,0,19.59667,0,0,0
1315,-17.35,0.8736,15633.33333,0,14.97,0,0,0,24.48333,0,0,0
1314,-17.17,0.9006,28966.66667,0,11.61,0,0.86333333,0,20.66,0,0,0
1313,-17.12,0.8762,15833.33333,0,11.44333,0,2.61,0,18.55333,0,0,0
1312,-18.75,1.1872,23400,0,20.935,2.36,40.025,13.085,33.54,2.355,0.165,1.225
1311,-19.3467,0.8788,14966.66667,0,15.15333,0.7333333,8.6266667,0,24.55333,0,0,0
1310,-18.0267,0.906,21066.66667,0,14.70667,0,1.3066667,0,23.78,0,0,0
1309,-18.9667,0.8814,24033.33333,0,14.57667,0,1.43,0,22.47333,0,0,0
1308,-19.0233,0.9087,15533.33333,0.3733333,28.55667,0,11.616667,0,40.98,0,0,0
1307,-19.19,0.884,34200,0,24.15667,0.39,15.79,0,41.49333,0,0,0
1306,-17.87,0.9114,46533.33333,0.3733333,16.67,1.163333,2.33,0,29.45333,0,0,0
1305,-17.59,0.5998,24050,0.65,18.37,0,0,0,30.33,0,0,0
1304,-17.63,1.2014,15150,0.52,27.45,0,14.095,0,46.495,0,0,0
1303,-18.0233,0.8893,22300,0,19.35667,0,7.8433333,0,33.82,0,0,0
1302,-18.2767,0.9168,23966.66667,0.3666667,18.59667,0,5.3033333,0,34.28,0,0,0
1301,-18.2,0.892,29933.33333,0,15.75333,0.3466667,7.4733333,0,35.14667,0,0,0
1300,-17.6325,1.2086,26100,0,16.575,0.26,7.9825,0,32.5825,0,0,0
1299,-19.3667,0.9209,16500,0,20.33333,0,14.59,0,35.13667,0,0,0
1298,-18.79,0.9223,15600,0,22.12667,0,43.18,0,49.73333,0,0,0
1297,-18.14,0.9765,16033.33333,0,21.84667,0,90.78,0,61.82667,0,0,0
1296,-18.5533,0.9779,20366.66667,0,17.4,0,42.293333,0,42.86333,0,0,0
1295,-20.7467,0.9529,14233.33333,0.3333333,17.74,1.3,46.513333,0,41.25,0,0.2466667,0.88
1294,-18.26,0.9808,12133.33333,0,15.87667,0,299.12,0,115.4067,0,0.2733333,1.126667
1293,-15.6567,0.9558,14633.33333,0,19.73,0,368.92,0,137.0333,0,0,0
1292,-16.225,0.6647,12800,0,16.86,1.24,228.09,0,94.18,0,0.35,1.52
1291,-17.335,0.6391,16450,0,17.32,3.08,84.01,0,43.99,4.2,0.67,2.59
1290,-16.13,0.9867,14466.66667,0,14.79667,0.5766667,42.793333,0,37.21333,0,0.3,1.146667
1289,-16.6933,0.9615,18200,0,22.78333,0.5766667,34.5,0,39.42667,0,0,0
1288,-17.52,0.9897,20966.66667,0,18.95333,0,76.213333,0,52.82333,0,0,0
1287,-18.1175,1.3127,13525,0,18.9275,0,272.3375,0,109.0675,0,0,0
1286,-19.32,0.6439,15150,0,15.845,0,104.785,0,59.78,0,0,0
1285,-17.8667,0.9942,18033.33333,0,15.44667,0,83.42,0,52.04,0,0,0
1284,-17.07,0.9688,23266.66667,0,13.90667,0,61.76,0,44.60667,0,0,0
1283,-19.2225,1.3206,23825,0,14.4975,0,103.6775,0,59.6675,0,0,0
1282,-19.83,0.9987,15900,0,31.47,2.42,343.40333,12.4,131.1567,6.106667,0.1666667,0
1281,-19.5667,1.0002,13266.66667,0,9.96,0,70.416667,0,44.61,0,0,0
1280,-17.345,1.2995,25125,0,15.7175,0.3825,126.9675,0,66.5375,0,0,0
1279,-18.6533,1.0032,19700,0,14.44333,1.783333,138.07333,0,69.12667,0,0,0
1278,-19.8575,1.3305,26600,0,12.185,16.005,99.37,0,50.86,0,0.685,2.705
1277,-18.46,0.979,19600,0,13.66667,7.726667,148.25,0,70.34,0,0.1233333,0.5366667
1276,-18.5233,1.0077,20800,0,18.35333,13.96,284.91,0,107.9467,2.8,0.61,2.476667
1275,-16.6633,1.0093,19200,0,12.12667,6.426667,61.9,0,43.13667,0,0.08666667,0
1274,-19.4975,1.284,21750,0,12.69,12.1725,62.315,0,43.58,1.77,0.375,1.265
1273,-18.97,0.6019,21150,0,13.225,12.015,67.815,0,45.255,1.91,0.365,1.585
1272,-19.3825,1.2879,18125,0,12.075,14.16,59.9225,0,36.635,1.805,0.475,2.15
1271,-19.3933,0.9879,20333.33333,0,12.21,8.1,44.74,0,33.48,1.133333,0.1633333,0.7633333
1270,-19.31,0.962,19333.33333,0,23.68333,25.24667,126.08333,0,59.66333,4.353333,0.79,4.65
1269,-15.57,0.9634,18833.33333,0,24.29667,7.073333,444.22333,0,147.5033,2.966667,0.1566667,0.9366667
1268,-15.69,0.9924,18166.66667,0,19.93667,8.076667,294.45,0,106.92,1.533333,0.1866667,1.71
1267,-17.895,1.2977,15200,0,15.43,30.5175,109.8275,0,49.035,4.38,0.765,7.44
1266,-16.5867,0.9678,28333.33333,0,14.23667,7.6,140.08,0,64.47333,2.466667,0,1.51
1265,-15.935,0.6646,24550,0,16.26,14.53,158.71,0,70.01,4.42,0.62,3.21
1264,-15.7233,0.9707,17533.33333,0.34,19.90333,38.18333,69.646667,3.0733333,40.12333,5.163333,1.356667,7.016667
1263,-17.135,1.3333,18150,0,21.105,22.095,47.6825,3.585,34.86,6.1625,0.785,4.135
1262,-16.7838,1.3075,13550,0,16.11,8.555,87.8375,1.28,45.1925,3.72,0.24,1.1625
1261,-17.516,0.9752,12966.66667,0,14.88333,6.583333,128.28667,0,61.66,1.206667,0.1166667,0.5333333
1260,-17.9107,1.0046,20600,0.1733333,19.41,20.66,37.183333,0,30.93,3.173333,0.7433333,3.96
1259,-16.6433,0.9782,18433.33333,0.1733333,18.87667,65.76667,36.923333,0,24.65667,5.413333,4.33,13.95333
1258,-14.392,0.6718,31050,0,11.92,36.25,13.37,0,17.46,0,1.41,7.78
1257,-17.014,0.9812,20733.33333,0.1733333,19.04333,11.39,28.693333,0,28.73333,0,0.4333333,2.886667
1256,-18.271,0.6738,27550,0.26,14.245,5.8,21.62,0,26.25,0,0.18,1.835
1255,-19.508,1.3216,21700,0,19.1375,3.0025,23.5075,0,31.65,0,0.09,0.4475
1254,-18.38,0.9857,19700,0,14.25,0.4266667,10.99,0,23.83333,0,0,0
1253,-20.37,1.0154,20533.33333,0,23.48,0,23.323333,0,34.15,0,0,0
1252,-20.3833,0.9887,18300,0,15.68,0,10.07,0,24.74333,0,0,0
1251,-19.94,1.3297,15350,0,15.54,0,10.87,0,24.885,0,0,0.65
1250,-18.3367,1.02,22966.66667,0,17.54667,0,8.7833333,0,24.94333,0,0,0
1249,-16.3967,0.9932,22433.33333,0.38,15.6,0,6.3633333,0,23.89,0,0,0
1248,-19.275,0.7105,26450,0,18.47,0,11.02,0,29.94,0,0,0
1247,-18.5525,1.2525,24075,0,14.5425,0,7.695,0,14.8925,0,0,0
1246,-17.315,0.6557,31400,0,12.49,0,3.96,0,13.055,0,0,0
1245,-16.8825,1.2849,22700,0.1275,11.545,0,3.7875,0,12.7225,0,0.125,0.3475
1244,-15.775,0.6291,37250,0,11.78,0,2.895,0,13.24,0,0,0
1243,-17.83,0.9738,25733.33333,0,9.733333,0,1.1933333,0,9.343333,0,0,0
1242,-17.4633,0.9466,31033.33333,0,11.01333,0,7.34,0,12.65,0,0.1133333,0
1241,-18.125,0.6608,22850,0,8.03,0.725,14.79,0,14.005,0,0.155,0
1240,-17.7733,0.9495,21200,0,12.06667,1.303333,63.263333,0,35.84,1.046667,0.3233333,0
1239,-14.71,1.2968,13550,0,10.2025,0.5325,92.86,0,41.7475,0.675,0.2225,0
1238,-17.1725,1.2988,10125,0,11.7425,0,35.46,0,22.5725,0,0,0
1237,-17.24,0.9539,12400,0,10.15333,0.5733333,42.49,0,24.46,0.8833333,0.08333333,0
1236,-18.0607,0.9843,13066.66667,0,10,0,27.513333,0,19.97667,2.036667,0.1033333,0
1235,-18.5925,1.3048,14450,0,8.6925,0.615,11.3125,0,15.0125,0,0,0
1234,-18.4467,0.9583,17100,0,13.53333,10.59333,16.706667,0,20.14667,1.033333,0.5666667,1.82
1233,-18.1125,1.3088,15575,0,13.4625,20.84,14.9125,0,17.4425,0.765,1.2325,3.9
1232,-17.4567,0.9904,26800,0,11.66,9.46,16.863333,0,15.87667,0,0.5933333,2.836667
1231,-15.405,0.6419,40600,0.75,13.945,8.05,75.62,0,18.445,2.99,0.34,1.455
1230,-14,0.6721,20150,0.58,12.735,18.505,59.18,0,30.83,3.305,1.725,4.78
1229,-14.51,0.6438,26150,0,12.7,4.135,13.36,0,16.44,0,0.36,1.355
1228,-16.418,0.9966,21466.66667,0,15.6,2.803333,17.633333,0,18.71667,0,0.3166667,0.5566667
1227,-17.719,0.6458,12850,0,9.14,0,10.945,0,11.205,0,0,0
1226,-17.715,1.3231,15125,0,11.32,0.2525,20.06,0,12.3075,0,0.14,0
1225,-18.64,1.3251,20650,0,44.2025,0,137.6525,3,48.28,1.9275,0.0675,0.395
1224,-20.34,0.9733,23166.66667,0,19.09333,0,47.493333,0,20.97333,0,0.1433333,0.49
1223,-21.176,1.6542,17840,0,9.354,1.474,6.286,0,12.85,0,0.124,0.374
1222,-17.9463,1.0059,18766.66667,0,11.65333,0,45.83,0,41.28,4.723333,1.513333,1.096667
1221,-15.6315,1.3334,18775,0,11.015,0.855,19.14,0,22.935,0,0.2075,0
1220,-17.8067,0.9793,21133.33333,0,16.22,0,5.4966667,0,16.82333,0,0,0
1219,-19.0177,1.3673,15380,0,17.455,0,12.6,0,22.18,0,0,0
1218,-19.09,0.6549,20520,0,11.53,0,8.45,0,19.12,0,0,0
1217,-18.7267,0.9541,12206.66667,0,10.23667,0.34,6.9166667,0,19.93,0,0,0
1216,-16.22,0.657,12330,0,9.21,0.51,12.695,0,25.975,0,0,0
1215,-15.7705,0.658,11780,0,9.425,0,7.55,0,22.215,0,0,0
1214,-19.1715,1.2881,9865,0,8.3125,0,1.01,0,14.8125,0,0,0
1213,-19.0737,0.9601,11346.66667,0,10.45667,0,1.3466667,0,18.23333,0,0,0
1212,-17.7217,0.9616,17560,0,12.80333,0.3933333,6.46,0,23.18,0,0,0
1211,-15.649,0.6621,10650,0,16.54,4.895,9.02,20.1,18.44,2.025,0.155,0.74
1210,-17.875,0.9646,10960,0,184.6233,25.97,32.56,187.77333,18.05333,85.33667,3.176667,14.40667
1209,-18.5063,0.9661,9933.333333,0,13.20333,0,23.743333,0,31.96,0,0.26,1.186667
1208,-19.4075,0.6652,20110,0,9.865,0,6.79,0,21.93,0,0,0
1207,-17.7797,0.9691,24000,0,9.886667,0,5.5833333,0,22.86667,0,0,0
1206,-16.6085,0.6673,52420,0,9.64,0,5.11,0,19.97,0,0,0
1205,-16.814,0.9722,24640,0,10.57333,0,4.13,0,22.56667,0,0,0
1204,-18.2037,0.9737,12233.33333,0,11.38,0,4.8033333,0,22.92,0,0,0
1203,-19.2787,0.9752,15186.66667,0,19.95333,0,89.936667,0,74.15667,0,0.1733333,0
1202,-18.142,0.9767,7813.333333,0,17.59333,1,29.77,0,36.09667,0,0,0
1201,-18.2457,0.9783,10920,0,14.72,0.6666667,5.3533333,0,23.91,0,0,0
1200,-18.4217,0.9798,12813.33333,0,14.27333,0,4.3533333,0,23.64333,0,0,0
1199,-19.1233,0.9813,14580,0,13.51,0,7.0966667,0,24.42,0,0,0
1198,-17.705,0.6757,17930,0,12.75,0,5.83,0,23.855,0,0,0
1197,-17.4167,0.9844,24720,0,15.86333,0,4.7766667,0,25.34333,0,0,0
1196,-18.1467,0.986,19506.66667,0,14.10667,0,5.6933333,0,23.75333,0,0,0
1195,-18.9975,1.327,16275,0,23.2325,0,13.5525,0,37.1725,0,0,0
1194,-20.09,0.9891,14606.66667,0,22.03667,0,14.49,0,33.31667,0,0,0
1193,-18.95,0.6811,22330,0,15.07,0,11.26,0,28.48,0,0,0
1192,-18.1933,0.9922,13713.33333,0,15.39,0,3.1133333,0,24.04667,0,0,0
1191,-17.48,0.9937,14546.66667,0,14.77667,0,2.9133333,0,23.32,0,0,0
1190,-17.955,0.6843,10020,0,11.54,0,2.59,0,20.54,0,0,0
1189,-17.5533,0.9969,15820,0.7566667,19.78333,1.306667,10.603333,0,35.57333,0,0.1,0
1188,-16.94,0.6552,15340,1.025,22.61,0.6,26.34,0,50.065,0,0.15,0
1187,-17.7833,0.9375,8200,0.34,20.77667,1.293333,31.476667,0,52.09,0,0,0
1186,-18.28,1.1581,17126.66667,0.7566667,23.24333,1.81,8.1733333,0,42.04333,0,0.1666667,0
