year (AD),d18O (permil)
1922.12,-5.02
1922.04,-5.06
1921.96,-5.07
1921.87,-5.26
1921.79,-5.16
1921.71,-5.2
1921.62,-5.29
1921.54,-5.22
1921.46,-5.03
1921.37,-5.05
1921.29,-5.11
1921.21,-5.03
1921.12,-4.96
1921.04,-5
1920.96,-5.04
1920.87,-5.07
1920.79,-5.09
1920.71,-5.21
1920.62,-5.25
1920.54,-5.2
1920.46,-5.04
1920.37,-5.06
1920.29,-4.98
1920.21,-4.92
1920.12,-4.89
1920.04,-4.9
1919.96,-4.91
1919.87,-4.98
1919.79,-5.08
1919.71,-5.11
1919.62,-5.09
1919.54,-5.1
1919.46,-4.99
1919.37,-4.94
1919.29,-4.89
1919.21,-4.77
1919.12,-4.65
1919.04,-4.72
1918.96,-4.84
1918.87,-4.77
1918.79,-4.77
1918.71,-4.83
1918.62,-4.96
1918.54,-4.92
1918.46,-4.92
1918.37,-4.83
1918.29,-4.8
1918.21,-4.73
1918.12,-4.66
1918.04,-4.82
1917.96,-4.93
1917.87,-4.99
1917.79,-5.06
1917.71,-5.01
1917.62,-5.2
1917.54,-5.07
1917.46,-4.96
1917.37,-4.93
1917.29,-4.9
1917.21,-4.89
1917.12,-4.89
1917.04,-5.03
1916.96,-5.02
1916.87,-5.07
1916.79,-5.07
1916.71,-5.18
1916.62,-5.23
1916.54,-5.22
1916.46,-5.09
1916.37,-5.1
1916.29,-5.1
1916.21,-5.02
1916.12,-4.94
1916.04,-5.01
1915.96,-5.03
1915.87,-5
1915.79,-5.16
1915.71,-5.1
1915.62,-5.28
1915.54,-5.08
1915.46,-4.9
1915.37,-4.88
1915.29,-4.94
1915.21,-5.03
1915.12,-4.83
1915.04,-4.93
1914.96,-4.93
1914.87,-5.24
1914.79,-5.1
1914.71,-5.08
1914.62,-5.12
1914.54,-4.99
1914.46,-4.95
1914.37,-4.99
1914.29,-4.94
1914.21,-4.99
1914.12,-4.87
1914.04,-4.95
1913.96,-5.02
1913.87,-5.03
1913.79,-5.03
1913.71,-5.12
1913.62,-5.21
1913.54,-5.07
1913.46,-4.94
1913.37,-4.93
1913.29,-5
1913.21,-4.9
1913.12,-4.81
1913.04,-4.86
1912.96,-4.91
1912.87,-4.93
1912.79,-4.96
1912.71,-5.03
1912.62,-5.11
1912.54,-4.98
1912.46,-4.83
1912.37,-4.83
1912.29,-4.75
1912.21,-4.75
1912.12,-4.74
1912.04,-4.87
1911.96,-4.78
1911.87,-4.82
1911.79,-4.81
1911.71,-4.93
1911.62,-4.98
1911.54,-4.96
1911.46,-4.91
1911.37,-4.78
1911.29,-4.93
1911.21,-4.88
1911.12,-4.83
1911.04,-4.88
1910.96,-4.93
1910.87,-4.98
1910.79,-5.03
1910.71,-5.04
1910.62,-5.18
1910.54,-5.14
1910.46,-5
1910.37,-4.96
1910.29,-4.93
1910.21,-4.91
1910.12,-4.89
1910.04,-4.99
1909.96,-4.98
1909.87,-5.03
1909.79,-5.11
1909.71,-5.17
1909.62,-5.18
1909.54,-5.11
1909.46,-4.96
1909.37,-4.97
1909.29,-4.98
1909.21,-5
1909.12,-5.02
1909.04,-5
1908.96,-4.99
1908.87,-4.96
1908.79,-5.11
1908.71,-5.21
1908.62,-5.23
1908.54,-5.18
1908.46,-5.05
1908.37,-5.05
1908.29,-5.01
1908.21,-5
1908.12,-4.99
1908.04,-5
1907.96,-5.02
1907.87,-5.08
1907.79,-5.09
1907.71,-5.06
1907.62,-5.09
1907.54,-5.02
1907.46,-5.04
1907.37,-4.99
1907.29,-5
1907.21,-4.99
1907.12,-4.95
1907.04,-4.99
1906.96,-5
1906.87,-5.15
1906.79,-5.19
1906.71,-5.26
1906.62,-5.32
1906.54,-5.3
1906.46,-5.13
1906.37,-5.07
1906.29,-5.01
1906.21,-5
1906.12,-4.98
1906.04,-5.01
1905.96,-5.03
1905.87,-5.02
1905.79,-5.07
1905.71,-5.18
1905.62,-5.23
1905.54,-5.19
1905.46,-5.15
1905.37,-4.97
1905.29,-5
1905.21,-4.96
1905.12,-4.93
1905.04,-4.96
1904.96,-5.04
1904.87,-5.15
1904.79,-5.16
1904.71,-5.12
1904.62,-5.18
1904.54,-5.08
1904.46,-5.02
1904.37,-5.06
1904.29,-4.99
1904.21,-5.02
1904.12,-4.99
1904.04,-5.04
1903.96,-5.1
1903.87,-5.17
1903.79,-5.17
1903.71,-5.21
1903.62,-5.23
1903.54,-5.04
1903.46,-4.95
1903.37,-4.91
1903.29,-4.86
1903.21,-4.87
1903.12,-4.88
1903.04,-4.88
1902.96,-4.93
1902.87,-5.02
1902.79,-5.11
1902.71,-5.19
1902.62,-5.23
1902.54,-5.19
1902.46,-5.15
1902.37,-5.13
1902.29,-5.1
1902.21,-5.07
1902.12,-5.03
1902.04,-5.07
1901.96,-5.16
1901.87,-5.15
1901.79,-5.32
1901.71,-5.33
1901.62,-5.38
1901.54,-5.3
1901.46,-5.05
1901.37,-5.06
1901.29,-4.95
1901.21,-4.92
1901.12,-4.89
1901.04,-4.92
1900.96,-4.95
1900.87,-5.02
1900.79,-5.24
1900.71,-5.19
1900.62,-5.25
1900.54,-5.2
1900.46,-5.06
1900.37,-4.95
1900.29,-4.92
1900.21,-4.92
1900.12,-4.93
1900.04,-4.93
1899.96,-4.93
1899.87,-5.14
1899.79,-5.18
1899.71,-5.25
1899.62,-5.29
1899.54,-4.97
1899.46,-5.05
1899.37,-4.91
1899.29,-5.1
1899.21,-5.08
1899.12,-4.96
1899.04,-5.02
1898.96,-5.07
1898.87,-5.14
1898.79,-5.22
1898.71,-5.2
1898.62,-5.26
1898.54,-5.15
1898.46,-5.17
1898.37,-5.09
1898.29,-5.12
1898.21,-5.12
1898.12,-5.02
1898.04,-5.08
1897.96,-5.13
1897.87,-5.15
1897.79,-5.17
1897.71,-5.28
1897.62,-5.29
1897.54,-5.2
1897.46,-5.05
1897.37,-5.08
1897.29,-4.96
1897.21,-4.95
1897.12,-4.92
1897.04,-5.01
1896.96,-5.1
1896.87,-5.06
1896.79,-5.15
1896.71,-5.15
1896.62,-5.19
1896.54,-5.18
1896.46,-5.17
1896.37,-5.14
1896.29,-5.1
1896.21,-5.06
1896.12,-5.02
1896.04,-5.07
1895.96,-5.11
1895.87,-5.14
1895.79,-5.16
1895.71,-5.19
1895.62,-5.23
1895.54,-5.14
1895.46,-5.11
1895.37,-4.94
1895.29,-4.93
1895.21,-4.89
1895.12,-4.85
1895.04,-4.96
1894.96,-4.96
1894.87,-5.03
1894.79,-5.09
1894.71,-5.11
1894.62,-5.18
1894.54,-5.1
1894.46,-5.1
1894.37,-5.03
1894.29,-4.98
1894.21,-5
1894.12,-4.9
1894.04,-4.93
1893.96,-4.96
1893.87,-4.92
1893.79,-4.97
1893.71,-4.97
