year (AD) [1-1],depth (cm) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],d18O (per mil) [1-1],Mg_Ca (mmol/mol) [1-1],year (AD) [2-1],depth (cm) [2-1],temperature (degC) [2-1],Mg_Ca (mmol/mol) [2-1],year (AD) [3-1],depth (cm) [3-1],dD (permil) [3-1]
-129050,3170.5,24.99,1.6,-0.44,3.35,NA,NA,NA,NA,NA,NA,NA
-129550,3175.5,25.48,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA
-130050,3180.5,24.56,1.55,-0.39,3.23,NA,NA,NA,NA,NA,NA,NA
-130550,3185.5,24.46,1.6,-0.32,3.19,NA,NA,NA,NA,NA,NA,NA
-131050,3190.5,24.78,1.34,-0.65,3.29,NA,NA,NA,NA,NA,NA,NA
-131550,3195.5,24.47,1.34,-0.59,3.2,NA,NA,NA,NA,NA,NA,NA
-132050,3200.5,24.44,1.39,-0.53,3.19,NA,NA,NA,NA,NA,NA,NA
-132550,3205.5,24.14,1.36,-0.5,3.1,NA,NA,NA,NA,NA,NA,NA
-133050,3210.5,24.08,1.24,-0.61,3.09,NA,NA,NA,NA,NA,NA,NA
-133220,3215.5,24,1.27,-0.56,3.07,NA,NA,NA,NA,NA,NA,NA
-133400,3220.5,24.72,1.32,-0.66,3.27,NA,NA,NA,NA,NA,NA,NA
-133570,3225.5,24,1.39,-0.44,3.07,NA,NA,NA,NA,NA,NA,NA
-133750,3230.5,25.78,1.55,-0.65,3.6,NA,NA,NA,NA,NA,NA,NA
-133920,3235.5,23.53,NA,NA,2.94,NA,NA,NA,NA,NA,NA,NA
-134100,3240.5,24.33,1.35,-0.55,3.16,NA,NA,NA,NA,NA,NA,NA
-134270,3245.5,24.38,1.37,-0.54,3.17,NA,NA,NA,NA,NA,NA,NA
-134450,3250.5,24.72,1.38,-0.6,3.27,NA,NA,NA,NA,NA,NA,NA
-134620,3255.5,23.94,1.21,-0.61,3.05,NA,NA,NA,NA,NA,NA,NA
-134800,3260.5,23.86,1.15,-0.65,3.03,NA,NA,NA,NA,NA,NA,NA
-134970,3265.5,24.43,1.32,-0.6,3.19,NA,NA,NA,NA,NA,NA,NA
-135150,3270.5,23.59,1.09,-0.66,2.96,NA,NA,NA,NA,NA,NA,NA
-135320,3275.5,24.04,1.37,-0.46,3.08,NA,NA,NA,NA,NA,NA,NA
-135490,3280.5,24.01,1.59,-0.24,3.07,NA,NA,NA,NA,NA,NA,NA
-135670,3285.5,24.45,NA,NA,3.19,NA,NA,NA,NA,NA,NA,NA
-135840,3290.5,24.07,1.37,-0.48,3.09,NA,NA,NA,NA,NA,NA,NA
-136020,3295.5,25.49,1.66,-0.48,3.51,NA,NA,NA,NA,NA,NA,NA
-136190,3300.5,24.11,1.12,-0.73,3.1,NA,NA,NA,NA,NA,NA,NA
-136370,3305.5,23.49,1.1,-0.63,2.93,NA,NA,NA,NA,NA,NA,NA
-136540,3310.5,22.82,1,-0.58,2.76,NA,NA,NA,NA,NA,NA,NA
-136720,3315.5,23.43,1,-0.71,2.91,NA,NA,NA,NA,NA,NA,NA
-136890,3320.5,23.91,1.23,-0.58,3.04,NA,NA,NA,NA,NA,NA,NA
-137070,3325.5,23.31,0.96,-0.72,2.88,NA,NA,NA,NA,NA,NA,NA
-137240,3330.5,23.91,1.12,-0.7,3.04,NA,NA,NA,NA,NA,NA,NA
-137410,3335.5,23.18,NA,NA,2.85,NA,NA,NA,NA,NA,NA,NA
-137590,3340.5,23.24,0.85,-0.83,2.86,NA,NA,NA,NA,NA,NA,NA
-137760,3345.5,23.63,NA,NA,2.96,NA,NA,NA,NA,NA,NA,NA
-137940,3350.5,23.28,0.98,-0.7,2.87,NA,NA,NA,NA,NA,NA,NA
-138110,3355.5,23.67,1.04,-0.72,2.98,NA,NA,NA,NA,NA,NA,NA
-138290,3360.5,23.78,0.98,-0.81,3.01,NA,NA,NA,NA,NA,NA,NA
-138460,3365.5,23.69,0.81,-0.96,2.98,NA,NA,NA,NA,NA,NA,NA
-138640,3370.5,23.08,0.84,-0.79,2.82,NA,NA,NA,NA,NA,NA,NA
-138850,3375.5,22.69,0.82,-0.74,2.73,NA,NA,NA,NA,NA,NA,NA
-139050,3380.5,23.7,1.07,-0.69,2.99,NA,NA,NA,NA,NA,NA,NA
-139260,3385.5,23.88,1.07,-0.74,3.03,NA,NA,NA,NA,NA,NA,NA
-139470,3390.5,23.78,0.86,-0.92,3.01,NA,NA,NA,NA,NA,NA,NA
-139680,3395.5,23.7,0.75,-1.02,2.98,NA,NA,NA,NA,NA,NA,NA
-139890,3400.5,23.41,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA
-140100,3405.5,24.03,0.82,-1.02,3.08,NA,NA,NA,NA,NA,NA,NA
-140310,3410.5,23.81,0.85,-0.94,3.01,NA,NA,NA,NA,NA,NA,NA
-140520,3415.5,23.45,1.01,-0.7,2.92,NA,NA,NA,NA,NA,NA,NA
-140730,3420.5,23.98,0.8,-1.02,3.06,NA,NA,NA,NA,NA,NA,NA
-140930,3425.5,24.8,1.16,-0.84,3.3,NA,NA,NA,NA,NA,NA,NA
-141140,3430.5,23.96,0.94,-0.88,3.06,NA,NA,NA,NA,NA,NA,NA
-141350,3435.5,23.96,0.73,-1.09,3.05,NA,NA,NA,NA,NA,NA,NA
-141560,3440.5,24.27,0.76,-1.13,3.14,NA,NA,NA,NA,NA,NA,NA
-141770,3445.5,24.81,0.82,-1.18,3.3,NA,NA,NA,NA,NA,NA,NA
-141980,3450.5,24.61,1.23,-0.72,3.24,NA,NA,NA,NA,NA,NA,NA
-142190,3455.5,23.71,1.02,-0.75,2.99,NA,NA,NA,NA,NA,NA,NA
-142400,3460.5,24.24,1.07,-0.81,3.13,NA,NA,NA,NA,NA,NA,NA
-142610,3465.5,23.98,0.96,-0.87,3.06,NA,NA,NA,NA,NA,NA,NA
-142810,3470.5,23.93,0.83,-0.99,3.05,NA,NA,NA,NA,NA,NA,NA
-143020,3475.5,24.09,1.06,-0.79,3.09,NA,NA,NA,NA,NA,NA,NA
-143230,3480.5,23.48,0.83,-0.89,2.92,NA,NA,NA,NA,NA,NA,NA
-143440,3485.5,23.26,0.69,-0.98,2.87,NA,NA,NA,NA,NA,NA,NA
-143650,3490.5,24.07,0.87,-0.98,3.09,NA,NA,NA,NA,NA,NA,NA
-143860,3495.5,24.54,0.96,-0.99,3.22,NA,NA,NA,NA,NA,NA,NA
-144070,3500.5,24.41,0.95,-0.96,3.18,NA,NA,NA,NA,NA,NA,NA
-144280,3505.5,24.31,0.93,-0.96,3.15,NA,NA,NA,NA,NA,NA,NA
-144490,3510.5,23.8,0.9,-0.89,3.01,NA,NA,NA,NA,NA,NA,NA
-144690,3515.5,24.24,0.84,-1.04,3.13,NA,NA,NA,NA,NA,NA,NA
-144900,3520.5,24.34,NA,NA,3.16,NA,NA,NA,NA,NA,NA,NA
-145110,3525.5,24.35,0.92,-0.98,3.16,NA,NA,NA,NA,NA,NA,NA
-145320,3530.5,25.04,0.99,-1.06,3.37,NA,NA,NA,NA,NA,NA,NA
-145530,3535.5,24.98,0.96,-1.08,3.35,NA,NA,NA,NA,NA,NA,NA
-145740,3540.5,24.06,0.3,-1.55,3.08,NA,NA,NA,NA,NA,NA,NA
-145950,3545.5,24.53,1.12,-0.82,3.22,NA,NA,NA,NA,NA,NA,NA
-146160,3550.5,24.91,0.98,-1.04,3.33,NA,NA,NA,NA,NA,NA,NA
-146370,3555.5,24.72,1.35,-0.63,3.27,NA,NA,NA,NA,NA,NA,NA
-146570,3560.5,24.23,1.21,-0.67,3.13,NA,NA,NA,NA,NA,NA,NA
-146780,3565.5,25.22,0.98,-1.11,3.42,NA,NA,NA,NA,NA,NA,NA
-146990,3570.5,24.8,0.71,-1.29,3.3,NA,NA,NA,NA,NA,NA,NA
-147200,3575.5,24.5,0.68,-1.26,3.21,NA,NA,NA,NA,NA,NA,NA
-147410,3580.5,24.46,1.08,-0.84,3.2,NA,NA,NA,NA,NA,NA,NA
-147620,3585.5,24.83,1.21,-0.79,3.3,NA,NA,NA,NA,NA,NA,NA
-147830,3590.5,NA,NA,-0.61,NA,NA,NA,NA,NA,NA,NA,NA
-148040,3595.5,25.03,NA,NA,3.37,NA,NA,NA,NA,NA,NA,NA
-148250,3600.5,25.61,1.22,-0.95,3.54,NA,NA,NA,NA,NA,NA,NA
-148450,3605.5,25.12,1.73,-0.33,3.39,NA,NA,NA,NA,NA,NA,NA
-148660,3610.5,24.57,1.14,-0.8,3.23,NA,NA,NA,NA,NA,NA,NA
-148870,3615.5,24.38,1.25,-0.66,3.17,NA,NA,NA,NA,NA,NA,NA
-149080,3620.5,24.84,1.27,-0.74,3.31,NA,NA,NA,NA,NA,NA,NA
-149290,3625.5,24.52,0.94,-1,3.21,NA,NA,NA,NA,NA,NA,NA
-149500,3630.5,24.58,1.1,-0.85,3.23,NA,NA,NA,NA,NA,NA,NA
-149710,3635.5,24.29,NA,NA,3.15,NA,NA,NA,NA,NA,NA,NA
-149920,3640.5,24.82,1.22,-0.78,3.3,NA,NA,NA,NA,NA,NA,NA
-150130,3645.5,24.54,1.38,-0.56,3.22,NA,NA,NA,NA,NA,NA,NA
-150330,3650.5,24.5,1.32,-0.62,3.21,NA,NA,NA,NA,NA,NA,NA
-150540,3655.5,24.68,1.01,-0.96,3.26,NA,NA,NA,NA,NA,NA,NA
-150750,3660.5,24.63,1.33,-0.63,3.25,NA,NA,NA,NA,NA,NA,NA
-150960,3665.5,24.68,NA,NA,3.26,NA,NA,NA,NA,NA,NA,NA
-151170,3670.5,24.23,1.27,-0.61,3.13,NA,NA,NA,NA,NA,NA,NA
-151380,3675.5,24.54,NA,NA,3.22,NA,NA,NA,NA,NA,NA,NA
-151590,3680.5,24.06,1.22,-0.62,3.08,NA,NA,NA,NA,NA,NA,NA
-151800,3685.5,23.81,NA,NA,3.02,NA,NA,NA,NA,NA,NA,NA
-152010,3690.5,24.12,1.2,-0.65,3.1,NA,NA,NA,NA,NA,NA,NA
-152210,3695.5,23.22,1.29,-0.38,2.86,NA,NA,NA,NA,NA,NA,NA
-152420,3700.5,23.63,1.2,-0.55,2.97,NA,NA,NA,NA,NA,NA,NA
-152630,3705.5,23.39,1.04,-0.67,2.9,NA,NA,NA,NA,NA,NA,NA
-152840,3710.5,23.73,1.24,-0.54,2.99,NA,NA,NA,NA,NA,NA,NA
-153050,3715.5,23.67,0.96,-0.8,2.98,NA,NA,NA,NA,NA,NA,NA
-153260,3720.5,23.57,NA,NA,2.95,NA,NA,NA,NA,NA,NA,NA
-153470,3725.5,23.79,0.97,-0.81,3.01,NA,NA,NA,NA,NA,NA,NA
-153680,3730.5,NA,NA,NA,3.04,NA,NA,NA,NA,NA,NA,NA
