year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1]
1961,-27.68,1566,NA,-28.7052
1966,-28.36,1565,NA,-27.0577
1971,-28.03,1564,NA,-26.4774
NA,NA,1563,NA,-27.9029
NA,NA,1562,NA,-29.0159
NA,NA,1561,NA,-28.9525
NA,NA,1560,NA,-28.8591
NA,NA,1559,NA,-29.0105
NA,NA,1558,NA,-28.8444
NA,NA,1557,NA,-28.062
NA,NA,1556,NA,-27.4452
NA,NA,1555,NA,-28.2045
NA,NA,1554,NA,-28.7437
NA,NA,1553,NA,-27.6838
NA,NA,1552,NA,-26.599
NA,NA,1551,NA,-25.9353
NA,NA,1550,NA,-26.4039
NA,NA,1549,NA,-28.0508
NA,NA,1548,NA,-27.4177
NA,NA,1547,NA,-25.4727
NA,NA,1546,NA,-25.4922
NA,NA,1545,NA,-27.2513
NA,NA,1544,NA,-30.39
NA,NA,1543,NA,-29.1507
NA,NA,1542,NA,-27.4821
NA,NA,1541,NA,-27.9939
NA,NA,1540,NA,-29.3157
NA,NA,1539,NA,-27.8509
NA,NA,1538,NA,-25.4287
NA,NA,1537,NA,-26.6695
NA,NA,1536,NA,-26.2585
NA,NA,1535,NA,-25.3716
NA,NA,1534,NA,-26.8431
NA,NA,1533,NA,-27.03
NA,NA,1532,NA,-28.5223
NA,NA,1531,NA,-27.51
NA,NA,1530,NA,-27.6458
NA,NA,1529,NA,-29.4493
NA,NA,1528,NA,-28.563
NA,NA,1527,NA,-28.5598
NA,NA,1526,NA,-27.1477
NA,NA,1525,NA,-28.0309
NA,NA,1524,NA,-26.678
NA,NA,1523,NA,-29.1091
NA,NA,1522,NA,-31.6928
NA,NA,1521,NA,-31.215
NA,NA,1520,NA,-30.0697
NA,NA,1519,NA,-29.2537
NA,NA,1518,NA,-28.1578
NA,NA,1517,NA,-28.5329
NA,NA,1516,NA,-27.0897
NA,NA,1515,NA,-27.5075
NA,NA,1514,NA,-27.74
NA,NA,1513,NA,-28.575
NA,NA,1512,NA,-28.2398
NA,NA,1511,NA,-27.96
NA,NA,1510,NA,-27.3147
NA,NA,1509,NA,-28.1228
