year (AD) [1-1],age (BP) [1-1],sampleID (missing) [1-1],year (AD) [2-1],age (BP) [2-1],d18O (permil) [2-1],d13C (permil) [2-1]
-2247,4197,hs-4b-220,-2247,4197,-8.47,-10.1
-2261,4211,hs-4b-215,-2261,4211,-8.43,-11.06
-2276,4226,hs-4b-210,-2276,4226,-8.64,-11.06
-2291,4241,hs-4b-205,-2291,4241,-8.65,-11.09
-2305,4255,hs-4b-200,-2305,4255,-8.75,-11.25
-2322,4272,hs-4b-195,-2322,4272,-8.87,-10.7
-2339,4289,hs-4b-190,-2339,4289,-8.61,-10.46
-2356,4306,hs-4b-185,-2356,4306,-9,-11.48
-2372,4322,hs-4b-180,-2372,4322,-9.06,-11.72
-2389,4339,hs-4b-175,-2389,4339,-8.07,-9.79
-2406,4356,hs-4b-170,-2406,4356,-8.85,-11.02
-2423,4373,hs-4b-165,-2423,4373,-8.58,-9.85
-2439,4389,hs-4b-160,-2439,4389,-8.87,-10.21
-2456,4406,hs-4b-155,-2456,4406,-8.39,-9.55
-2473,4423,hs-4b-150,-2473,4423,-9.26,-11.42
-2486,4436,hs-4b-145,-2486,4436,-9.1,-11.67
-2500,4450,hs-4b-140,-2500,4450,-8.73,-11.57
-2513,4463,hs-4b-135,-2513,4463,-8.78,-11.46
-2526,4476,hs-4b-130,-2526,4476,-8.86,-11.77
-2550,4500,hs-4b-125,-2550,4500,-9.26,-11.12
-2575,4525,hs-4b-120,-2575,4525,-9.39,-10.63
-2600,4550,hs-4b-115,-2600,4550,-9.24,-11.52
-2625,4575,hs-4b-110,-2625,4575,-8.75,-10.52
-2649,4599,hs-4b-105,-2649,4599,-9.23,-10.9
-2674,4624,hs-4b-100,-2674,4624,-9.02,-11.48
-2702,4652,hs-4b-95,-2702,4652,-8.81,-10.69
-2730,4680,hs-4b-90,-2730,4680,-9.25,-11.31
-2758,4708,hs-4b-85,-2758,4708,-8.92,-10.94
-2786,4736,hs-4b-80,-2786,4736,-8.84,-10.69
-2814,4764,hs-4b-75,-2814,4764,-9.29,-11.07
-2841,4791,hs-4b-70,-2841,4791,-9.11,-10.39
-2869,4819,hs-4b-65,-2869,4819,-8.95,-11.04
-2897,4847,hs-4b-60,-2897,4847,-8.9,-11.53
-2925,4875,hs-4b-55,-2925,4875,-9.44,-11.74
-2953,4903,hs-4b-50,-2953,4903,-9.35,-11.03
-2976,4926,hs-4b-45,-2976,4926,-9.95,-11.69
-2999,4949,hs-4b-40,-2999,4949,-9.7,-11.93
-3022,4972,hs-4b-35,-3022,4972,-9.37,-11.65
-3044,4994,hs-4b-30,-3044,4994,-9.1,-11.29
-3067,5017,hs-4b-25,-3067,5017,-9.62,-12.12
-3090,5040,hs-4b-20,-3090,5040,-9.78,-12.21
-3113,5063,hs-4b-15,-3113,5063,-9.36,-11.13
-3137,5087,hs-4b-10,-3137,5087,-9.64,-10.93
-3151,5101,hs-4b-5,-3151,5101,-9.65,-11.08
-3163,5113,hs-4b-1,-3163,5113,-9.54,-10.71
-3175,5125,hs-4a-892,-3175,5125,-9.42,-10.71
-3187,5137,hs-4a-889,-3187,5137,-10.07,-11.71
-3199,5149,hs-4a-886,-3199,5149,-9.72,-12.17
-3211,5161,hs-4a-883,-3211,5161,-9.18,-11.16
-3223,5173,hs-4a-880,-3223,5173,-9.35,-11.61
-3237,5187,hs-4a-875,-3237,5187,-9.15,-10.29
-3251,5201,hs-4a-870,-3251,5201,-10.19,-11.32
-3264,5214,hs-4a-865,-3264,5214,-10.31,-11.99
-3278,5228,hs-4a-860,-3278,5228,-9.5,-10.92
-3291,5241,hs-4a-855,-3291,5241,-10.26,-11.34
-3304,5254,hs-4a-850,-3304,5254,-9.93,-10.69
-3318,5268,hs-4a-845,-3318,5268,-9.59,-11.6
-3331,5281,hs-4a-840,-3331,5281,-8.8,-9.9
-3347,5297,hs-4a-835,-3347,5297,-9.41,-10.31
-3363,5313,hs-4a-829,-3363,5313,-9.63,-10.86
-3378,5328,hs-4a-825,-3378,5328,-9.61,-11.22
-3394,5344,hs-4a-820,-3394,5344,-9.58,-11.31
-3410,5360,hs-4a-815,-3410,5360,-9.47,-10.96
-3426,5376,hs-4a-810,-3426,5376,-9.6,-11.5
-3442,5392,hs-4a-805,-3442,5392,-10.08,-11.93
-3457,5407,hs-4a-800,-3457,5407,-9.98,-11.82
-3473,5423,hs-4a-795,-3473,5423,-10.15,-11.93
-3489,5439,hs-4a-790,-3489,5439,-8.94,-10.68
-3505,5455,hs-4a-785,-3505,5455,-9.25,-10.91
-3523,5473,hs-4a-780,-3523,5473,-9.75,-11.02
-3552,5502,hs-4a-775,-3552,5502,-9.6,-11.59
-3582,5532,hs-4a-770,-3582,5532,-10.01,-11.81
-3611,5561,hs-4a-765,-3611,5561,-9.44,-11.39
-3640,5590,hs-4a-760,-3640,5590,-9.27,-11.63
-3669,5619,hs-4a-755,-3669,5619,-9.3,-10.9
-3699,5649,hs-4a-750,-3699,5649,-10.04,-12
-3725,5675,hs-4a-745,-3725,5675,-9.75,-10.4
-3751,5701,hs-4a-740,-3751,5701,-10.4,-11.9
-3778,5728,hs-4a-735,-3778,5728,-9.57,-10.32
-3804,5754,hs-4a-730,-3804,5754,-9.71,-10.76
-3830,5780,hs-4a-725,-3830,5780,-9.91,-11.1
-3857,5807,hs-4a-720,-3857,5807,-9.97,-11.84
-3883,5833,hs-4a-715,-3883,5833,-9.82,-11.08
-3909,5859,hs-4a-710,-3909,5859,-10.1,-11.38
-3936,5886,hs-4a-705,-3936,5886,-9.87,-11.48
-3962,5912,hs-4a-700,-3962,5912,-9.45,-11.03
-3988,5938,hs-4a-695,-3988,5938,-9.07,-9.74
-4014,5964,hs-4a-690,-4014,5964,-9.31,-10.31
-4050,6000,hs-4a-685,-4050,6000,-9.54,-10.7
-4085,6035,hs-4a-680,-4085,6035,-9.11,-9.39
-4120,6070,hs-4a-675,-4120,6070,-9.81,-11.84
-4155,6105,hs-4a-670,-4155,6105,-9.26,-10.7
-4204,6154,hs-4a-665,-4204,6154,-9.77,-11.93
-4258,6208,hs-4a-660,-4258,6208,-9.95,-11.4
-4310,6260,hs-4a-655,-4310,6260,-10.17,-11.97
-4361,6311,hs-4a-650,-4361,6311,-9.98,-12.03
-4413,6363,hs-4a-645,-4413,6363,-9.04,-10.99
-4465,6415,hs-4a-640,-4465,6415,-9.85,-11.74
-4516,6466,hs-4a-635,-4516,6466,-9.63,-11.14
-4568,6518,hs-4a-630,-4568,6518,-9.54,-10.95
-4613,6563,hs-4a-625,-4613,6563,-9.18,-10.75
-4659,6609,hs-4a-620,-4659,6609,-9.08,-10.88
-4704,6654,hs-4a-615,-4704,6654,-8.87,-9.66
-4760,6710,hs-4a-610,-4760,6710,-8.77,-9.57
-4770,6720,hs-4a-605,-4770,6720,-10.21,-11.02
-4780,6730,hs-4a-600,-4780,6730,-10.16,-11.64
-4787,6737,hs-4a-595,-4787,6737,-10.29,-12.12
-4795,6745,hs-4a-590,-4795,6745,-9.76,-11.86
-4803,6753,hs-4a-585,-4803,6753,-9.28,-10.57
-4811,6761,hs-4a-580,-4811,6761,-9.13,-9.67
-4819,6769,hs-4a-575,-4819,6769,-9.18,-11.11
-4827,6777,hs-4a-570,-4827,6777,-8.72,-9.75
-4835,6785,hs-4a-565,-4835,6785,-9.13,-10.34
-4843,6793,hs-4a-560,-4843,6793,-9.34,-10.88
-4850,6800,hs-4a-555,-4850,6800,-9.7,-11.53
-4858,6808,hs-4a-550,-4858,6808,-9.5,-11.2
-4866,6816,hs-4a-545,-4866,6816,-10.15,-12.28
-4874,6824,hs-4a-540,-4874,6824,-10.33,-11.86
-4882,6832,hs-4a-535,-4882,6832,-9.85,-11.7
-4890,6840,hs-4a-530,-4890,6840,-9.18,-10.56
-4898,6848,hs-4a-525,-4898,6848,-9.96,-12.24
-4905,6855,hs-4a-520,-4905,6855,-9.93,-12.12
-4913,6863,hs-4a-515,-4913,6863,-9.61,-11.65
-4921,6871,hs-4a-510,-4921,6871,-9.92,-11.67
-4931,6881,hs-4a-505,-4931,6881,-9.88,-11.72
-4941,6891,hs-4a-500,-4941,6891,-9.36,-11.02
-4950,6900,hs-4a-495,-4950,6900,-9.54,-10.86
-4965,6915,hs-4a-490,-4965,6915,-9.43,-11.31
-4981,6931,hs-4a-485,-4981,6931,-9.67,-11.62
-4996,6946,hs-4a-480,-4996,6946,-9.51,-11.17
-5008,6958,hs-4a-475,-5008,6958,-9.12,-10.85
-5020,6970,hs-4a-470,-5020,6970,-8.79,-9.98
-5032,6982,hs-4a-465,-5032,6982,-9.99,-12.19
-5044,6994,hs-4a-460,-5044,6994,-10.44,-12.68
-5056,7006,hs-4a-455,-5056,7006,-10.32,-12.38
-5068,7018,hs-4a-450,-5068,7018,-10.2,-11.47
-5081,7031,hs-4a-445,-5081,7031,-9.96,-11.92
-5093,7043,hs-4a-440,-5093,7043,-8.98,-10.69
-5105,7055,hs-4a-435,-5105,7055,-8.84,-8.47
-5117,7067,hs-4a-430,-5117,7067,-9.27,-10.57
-5129,7079,hs-4a-425,-5129,7079,-9.18,-9.62
-5141,7091,hs-4a-420,-5141,7091,-9.71,-11.14
-5152,7102,hs-4a-415,-5152,7102,-9.66,-10.9
-5163,7113,hs-4a-410,-5163,7113,-9.43,-10.56
-5173,7123,hs-4a-405,-5173,7123,-9.81,-11.32
-5184,7134,hs-4a-400,-5184,7134,-9.74,-11.16
-5194,7144,hs-4a-395,-5194,7144,-10.01,-11.12
-5205,7155,hs-4a-390,-5205,7155,-10.35,-11.69
-5218,7168,hs-4a-385,-5218,7168,-9.64,-11.37
-5230,7180,hs-4a-380,-5230,7180,-10.3,-11.47
-5243,7193,hs-4a-375,-5243,7193,-10.05,-10.34
-5256,7206,hs-4a-370,-5256,7206,-9.93,-10.15
-5268,7218,hs-4a-365,-5268,7218,-10.46,-11
-5281,7231,hs-4a-360,-5281,7231,-9.55,-10.7
-5295,7245,hs-4a-355,-5295,7245,-9.5,-11.14
-5309,7259,hs-4a-350,-5309,7259,-9.44,-10.28
-5323,7273,hs-4a-345,-5323,7273,-9.04,-9.77
-5337,7287,hs-4a-340,-5337,7287,-9.18,-8.59
-5352,7302,hs-4a-335,-5352,7302,-9.04,-8.61
-5366,7316,hs-4a-330,-5366,7316,-9.39,-10.14
-5378,7328,hs-4a-325,-5378,7328,-9.3,-9.95
-5391,7341,hs-4a-320,-5391,7341,-9.18,-9.49
-5407,7357,hs-4a-315,-5407,7357,-9.34,-9.42
-5424,7374,hs-4a-310,-5424,7374,-9.55,-10.22
-5442,7392,hs-4a-305,-5442,7392,-10.1,-11.51
-5459,7409,hs-4a-300,-5459,7409,-10.56,-11.93
-5478,7428,hs-4a-295,-5478,7428,-10.05,-10.67
-5497,7447,hs-4a-290,-5497,7447,-10.56,-11.5
-5516,7466,hs-4a-285,-5516,7466,-9.75,-10.58
-5535,7485,hs-4a-280,-5535,7485,-9.8,-11.02
-5554,7504,hs-4a-275,-5554,7504,-9.43,-10.29
-5572,7522,hs-4a-270,-5572,7522,-9.24,-9.57
-5591,7541,hs-4a-265,-5591,7541,-9.61,-10.32
-5610,7560,hs-4a-260,-5610,7560,-10.31,-11.81
-5629,7579,hs-4a-255,-5629,7579,-10.22,-11.7
-5648,7598,hs-4a-250,-5648,7598,-9.97,-10.97
-5675,7625,hs-4a-245,-5675,7625,-10.17,-10.92
-5701,7651,hs-4a-240,-5701,7651,-9.86,-11.83
-5727,7677,hs-4a-235,-5727,7677,-9.82,-11.03
-5754,7704,hs-4a-230,-5754,7704,-9.65,-10.75
-5793,7743,hs-4a-220,-5793,7743,-10.08,-11.6
-5809,7759,hs-4a-215,-5809,7759,-10.22,-11.42
-5825,7775,hs-4a-210,-5825,7775,-9.9,-11.27
-5840,7790,hs-4a-205,-5840,7790,-10.05,-11.21
-5856,7806,hs-4a-200,-5856,7806,-8.9,-10.12
-5867,7817,hs-4a-195,-5867,7817,-9.09,-10.5
-5878,7828,hs-4a-190,-5878,7828,-10.05,-11.3
-5888,7838,hs-4a-185,-5888,7838,-9.07,-10.37
-5899,7849,hs-4a-180,-5899,7849,-9.59,-10.43
-5910,7860,hs-4a-175,-5910,7860,-9.41,-11.13
-5920,7870,hs-4a-170,-5920,7870,-9.88,-11.43
-5931,7881,hs-4a-165,-5931,7881,-9.8,-11.09
-5942,7892,hs-4a-160,-5942,7892,-9.88,-11.22
-5952,7902,hs-4a-155,-5952,7902,-9.76,-10.74
-5963,7913,hs-4a-150,-5963,7913,-9.71,-11.52
-5975,7925,hs-4a-145,-5975,7925,-9.72,-11.02
-5986,7936,hs-4a-140,-5986,7936,-9.44,-10.8
-5998,7948,hs-4a-135,-5998,7948,-9.34,-10.34
-6010,7960,hs-4a-130,-6010,7960,-9.38,-10.45
-6021,7971,hs-4a-125,-6021,7971,-9.59,-10.65
-6033,7983,hs-4a-120,-6033,7983,-9.96,-11.59
-6059,8009,hs-4a-115,-6059,8009,-8.95,-9.35
-6084,8034,hs-4a-110,-6084,8034,-9.36,-10.37
-6110,8060,hs-4a-105,-6110,8060,-9.49,-10.53
-6135,8085,hs-4a-100,-6135,8085,-9.15,-8.69
-6167,8117,hs-4a-95,-6167,8117,-9.8,-11.3
-6199,8149,hs-4a-90,-6199,8149,-8.99,-9.17
-6231,8181,hs-4a-85,-6231,8181,-9.02,-10.34
-6264,8214,hs-4a-80,-6264,8214,-8.66,-8.68
-6296,8246,hs-4a-75,-6296,8246,-8.54,-7.4
-6328,8278,hs-4a-70,-6328,8278,-8.84,-9.01
-6360,8310,hs-4a-65,-6360,8310,-9.31,-8.39
-6392,8342,hs-4a-60,-6392,8342,-9.12,-9.1
-6425,8375,hs-4a-55,-6425,8375,-9.05,-9.23
-6457,8407,hs-4a-50,-6457,8407,-9.42,-8.4
-6486,8436,hs-4a-45,-6486,8436,-9.06,-8.49
-6510,8460,hs-4a-40,-6510,8460,-10.43,-10.52
-6534,8484,hs-4a-35,-6534,8484,-9.89,-9.57
-6558,8508,hs-4a-30,-6558,8508,-9.7,-9.52
-6582,8532,hs-4a-25,-6582,8532,-8.59,-8.11
-6607,8557,hs-4a-20,-6607,8557,-9.11,-9.66
-6631,8581,hs-4a-15,-6631,8581,-9.09,-10.56
-6655,8605,hs-4a-10,-6655,8605,-9.31,-9.48
-6679,8629,hs-4a-5,-6679,8629,-8.82,-8.74
-6701,8651,hs-4a-1,-6701,8651,-9.38,-8.53
-6732,8682,hs-4-e-1,-6732,8682,-9.7,-11.14
-6764,8714,hs-4-e-2,-6764,8714,-9.25,-9.19
-6795,8745,hs-4-e-3,-6795,8745,-9.85,-11.77
-6827,8777,hs-4-e-4,-6827,8777,-10.09,-11.93
-6858,8808,hs-4-e-5,-6858,8808,-9.92,-10
-6890,8840,hs-4-e-6,-6890,8840,-9.36,-8.82
-6921,8871,hs-4-e-7,-6921,8871,-9.06,-9.42
-6953,8903,hs-4-e-8,-6953,8903,-9.16,-8.83
-6984,8934,hs-4-e-9,-6984,8934,-9.76,-8.97
-7016,8966,hs-4-e-10,-7016,8966,-9.03,-8.86
-7047,8997,hs-4-e-11,-7047,8997,-9.58,-10.88
-7079,9029,hs-4-e-12,-7079,9029,-9.86,-11.4
-7110,9060,hs-4-e-13,-7110,9060,-9.96,-11.42
-7173,9123,hs-4-e-15,-7173,9123,-9.15,-9.09
-7205,9155,hs-4-e-16,-7205,9155,-9.2,-8.89
-7236,9186,hs-4-e-17,-7236,9186,-9.56,-8.72
-7268,9218,hs-4-e-18,-7268,9218,-9.32,-7.53
-7299,9249,hs-4-e-19,-7299,9249,-9.2,-7.47
-7331,9281,hs-4-e-20,-7331,9281,-9.25,-8.96
-7362,9312,hs-4-e-21,-7362,9312,-8.31,-5.4
-7425,9375,hs-4-e-23,-7425,9375,-8.63,-6.24
-7457,9407,hs-4-e-24,-7457,9407,-8.23,-4.57
-7488,9438,hs-4-e-25,-7488,9438,-8.37,-4.51
-7520,9470,hs-4-e-26,-7520,9470,-8.01,-3.65
