depth (m),age (BP),temperature (degC),depth (m),age (BP),IRD (g),planktic.d13C (permil),planktic.d18O (permil),d18O (permil),d18O (permil)
NA,NA,NA,15.845,77372,0.74,NA,NA,NA,NA
NA,NA,NA,15.855,77440,0.34,NA,3.42,NA,NA
NA,NA,NA,15.865,77508,0.68,NA,NA,NA,NA
NA,NA,NA,15.875,77577,0.39,NA,NA,NA,NA
NA,NA,NA,15.885,77645,0.41,NA,NA,NA,NA
NA,NA,NA,15.895,77713,0.91,NA,NA,NA,NA
NA,NA,NA,15.905,77781,2.5,NA,3.42,NA,NA
NA,NA,NA,15.915,77849,1.43,NA,NA,NA,NA
NA,NA,NA,15.925,77918,0.85,NA,NA,NA,NA
NA,NA,NA,15.935,77986,0.76,NA,NA,NA,NA
NA,NA,NA,15.945,78054,1.05,NA,NA,NA,NA
NA,NA,NA,15.955,78122,1.16,NA,3.55,4.46,NA
NA,NA,NA,15.965,78190,0.98,NA,NA,NA,NA
NA,NA,NA,15.975,78259,0.97,NA,NA,NA,NA
NA,NA,NA,15.985,78327,0.58,NA,NA,NA,NA
NA,NA,NA,15.995,78395,1.26,NA,NA,NA,NA
NA,NA,NA,16.005,78463,0.81,NA,3.64,4.54,NA
NA,NA,NA,16.015,78532,1.28,NA,NA,NA,NA
NA,NA,NA,16.025,78600,1.47,NA,NA,NA,NA
NA,NA,NA,16.035,78668,1.48,NA,NA,NA,NA
NA,NA,NA,16.045,78736,0.99,NA,NA,NA,NA
NA,NA,NA,16.055,78804,0,NA,NA,NA,NA
NA,NA,NA,16.065,78873,0.97,NA,NA,NA,NA
NA,NA,NA,16.075,78941,0.9,NA,NA,NA,NA
NA,NA,NA,16.085,79009,0.75,NA,NA,NA,NA
NA,NA,NA,16.095,79077,1,NA,NA,NA,NA
NA,NA,NA,16.105,79145,1.19,NA,3.55,NA,NA
NA,NA,NA,16.115,79214,0.77,NA,NA,NA,NA
NA,NA,NA,16.125,79282,0.69,NA,NA,NA,NA
NA,NA,NA,16.135,79350,1.18,NA,NA,NA,NA
NA,NA,NA,16.145,79418,0.84,NA,NA,NA,NA
NA,NA,NA,16.155,79486,2.01,NA,3.43,4.43,NA
NA,NA,NA,16.165,79555,1.32,NA,NA,NA,NA
NA,NA,NA,16.175,79623,1.47,NA,NA,NA,NA
NA,NA,NA,16.185,79691,1.5,NA,NA,NA,NA
NA,NA,NA,16.195,79759,1.28,NA,NA,NA,NA
NA,NA,NA,16.205,79827,2.1,NA,3.67,NA,NA
NA,NA,NA,16.215,79896,2.93,NA,NA,NA,NA
NA,NA,NA,16.225,79964,1.87,NA,NA,NA,NA
NA,NA,NA,16.235,80032,2,NA,NA,NA,NA
NA,NA,NA,16.245,80100,1.52,NA,NA,NA,NA
NA,NA,NA,16.255,80168,1.49,NA,3.2,4.3,NA
NA,NA,NA,16.265,80237,1.77,NA,NA,NA,NA
NA,NA,NA,16.275,80305,0.79,NA,NA,NA,NA
NA,NA,NA,16.285,80373,0.58,NA,NA,NA,NA
NA,NA,NA,16.295,80441,0.8,NA,NA,NA,NA
NA,NA,NA,16.305,80510,1.93,NA,3.5,NA,NA
NA,NA,NA,16.315,80578,0.8,NA,NA,NA,NA
NA,NA,NA,16.325,80646,1.58,NA,NA,NA,NA
NA,NA,NA,16.335,80714,2.04,NA,NA,NA,NA
NA,NA,NA,16.345,80782,1.77,NA,NA,NA,NA
NA,NA,NA,16.355,80851,1.48,NA,2.39,NA,NA
NA,NA,NA,16.365,80919,3.45,NA,NA,NA,NA
NA,NA,NA,16.375,80987,1.92,NA,NA,NA,NA
NA,NA,NA,16.385,81055,2.81,NA,NA,NA,NA
NA,NA,NA,16.395,81123,3.83,NA,NA,NA,NA
NA,NA,NA,16.405,81192,3.65,NA,3.64,NA,NA
NA,NA,NA,16.415,81260,6.97,NA,NA,NA,NA
NA,NA,NA,16.425,81328,3.62,NA,NA,NA,NA
NA,NA,NA,16.435,81396,4.44,NA,NA,NA,NA
NA,NA,NA,16.445,81464,5.58,NA,NA,NA,NA
NA,NA,NA,16.455,81533,5.4,NA,3.25,4.4,NA
NA,NA,NA,16.465,81601,3.87,NA,NA,NA,NA
NA,NA,NA,16.475,81669,2.97,NA,NA,NA,NA
NA,NA,NA,16.485,81737,3.79,NA,NA,NA,NA
NA,NA,NA,16.495,81805,4.36,NA,NA,NA,NA
NA,NA,NA,16.505,81874,4.01,NA,3.36,4.3,NA
NA,NA,NA,16.515,81942,8.67,NA,NA,NA,NA
NA,NA,NA,16.525,82010,7.87,NA,NA,NA,NA
NA,NA,NA,16.535,82078,4.4,NA,NA,NA,NA
NA,NA,NA,16.545,82146,7.54,NA,NA,NA,NA
NA,NA,NA,16.555,82215,9.58,NA,3.45,4.24,NA
NA,NA,NA,16.565,82283,14.84,NA,NA,NA,NA
NA,NA,NA,16.575,82351,8.98,NA,NA,NA,NA
NA,NA,NA,16.585,82419,10.24,NA,NA,NA,NA
NA,NA,NA,16.595,82487,8.01,NA,NA,NA,NA
NA,NA,NA,16.605,82556,10.42,NA,3.46,4.26,NA
NA,NA,NA,16.615,82624,9.59,NA,NA,NA,NA
NA,NA,NA,16.625,82692,8.37,NA,NA,NA,NA
NA,NA,NA,16.635,82760,8.84,NA,NA,NA,NA
NA,NA,NA,16.645,82828,11.64,NA,NA,NA,NA
NA,NA,NA,16.655,82897,27.15,NA,3.21,NA,NA
NA,NA,NA,16.665,82965,13.26,NA,NA,NA,NA
NA,NA,NA,16.675,83033,33.89,NA,NA,NA,NA
NA,NA,NA,16.685,83101,41.98,NA,NA,NA,NA
NA,NA,NA,16.695,83169,38.02,NA,NA,NA,NA
NA,NA,NA,16.705,83238,27.35,NA,3.36,NA,NA
NA,NA,NA,16.715,83306,82.28,NA,NA,NA,NA
NA,NA,NA,16.725,83374,44.27,NA,NA,NA,NA
NA,NA,NA,16.735,83442,26.9,NA,NA,NA,NA
NA,NA,NA,16.745,83510,12.04,NA,NA,NA,NA
NA,NA,NA,16.755,83579,5.02,NA,3.06,NA,NA
NA,NA,NA,16.765,83647,5.15,NA,NA,NA,NA
NA,NA,NA,16.775,83715,3.33,NA,NA,NA,NA
NA,NA,NA,16.785,83783,5.59,NA,NA,NA,NA
NA,NA,NA,16.795,83851,6.57,NA,NA,NA,NA
NA,NA,NA,16.805,83920,5.66,NA,NA,NA,NA
NA,NA,NA,16.815,83988,7,NA,NA,NA,NA
NA,NA,NA,16.825,84056,6.27,NA,NA,NA,NA
NA,NA,NA,16.835,84124,7.74,NA,NA,NA,NA
NA,NA,NA,16.845,84192,8.49,NA,NA,NA,NA
NA,NA,NA,16.855,84261,6.02,NA,NA,NA,NA
NA,NA,NA,16.865,84329,4.5,NA,NA,NA,NA
NA,NA,NA,16.875,84397,2.85,NA,NA,NA,NA
NA,NA,NA,16.885,84465,6.01,NA,NA,NA,NA
NA,NA,NA,16.895,84533,7.87,NA,NA,NA,NA
NA,NA,NA,16.905,84602,4.57,NA,NA,NA,NA
NA,NA,NA,16.915,84670,10.41,NA,NA,NA,NA
NA,NA,NA,16.925,84738,12.46,NA,NA,NA,NA
NA,NA,NA,16.935,84806,12.02,NA,NA,NA,NA
NA,NA,NA,16.945,84874,9.92,NA,NA,NA,NA
NA,NA,NA,16.955,84943,5.51,NA,NA,NA,NA
NA,NA,NA,16.965,85011,9.22,NA,NA,NA,NA
NA,NA,NA,16.975,85079,15.63,NA,NA,NA,NA
NA,NA,NA,16.985,85147,18.83,NA,NA,NA,NA
NA,NA,NA,16.995,85216,1.68,NA,NA,NA,NA
NA,NA,NA,17.005,85284,8.59,NA,3.74,4.19,NA
NA,NA,NA,17.015,85352,10.83,NA,NA,NA,NA
NA,NA,NA,17.025,85420,13.28,NA,NA,NA,NA
NA,NA,NA,17.035,85457,21.84,NA,NA,NA,NA
NA,NA,NA,17.045,85494,36.34,NA,NA,NA,NA
NA,NA,NA,17.055,85530,24.97,NA,4.11,NA,NA
NA,NA,NA,17.065,85567,6.05,NA,NA,NA,NA
NA,NA,NA,17.075,85608,4.23,NA,NA,NA,NA
NA,NA,NA,17.085,85655,10.16,NA,NA,NA,NA
NA,NA,NA,17.095,85703,7.88,NA,NA,NA,NA
NA,NA,NA,17.105,85750,9.29,NA,NA,NA,NA
NA,NA,NA,17.115,85798,8.46,NA,NA,NA,NA
NA,NA,NA,17.125,85845,5.9,NA,NA,NA,NA
NA,NA,NA,17.135,85893,15.19,NA,NA,NA,NA
NA,NA,NA,17.145,85941,32.96,NA,NA,NA,NA
NA,NA,NA,17.155,85988,73.17,NA,3.77,NA,NA
NA,NA,NA,17.165,86035,13.95,NA,NA,NA,NA
NA,NA,NA,17.175,86083,12.03,NA,NA,NA,NA
NA,NA,NA,17.185,86131,6.47,NA,NA,NA,NA
NA,NA,NA,17.195,86178,6.11,NA,NA,NA,NA
NA,NA,NA,17.205,86226,11.62,NA,3.51,NA,NA
NA,NA,NA,17.215,86273,9.71,NA,NA,NA,NA
NA,NA,NA,17.225,86321,14.92,NA,NA,NA,NA
NA,NA,NA,17.235,86368,13.49,NA,NA,NA,NA
NA,NA,NA,17.245,86416,9.68,NA,NA,NA,NA
NA,NA,NA,17.255,86463,5.21,NA,3.87,4.56,NA
NA,NA,NA,17.265,86511,4.33,NA,NA,NA,NA
NA,NA,NA,17.275,86558,4.07,NA,NA,NA,NA
NA,NA,NA,17.285,86606,3.17,NA,NA,NA,NA
NA,NA,NA,17.295,86653,2.61,NA,NA,NA,NA
NA,NA,NA,17.305,86701,3.84,NA,3.63,NA,NA
NA,NA,NA,17.315,86748,3.11,NA,NA,NA,NA
NA,NA,NA,17.325,86796,1.04,NA,NA,NA,NA
NA,NA,NA,17.335,86843,18.05,NA,NA,NA,NA
NA,NA,NA,17.345,86891,34.55,NA,NA,NA,NA
NA,NA,NA,17.355,86939,15.83,NA,3.85,4.67,NA
NA,NA,NA,17.365,86986,10,NA,NA,NA,NA
NA,NA,NA,17.375,87034,33.59,NA,NA,NA,NA
NA,NA,NA,17.385,87081,23.79,NA,NA,NA,NA
NA,NA,NA,17.395,87129,37.87,NA,NA,NA,NA
NA,NA,NA,17.405,87176,42.97,NA,3.76,4.63,NA
NA,NA,NA,17.415,87224,42.82,NA,NA,NA,NA
NA,NA,NA,17.425,87271,27.53,NA,NA,NA,NA
NA,NA,NA,17.435,87319,5.03,NA,NA,NA,NA
NA,NA,NA,17.445,87366,8.25,NA,NA,NA,NA
NA,NA,NA,17.455,87414,3.5,NA,3.75,4.6,NA
NA,NA,NA,17.465,87461,3.65,NA,NA,NA,NA
NA,NA,NA,17.475,87509,6.73,NA,NA,NA,NA
NA,NA,NA,17.485,87556,10.08,NA,NA,NA,NA
NA,NA,NA,17.495,87604,9.68,NA,NA,NA,NA
NA,NA,NA,17.505,87651,2.38,NA,NA,NA,NA
NA,NA,NA,17.515,87699,15.07,NA,NA,NA,NA
NA,NA,NA,17.525,87746,14.99,NA,NA,NA,NA
NA,NA,NA,17.535,87794,15.36,NA,NA,NA,NA
NA,NA,NA,17.545,87841,16.23,NA,NA,NA,NA
NA,NA,NA,17.555,87889,8.41,NA,3.59,NA,NA
NA,NA,NA,17.565,87936,4.92,NA,NA,NA,NA
NA,NA,NA,17.575,87984,0.8,NA,NA,NA,NA
NA,NA,NA,17.585,88032,1.23,NA,NA,NA,NA
NA,NA,NA,17.595,88079,0.64,NA,NA,NA,NA
NA,NA,NA,17.605,88127,0.92,NA,3.76,NA,NA
NA,NA,NA,17.615,88174,1.24,NA,NA,NA,NA
NA,NA,NA,17.625,88222,0.63,NA,NA,NA,NA
NA,NA,NA,17.635,88269,0.36,NA,NA,NA,NA
NA,NA,NA,17.645,88317,0.31,NA,NA,NA,NA
NA,NA,NA,17.655,88364,0.4,NA,NA,NA,NA
NA,NA,NA,17.665,88412,0.62,NA,NA,NA,NA
NA,NA,NA,17.675,88459,0.71,NA,NA,NA,NA
NA,NA,NA,17.685,88507,0.71,NA,NA,NA,NA
NA,NA,NA,17.695,88554,0.14,NA,NA,NA,NA
NA,NA,NA,17.705,88602,0.2,NA,3.55,4.55,NA
NA,NA,NA,17.715,88649,0.19,NA,NA,NA,NA
NA,NA,NA,17.725,88697,0.21,NA,NA,NA,NA
NA,NA,NA,17.735,88744,0.22,NA,NA,NA,NA
NA,NA,NA,17.745,88792,0.6,NA,NA,NA,NA
NA,NA,NA,17.755,88839,0.75,NA,3.66,4.42,NA
NA,NA,NA,17.765,88887,0.52,NA,NA,NA,NA
NA,NA,NA,17.775,88934,0.18,NA,NA,NA,NA
NA,NA,NA,17.785,88982,0.38,NA,NA,NA,NA
NA,NA,NA,17.795,89030,0.3,NA,NA,NA,NA
NA,NA,NA,17.805,89077,0.25,NA,3.69,4.25,NA
