year (AD),age (BP),grey_scale (missing)
-579.209,2529.209,198.48
-581.691,2531.691,198.95
-584.174,2534.174,199.38
-586.656,2536.656,199.81
-589.494,2539.494,200.52
-591.976,2541.976,201.52
-594.459,2544.459,201.62
-596.941,2546.941,201.62
-599.424,2549.424,201.33
-601.906,2551.906,200.86
-604.389,2554.389,200.52
-606.871,2556.871,200.19
-609.708,2559.708,200
-612.191,2562.191,199.95
-614.674,2564.674,199.81
-617.156,2567.156,199.29
-619.639,2569.639,199
-622.121,2572.121,199.38
-624.604,2574.604,199.76
-627.086,2577.086,200.24
-629.569,2579.569,200.76
-632.406,2582.406,201.1
-634.889,2584.889,201.43
-637.372,2587.372,201.62
-639.854,2589.854,201.86
-642.337,2592.337,201.76
-644.82,2594.82,201.48
-647.302,2597.302,201.14
-649.785,2599.785,200.81
-652.622,2602.622,200.52
-655.105,2605.105,199.9
-657.588,2607.588,199.62
-660.07,2610.07,199.57
-662.553,2612.553,199.43
-665.036,2615.036,199.05
-667.518,2617.518,199
-670.001,2620.001,199.24
-672.484,2622.484,199.24
-675.321,2625.321,198.76
-677.804,2627.804,198.29
-680.287,2630.287,198.14
-682.769,2632.769,198.1
-685.252,2635.252,198.1
-687.735,2637.735,198
-690.218,2640.218,197.9
-692.7,2642.7,197.81
-695.538,2645.538,197.62
-698.021,2648.021,197.62
-700.504,2650.504,197.71
-702.986,2652.986,198.1
-705.469,2655.469,198.38
-707.952,2657.952,198.05
-710.435,2660.435,197.9
-712.918,2662.918,198
-715.401,2665.401,198.1
-718.238,2668.238,198.19
-720.721,2670.721,198.29
-723.204,2673.204,197.95
-725.687,2675.687,198
-728.17,2678.17,197.9
-730.652,2680.652,197.95
-733.135,2683.135,197.95
-735.618,2685.618,198.38
-738.456,2688.456,197.81
-740.939,2690.939,197.38
-743.422,2693.422,197
-745.905,2695.905,196.81
-748.388,2698.388,196.71
-750.87,2700.87,196.76
-753.353,2703.353,196.81
-755.836,2705.836,197
-758.319,2708.319,197
-761.157,2711.157,196.95
-763.64,2713.64,196.95
-766.123,2716.123,197.33
-768.606,2718.606,197.43
-771.089,2721.089,197.33
-773.572,2723.572,197.57
-776.055,2726.055,197.52
-778.538,2728.538,197.81
-781.376,2731.376,197.9
-783.859,2733.859,198.19
-786.342,2736.342,198.43
-788.825,2738.825,198.62
-791.308,2741.308,198.86
-793.791,2743.791,199.14
-796.274,2746.274,199.48
-798.757,2748.757,199.71
-801.24,2751.24,199.95
-804.078,2754.078,200.05
-806.561,2756.561,200
-809.044,2759.044,199.86
-811.527,2761.527,199.9
-814.011,2764.011,200.05
-816.494,2766.494,200.57
-818.977,2768.977,200.86
-821.46,2771.46,200.95
-823.943,2773.943,201.19
-826.781,2776.781,201.57
-829.264,2779.264,201.48
-831.747,2781.747,201.67
-834.231,2784.231,201.81
-836.714,2786.714,201.81
-839.197,2789.197,201.38
-841.68,2791.68,201.14
-844.163,2794.163,200.67
-847.001,2797.001,200.48
-849.485,2799.485,200.14
-851.968,2801.968,199.67
-854.451,2804.451,199.86
-856.934,2806.934,200.14
-859.418,2809.418,199.9
-861.901,2811.901,200.19
-864.384,2814.384,200.43
-866.867,2816.867,200.48
-869.706,2819.706,200.57
-872.189,2822.189,200.57
-874.672,2824.672,200.86
-877.155,2827.155,200.95
-879.639,2829.639,200.9
-882.122,2832.122,200.38
-884.605,2834.605,200.1
-887.089,2837.089,199.76
-889.927,2839.927,199.48
-892.41,2842.41,199.76
-894.894,2844.894,200
-897.377,2847.377,199.9
-899.86,2849.86,199.86
-902.344,2852.344,200.29
-904.827,2854.827,200.62
-907.311,2857.311,200.76
-909.794,2859.794,201.19
-912.632,2862.632,201.62
-915.116,2865.116,201.86
-917.599,2867.599,202.05
-920.083,2870.083,202.1
-922.566,2872.566,202.57
-925.049,2875.049,203.1
-927.533,2877.533,203.24
-930.016,2880.016,202.86
-932.855,2882.855,202.71
-935.338,2885.338,202.48
-937.822,2887.822,202.38
-940.305,2890.305,201.95
-942.789,2892.789,201.67
-945.272,2895.272,201.48
-947.756,2897.756,200.86
-950.239,2900.239,200.05
-952.723,2902.723,199.57
-955.561,2905.561,199.1
-958.045,2908.045,198.95
-960.528,2910.528,198.29
-963.012,2913.012,197.67
-965.495,2915.495,197.38
-967.979,2917.979,197.19
-970.463,2920.463,196.9
-972.946,2922.946,196.71
-975.785,2925.785,196.76
-978.268,2928.268,196.57
-980.752,2930.752,196.05
-983.236,2933.236,195.9
-985.719,2935.719,196.1
-988.203,2938.203,196.62
-990.687,2940.687,196.81
-993.17,2943.17,196.9
-995.654,2945.654,197.05
-998.492,2948.492,197.14
-1000.976,2950.976,197.48
-1003.46,2953.46,197.81
-1005.944,2955.944,198.67
-1008.427,2958.427,199.24
-1010.911,2960.911,199.19
-1013.395,2963.395,199.05
-1015.878,2965.878,199.38
-1018.717,2968.717,199.81
-1021.201,2971.201,200.76
-1023.685,2973.685,201.52
-1026.168,2976.168,201.62
-1028.652,2978.652,201.62
-1031.136,2981.136,201.95
-1033.62,2983.62,201.86
-1036.104,2986.104,202.19
-1038.587,2988.587,202.29
-1041.426,2991.426,202.19
-1043.91,2993.91,201.86
-1046.394,2996.394,201.48
-1048.878,2998.878,200.86
-1051.361,3001.361,200.38
-1053.845,3003.845,200.33
-1056.329,3006.329,199.9
-1058.813,3008.813,199.52
-1061.652,3011.652,198.95
-1064.136,3014.136,198.71
-1066.62,3016.62,199.1
-1069.104,3019.104,199.62
-1071.587,3021.587,199.81
-1074.071,3024.071,199.9
-1076.555,3026.555,200.24
-1079.039,3029.039,200.48
-1081.523,3031.523,200.67
-1084.362,3034.362,200.86
-1086.846,3036.846,200.76
-1089.33,3039.33,200.57
-1091.814,3041.814,200.62
-1094.298,3044.298,200.67
-1096.782,3046.782,200.9
-1099.266,3049.266,200.67
-1101.75,3051.75,200.1
-1104.589,3054.589,199.86
-1107.073,3057.073,200.1
