year (AD),age (BP),accumulation (gcm-2a-1),depth_top_m (m),thicnkess_m (m)
-1575.3,3525.3,0.224,724.35,0.157
-1578.8,3528.8,0.227,724.9,0.159
-1582.3,3532.3,0.232,725.45,0.163
-1585.6,3535.6,0.25,726,0.175
-1588.8,3538.8,0.243,726.55,0.17
-1592,3542,0.243,727.1,0.171
-1595.2,3545.2,0.233,727.65,0.164
-1598.6,3548.6,0.229,728.2,0.161
-1602,3552,0.234,728.75,0.164
-1605.4,3555.4,0.239,729.3,0.167
-1608.7,3558.7,0.253,729.85,0.177
-1611.8,3561.8,0.235,730.4,0.165
-1615.1,3565.1,0.246,730.95,0.172
-1618.3,3568.3,0.221,731.5,0.155
-1621.9,3571.9,0.212,732.05,0.148
-1625.6,3575.6,0.216,732.6,0.151
-1629.2,3579.2,0.254,733.15,0.177
-1632.3,3582.3,0.246,733.7,0.172
-1635.5,3585.5,0.236,734.25,0.165
-1638.8,3588.8,0.216,734.8,0.15
-1642.5,3592.5,0.23,735.35,0.16
-1645.9,3595.9,0.225,735.9,0.157
-1649.4,3599.4,0.209,736.45,0.146
-1653.2,3603.2,0.242,737,0.169
-1656.5,3606.5,0.248,737.55,0.173
-1659.7,3609.7,0.242,738.1,0.168
-1662.9,3612.9,0.236,738.65,0.164
-1666.3,3616.3,0.229,739.2,0.16
-1669.7,3619.7,0.23,739.75,0.16
-1673.2,3623.2,0.242,740.3,0.168
-1676.5,3626.5,0.246,740.85,0.171
-1679.7,3629.7,0.23,741.4,0.16
-1683.1,3633.1,0.216,741.95,0.15
-1686.8,3636.8,0.234,742.5,0.162
-1690.2,3640.2,0.239,743.05,0.166
-1693.5,3643.5,0.245,743.6,0.17
-1696.7,3646.7,0.22,744.15,0.153
-1700.3,3650.3,0.23,744.7,0.159
-1703.8,3653.8,0.246,745.25,0.171
-1707,3657,0.247,745.8,0.171
-1710.2,3660.2,0.24,746.35,0.167
-1713.5,3663.5,0.236,746.9,0.163
-1716.9,3666.9,0.246,747.45,0.171
-1720.1,3670.1,0.222,748,0.154
-1723.7,3673.7,0.243,748.55,0.168
-1726.9,3676.9,0.262,749.1,0.182
-1730,3680,0.244,749.65,0.169
-1733.2,3683.2,0.241,750.2,0.166
-1736.5,3686.5,0.252,750.75,0.174
-1739.7,3689.7,0.229,751.3,0.158
-1743.2,3693.2,0.253,751.85,0.175
-1746.3,3696.3,0.238,752.4,0.164
-1749.7,3699.7,0.247,752.95,0.17
-1752.9,3702.9,0.256,753.5,0.176
-1756,3706,0.255,754.05,0.176
-1759.1,3709.1,0.23,754.6,0.159
-1762.6,3712.6,0.228,755.15,0.157
-1766.1,3716.1,0.247,755.7,0.17
-1769.3,3719.3,0.242,756.25,0.167
-1772.6,3722.6,0.237,756.8,0.163
-1776,3726,0.23,757.35,0.158
-1779.5,3729.5,0.212,757.9,0.146
-1783.3,3733.3,0.219,758.45,0.151
-1786.9,3736.9,0.24,759,0.165
-1790.2,3740.2,0.244,759.55,0.168
-1793.5,3743.5,0.236,760.1,0.162
-1796.9,3746.9,0.232,760.65,0.159
-1800.4,3750.4,0.231,761.2,0.158
-1803.8,3753.8,0.244,761.75,0.168
-1807.1,3757.1,0.236,762.3,0.162
-1810.5,3760.5,0.242,762.85,0.166
-1813.8,3763.8,0.241,763.4,0.165
-1817.2,3767.2,0.229,763.95,0.157
-1820.7,3770.7,0.246,764.5,0.168
-1823.9,3773.9,0.224,765.05,0.153
-1827.5,3777.5,0.224,765.6,0.153
-1831.1,3781.1,0.254,766.15,0.174
-1834.3,3784.3,0.244,766.7,0.167
-1837.6,3787.6,0.231,767.25,0.158
-1841,3791,0.227,767.8,0.155
-1844.6,3794.6,0.212,768.35,0.145
-1848.4,3798.4,0.24,768.9,0.164
-1851.7,3801.7,0.225,769.45,0.153
-1855.3,3805.3,0.237,770,0.162
-1858.7,3808.7,0.243,770.55,0.166
-1862,3812,0.242,771.1,0.165
-1865.3,3815.3,0.243,771.65,0.166
-1868.7,3818.7,0.253,772.2,0.173
-1871.8,3821.8,0.247,772.75,0.169
-1875.1,3825.1,0.225,773.3,0.154
-1878.7,3828.7,0.227,773.85,0.154
-1882.2,3832.2,0.228,774.4,0.155
-1885.8,3835.8,0.228,774.95,0.155
-1889.3,3839.3,0.242,775.5,0.165
-1892.7,3842.7,0.251,776.05,0.171
-1895.9,3845.9,0.236,776.6,0.161
-1899.3,3849.3,0.233,777.15,0.159
-1902.8,3852.8,0.245,777.7,0.166
-1906.1,3856.1,0.254,778.25,0.172
-1909.3,3859.3,0.216,778.8,0.147
-1913,3863,0.216,779.35,0.146
-1916.8,3866.8,0.215,779.9,0.146
-1920.5,3870.5,0.231,780.45,0.157
-1924.1,3874.1,0.232,781,0.157
-1927.6,3877.6,0.228,781.55,0.154
-1931.1,3881.1,0.235,782.1,0.159
-1934.6,3884.6,0.254,782.65,0.172
-1937.8,3887.8,0.225,783.2,0.152
-1941.4,3891.4,0.228,783.75,0.154
-1944.9,3894.9,0.229,784.3,0.155
-1948.5,3898.5,0.236,784.85,0.16
-1951.9,3901.9,0.253,785.4,0.171
-1955.1,3905.1,0.238,785.95,0.161
-1958.6,3908.6,0.248,786.5,0.168
-1961.8,3911.8,0.241,787.05,0.163
-1965.2,3915.2,0.238,787.6,0.161
-1968.6,3918.6,0.212,788.15,0.143
-1972.5,3922.5,0.244,788.7,0.164
-1975.8,3925.8,0.24,789.25,0.162
-1979.2,3929.2,0.242,789.8,0.163
-1982.6,3932.6,0.228,790.35,0.154
-1986.2,3936.2,0.266,790.9,0.179
-1989.2,3939.2,0.235,791.45,0.158
-1992.7,3942.7,0.234,792,0.157
-1996.2,3946.2,0.245,792.55,0.165
-1999.5,3949.5,0.226,793.1,0.152
-2003.2,3953.2,0.238,793.65,0.16
-2006.6,3956.6,0.207,794.2,0.139
-2010.5,3960.5,0.235,794.75,0.158
-2014,3964,0.243,795.3,0.163
-2017.4,3967.4,0.247,795.85,0.166
-2020.7,3970.7,0.246,796.4,0.165
-2024,3974,0.243,796.95,0.163
-2027.4,3977.4,0.239,797.5,0.161
-2030.8,3980.8,0.218,798.05,0.146
-2034.6,3984.6,0.241,798.6,0.162
-2038,3988,0.234,799.15,0.157
-2041.5,3991.5,0.244,799.7,0.164
-2044.9,3994.9,0.25,800.25,0.167
-2048.1,3998.1,0.224,800.8,0.15
-2051.8,4001.8,0.244,801.35,0.163
-2055.2,4005.2,0.243,801.9,0.162
-2058.6,4008.6,0.233,802.45,0.156
-2062.1,4012.1,0.224,803,0.15
-2065.8,4015.8,0.249,803.55,0.167
-2069.1,4019.1,0.226,804.1,0.151
-2072.7,4022.7,0.24,804.65,0.16
-2076.2,4026.2,0.243,805.2,0.163
-2079.5,4029.5,0.23,805.75,0.153
-2083.1,4033.1,0.244,806.3,0.163
-2086.5,4036.5,0.241,806.85,0.16
-2089.9,4039.9,0.25,807.4,0.167
-2093.2,4043.2,0.254,807.95,0.169
-2096.5,4046.5,0.244,808.5,0.163
-2099.9,4049.9,0.236,809.05,0.157
-2103.4,4053.4,0.229,809.6,0.152
-2107,4057,0.238,810.15,0.158
-2110.4,4060.4,0.247,810.7,0.164
-2113.8,4063.8,0.218,811.25,0.145
-2117.6,4067.6,0.222,811.8,0.148
-2121.3,4071.3,0.231,812.35,0.154
-2124.9,4074.9,0.247,812.9,0.164
-2128.2,4078.2,0.245,813.45,0.163
-2131.6,4081.6,0.243,814,0.161
-2135,4085,0.255,814.55,0.169
-2138.3,4088.3,0.236,815.1,0.156
-2141.8,4091.8,0.237,815.65,0.157
-2145.3,4095.3,0.249,816.2,0.165
-2148.6,4098.6,0.251,816.75,0.167
-2151.9,4101.9,0.222,817.3,0.147
-2155.6,4105.6,0.242,817.85,0.16
-2159.1,4109.1,0.253,818.4,0.167
-2162.3,4112.3,0.233,818.95,0.154
-2165.9,4115.9,0.206,819.5,0.137
-2169.9,4119.9,0.25,820.05,0.165
-2173.3,4123.3,0.24,820.6,0.159
-2176.7,4126.7,0.245,821.15,0.162
-2180.1,4130.1,0.242,821.7,0.16
-2183.6,4133.6,0.213,822.25,0.141
-2187.5,4137.5,0.218,822.8,0.144
-2191.3,4141.3,0.233,823.35,0.154
-2194.9,4144.9,0.238,823.9,0.157
-2198.4,4148.4,0.243,824.45,0.16
-2201.8,4151.8,0.238,825,0.157
-2205.3,4155.3,0.226,825.55,0.149
-2209,4159,0.235,826.1,0.155
-2212.5,4162.5,0.23,826.65,0.151
-2216.2,4166.2,0.227,827.2,0.149
-2219.9,4169.9,0.233,827.75,0.154
-2223.4,4173.4,0.231,828.3,0.152
-2227.1,4177.1,0.241,828.85,0.158
-2230.5,4180.5,0.23,829.4,0.151
-2234.2,4184.2,0.238,829.95,0.156
-2237.7,4187.7,0.222,830.5,0.146
-2241.5,4191.5,0.246,831.05,0.162
-2244.9,4194.9,0.254,831.6,0.167
-2248.2,4198.2,0.223,832.15,0.147
-2251.9,4201.9,0.241,832.7,0.158
-2255.4,4205.4,0.249,833.25,0.163
-2258.7,4208.7,0.237,833.8,0.156
-2262.3,4212.3,0.234,834.35,0.153
-2265.9,4215.9,0.249,834.9,0.163
-2269.2,4219.2,0.216,835.45,0.142
-2273.1,4223.1,0.239,836,0.157
-2276.6,4226.6,0.242,836.55,0.158
-2280.1,4230.1,0.234,837.1,0.153
-2283.7,4233.7,0.239,837.65,0.156
-2287.2,4237.2,0.237,838.2,0.155
-2290.8,4240.8,0.229,838.75,0.15
-2294.5,4244.5,0.229,839.3,0.15
-2298.1,4248.1,0.239,839.85,0.156
-2301.7,4251.7,0.249,840.4,0.163
-2305,4255,0.246,840.95,0.16
-2308.5,4258.5,0.235,841.5,0.154
-2312,4262,0.246,842.05,0.16
-2315.5,4265.5,0.205,842.6,0.134
-2319.6,4269.6,0.226,843.15,0.148
-2323.3,4273.3,0.241,843.7,0.157
-2326.8,4276.8,0.24,844.25,0.156
-2330.3,4280.3,0.216,844.8,0.141
-2334.2,4284.2,0.234,845.35,0.152
-2337.8,4287.8,0.229,845.9,0.149
-2341.5,4291.5,0.223,846.45,0.145
-2345.3,4295.3,0.242,847,0.157
-2348.8,4298.8,0.24,847.55,0.156
-2352.3,4302.3,0.24,848.1,0.156
-2355.9,4305.9,0.239,848.65,0.155
-2359.4,4309.4,0.244,849.2,0.158
-2362.9,4312.9,0.238,849.75,0.155
-2366.4,4316.4,0.238,850.3,0.154
-2370,4320,0.227,850.85,0.147
-2373.7,4323.7,0.244,851.4,0.158
-2377.2,4327.2,0.247,851.95,0.16
-2380.7,4330.7,0.228,852.5,0.147
-2384.4,4334.4,0.248,853.05,0.16
-2387.8,4337.8,0.226,853.6,0.146
-2391.6,4341.6,0.242,854.15,0.157
-2395.1,4345.1,0.208,854.7,0.134
-2399.2,4349.2,0.227,855.25,0.147
-2402.9,4352.9,0.248,855.8,0.16
-2406.4,4356.4,0.244,856.35,0.157
-2409.9,4359.9,0.216,856.9,0.139
-2413.8,4363.8,0.229,857.45,0.148
-2417.5,4367.5,0.244,858,0.157
-2421,4371,0.217,858.55,0.14
-2425,4375,0.253,859.1,0.163
-2428.3,4378.3,0.245,859.65,0.158
-2431.8,4381.8,0.253,860.2,0.163
-2435.2,4385.2,0.247,860.75,0.159
-2438.6,4388.6,0.257,861.3,0.166
-2442,4392,0.229,861.85,0.147
-2445.7,4395.7,0.229,862.4,0.147
-2449.4,4399.4,0.24,862.95,0.154
-2453,4403,0.229,863.5,0.148
-2456.7,4406.7,0.208,864.05,0.134
-2460.8,4410.8,0.25,864.6,0.161
-2464.3,4414.3,0.255,865.15,0.164
-2467.6,4417.6,0.24,865.7,0.154
-2471.2,4421.2,0.241,866.25,0.155
-2474.7,4424.7,0.245,866.8,0.157
-2478.2,4428.2,0.244,867.35,0.157
-2481.7,4431.7,0.248,867.9,0.159
-2485.2,4435.2,0.226,868.45,0.145
-2489,4439,0.209,869,0.134
-2493.1,4443.1,0.236,869.55,0.151
-2496.8,4446.8,0.241,870.1,0.154
-2500.3,4450.3,0.227,870.65,0.145
-2504.1,4454.1,0.213,871.2,0.137
-2508.1,4458.1,0.241,871.75,0.154
-2511.7,4461.7,0.251,872.3,0.161
-2515.1,4465.1,0.229,872.85,0.146
-2518.9,4468.9,0.244,873.4,0.156
-2522.4,4472.4,0.22,873.95,0.141
-2526.3,4476.3,0.226,874.5,0.145
-2530.1,4480.1,0.238,875.05,0.152
-2533.7,4483.7,0.241,875.6,0.153
-2537.3,4487.3,0.238,876.15,0.152
-2541,4491,0.231,876.7,0.147
-2544.7,4494.7,0.25,877.25,0.159
-2548.1,4498.1,0.236,877.8,0.151
-2551.8,4501.8,0.23,878.35,0.146
-2555.6,4505.6,0.24,878.9,0.152
-2559.2,4509.2,0.227,879.45,0.145
-2563,4513,0.219,880,0.139
-2566.9,4516.9,0.249,880.55,0.158
-2570.4,4520.4,0.241,881.1,0.153
-2574,4524,0.231,881.65,0.146
-2577.7,4527.7,0.229,882.2,0.146
-2581.5,4531.5,0.231,882.75,0.146
-2585.3,4535.3,0.248,883.3,0.158
-2588.8,4538.8,0.252,883.85,0.16
-2592.2,4542.2,0.225,884.4,0.143
-2596.1,4546.1,0.222,884.95,0.141
-2600,4550,0.249,885.5,0.158
-2603.5,4553.5,0.24,886.05,0.152
-2607.1,4557.1,0.233,886.6,0.147
-2610.8,4560.8,0.254,887.15,0.161
-2614.2,4564.2,0.237,887.7,0.15
-2617.9,4567.9,0.234,888.25,0.148
-2621.6,4571.6,0.221,888.8,0.14
-2625.5,4575.5,0.231,889.35,0.146
-2629.3,4579.3,0.23,889.9,0.145
-2633.1,4583.1,0.218,890.45,0.138
-2637.1,4587.1,0.228,891,0.144
-2640.9,4590.9,0.24,891.55,0.152
-2644.5,4594.5,0.212,892.1,0.134
-2648.6,4598.6,0.241,892.65,0.152
-2652.3,4602.3,0.239,893.2,0.15
-2655.9,4605.9,0.236,893.75,0.149
-2659.6,4609.6,0.238,894.3,0.15
-2663.3,4613.3,0.239,894.85,0.15
-2666.9,4616.9,0.23,895.4,0.145
-2670.7,4620.7,0.215,895.95,0.135
-2674.8,4624.8,0.192,896.5,0.121
-2679.4,4629.4,0.245,897.05,0.154
-2682.9,4632.9,0.25,897.6,0.157
-2686.4,4636.4,0.242,898.15,0.152
-2690.1,4640.1,0.244,898.7,0.153
-2693.6,4643.6,0.244,899.25,0.153
-2697.2,4647.2,0.24,899.8,0.151
-2700.9,4650.9,0.249,900.35,0.156
-2704.4,4654.4,0.237,900.9,0.148
-2708.1,4658.1,0.24,901.45,0.151
-2711.8,4661.8,0.239,902,0.15
-2715.4,4665.4,0.227,902.55,0.142
-2719.3,4669.3,0.233,903.1,0.146
-2723.1,4673.1,0.233,903.65,0.146
-2726.8,4676.8,0.205,904.2,0.128
-2731.1,4681.1,0.24,904.75,0.15
-2734.8,4684.8,0.237,905.3,0.148
-2738.5,4688.5,0.24,905.85,0.15
-2742.2,4692.2,0.246,906.4,0.154
-2745.7,4695.7,0.23,906.95,0.143
-2749.6,4699.6,0.2,907.5,0.125
-2754,4704,0.23,908.05,0.143
-2757.8,4707.8,0.218,908.6,0.136
-2761.9,4711.9,0.236,909.15,0.147
-2765.6,4715.6,0.236,909.7,0.147
-2769.4,4719.4,0.224,910.25,0.14
-2773.3,4723.3,0.223,910.8,0.139
-2777.3,4727.3,0.22,911.35,0.137
-2781.3,4731.3,0.239,911.9,0.149
-2785,4735,0.235,912.45,0.146
-2788.7,4738.7,0.216,913,0.135
-2792.8,4742.8,0.226,913.55,0.141
-2796.7,4746.7,0.255,914.1,0.159
-2800.2,4750.2,0.238,914.65,0.148
-2803.9,4753.9,0.237,915.2,0.147
-2807.7,4757.7,0.235,915.75,0.146
-2811.4,4761.4,0.228,916.3,0.141
-2815.3,4765.3,0.243,916.85,0.15
-2819,4769,0.251,917.4,0.155
-2822.5,4772.5,0.238,917.95,0.147
-2826.2,4776.2,0.213,918.5,0.132
-2830.4,4780.4,0.239,919.05,0.148
-2834.1,4784.1,0.229,919.6,0.142
-2838,4788,0.233,920.15,0.144
-2841.8,4791.8,0.229,920.7,0.141
-2845.7,4795.7,0.203,921.25,0.126
-2850.1,4800.1,0.238,921.8,0.147
-2853.8,4803.8,0.245,922.35,0.151
-2857.4,4807.4,0.238,922.9,0.147
-2861.2,4811.2,0.236,923.45,0.146
-2865,4815,0.245,924,0.151
-2868.6,4818.6,0.249,924.55,0.154
-2872.2,4822.2,0.227,925.1,0.14
-2876.1,4826.1,0.225,925.65,0.139
-2880.1,4830.1,0.242,926.2,0.149
-2883.8,4833.8,0.243,926.75,0.15
-2887.4,4837.4,0.235,927.3,0.144
-2891.2,4841.2,0.245,927.85,0.151
-2894.9,4844.9,0.24,928.4,0.147
-2898.6,4848.6,0.234,928.95,0.144
-2902.4,4852.4,0.23,929.5,0.141
-2906.3,4856.3,0.24,930.05,0.147
-2910.1,4860.1,0.233,930.6,0.143
-2913.9,4863.9,0.246,931.15,0.151
-2917.5,4867.5,0.242,931.7,0.149
-2921.2,4871.2,0.226,932.25,0.139
-2925.2,4875.2,0.234,932.8,0.143
-2929,4879,0.229,933.35,0.14
-2933,4883,0.231,933.9,0.141
-2936.9,4886.9,0.223,934.45,0.137
-2940.9,4890.9,0.234,935,0.143
-2944.7,4894.7,0.248,935.55,0.152
-2948.3,4898.3,0.23,936.1,0.141
-2952.2,4902.2,0.25,936.65,0.153
-2955.8,4905.8,0.247,937.2,0.151
-2959.5,4909.5,0.251,937.75,0.153
-2963.1,4913.1,0.235,938.3,0.144
-2966.9,4916.9,0.242,938.85,0.148
-2970.6,4920.6,0.229,939.4,0.14
-2974.6,4924.6,0.225,939.95,0.137
-2978.6,4928.6,0.228,940.5,0.139
-2982.5,4932.5,0.235,941.05,0.143
-2986.4,4936.4,0.245,941.6,0.149
-2990.1,4940.1,0.257,942.15,0.157
-2993.6,4943.6,0.242,942.7,0.147
-2997.3,4947.3,0.23,943.25,0.14
-3001.2,4951.2,0.243,943.8,0.148
-3004.9,4954.9,0.234,944.35,0.143
-3008.8,4958.8,0.233,944.9,0.142
-3012.7,4962.7,0.224,945.45,0.136
-3016.7,4966.7,0.252,946,0.153
-3020.3,4970.3,0.21,946.55,0.127
-3024.6,4974.6,0.243,947.1,0.148
-3028.3,4978.3,0.237,947.65,0.144
-3032.2,4982.2,0.246,948.2,0.149
-3035.8,4985.8,0.25,948.75,0.151
-3039.5,4989.5,0.23,949.3,0.139
-3043.4,4993.4,0.228,949.85,0.138
-3047.4,4997.4,0.238,950.4,0.144
-3051.2,5001.2,0.243,950.95,0.147
-3054.9,5004.9,0.247,951.5,0.15
-3058.6,5008.6,0.253,952.05,0.153
-3062.2,5012.2,0.245,952.6,0.148
-3065.9,5015.9,0.253,953.15,0.153
-3069.5,5019.5,0.244,953.7,0.148
-3073.2,5023.2,0.227,954.25,0.137
-3077.3,5027.3,0.217,954.8,0.131
-3081.5,5031.5,0.233,955.35,0.14
-3085.4,5035.4,0.237,955.9,0.143
-3089.2,5039.2,0.236,956.45,0.143
-3093.1,5043.1,0.225,957,0.136
-3097.1,5047.1,0.254,957.55,0.153
-3100.7,5050.7,0.249,958.1,0.15
-3104.4,5054.4,0.248,958.65,0.149
-3108.1,5058.1,0.239,959.2,0.144
-3111.9,5061.9,0.231,959.75,0.139
-3115.8,5065.8,0.237,960.3,0.143
-3119.7,5069.7,0.224,960.85,0.135
-3123.8,5073.8,0.222,961.4,0.133
-3127.9,5077.9,0.244,961.95,0.147
-3131.6,5081.6,0.247,962.5,0.149
-3135.3,5085.3,0.239,963.05,0.143
-3139.2,5089.2,0.228,963.6,0.137
-3143.2,5093.2,0.225,964.15,0.135
-3147.2,5097.2,0.229,964.7,0.138
-3151.2,5101.2,0.218,965.25,0.131
-3155.4,5105.4,0.211,965.8,0.127
-3159.8,5109.8,0.253,966.35,0.151
-3163.4,5113.4,0.231,966.9,0.138
-3167.4,5117.4,0.238,967.45,0.142
-3171.3,5121.3,0.252,968,0.151
-3174.9,5124.9,0.238,968.55,0.142
-3178.8,5128.8,0.252,969.1,0.15
-3182.4,5132.4,0.243,969.65,0.145
-3186.2,5136.2,0.218,970.2,0.13
-3190.4,5140.4,0.229,970.75,0.137
-3194.4,5144.4,0.248,971.3,0.148
-3198.2,5148.2,0.247,971.85,0.147
-3201.9,5151.9,0.234,972.4,0.139
-3205.8,5155.8,0.234,972.95,0.14
-3209.8,5159.8,0.249,973.5,0.148
-3213.5,5163.5,0.239,974.05,0.143
-3217.3,5167.3,0.234,974.6,0.14
-3221.3,5171.3,0.224,975.15,0.133
-3225.4,5175.4,0.221,975.7,0.131
-3229.6,5179.6,0.234,976.25,0.139
-3233.5,5183.5,0.227,976.8,0.135
-3237.6,5187.6,0.24,977.35,0.143
-3241.5,5191.5,0.234,977.9,0.139
-3245.4,5195.4,0.217,978.45,0.129
-3249.7,5199.7,0.251,979,0.149
-3253.4,5203.4,0.248,979.55,0.147
-3257.1,5207.1,0.219,980.1,0.13
-3261.4,5211.4,0.234,980.65,0.139
-3265.3,5215.3,0.229,981.2,0.136
-3269.4,5219.4,0.243,981.75,0.144
-3273.2,5223.2,0.231,982.3,0.137
-3277.2,5227.2,0.246,982.85,0.146
-3281,5231,0.231,983.4,0.137
-3285,5235,0.219,983.95,0.13
-3289.3,5239.3,0.234,984.5,0.139
-3293.2,5243.2,0.222,985.05,0.131
-3297.4,5247.4,0.229,985.6,0.135
-3301.5,5251.5,0.216,986.15,0.128
-3305.8,5255.8,0.225,986.7,0.133
-3309.9,5259.9,0.251,987.25,0.148
-3313.6,5263.6,0.231,987.8,0.136
-3317.7,5267.7,0.238,988.35,0.141
-3321.6,5271.6,0.212,988.9,0.125
-3326,5276,0.232,989.45,0.137
-3330,5280,0.236,990,0.139
-3334,5284,0.228,990.55,0.134
-3338.1,5288.1,0.246,991.1,0.145
-3341.9,5291.9,0.23,991.65,0.135
-3345.9,5295.9,0.242,992.2,0.142
-3349.8,5299.8,0.225,992.75,0.132
-3353.9,5303.9,0.234,993.3,0.138
-3357.9,5307.9,0.245,993.85,0.144
-3361.8,5311.8,0.218,994.4,0.128
-3366.1,5316.1,0.251,994.95,0.147
-3369.8,5319.8,0.244,995.5,0.143
-3373.6,5323.6,0.245,996.05,0.144
-3377.5,5327.5,0.229,996.6,0.134
-3381.6,5331.6,0.205,997.15,0.12
-3386.2,5336.2,0.229,997.7,0.134
-3390.3,5340.3,0.236,998.25,0.138
-3394.2,5344.2,0.225,998.8,0.131
-3398.4,5348.4,0.235,999.35,0.138
-3402.4,5352.4,0.227,999.9,0.133
-3406.6,5356.6,0.231,1000.45,0.135
-3410.6,5360.6,0.233,1001,0.136
-3414.7,5364.7,0.256,1001.55,0.15
-3418.3,5368.3,0.26,1002.1,0.152
-3422,5372,0.231,1002.65,0.135
-3426.1,5376.1,0.251,1003.2,0.147
-3429.8,5379.8,0.237,1003.75,0.138
-3433.8,5383.8,0.229,1004.3,0.133
-3437.9,5387.9,0.23,1004.85,0.134
-3442,5392,0.216,1005.4,0.126
-3446.4,5396.4,0.231,1005.95,0.134
-3450.5,5400.5,0.235,1006.5,0.137
-3454.5,5404.5,0.243,1007.05,0.141
-3458.4,5408.4,0.212,1007.6,0.124
-3462.8,5412.8,0.239,1008.15,0.139
-3466.8,5416.8,0.244,1008.7,0.142
-3470.7,5420.7,0.242,1009.25,0.141
-3474.6,5424.6,0.231,1009.8,0.134
-3478.7,5428.7,0.231,1010.35,0.134
-3482.8,5432.8,0.231,1010.9,0.134
-3486.9,5436.9,0.24,1011.45,0.139
-3490.8,5440.8,0.245,1012,0.142
-3494.7,5444.7,0.238,1012.55,0.138
-3498.7,5448.7,0.241,1013.1,0.14
-3502.6,5452.6,0.247,1013.65,0.143
-3506.5,5456.5,0.237,1014.2,0.137
-3510.5,5460.5,0.22,1014.75,0.127
-3514.8,5464.8,0.215,1015.3,0.124
-3519.2,5469.2,0.241,1015.85,0.139
-3523.2,5473.2,0.244,1016.4,0.141
-3527.1,5477.1,0.236,1016.95,0.136
-3531.1,5481.1,0.245,1017.5,0.141
-3535,5485,0.238,1018.05,0.137
-3539,5489,0.228,1018.6,0.131
-3543.2,5493.2,0.231,1019.15,0.133
-3547.3,5497.3,0.229,1019.7,0.132
-3551.5,5501.5,0.226,1020.25,0.13
-3555.7,5505.7,0.249,1020.8,0.143
-3559.5,5509.5,0.233,1021.35,0.134
-3563.7,5513.7,0.225,1021.9,0.13
-3567.9,5517.9,0.24,1022.45,0.138
-3571.9,5521.9,0.234,1023,0.135
-3576,5526,0.239,1023.55,0.137
-3580,5530,0.23,1024.1,0.132
-3584.1,5534.1,0.245,1024.65,0.141
-3588,5538,0.249,1025.2,0.143
-3591.9,5541.9,0.257,1025.75,0.147
-3595.6,5545.6,0.246,1026.3,0.141
-3599.5,5549.5,0.241,1026.85,0.138
-3603.5,5553.5,0.223,1027.4,0.128
-3607.8,5557.8,0.218,1027.95,0.125
-3612.2,5562.2,0.228,1028.5,0.131
-3616.4,5566.4,0.229,1029.05,0.131
-3620.6,5570.6,0.253,1029.6,0.145
-3624.4,5574.4,0.244,1030.15,0.139
-3628.4,5578.4,0.247,1030.7,0.141
-3632.2,5582.2,0.246,1031.25,0.141
-3636.2,5586.2,0.227,1031.8,0.13
-3640.4,5590.4,0.238,1032.35,0.136
-3644.4,5594.4,0.227,1032.9,0.129
-3648.7,5598.7,0.245,1033.45,0.14
-3652.6,5602.6,0.239,1034,0.136
-3656.7,5606.7,0.243,1034.55,0.138
-3660.6,5610.6,0.226,1035.1,0.129
-3664.9,5614.9,0.242,1035.65,0.138
-3668.9,5618.9,0.251,1036.2,0.143
-3672.7,5622.7,0.22,1036.75,0.125
-3677.1,5627.1,0.236,1037.3,0.134
-3681.2,5631.2,0.215,1037.85,0.122
-3685.7,5635.7,0.254,1038.4,0.144
-3689.5,5639.5,0.246,1038.95,0.14
-3693.4,5643.4,0.248,1039.5,0.141
-3697.3,5647.3,0.248,1040.05,0.141
-3701.3,5651.3,0.243,1040.6,0.138
-3705.2,5655.2,0.22,1041.15,0.125
-3709.7,5659.7,0.232,1041.7,0.132
-3713.8,5663.8,0.225,1042.25,0.127
-3718.1,5668.1,0.246,1042.8,0.139
-3722.1,5672.1,0.235,1043.35,0.133
-3726.2,5676.2,0.249,1043.9,0.141
-3730.1,5680.1,0.223,1044.45,0.126
-3734.5,5684.5,0.24,1045,0.136
-3738.5,5688.5,0.24,1045.55,0.136
-3742.6,5692.6,0.253,1046.1,0.143
-3746.4,5696.4,0.225,1046.65,0.127
-3750.8,5700.8,0.218,1047.2,0.123
-3755.2,5705.2,0.231,1047.75,0.13
-3759.4,5709.4,0.247,1048.3,0.139
-3763.4,5713.4,0.242,1048.85,0.136
-3767.4,5717.4,0.238,1049.4,0.134
-3771.5,5721.5,0.237,1049.95,0.134
-3775.6,5725.6,0.229,1050.5,0.129
-3779.9,5729.9,0.242,1051.05,0.136
-3783.9,5733.9,0.247,1051.6,0.139
-3787.9,5737.9,0.239,1052.15,0.135
-3792,5742,0.246,1052.7,0.138
-3795.9,5745.9,0.245,1053.25,0.138
-3799.9,5749.9,0.241,1053.8,0.136
-3804,5754,0.253,1054.35,0.142
-3807.9,5757.9,0.253,1054.9,0.142
-3811.7,5761.7,0.242,1055.45,0.136
-3815.8,5765.8,0.238,1056,0.133
-3819.9,5769.9,0.191,1056.55,0.107
-3825.1,5775.1,0.234,1057.1,0.131
-3829.2,5779.2,0.239,1057.65,0.134
-3833.4,5783.4,0.215,1058.2,0.12
-3837.9,5787.9,0.225,1058.75,0.126
-3842.3,5792.3,0.238,1059.3,0.133
-3846.4,5796.4,0.219,1059.85,0.123
-3850.9,5800.9,0.234,1060.4,0.131
-3855.1,5805.1,0.241,1060.95,0.134
