depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),planktic.d18O (permil),depth (m),temperature (degC),planktic.MgCa (mmol_mol),depth (m),age (BP),d18O (permil),d13C (permil)
14.213,102600,12.245,0.455,11.752,2.597,NA,NA,NA,12.432,87530,4.29,0.464
14.252,102938,10.223,0.387,11.772,2.539,NA,NA,NA,12.453,87700,4.264,0.537
14.293,103277,11.15,0.418,11.792,2.531,NA,NA,NA,12.473,87870,4.279,0.399
14.332,103615,10.941,0.411,11.812,2.416,NA,NA,NA,12.492,88040,4.183,0.476
14.373,103954,10.76,0.405,11.832,2.363,NA,NA,NA,12.512,88210,4.253,0.493
14.412,104293,10.922,0.41,11.852,2.382,NA,NA,NA,12.533,88380,4.095,0.542
14.453,104631,10.379,0.392,11.872,2.299,NA,NA,NA,12.553,88550,4.209,0.597
14.492,104970,10.493,0.396,11.892,2.253,NA,NA,NA,12.572,88720,4.049,0.542
14.533,105440,10.266,0.388,11.912,2.381,NA,NA,NA,12.592,88890,4.126,0.55
14.572,106043,10.16,0.384,11.932,2.087,NA,NA,NA,12.613,89060,4.087,0.664
14.613,106646,9.617,0.366,11.952,1.995,NA,NA,NA,12.633,89230,4.138,0.557
14.652,107249,8.423,0.325,11.972,2.031,NA,NA,NA,12.652,89390,3.95,0.709
14.672,107550,8.085,0.314,11.992,2.156,NA,NA,NA,12.672,89560,3.949,0.729
14.693,107852,8.493,0.328,12.012,2.09,NA,NA,NA,12.693,89730,4.048,0.727
14.713,108153,8.044,0.312,12.032,2.237,NA,NA,NA,12.713,89900,4.099,0.718
14.732,108455,8.601,0.331,12.052,2.675,NA,NA,NA,12.732,90070,4.134,0.782
14.752,108756,9.097,0.348,12.072,2.667,NA,NA,NA,12.752,90240,4.022,0.713
14.773,109058,7.991,0.311,12.092,2.662,NA,NA,NA,12.773,90410,3.846,0.763
14.793,109359,8.092,0.314,12.112,2.66,NA,NA,NA,12.793,90580,4.053,0.715
14.812,109660,8.162,0.317,12.132,2.55,NA,NA,NA,12.812,90750,3.882,0.514
14.832,109962,8.501,0.328,12.152,2.816,NA,NA,NA,12.832,90920,3.887,0.626
14.852,110263,8.363,0.323,12.192,2.534,NA,NA,NA,12.852,91090,3.87,0.632
14.873,110565,8.17,0.317,12.212,2.722,NA,NA,NA,12.873,91260,4.043,0.662
14.893,110866,7.992,0.311,12.232,2.8,NA,NA,NA,12.893,91430,3.901,0.553
14.912,111168,8.4,0.325,12.252,2.611,NA,NA,NA,12.912,91600,3.883,0.815
14.932,111469,8.342,0.323,12.272,2.708,NA,NA,NA,12.932,91760,3.725,0.605
14.953,111770,8.306,0.321,12.292,2.571,NA,NA,NA,12.953,91930,3.976,0.83
14.973,112072,8.124,0.315,12.312,2.693,NA,NA,NA,12.973,92100,3.873,0.825
14.992,112373,8.905,0.342,12.332,2.674,NA,NA,NA,12.992,92270,3.826,0.799
15.012,112675,8.256,0.32,12.352,2.358,NA,NA,NA,13.012,92440,3.858,0.77
15.033,112976,8.426,0.326,12.372,2.753,NA,NA,NA,13.033,92610,3.743,0.671
15.053,113278,8.429,0.326,12.392,2.567,NA,NA,NA,13.053,92780,3.932,0.86
15.072,113579,9.182,0.351,12.412,2.968,NA,NA,NA,13.072,92950,3.756,0.853
15.092,113880,9.915,0.376,12.432,2.68,NA,NA,NA,13.092,93120,3.77,0.489
15.113,114182,10.144,0.384,12.452,2.904,NA,NA,NA,13.113,93290,3.94,0.867
15.133,114483,10.71,0.403,12.472,2.865,NA,NA,NA,13.133,93460,3.817,0.817
15.152,114785,11.339,0.425,12.492,2.676,NA,NA,NA,13.152,93630,3.851,0.865
15.172,115086,11.763,0.439,12.512,3.127,NA,NA,NA,13.193,93970,3.903,0.845
15.193,115388,11.972,0.446,12.532,2.892,NA,NA,NA,13.213,94140,3.918,0.836
15.213,115689,12.106,0.451,12.552,3.035,NA,NA,NA,13.232,94300,3.85,0.892
15.232,115990,12.491,0.464,12.572,2.955,NA,NA,NA,13.252,94470,3.656,0.906
15.252,116292,12.313,0.458,12.592,2.899,NA,NA,NA,13.273,94640,3.842,0.634
15.273,116593,12.188,0.453,12.612,2.804,NA,NA,NA,13.293,94810,3.499,0.773
15.293,116895,11.806,0.44,12.632,2.944,NA,NA,NA,13.312,94980,3.813,0.876
15.312,117196,12.063,0.449,12.652,2.561,NA,NA,NA,13.332,95150,3.813,0.812
15.332,117498,12.334,0.458,12.672,2.717,NA,NA,NA,13.352,95320,3.72,0.829
15.352,117799,12.758,0.473,12.692,2.773,NA,NA,NA,13.373,95490,3.77,0.638
15.373,118100,12.405,0.461,12.712,2.777,NA,NA,NA,13.393,95660,3.747,0.767
15.393,118402,12.897,0.478,12.732,2.65,NA,NA,NA,13.412,95830,3.85,0.738
15.412,118703,12.782,0.474,12.752,2.556,NA,NA,NA,13.512,96670,3.646,0.711
15.432,119005,12.309,0.458,12.772,2.592,NA,NA,NA,13.533,96840,3.738,0.823
15.453,119306,12.249,0.455,12.792,2.576,NA,NA,NA,13.553,97010,3.799,0.909
15.473,119608,13.003,0.481,12.812,2.472,NA,NA,NA,13.572,97180,3.852,0.882
15.492,119909,12.413,0.461,12.832,2.692,NA,NA,NA,13.592,97350,3.779,0.766
15.512,120210,12.654,0.469,12.852,2.694,NA,NA,NA,13.613,97520,3.858,0.783
15.533,120512,12.786,0.474,12.872,2.756,NA,NA,NA,13.633,97690,3.808,0.741
15.553,120813,13.166,0.487,12.892,2.818,NA,NA,NA,13.652,97860,3.727,0.589
15.572,121115,13.333,0.492,12.932,2.885,NA,NA,NA,13.672,98030,3.756,0.715
15.592,121416,13.295,0.491,12.952,2.985,NA,NA,NA,13.693,98200,3.706,0.788
15.613,121718,13.357,0.493,12.972,2.861,NA,NA,NA,13.713,98370,3.753,0.79
15.633,122019,13.346,0.493,12.992,2.899,NA,NA,NA,13.732,98540,3.613,0.789
15.652,122321,13.556,0.5,13.012,2.756,NA,NA,NA,13.752,98710,3.617,0.662
15.672,122622,13.67,0.504,13.032,2.69,NA,NA,NA,13.773,98880,3.672,0.721
15.693,122923,14.866,0.544,13.052,2.906,NA,NA,NA,13.793,99040,3.658,0.551
15.713,123225,14.277,0.524,13.072,2.78,NA,NA,NA,13.812,99210,3.753,0.257
15.732,123526,14.465,0.531,13.092,2.786,NA,NA,NA,13.832,99380,3.817,0.653
15.752,123828,14.446,0.53,13.112,2.62,NA,NA,NA,13.852,99550,3.631,0.746
15.773,124129,14.581,0.535,13.132,2.753,NA,NA,NA,13.873,99720,3.441,0.738
15.793,124431,14.862,0.544,13.152,2.619,NA,NA,NA,13.893,99890,3.546,0.749
15.812,124732,14.773,0.541,13.172,2.878,NA,NA,NA,13.912,100060,3.646,0.922
15.832,125033,15.417,0.563,13.192,2.685,NA,NA,NA,13.932,100230,3.697,0.871
15.852,125335,15.76,0.575,13.212,2.843,NA,NA,NA,13.973,100570,3.761,0.986
15.873,125636,15.697,0.573,13.232,2.591,NA,NA,NA,13.992,100740,3.663,0.861
15.893,125938,15.698,0.573,13.252,2.72,NA,NA,NA,14.012,100910,3.751,0.824
15.912,126239,14.645,0.537,13.272,2.665,NA,NA,NA,14.033,101080,4.001,0.837
15.953,126842,15.888,0.579,13.292,2.707,NA,NA,NA,14.053,101250,3.974,0.476
15.973,127143,15.461,0.565,13.312,2.576,NA,NA,NA,14.072,101420,3.839,0.581
16.012,127746,15.309,0.559,13.332,2.54,NA,NA,NA,14.092,101580,3.939,0.602
16.032,128048,15.001,0.549,13.352,2.593,NA,NA,NA,14.113,101750,3.876,0.53
16.052,128349,14.616,0.536,13.372,2.641,NA,NA,NA,14.133,101920,3.971,0.506
16.073,128651,14.19,0.521,13.392,2.713,NA,NA,NA,14.152,102090,3.269,0.944
16.093,128952,14.225,0.523,13.412,2.63,NA,NA,NA,14.172,102260,3.658,0.571
16.113,129253,13.925,0.512,13.512,2.598,NA,NA,NA,14.193,102430,3.848,0.64
16.133,129555,13.627,0.502,13.532,2.486,NA,NA,NA,14.213,102600,3.769,0.513
16.152,129856,13.319,0.492,13.552,2.542,NA,NA,NA,14.232,102770,3.898,0.24
16.172,130158,12.272,0.456,13.572,2.602,NA,NA,NA,14.273,103110,4.034,0.732
16.192,130459,12.447,0.462,13.592,2.67,NA,NA,NA,14.293,103280,3.923,0.58
16.212,130761,11.773,0.439,13.612,2.515,NA,NA,NA,14.312,103450,3.676,0.473
16.233,131062,11.698,0.437,13.632,2.531,NA,NA,NA,14.332,103620,3.84,0.584
16.253,131363,11.572,0.432,13.652,2.436,NA,NA,NA,14.373,103950,3.61,0.678
16.273,131665,11.519,0.431,13.672,2.467,NA,NA,NA,14.393,104120,3.594,0.742
16.293,131966,11.192,0.42,13.692,2.811,NA,NA,NA,14.432,104460,3.897,1.058
16.312,132268,11.016,0.414,13.712,2.658,NA,NA,NA,14.453,104630,3.502,0.942
16.332,132569,10.623,0.4,13.732,2.571,NA,NA,NA,14.473,104800,3.798,0.761
16.352,132871,11.361,0.425,13.752,2.545,NA,NA,NA,14.492,104970,3.83,1.009
16.372,133172,10.56,0.398,13.772,2.459,NA,NA,NA,14.512,105140,3.997,1.049
16.633,136192,9.611,0.366,13.792,2.539,NA,NA,NA,14.533,105440,3.745,0.729
16.652,136343,9.025,0.346,13.812,2.496,NA,NA,NA,14.553,105740,3.786,0.837
16.672,136495,9.146,0.35,13.832,2.636,NA,NA,NA,14.572,106040,4.004,0.849
16.692,136647,8.92,0.342,13.852,2.632,NA,NA,NA,14.592,106350,4.039,0.425
16.712,136798,9.039,0.346,13.872,2.705,NA,NA,NA,14.613,106650,4.17,0.527
16.733,136950,9.32,0.356,13.892,2.684,NA,NA,NA,14.633,106950,3.997,0.558
16.753,137102,8.959,0.344,13.912,2.622,NA,NA,NA,14.652,107250,4.13,0.59
16.773,137253,8.873,0.341,13.932,2.704,NA,NA,NA,14.672,107550,3.97,0.604
16.793,137405,7.855,0.306,13.952,2.721,NA,NA,NA,14.693,107850,3.863,0.575
16.812,137557,8.607,0.332,13.972,2.682,NA,NA,NA,14.713,108150,3.844,0.648
16.832,137708,8.392,0.324,13.992,2.858,NA,NA,NA,14.732,108460,3.865,0.609
16.852,137860,7.959,0.31,14.012,2.86,NA,NA,NA,14.752,108760,3.814,0.728
16.913,138315,8.619,0.332,14.032,2.869,NA,NA,NA,14.773,109060,3.845,0.707
16.973,138770,8.532,0.329,14.052,2.937,NA,NA,NA,14.793,109360,3.729,0.51
17.032,139225,8.318,0.322,14.072,2.897,NA,NA,NA,14.812,109660,3.685,0.497
17.093,139680,8.608,0.332,14.092,2.876,NA,NA,NA,14.832,109960,3.767,0.742
17.152,140135,9.177,0.351,14.112,2.725,NA,NA,NA,14.852,110260,3.91,0.58
17.212,140589,9.376,0.358,14.132,2.797,NA,NA,NA,14.873,110570,3.873,0.672
17.273,141044,9.63,0.366,14.152,2.862,NA,NA,NA,14.893,110870,4.029,0.624
17.332,141499,9.809,0.373,14.172,2.766,NA,NA,NA,14.912,111170,3.876,0.678
17.392,141954,9.425,0.359,14.192,2.614,NA,NA,NA,14.932,111470,3.871,0.682
17.453,142409,9.031,0.346,14.212,2.795,NA,NA,NA,14.953,111770,3.81,0.711
17.512,142864,9.031,0.346,14.232,2.711,NA,NA,NA,14.973,112070,3.735,0.651
17.573,143319,9.214,0.352,14.252,2.658,NA,NA,NA,14.992,112370,3.844,0.683
17.633,143774,9.143,0.35,14.272,2.694,NA,NA,NA,15.012,112680,3.711,0.628
17.692,144229,10.095,0.382,14.292,2.77,NA,NA,NA,15.033,112980,3.868,0.733
17.753,144684,10.725,0.404,14.312,2.65,NA,NA,NA,15.053,113280,3.829,0.74
17.812,145139,9.881,0.375,14.332,2.757,NA,NA,NA,15.072,113580,3.685,0.645
17.872,145594,9.141,0.35,14.352,2.671,NA,NA,NA,15.092,113880,3.439,0.698
17.933,146049,9.598,0.365,14.372,2.759,NA,NA,NA,15.113,114180,3.493,0.716
17.973,146352,9.677,0.368,14.392,2.652,NA,NA,NA,15.133,114480,3.265,0.623
18.093,147262,10.208,0.386,14.412,2.736,NA,NA,NA,15.152,114790,3.198,0.628
18.152,147717,10.496,0.396,14.432,2.661,NA,NA,NA,15.172,115090,3.208,0.732
18.233,148323,10.602,0.399,14.452,2.826,NA,NA,NA,15.193,115390,3.176,0.712
18.273,148626,10.811,0.407,14.472,2.722,NA,NA,NA,15.213,115690,3.233,0.583
18.332,149081,10.443,0.394,14.492,2.494,NA,NA,NA,15.232,115990,3.068,0.522
18.392,149536,10.4,0.393,14.512,2.404,NA,NA,NA,15.252,116290,3.034,0.702
18.453,149991,10.863,0.408,14.532,2.691,NA,NA,NA,15.273,116590,3.197,0.74
18.512,150446,10.681,0.402,14.552,2.953,NA,NA,NA,15.293,116900,3.202,0.679
18.552,150749,10.301,0.389,14.572,2.896,NA,NA,NA,15.312,117200,3.096,0.648
18.593,151053,10.078,0.382,14.592,2.885,NA,NA,NA,15.332,117500,2.932,0.675
18.633,151356,9.592,0.365,14.612,2.81,NA,NA,NA,15.352,117800,3.029,0.723
18.672,151659,9.713,0.369,14.632,2.827,NA,NA,NA,15.373,118100,3.071,0.66
18.712,151963,9.547,0.364,14.652,2.712,NA,NA,NA,15.393,118400,3.087,0.6
18.753,152266,9.78,0.372,14.672,2.664,NA,NA,NA,15.412,118700,2.948,0.562
18.812,152721,9.862,0.374,14.692,2.696,NA,NA,NA,15.432,119010,2.909,0.645
18.872,153176,9.522,0.363,14.712,2.502,NA,NA,NA,15.453,119310,3.053,0.651
18.913,153479,9.485,0.361,14.732,2.608,NA,NA,NA,15.473,119610,3.039,0.493
18.953,153782,9.649,0.367,14.752,2.485,NA,NA,NA,15.492,119910,2.934,0.692
18.973,153934,10.009,0.379,14.772,2.444,NA,NA,NA,15.512,120210,2.897,0.642
19.012,154237,7.824,0.305,14.792,2.603,NA,NA,NA,15.533,120510,2.928,0.637
19.052,154540,8.546,0.33,14.812,2.595,NA,NA,NA,15.553,120810,2.932,0.594
19.093,154844,10.14,0.384,14.832,2.319,NA,NA,NA,15.572,121120,3.253,0.445
19.133,155147,8.353,0.323,14.852,2.506,NA,NA,NA,15.592,121420,3.111,0.607
19.172,155450,8.214,0.318,14.872,2.617,NA,NA,NA,15.613,121720,2.999,0.732
19.212,155754,8.457,0.327,14.892,2.349,NA,NA,NA,15.652,122320,3.052,0.563
19.253,156057,8.486,0.328,14.912,2.602,NA,NA,NA,15.672,122620,2.709,0.668
19.293,156360,8.274,0.32,14.932,2.462,NA,NA,NA,15.693,122920,3.03,0.634
NA,NA,NA,NA,14.952,2.736,NA,NA,NA,15.713,123230,3.001,0.565
NA,NA,NA,NA,14.972,2.52,NA,NA,NA,15.732,123530,2.911,0.166
NA,NA,NA,NA,14.992,2.354,NA,NA,NA,15.752,123830,2.951,0.461
NA,NA,NA,NA,15.012,2.556,NA,NA,NA,15.773,124130,3.103,0.479
NA,NA,NA,NA,15.032,2.454,NA,NA,NA,15.812,124730,2.788,0.401
NA,NA,NA,NA,15.052,2.374,NA,NA,NA,15.832,125030,2.534,0.292
NA,NA,NA,NA,15.072,2.526,NA,NA,NA,15.852,125340,3.021,0.505
NA,NA,NA,NA,15.092,2.253,NA,NA,NA,15.873,125640,3.442,0.813
NA,NA,NA,NA,15.112,2.265,NA,NA,NA,15.932,126540,2.788,0.69
NA,NA,NA,NA,15.132,2.3,NA,NA,NA,15.953,126840,3.871,0.668
NA,NA,NA,NA,15.152,2.15,NA,NA,NA,15.973,127140,3.611,0.9
NA,NA,NA,NA,15.172,2.102,NA,NA,NA,15.992,127450,3.403,0.746
NA,NA,NA,NA,15.192,2.016,NA,NA,NA,16.012,127750,4.325,0.513
NA,NA,NA,NA,15.212,1.938,NA,NA,NA,16.032,128050,3.262,0.95
NA,NA,NA,NA,15.232,1.875,NA,NA,NA,16.052,128350,3.859,0.658
NA,NA,NA,NA,15.252,1.699,NA,NA,NA,16.073,128650,3.863,0.86
NA,NA,NA,NA,15.272,1.804,NA,NA,NA,16.093,128950,3.611,0.925
NA,NA,NA,NA,15.292,1.863,NA,NA,NA,16.113,129250,4.11,0.566
NA,NA,NA,NA,15.312,1.81,NA,NA,NA,16.133,129560,3.98,0.59
NA,NA,NA,NA,15.332,1.705,NA,NA,NA,16.152,129860,4.094,0.526
NA,NA,NA,NA,15.352,1.767,NA,NA,NA,16.172,130160,3.61,0.843
NA,NA,NA,NA,15.372,1.748,NA,NA,NA,16.192,130460,3.137,0.672
NA,NA,NA,NA,15.392,1.508,NA,NA,NA,16.212,130760,4.452,0.704
NA,NA,NA,NA,15.412,1.59,NA,NA,NA,16.233,131060,4.356,0.639
NA,NA,NA,NA,15.432,1.696,NA,NA,NA,16.273,131670,4.188,0.489
NA,NA,NA,NA,15.452,2.122,NA,NA,NA,16.293,131970,4.234,0.695
NA,NA,NA,NA,15.472,2.222,NA,NA,NA,16.312,132270,4.337,0.559
NA,NA,NA,NA,15.492,2.198,NA,NA,NA,16.332,132570,4.523,0.571
NA,NA,NA,NA,15.512,1.5,NA,NA,NA,16.352,132870,4.437,0.582
NA,NA,NA,NA,15.532,1.479,NA,NA,NA,16.372,133170,4.141,0.538
NA,NA,NA,NA,15.552,1.661,NA,NA,NA,16.392,133470,4.531,0.699
NA,NA,NA,NA,15.572,1.649,NA,NA,NA,16.413,133780,4.368,0.513
NA,NA,NA,NA,15.592,1.565,NA,NA,NA,16.433,134080,4.803,-0.377
NA,NA,NA,NA,15.612,1.57,NA,NA,NA,16.453,134380,4.229,0.31
NA,NA,NA,NA,15.632,1.539,NA,NA,NA,16.473,134680,4.756,-0.052
NA,NA,NA,NA,15.652,1.418,NA,NA,NA,16.492,134980,4.702,-0.015
NA,NA,NA,NA,15.672,1.528,NA,NA,NA,16.512,135280,4.237,-0.188
NA,NA,NA,NA,15.692,1.309,NA,NA,NA,16.532,135430,4.778,-0.181
NA,NA,NA,NA,15.712,1.552,NA,NA,NA,16.552,135590,4.867,-0.151
NA,NA,NA,NA,15.732,1.523,NA,NA,NA,16.573,135740,4.76,-0.199
NA,NA,NA,NA,15.752,1.283,NA,NA,NA,16.593,135890,4.814,-0.086
NA,NA,NA,NA,15.772,1.104,NA,NA,NA,16.613,136040,4.819,-0.465
NA,NA,NA,NA,15.792,1.319,NA,NA,NA,16.633,136190,4.752,-0.061
NA,NA,NA,NA,15.812,1.313,NA,NA,NA,16.652,136340,4.315,0.479
NA,NA,NA,NA,15.832,1.094,NA,NA,NA,16.672,136500,4.814,-0.296
NA,NA,NA,NA,15.852,1.153,NA,NA,NA,16.712,136800,4.835,-0.021
NA,NA,NA,NA,15.872,1.786,NA,NA,NA,16.733,136950,4.856,0.052
NA,NA,NA,NA,15.892,1.125,NA,NA,NA,16.753,137100,4.839,-0.129
NA,NA,NA,NA,15.912,1.665,NA,NA,NA,16.773,137250,4.819,-0.129
NA,NA,NA,NA,15.932,1.35,NA,NA,NA,16.793,137410,4.966,-0.216
NA,NA,NA,NA,15.952,1.645,NA,NA,NA,16.812,137560,5.068,-0.171
NA,NA,NA,NA,15.972,1.699,NA,NA,NA,16.832,137710,4.815,-0.07
NA,NA,NA,NA,15.992,2.068,NA,NA,NA,16.852,137860,4.82,-0.066
NA,NA,NA,NA,16.012,1.616,NA,NA,NA,16.872,138010,4.937,-0.424
NA,NA,NA,NA,16.032,1.935,NA,NA,NA,16.892,138160,4.995,-0.123
NA,NA,NA,NA,16.052,1.876,NA,NA,NA,16.913,138320,4.856,-0.043
NA,NA,NA,NA,16.072,1.835,NA,NA,NA,16.933,138470,4.994,-0.051
NA,NA,NA,NA,16.092,2.282,NA,NA,NA,16.953,138620,4.832,-0.122
NA,NA,NA,NA,16.112,2.359,NA,NA,NA,16.973,138770,4.937,-0.03
NA,NA,NA,NA,16.132,2.175,NA,NA,NA,16.992,138920,4.797,-0.174
NA,NA,NA,NA,16.152,2.166,NA,NA,NA,17.012,139070,4.953,-0.085
NA,NA,NA,NA,16.172,2.203,NA,NA,NA,17.032,139230,4.761,0.033
NA,NA,NA,NA,16.192,2.172,NA,NA,NA,17.052,139380,4.746,0.051
NA,NA,NA,NA,16.212,2.448,NA,NA,NA,17.073,139530,5.118,-0.292
NA,NA,NA,NA,16.232,2.497,NA,NA,NA,17.093,139680,4.682,0.119
NA,NA,NA,NA,16.252,2.816,NA,NA,NA,17.113,139830,4.73,0.168
NA,NA,NA,NA,16.272,2.698,NA,NA,NA,17.133,139980,4.698,-0.31
NA,NA,NA,NA,16.292,2.805,NA,NA,NA,17.152,140140,4.686,0.022
NA,NA,NA,NA,16.312,2.69,NA,NA,NA,17.172,140290,4.944,-0.331
NA,NA,NA,NA,16.332,2.865,NA,NA,NA,17.192,140440,4.798,-0.216
NA,NA,NA,NA,16.352,2.374,NA,NA,NA,17.212,140590,4.184,0.247
NA,NA,NA,NA,16.372,2.833,NA,NA,NA,17.233,140740,4.49,0.36
NA,NA,NA,NA,16.392,3.054,NA,NA,NA,17.253,140890,4.618,0.186
NA,NA,NA,NA,16.412,2.699,NA,NA,NA,17.273,141040,4.543,0.169
NA,NA,NA,NA,16.432,2.801,NA,NA,NA,17.293,141200,4.497,0.26
NA,NA,NA,NA,16.452,3.17,NA,NA,NA,17.312,141350,4.453,0.271
NA,NA,NA,NA,16.472,3.236,NA,NA,NA,17.332,141500,4.499,0.257
NA,NA,NA,NA,16.492,3,NA,NA,NA,17.352,141650,4.552,0.338
NA,NA,NA,NA,16.512,3.686,NA,NA,NA,17.372,141800,4.562,0.188
NA,NA,NA,NA,16.532,3.292,NA,NA,NA,17.392,141950,4.373,0.388
NA,NA,NA,NA,16.552,3.537,NA,NA,NA,17.413,142110,4.536,-0.192
NA,NA,NA,NA,16.572,3.621,NA,NA,NA,17.433,142260,4.495,0.206
NA,NA,NA,NA,16.592,3.195,NA,NA,NA,17.453,142410,4.637,-0.337
NA,NA,NA,NA,16.612,3.127,NA,NA,NA,17.473,142560,4.423,0.327
NA,NA,NA,NA,16.632,3.54,NA,NA,NA,17.492,142710,4.517,0.214
NA,NA,NA,NA,16.652,2.884,NA,NA,NA,17.512,142860,3.835,0.12
NA,NA,NA,NA,16.672,2.805,NA,NA,NA,17.532,143020,4.601,-0.423
NA,NA,NA,NA,16.692,3.409,NA,NA,NA,17.552,143170,4.403,0.17
NA,NA,NA,NA,16.712,3.429,NA,NA,NA,17.573,143320,4.513,0.297
NA,NA,NA,NA,16.732,3.59,NA,NA,NA,17.593,143470,4.488,0.273
NA,NA,NA,NA,16.752,3.616,NA,NA,NA,17.613,143620,4.426,-0.074
NA,NA,NA,NA,16.772,3.684,NA,NA,NA,17.633,143770,4.103,0.342
NA,NA,NA,NA,16.792,3.679,NA,NA,NA,17.652,143930,4.442,0.297
NA,NA,NA,NA,16.812,3.709,NA,NA,NA,17.672,144080,4.099,0.189
NA,NA,NA,NA,16.832,3.512,NA,NA,NA,17.692,144230,4.456,0.094
NA,NA,NA,NA,16.852,3.663,NA,NA,NA,17.712,144380,4.321,0.259
NA,NA,NA,NA,16.872,4.174,NA,NA,NA,17.733,144530,4.23,0.162
NA,NA,NA,NA,16.892,4.214,NA,NA,NA,17.753,144680,4.514,0.336
NA,NA,NA,NA,16.912,3.868,NA,NA,NA,17.793,144990,4.51,0.469
NA,NA,NA,NA,16.932,4.255,NA,NA,NA,17.812,145140,4.349,0.205
NA,NA,NA,NA,16.952,4.058,NA,NA,NA,17.832,145290,4.356,0.297
NA,NA,NA,NA,16.972,3.917,NA,NA,NA,17.852,145440,4.336,0.341
NA,NA,NA,NA,16.992,3.878,NA,NA,NA,17.892,145750,4.236,0.323
NA,NA,NA,NA,17.012,3.927,NA,NA,NA,17.913,145900,4.42,0.357
NA,NA,NA,NA,17.032,3.337,NA,NA,NA,17.933,146050,4.53,0.217
NA,NA,NA,NA,17.052,3.726,NA,NA,NA,17.953,146200,5.151,-0.238
NA,NA,NA,NA,17.072,3.619,NA,NA,NA,17.973,146350,4.543,0.358
NA,NA,NA,NA,17.092,3.614,NA,NA,NA,17.992,146500,3.928,0.453
NA,NA,NA,NA,17.112,3.626,NA,NA,NA,18.012,146660,4.202,0.358
NA,NA,NA,NA,17.132,3.686,NA,NA,NA,18.032,146810,4.457,0.306
NA,NA,NA,NA,17.152,3.63,NA,NA,NA,18.052,146960,4.212,0.306
NA,NA,NA,NA,17.172,3.168,NA,NA,NA,18.073,147110,4.379,0.471
NA,NA,NA,NA,17.192,3.311,NA,NA,NA,18.093,147260,4.374,0.316
NA,NA,NA,NA,17.212,3.361,NA,NA,NA,18.113,147410,4.374,0.386
NA,NA,NA,NA,17.232,3.053,NA,NA,NA,18.133,147570,4.277,0.425
NA,NA,NA,NA,17.252,3.336,NA,NA,NA,18.152,147720,4.264,0.346
NA,NA,NA,NA,17.272,3.297,NA,NA,NA,18.172,147870,4.407,0.416
NA,NA,NA,NA,17.292,3.281,NA,NA,NA,18.192,148020,4.489,0.514
NA,NA,NA,NA,17.312,3.269,NA,NA,NA,18.212,148170,4.367,0.418
NA,NA,NA,NA,17.332,2.998,NA,NA,NA,18.233,148320,4.519,0.503
NA,NA,NA,NA,17.352,3.181,NA,NA,NA,18.253,148480,4.287,0.401
NA,NA,NA,NA,17.372,3.127,NA,NA,NA,18.273,148630,4.468,0.451
NA,NA,NA,NA,17.392,3.132,NA,NA,NA,18.293,148780,4.387,0.352
NA,NA,NA,NA,17.412,2.873,NA,NA,NA,18.312,148930,4.395,0.384
NA,NA,NA,NA,17.432,3.373,NA,NA,NA,18.332,149080,4.372,0.428
NA,NA,NA,NA,17.452,3.324,NA,NA,NA,18.352,149230,4.238,0.46
NA,NA,NA,NA,17.472,3.234,NA,NA,NA,18.372,149390,4.395,0.417
NA,NA,NA,NA,17.512,3.217,NA,NA,NA,18.392,149540,4.495,0.367
NA,NA,NA,NA,17.532,3.22,NA,NA,NA,18.413,149690,4.535,0.175
NA,NA,NA,NA,17.552,2.98,NA,NA,NA,18.433,149840,4.483,0.165
NA,NA,NA,NA,17.572,3.265,NA,NA,NA,18.453,149990,4.579,0.366
NA,NA,NA,NA,17.592,2.928,NA,NA,NA,18.473,150140,4.302,0.258
NA,NA,NA,NA,17.612,3.197,NA,NA,NA,18.492,150290,4.386,0.456
NA,NA,NA,NA,17.632,3.393,NA,NA,NA,18.512,150450,4.391,0.447
NA,NA,NA,NA,17.652,3.287,NA,NA,NA,18.532,150600,4.605,0.302
NA,NA,NA,NA,17.672,3.278,NA,NA,NA,18.573,150900,4.575,0.322
NA,NA,NA,NA,17.692,3.238,NA,NA,NA,18.593,151050,4.376,0.12
NA,NA,NA,NA,17.712,3.154,NA,NA,NA,18.613,151200,5.011,-0.138
NA,NA,NA,NA,17.732,3.328,NA,NA,NA,18.633,151360,4.511,0.003
NA,NA,NA,NA,17.752,3.174,NA,NA,NA,18.652,151510,4.828,0.232
NA,NA,NA,NA,17.772,3.078,NA,NA,NA,18.672,151660,4.671,0.011
NA,NA,NA,NA,17.792,3.257,NA,NA,NA,18.692,151810,4.442,0.246
NA,NA,NA,NA,17.812,3.309,NA,NA,NA,18.712,151960,4.63,-0.031
NA,NA,NA,NA,17.832,3.314,NA,NA,NA,18.733,152110,4.278,-0.139
NA,NA,NA,NA,17.852,3.295,NA,NA,NA,18.753,152270,4.265,0.355
NA,NA,NA,NA,17.872,3.303,NA,NA,NA,18.773,152420,4.505,-0.076
NA,NA,NA,NA,17.892,3.298,NA,NA,NA,18.793,152570,4.497,0.052
NA,NA,NA,NA,17.912,3.151,NA,NA,NA,18.812,152720,4.476,0.203
NA,NA,NA,NA,17.932,2.831,NA,NA,NA,18.832,152870,4.846,-0.128
NA,NA,NA,NA,17.952,3.158,NA,NA,NA,18.852,153020,4.567,0.017
