depth (cm),year (AD),age (BP),clay0x25strd (percent),susc (missing),LOI (missing),LOI (missing),gs500x25 (percent),gs0x2E020x2D30x2E89um (percent),gs30x2E900x2D70x2E79um (percent),gs70x2E800x2D150x2E59um (percent),gs150x2E60um0x2D300x2E99um (percent),gs310x2E000x2D620x2E49um (percent),gs620x2E500x2D1240x2E99um (percent),gs1250x2E000x2D2490x2E99um (percent),gs2500x2E000x2D4990x2E99um (percent),grainSize5000x2E00um0x2D10000x2E00um (percent),gs10000x2E010x2D20000x2E00um (percent),mode (missing),clay0x25 (percent),silt0x25 (percent),sand0x25 (percent),ostracods (missing),C0x2FN (missing)
374.5,-4848.5,6798.5,-0.34,5.4,6.48,4.6,19.55,29.69,10.66,7.78,4.94,6.73,9.52,10.66,14.3,5.66,0,369.94,29.69,30.11,40.13,NA,NA
375.5,-4862.3,6812.3,NA,4.6,6.75,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376.5,-4876.2,6826.2,-0.41,4.5,7.19,4.67,23.11,28.47,10.54,7.63,5.53,5.71,8.48,15.43,15.04,3.1,0,250.73,28.47,29.41,42.05,1,NA
377.5,-4890,6840,NA,4.7,7.22,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378.5,-4903.8,6853.8,-0.47,4.6,6.98,4.53,30.32,27.5,10.39,7.45,4.74,5.99,7.87,13.9,16.25,5.8,0.03,285.9,27.5,28.58,43.85,NA,NA
379.5,-4917.6,6867.6,NA,4.8,7,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380.5,-4931.4,6881.4,-0.82,5.4,6.15,4.2,66.86,21.44,8.89,7.23,5.08,6.4,12.25,17.05,16.05,5.49,0.06,241.26,21.44,27.6,50.89,NA,NA
381.5,-4944.8,6894.8,NA,4.7,6.49,5.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382.5,-4958.5,6908.5,-0.55,4.5,6.39,5.98,39.52,26.05,9.98,7.33,4.85,6.05,10.88,16.29,14.68,3.83,0,228.64,26.05,28.2,45.68,NA,NA
383.5,-4972.1,6922.1,NA,4.9,6.34,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384.5,-4985.6,6935.6,-0.23,4.8,6.71,4.82,12.37,31.73,11.89,8.81,5.78,7.02,8.34,9.59,11.87,4.88,0.02,2.83,31.73,33.51,34.69,NA,6.19
385.5,-4998.8,6948.8,NA,4.2,7.42,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386.5,-5012,6962,0.06,4.4,7.09,5.37,7.6,36.69,13.68,9.55,5.81,6.18,6.88,9.82,9.37,1.93,0,2.85,36.69,35.22,28,2,NA
387.5,-5025.2,6975.2,NA,4.6,6.71,5.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388.5,-5038.3,6988.3,-0.34,4.8,6.81,5.95,16.4,29.68,11.65,8.14,5.48,6.06,8.71,16.15,12.55,1.5,0,217.81,29.68,31.33,38.91,NA,NA
389.5,-5051.9,7001.9,NA,4.9,6.59,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390.5,-5066.8,7016.8,-0.59,4.9,6.44,4.3,37.1,25.3,10.39,7.77,5.11,6.32,8.17,13.57,16.01,6.46,0.82,286.75,25.3,29.59,45.03,NA,NA
391.5,-5083.2,7033.2,NA,4.4,7.26,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392.5,-5099.5,7049.5,-0.2,4.3,6.68,5.84,10.37,32.1,13.59,10.4,7.32,7.15,6.62,8.92,11.18,2.64,0,3.15,32.1,38.45,29.36,NA,NA
393.5,-5116.1,7066.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394.5,-5132.3,7082.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395.5,-5150.6,7100.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396.5,-5170.9,7120.9,NA,5.3,6.32,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
397.5,-5191,7141,NA,5.2,6.06,6.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398.5,-5211.2,7161.2,-0.39,5.3,6.86,5.74,15.19,28.92,12.27,9.01,5.81,5.64,8.59,13.87,13.32,2.49,0,252.94,28.92,32.73,38.27,NA,8.66
399.5,-5231.3,7181.3,NA,5.6,6.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400.5,-5251.3,7201.3,-0.15,4.9,6.73,5.56,10.62,33.05,12.58,8.35,5.25,8.48,10.99,10.3,9.09,1.82,0,2.8,33.05,34.67,32.2,NA,6.07
401.5,-5271.5,7221.5,NA,5.5,6.44,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402.5,-5291.5,7241.5,-0.94,5.7,5.67,4.84,133.49,19.21,7.17,5.28,4.17,5.23,7.69,21.02,25.41,4.77,0,280.76,19.21,21.86,58.89,NA,6.67
403.5,-5311.5,7261.5,NA,5.3,6.71,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.5,-5331.3,7281.3,-0.1,4.7,7.27,5.79,10.66,33.88,11.88,8.2,5.44,6.95,8.3,8.41,13.38,3.49,0,377.06,33.88,32.46,33.58,NA,5.32
405.5,-5351.6,7301.6,NA,5,7.46,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406.5,-5371.5,7321.5,-1.2,5.3,7.61,4.12,157.23,14.76,5.89,4.79,4,5.04,9.47,23.71,26,6.3,0,269.01,14.76,19.73,65.47,2,6.3
407.5,-5391.3,7341.3,NA,4.9,7.83,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408.5,-5410.9,7360.9,0.08,4.2,8.47,6.16,7.37,37.12,13.76,9,5.73,6.25,7.33,6.98,8.55,5.15,0.05,2.87,37.12,34.73,28.05,NA,7.07
409.5,-5430.7,7380.7,NA,3.7,8.7,6.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410.5,-5450.5,7400.5,0.43,3.7,8.93,6.25,5.02,43.2,17.29,12.48,8.88,8.49,4.75,2.13,2.11,0.55,0,3.04,43.2,47.14,9.54,NA,5.79
411.5,-5470.7,7420.7,NA,4.2,8.3,7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412.5,-5490.9,7440.9,-0.49,5,9.15,5.02,41.07,27.1,9.54,6.79,4.61,5.09,6.3,11.12,17.4,11.24,0.74,409.04,27.1,26.03,46.8,NA,1.44
413.5,-5510.8,7460.8,NA,5,9.14,5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414.5,-5530.8,7480.8,0.31,4.6,8.5,5.79,5.88,40.97,14.26,9.95,6.7,7.01,7.81,7.11,3.97,1.62,0.52,2.66,40.97,37.92,21.02,NA,NA
415.5,-5551,7501,NA,4,8.39,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416.5,-5571.2,7521.2,0.45,3.3,9.16,5.2,5.11,43.46,15.15,10.5,7.83,8.74,7.64,2.79,2.54,1.26,0,2.71,43.46,42.21,14.23,2,NA
417.5,-5591.1,7541.1,NA,3.2,9.52,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418.5,-5611.1,7561.1,0.5,3.2,9.6,5.45,4.81,44.34,16.98,12.18,8.88,8.64,5.21,1.63,1.55,0.48,0,2.88,44.34,46.68,8.87,NA,4.73
419.5,-5631.4,7581.4,NA,3.1,10.36,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420.5,-5651.5,7601.5,0.47,3,9.01,5.29,4.95,43.81,16.23,11.06,7.18,7.16,6.28,4.44,3.05,0.67,0.01,2.85,43.81,41.63,14.45,NA,4.15
421.5,-5672.1,7622.1,NA,3,9.34,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422.5,-5692.9,7642.9,0.53,2.9,8.68,5.12,4.71,44.81,17.11,11.73,7.6,7.57,5.91,2.43,2,0.74,0,2.92,44.81,44,11.08,NA,NA
423.5,-5713.3,7663.3,NA,2.9,9,7.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424.5,-5733.7,7683.7,0.68,3,8.9,6.47,4.25,47.43,17.58,10.85,6.99,6.7,4.79,1.61,2.8,1.14,0,2.91,47.43,42.12,10.34,NA,3.98
425.5,-5753.3,7703.3,NA,3.2,9.4,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426.5,-5772.5,7722.5,NA,NA,7.43,6.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.51
427.5,-5791.8,7741.8,NA,NA,6.21,6.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
428.5,-5811.1,7761.1,NA,NA,6.15,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.04
429.5,-5830.5,7780.5,-0.53,3.5,6.29,9.54,40.67,26.48,9.99,6.98,4.79,4.36,5.39,15.66,20.48,5.81,0,292.64,26.48,26.12,47.34,NA,NA
430.5,-5850.2,7800.2,0.34,3.6,6.25,7.89,5.42,41.55,16.86,13.17,8.79,7.06,5.55,5.27,1.63,0,0,2.94,41.55,45.89,12.45,NA,NA
431.5,-5870.7,7820.7,NA,3.1,7.45,8.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432.5,-5891,7841,-0.59,2.7,8.09,9.2,88.54,25.35,8.49,5.62,3.87,3.77,7.63,19.1,22.2,3.93,0,284.97,25.35,21.74,52.85,NA,4.27
433.5,-5911.4,7861.4,NA,2.8,7.97,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434.5,-5931.6,7881.6,0.71,2.6,7.56,9.25,4.17,47.94,18.21,11.52,6.67,5.96,3.99,2.36,2.61,0.63,0,2.91,47.94,42.36,9.58,NA,4.05
435.5,-5952,7902,NA,2.8,6.67,12.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436.5,-5971.8,7921.8,0.65,2.6,6.94,9.47,4.32,47.04,17.6,11.21,6.27,6.37,5.16,3.61,2.18,0.45,0,2.9,47.04,41.45,11.4,NA,4.21
437.5,-5992.4,7942.4,NA,2.8,6.94,9.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438.5,-6012.6,7962.6,0.59,2.5,8.51,12.89,4.53,45.86,16.64,10.8,7.58,5.77,3.96,3.46,4.53,1.3,0,2.83,45.86,40.78,13.25,NA,4.22
439.5,-6032.8,7982.8,NA,2.4,6.62,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
440.5,-6052.8,8002.8,0.87,2.3,7.95,6.02,3.77,50.83,15.69,9.04,4.72,5.21,6.5,5.42,2.39,0.1,0,2.58,50.83,34.65,14.41,NA,3.83
441.5,-6072.7,8022.7,NA,2.2,8.29,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442.5,-6092.8,8042.8,1.31,2.4,9.29,8.12,3.02,58.51,17.81,9.23,4.28,4.09,3.47,1.82,0.68,0,0,2.57,58.51,35.4,5.97,NA,3.53
443.5,-6112.8,8062.8,NA,2.2,7.26,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444.5,-6132.7,8082.7,1.04,2.6,8.47,7.7,3.44,53.78,16.98,9.14,4.39,4.98,5.61,3.47,1.49,0.06,0,2.64,53.78,35.49,10.62,NA,3.46
445.5,-6152.8,8102.8,NA,2.4,9.15,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446.5,-6173.9,8123.9,1.29,2.2,8.77,5.98,3.05,58.12,18.21,9.75,4.53,4.29,3.4,1.32,0.27,0,0,2.61,58.12,36.78,4.98,NA,3.56
447.5,-6194.4,8144.4,NA,2.3,8.29,8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448.5,-6215.2,8165.2,1.19,2.5,7.69,7.77,3.17,56.4,17.43,9.76,4.83,4.83,4.5,1.82,0.34,0,0,2.59,56.4,36.84,6.65,NA,4.07
449.5,-6236.2,8186.2,NA,2.2,8.19,5.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
450.5,-6256.1,8206.1,1.17,2,8.51,6.45,3.18,56.11,16.79,9.47,4.58,4.57,4.19,2.77,1.39,0.01,0,2.51,56.11,35.42,8.37,NA,NA
451.5,-6276,8226,NA,2.1,7.55,10.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452.5,-6295.5,8245.5,1.34,2.2,8.22,7.78,2.95,58.93,17.37,9.66,4.57,4.61,3.48,1.02,0.25,0,0,2.49,58.93,36.21,4.75,NA,4.35
453.5,-6315.1,8265.1,NA,2.5,8.6,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454.5,-6334.7,8284.7,1.11,2.3,8.76,5.86,3.29,54.94,15.95,8.71,4.38,4.82,5.99,3.76,1.34,0.01,0,2.47,54.94,33.85,11.11,NA,4.52
455.5,-6354.6,8304.6,NA,2.3,8.16,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456.5,-6374.6,8324.6,1.04,2.3,8.06,7.33,3.41,53.81,16.09,8.94,4.37,4.94,5.92,3.93,1.88,0.02,0,2.52,53.81,34.34,11.74,NA,NA
457.5,-6394.4,8344.4,NA,2.2,6.78,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
458.5,-6414.5,8364.5,1.22,2.4,7.75,8,3.11,56.9,17.11,9.89,4.71,4.33,3.87,2.36,0.72,0,0,2.51,56.9,36.04,6.95,NA,NA
459.5,-6434.1,8384.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460.5,-6454.1,8404.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461.5,-6474.2,8424.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462.5,-6494,8444,NA,2.4,8.18,7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
463.5,-6513.9,8463.9,0.91,2.2,9.42,8.23,3.71,51.51,17.97,10.17,5.19,4.46,3.69,3.17,3.36,0.37,0,2.75,51.51,37.79,10.59,NA,NA
464.5,-6533.9,8483.9,0.7,2.2,8.18,8.58,4.2,47.84,16.9,9.45,4.75,5.17,5.39,4.13,4.12,1.96,0.19,2.78,47.84,36.27,15.78,NA,4.47
465.5,-6554.4,8504.4,NA,2.3,8.21,6.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466.5,-6574.5,8524.5,1.21,2,8.28,7.24,3.14,56.67,17.55,9.67,4.3,3.35,3.21,3.52,1.62,0,0,2.65,56.67,34.87,8.35,NA,5.17
467.5,-6594.7,8544.7,NA,2.2,8.54,8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468.5,-6615.3,8565.3,1.57,2.2,9.93,6.45,2.63,62.96,17.31,9.31,4.19,2.93,1.98,1.02,0.2,0,0,2.4,62.96,33.74,3.2,NA,4.85
469.5,-6635.5,8585.5,NA,2.1,8.03,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
470.5,-6656.6,8606.6,1.44,2.2,7.91,7.7,2.81,60.74,17.78,9.6,4.24,3.23,2.41,1.55,0.33,0,0,2.51,60.74,34.85,4.29,NA,4.26
471.5,-6677.9,8627.9,NA,2.3,8.93,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472.5,-6699.6,8649.6,0.33,2.5,9.35,8.18,4.74,41.45,29.84,19.75,6.63,1.66,0.49,0.02,0,0,0,5.13,41.45,57.87,0.51,NA,NA
473.5,-6721.3,8671.3,NA,2.4,8.33,9.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474.5,-6742.8,8692.8,1.55,2.1,8.92,7.24,2.96,62.65,24.02,9.26,1.92,0.87,0.56,0.43,0.15,0,0,3.03,62.65,36.07,1.13,NA,4.17
475.5,-6764.3,8714.3,NA,2.1,8.98,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476.5,-6785.8,8735.8,1.19,1.9,8.62,6.53,3.36,56.45,26.06,12.17,2.63,0.91,0.6,0.66,0.37,0,0,3.51,56.45,41.77,1.63,NA,4.2
477.5,-6807.6,8757.6,NA,1.9,8.11,7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
478.5,-6829.2,8779.2,1.63,1.8,9.09,8.85,2.61,64.06,17.88,9.12,4,2.23,1.43,0.98,0.19,0,0,2.44,64.06,33.23,2.6,NA,3.85
479.5,-6850.7,8800.7,NA,1.8,9.03,6.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480.5,-6872.5,8822.5,1.41,1.6,9.74,5.9,2.95,60.3,21.13,10.76,3.25,2.04,1.35,0.71,0.33,0,0,2.93,60.3,37.19,2.39,NA,NA
481.5,-6894.5,8844.5,NA,1.5,9.72,6.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482.5,-6915.7,8865.7,1.48,1.6,9.84,7.07,2.82,61.48,20.16,10.85,3.85,1.83,0.92,0.63,0.16,0,0,2.75,61.48,36.69,1.71,NA,3.89
483.5,-6937.8,8887.8,NA,2.2,8.7,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484.5,-6959.3,8909.3,1.21,2.2,9.83,5.25,3.2,56.73,20.78,12.31,5.07,2.29,1.2,0.99,0.52,0,0,3.04,56.73,40.44,2.71,NA,4.68
485.5,-6980.9,8930.9,NA,2,9.73,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486.5,-7002.3,8952.3,1.55,1.7,9.29,8.12,2.79,62.69,20.73,10.28,3.3,1.43,0.65,0.69,0.12,0,0,2.76,62.69,35.73,1.45,NA,4.18
487.5,-7023.8,8973.8,NA,1.7,9.48,6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
488.5,-7045.2,8995.2,1.71,1.5,8.5,8.91,2.52,65.49,18.59,9.44,3.2,1.54,0.86,0.71,0.06,0,0,2.45,65.49,32.77,1.63,NA,3.59
489.5,-7066.6,9016.6,NA,5.1,9.23,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490.5,-7087.7,9037.7,1.39,1.7,9.45,6.78,2.88,59.8,17.25,9.12,4.09,3.99,3.5,1.64,0.51,0,0,2.46,59.8,34.44,5.65,NA,3.63
491.5,-7109.8,9059.8,NA,1.1,10.11,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492.5,-7131.1,9081.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81
493.5,-7152.5,9102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494.5,-7173.2,9123.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495.5,-7194.6,9144.6,1.16,NA,NA,NA,3.2,55.84,16.15,8.91,3.76,4.01,3.97,3.89,3.37,0.02,0,2.4,55.84,32.83,11.24,NA,NA
496.5,-7216.4,9166.4,1.67,NA,NA,NA,2.58,64.7,18.24,8.44,2.48,1.82,2.28,1.81,0.12,0,0,2.47,64.7,30.98,4.2,NA,NA
497.5,-7238.4,9188.4,NA,1.9,7.69,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
498.5,-7260.2,9210.2,1.46,1.3,8.54,6.93,2.88,61.02,20.52,10.28,3.52,2.19,1.37,0.79,0.18,0,0,2.83,61.02,36.51,2.34,NA,NA
499.5,-7282.3,9232.3,NA,1.4,8.47,8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500.5,-7303.9,9253.9,1.46,1.3,8.57,8.12,2.93,61.14,21.8,10,2.56,1.7,1.49,0.99,0.2,0,0,2.97,61.14,36.06,2.67,NA,NA
501.5,-7325.6,9275.6,NA,1.3,8.93,9.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502.5,-7347,9297,1.16,1.4,8.59,9.76,3.45,55.8,29.68,12.21,1.44,0.44,0.27,0,0,0,0,3.93,55.8,43.76,0.27,NA,NA
503.5,-7368.6,9318.6,NA,1.3,8.29,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504.5,-7389.9,9339.9,1.29,1.4,8.11,12.29,3.11,58.15,22.18,12.81,4.03,1.81,0.88,0,0,0,0,3.04,58.15,40.84,0.88,NA,3.81
505.5,-7411.4,9361.4,NA,1.5,7.69,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506.5,-7433.1,9383.1,1.5,1.3,9.29,9.74,2.93,61.74,23.11,10.38,2.45,0.99,0.59,0.49,0.12,0,0,3.05,61.74,36.93,1.2,NA,6.12
507.5,-7455,9405,NA,1.2,8,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
508.5,-7476.6,9426.6,1.44,1.2,8.4,10.41,2.96,60.68,22.3,10.98,3.04,1.48,0.8,0.45,0.13,0,0,2.98,60.68,37.8,1.38,NA,4.04
509.5,-7498.5,9448.5,NA,1.3,8.28,10.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510.5,-7520.3,9470.3,1.69,1.2,8.06,7.33,2.62,65.12,20.13,9.49,2.67,1.55,0.91,0.02,0,0,0,2.58,65.12,33.83,0.92,NA,4.45
511.5,-7541.4,9491.4,NA,1.1,7.87,8.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512.5,-7563.1,9513.1,1.89,1.3,7.81,8.88,2.38,68.64,18.42,7.96,2.25,1.21,0.87,0.51,0.03,0,0,2.37,68.64,29.84,1.41,NA,4.69
513.5,-7584.6,9534.6,NA,1.1,7.63,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514.5,-7606.3,9556.3,2.14,1.1,7.69,8.74,2.14,72.99,16.62,6.5,1.67,0.82,0.77,0.52,0,0,0,2.19,72.99,25.62,1.28,NA,4.17
515.5,-7627.7,9577.7,NA,1,8.33,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516.5,-7649.5,9599.5,2.28,0.7,8.39,7.95,2.04,75.4,15.78,5.42,1.26,0.97,0.81,0.26,0,0,0,2.14,75.4,23.43,1.07,NA,NA
517.5,-7671.2,9621.2,NA,1.1,8.06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
518.5,-7693.2,9643.2,2.18,1,8.45,8,2.14,73.69,17.07,6.31,1.34,0.74,0.59,0.15,0,0,0,2.25,73.69,25.46,0.74,NA,NA
519.5,-7714.6,9664.6,NA,1,8.21,8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520.5,-7736.4,9686.4,1.78,1.2,8,7.27,2.46,66.66,17.17,7.86,3.96,2.96,1.08,0.19,0.02,0,0,2.31,66.66,31.95,1.29,NA,NA
521.5,-7758.1,9708.1,NA,1.1,7.5,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522.5,-7780.1,9730.1,1.83,0.9,8.4,9.55,2.41,67.47,17.55,8.02,3.23,2.01,0.86,0.69,0.06,0,0,2.35,67.47,30.81,1.61,NA,NA
523.5,-7801.7,9751.7,1.74,1,8.16,12.37,2.41,65.93,15.45,7.86,4.65,3.3,1.57,0.97,0.17,0,0,2.18,65.93,31.27,2.7,NA,NA
524.5,-7823.3,9773.3,NA,0.9,9.02,11.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525.5,-7845.1,9795.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526.5,-7866.6,9816.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54
527.5,-7887.9,9837.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
528.5,-7909.4,9859.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
529.5,-7930.7,9880.7,1.94,1,8.21,11.87,2.35,69.43,17.93,7.18,1.97,1.49,1.13,0.74,0.03,0,0,2.37,69.43,28.56,1.9,NA,NA
530.5,-7952.5,9902.5,1.57,0.9,9.16,10.41,2.74,63.09,19.5,9.07,3.39,2.4,1.32,0.88,0.23,0,0,2.64,63.09,34.36,2.43,NA,4.32
531.5,-7972.9,9922.9,NA,0.8,8.48,15.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
