year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],temperature (degC) [1-1],CoreSect1H (missing) [1-1],Top (missing) [1-1],Bot (missing) [1-1],sumUK37 (missing) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],CaCO3MAR (g/cm2/yr) [2-1],core (missing) [2-1],section (missing) [2-1],top (missing) [2-1],bot (missing) [2-1],sedRate (missing) [2-1],Corg (missing) [2-1],CaCO3 (missing) [2-1],WetBD (missing) [2-1],EstDryBD (missing) [2-1],bulkMAR (missing) [2-1],CordMAR (missing) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],BSi (percent) [3-1],year (AD) [4-1],age (BP) [4-1],depth (cm) [4-1],Thalassionema_nitzschioides (percent) [4-1],core_section (missing) [4-1],range (missing) [4-1],Actinocyclus_curvatulus (percent) [4-1],Azpeitia_nodulifer (percent) [4-1],A_tabularis (percent) [4-1],Coscinodiscus_radiatus (percent) [4-1],Delphineis (percent) [4-1],Hemidiscus_cuneiformis (percent) [4-1],Neodenticula_seminae (percent) [4-1],Nitzschia_interruptestriata (percent) [4-1],N_sicula (percent) [4-1],Pseudoeunotia_doliolus (percent) [4-1],Rhizosolenia (percent) [4-1],Roperia_tesselata (percent) [4-1],Stephanopyxis (percent) [4-1],Thalassiosira_excentrica (percent) [4-1],T_oestrupii (percent) [4-1],T_pacifica (percent) [4-1],T_spp (percent) [4-1],Thalassiothrix_longissima (percent) [4-1],Other_planktic (percent) [4-1],Actinoptychus (percent) [4-1],Paralia_sucata (percent) [4-1],Minidiscus? (percent) [4-1],Benthic (percent) [4-1],Freshwater_planktic (percent) [4-1],Reworked (percent) [4-1],total_non_Chaetoceros_counted (missing) [4-1],Chaetoceros_spores (missing) [4-1],Diatoms_per_traverse (missing) [4-1],year (AD) [5-1],age (BP) [5-1],depth (cm) [5-1],Sequoia (percent) [5-1],core_section (missing) [5-1],interval (cm) [5-1],Abies (percent) [5-1],Alnus (percent) [5-1],Artemisia (percent) [5-1],Chenopodiacaeae (percent) [5-1],Compositae (percent) [5-1],Cyperaceae (percent) [5-1],Gramineae (percent) [5-1],Picea (percent) [5-1],Pinus (percent) [5-1],Pseudtsuga (percent) [5-1],Quercus (percent) [5-1],RRA (missing) [5-1],Tsuga_heterophylla (missing) [5-1],T_mertensianna (missing) [5-1],TCT (missing) [5-1],Total_grains_counted (missing) [5-1],pollen_grains/gram (missing) [5-1]
-8770,10720,4.81,11.5,4,31,32,2.23,-8090,10040,4.27,3.152,1H,3,126,127,0.8,1.56,3.98,1.64,0.99,79.18,1.235,-7440,9390,3.93,2.9,-9930,11880,5.55,48.9,1H-4,-1,5.4,NA,1.1,5.4,2.7,NA,1.6,2.7,NA,0.5,2.2,NA,NA,5.4,1.1,NA,5.4,1.1,1.1,NA,3.3,NA,8.7,2.2,1.1,92,73,38,-14140,16090,8.16,1,E2H-3,-2,NA,6,27,1,8,1,2,6,21,NA,11,1,NA,NA,15,100,2
-8820,10770,4.85,11,4,35,36,2.33,-8150,10100,4.31,3.506,1H,3,129,133,0.8,1.49,4.36,1.65,1.01,80.42,1.198,-7520,9470,3.97,2.8,-10010,11960,5.6,43.6,1H-4,-1,NA,NA,NA,3.6,1.8,NA,1.8,NA,NA,NA,3.6,NA,2.4,13.3,1.2,2.4,7.3,3,NA,1.2,NA,1.2,6.1,6.1,1.2,83,76,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8880,10830,4.9,10.8,4,40,41,2.6,-8210,10160,4.37,3.2,1H,3,136,137,0.8,1.56,3.86,1.67,1.04,82.89,1.293,-7610,9560,4.01,3.32,-10260,12210,5.76,32.8,1H-4,-1,1.6,NA,1.6,1.6,10.7,NA,NA,NA,1.6,0.8,NA,NA,1.6,11.5,NA,3.3,13.1,NA,1.6,NA,NA,8.2,3.3,6.6,NA,61,81,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9040,10990,5,10.3,4,50,51,2.42,-8260,10210,4.41,2.512,1H,3,140,141,0.8,1.57,3.03,1.67,1.04,82.89,1.301,-7690,9640,4.05,3.03,-11060,13010,6.25,52.2,1H-5,-1,3.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,5.2,15.7,6.1,NA,NA,NA,1.7,5.2,NA,NA,58,85,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9120,11070,5.05,11.2,4,55,56,2.17,-8390,10340,4.51,3.895,1H,4,0,1,0.8,1.59,4.63,1.68,1.05,84.13,1.338,-7780,9730,4.09,3.28,-11140,13090,6.3,26.6,1H-5,-1,1.6,NA,1.6,1.6,0.8,NA,3.9,1.6,1.6,NA,3.1,NA,3.1,9.4,NA,7.8,20.3,3.1,1.6,NA,NA,7.8,3.1,1.6,NA,64,84,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9200,11150,5.1,13.1,4,60,61,1.5,-8450,10400,4.56,3.281,1H,4,5,6,0.8,1.57,3.9,1.68,1.05,84.13,1.321,-7860,9810,4.13,3.27,-11220,13170,6.35,24.7,1H-5,-1,NA,NA,2.1,NA,9.3,NA,NA,3.1,NA,1,NA,NA,NA,4.1,NA,18.6,22.7,4.1,NA,NA,NA,8.2,2.1,NA,NA,49,90,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9360,11310,5.2,13.1,4,76,77,1.46,-8550,10500,4.63,2.901,1H,4,11,15,0.8,1.49,3.5,1.67,1.04,82.89,1.235,-7950,9900,4.17,3.11,-11380,13330,6.45,32.1,1H-5,-1,1.2,NA,1.2,1.2,17.3,NA,NA,2.5,NA,NA,NA,NA,4.9,4.9,NA,3.7,11.1,2.5,2.5,1.2,1.2,3.7,2.5,6.2,NA,81,74,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9360,11310,5.2,11.9,4,70,71,1.65,-8580,10530,4.66,2.899,1H,4,15,16,0.8,1.48,3.55,1.66,1.02,81.66,1.209,-8020,9970,4.21,3.21,-11460,13410,6.5,46.1,1H-5,-1,NA,NA,1.1,1.1,6.1,NA,1.1,0.6,0.6,NA,2.2,NA,2.2,6.7,NA,11.1,11.1,2.2,2.2,1.1,NA,3.3,NA,1.1,NA,90,76,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9460,11410,5.26,11.7,4,81,82,1.44,-8640,10590,4.71,3.378,1H,4,20,21,0.8,1.58,4.2,1.65,1.01,80.42,1.271,-8070,10020,4.25,2.96,-11540,13490,6.55,38.4,1H-5,-1,NA,NA,1.2,NA,9.3,NA,1.7,4.7,NA,NA,NA,NA,1.2,5.8,5.8,4.7,11.6,2.9,3.5,NA,NA,1.2,2.3,4.7,1.2,86,76,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9540,11490,5.31,11.1,4,86,87,2.4,-8710,10660,4.77,3.43,1H,4,26,27,0.8,1.55,4.2,1.66,1.02,81.66,1.266,-8120,10070,4.29,3.24,-11620,13570,6.6,38.1,1H-5,-1,1.9,NA,3.8,1.9,11.4,NA,NA,6.7,NA,NA,1.9,NA,3.8,5.7,5.7,NA,5.7,5.7,1.9,NA,NA,1.9,NA,3.8,NA,53,86,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9620,11570,5.36,9.5,4,96,97,1.35,-8780,10730,4.82,2.776,1H,4,31,32,0.8,1.48,3.4,1.66,1.02,81.66,1.209,-8170,10120,4.33,2.94,-11780,13730,6.7,35.5,1H-5,-1,NA,NA,4.3,4.3,3.6,NA,2.2,2.9,NA,0.7,NA,NA,7.2,4.3,NA,1.4,7.2,5.8,4.3,2.9,4.3,NA,5.8,2.9,NA,69,81,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9620,11570,5.36,9.6,4,96,97,1.35,-8830,10780,4.86,3.732,1H,4,35,36,0.8,1.59,4.57,1.66,1.02,81.66,1.298,-8220,10170,4.37,2.96,-11860,13810,6.75,34.3,1H-5,-1,3,NA,3,9,4.5,NA,NA,1.5,NA,NA,1.5,NA,6,14.9,4.5,6,4.5,1.5,1.5,NA,1.5,1.5,NA,1.5,NA,67,80,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9780,11730,5.46,8.4,4,100,101,1.5,-8890,10840,4.91,3.905,1H,4,40,41,0.74,1.66,5.17,1.66,1.02,75.53,1.254,-8250,10200,4.39,3.38,-11940,13890,6.8,32.3,1H-5,-1,NA,NA,NA,2.1,6.3,NA,1,1,NA,NA,2.1,NA,NA,4.2,4.2,14.6,12.5,3.1,6.3,NA,NA,6.3,4.2,NA,NA,48,87,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9850,11800,5.5,8,4,105.5,106.5,1.63,-8920,10870,4.93,4.414,1H,4,40,45,0.68,1.63,6.36,1.66,1.02,69.41,1.131,-8450,10400,4.55,3.4,-12020,13970,6.85,31.9,1H-5,-1,NA,NA,1.3,6.3,1.3,NA,NA,NA,0.6,NA,1.3,NA,NA,8.8,NA,17.5,12.5,2.5,1.3,NA,NA,8.8,6.3,NA,NA,80,82,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10010,11960,5.6,8,4,110,111,1.61,-9050,11000,5.01,2.36,1H,4,50,51,0.62,1.51,3.73,1.66,1.02,63.28,0.956,-8500,10450,4.59,3.18,-12180,14130,6.95,36.8,1H-5,-1,NA,NA,NA,NA,5.3,NA,NA,12.6,NA,NA,2.1,NA,4.2,6.3,NA,4.2,16.8,1.1,NA,2.1,NA,2.1,4.2,2.1,NA,48,86,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10180,12130,5.71,7.7,4,121,122,1.78,-9130,11080,5.06,2.5,1H,4,56,57,0.62,1.59,3.95,1.66,1.02,63.28,1.006,-8550,10500,4.63,3.19,-12260,14210,7,52.6,1H-5,-1,1.5,NA,NA,1.5,8.9,NA,NA,1.5,NA,NA,NA,NA,NA,13.3,3,4.4,4.4,3,NA,1.5,NA,3,1.5,NA,NA,68,79,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10260,12210,5.76,7.6,4,126,127,1.8,-9210,11160,5.11,3.314,1H,4,60,61,0.62,1.57,5.4,1.64,0.99,61.37,0.963,-8600,10550,4.67,3.1,-12350,14300,7.05,46.2,1H-5,-1,NA,NA,3.8,NA,8.3,NA,2.6,2.6,NA,NA,2.6,NA,NA,9,1.3,3.8,7.7,1.9,NA,NA,NA,3.8,6.4,NA,NA,78,76,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10330,12280,5.8,7.5,4,130,131,1.8,-9310,11260,5.17,2.657,1H,4,65,69,0.62,1.7,4.47,1.62,0.96,59.45,1.011,-8650,10600,4.71,3.22,-12430,14380,7.1,46.7,1H-5,-1,NA,NA,4.4,NA,4.4,NA,NA,7.8,NA,NA,4.4,NA,NA,11.1,2.2,NA,4.4,3.3,2.2,NA,NA,2.2,6.7,NA,NA,45,88,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10410,12360,5.85,7.6,4,135,136,1.89,-9370,11320,5.21,2.176,1H,4,70,71,0.62,1.62,3.66,1.62,0.96,59.45,0.963,-8700,10650,4.75,3.04,-12830,14780,7.35,38.4,1H-5,-1,2,NA,2,2,2,NA,2,2,NA,NA,NA,NA,NA,20.2,2,8.1,6.1,1,NA,NA,NA,NA,10.1,2,NA,50,74,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10570,12520,5.95,7.6,4,145.5,146.5,1.81,-9470,11420,5.27,3.196,1H,4,76,77,0.62,1.49,5.29,1.63,0.97,60.41,0.9,-8750,10700,4.79,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10570,12520,5.95,7.5,4,145.5,146.5,1.84,-9550,11500,5.32,3.001,1H,4,81,82,0.62,1.54,4.89,1.64,0.99,61.37,0.945,-8800,10750,4.83,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10650,12600,6,7.3,5,0,1,1.9,-9630,11580,5.37,1.411,1H,4,86,87,0.62,1.5,2.23,1.66,1.02,63.28,0.949,-8850,10800,4.87,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10730,12680,6.05,7.4,5,5,6,1.85,-9720,11670,5.42,1.989,1H,4,90,94,0.62,1.26,3.05,1.68,1.05,65.2,0.822,-8900,10850,4.91,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10890,12840,6.15,8.1,5,15,16,2.03,-9790,11740,5.47,1.886,1H,4,96,97,0.62,1.3,2.77,1.71,1.1,68.07,0.885,-8960,10910,4.95,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10970,12920,6.2,8.5,5,20,21,1.99,-9850,11800,5.51,1.674,1H,4,100,101,0.62,1.22,2.36,1.74,1.14,70.95,0.866,-9020,10970,4.99,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11060,13010,6.25,9.4,5,25,26,1.99,-9950,11900,5.57,1.654,1H,4,106,106,0.62,1.22,2.3,1.75,1.16,71.9,0.877,-9090,11040,5.03,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11140,13090,6.3,10.8,5,30,31,1.7,-10010,11960,5.61,1.805,1H,4,110,111,0.62,1.21,2.51,1.75,1.16,71.9,0.87,-9150,11100,5.07,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11220,13170,6.35,10,5,35,36,1.97,-10130,12080,5.68,2.616,1H,4,115,120,0.62,1.23,3.59,1.76,1.18,72.86,0.896,-9220,11170,5.11,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11380,13330,6.45,10.3,5,45,46,0.41,-10190,12140,5.72,1.996,1H,4,121,122,0.62,1.21,2.74,1.76,1.18,72.86,0.882,-9280,11230,5.15,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11460,13410,6.5,10.3,5,50,51,1.74,-10270,12220,5.77,1.894,1H,4,126,127,0.62,1.19,2.6,1.76,1.18,72.86,0.867,-9350,11300,5.19,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11540,13490,6.55,10.4,5,55,56,1.48,-10340,12290,5.81,2.055,1H,4,130,131,0.62,1.19,2.82,1.76,1.18,72.86,0.867,-9410,11360,5.23,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11620,13570,6.6,12.9,5,60,61,1.38,-10420,12370,5.86,2.179,1H,4,135,136,0.62,1.2,3.03,1.75,1.16,71.9,0.863,-9470,11420,5.27,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11780,13730,6.7,10.4,5,70,71,2.19,-10520,12470,5.92,2.845,1H,4,140,146,0.62,1.16,4.01,1.74,1.14,70.95,0.823,-9540,11490,5.31,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11860,13810,6.75,10.7,5,75,76,1.86,-10600,12550,5.97,2.696,1H,4,146,146,0.62,1.14,3.8,1.74,1.14,70.95,0.809,-9600,11550,5.35,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11940,13890,6.8,9,5,80,81,2.39,-10660,12610,6.01,2.704,1H,5,0,1,0.62,1.24,3.76,1.75,1.16,71.9,0.892,-9670,11620,5.39,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12020,13970,6.85,10.3,5,85,86,2.74,-10740,12690,6.06,2.653,1H,5,5,6,0.62,1.2,3.69,1.75,1.16,71.9,0.863,-9730,11680,5.43,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12180,14130,6.95,9.7,5,95,96,3.27,-10830,12780,6.11,2.817,1H,5,9,13,0.62,1.17,3.97,1.74,1.14,70.95,0.83,-9800,11750,5.47,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12260,14210,7,9,5,100,101,2.46,-10900,12850,6.16,2.363,1H,5,15,16,0.62,1.26,3.33,1.74,1.14,70.95,0.894,-9860,11810,5.51,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12350,14300,7.05,9.3,5,105,106,2.08,-10980,12930,6.21,2.226,1H,5,20,21,0.62,1.27,3.18,1.73,1.13,69.99,0.889,-9930,11880,5.55,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12430,14380,7.1,11.1,5,110,111,1.66,-11060,13010,6.26,2.395,1H,5,25,26,0.62,1.3,3.62,1.69,1.07,66.16,0.86,-9990,11940,5.59,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12670,14620,7.25,12.1,5,125,126,3.75,-11140,13090,6.31,2.471,1H,5,30,31,0.62,1.39,3.79,1.68,1.05,65.2,0.906,-10060,12010,5.63,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12750,14700,7.3,10.8,5,130,131,1.99,-11220,13170,6.36,3.188,1H,5,35,36,0.62,1.26,4.75,1.7,1.08,67.12,0.846,-10120,12070,5.67,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12830,14780,7.35,8.5,5,135,136,2.3,-11340,13290,6.43,1.913,1H,5,40,45,0.62,0.94,2.32,1.86,1.33,82.44,0.775,-10180,12130,5.71,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12990,14940,7.45,11.3,5,145,146,3.21,-11390,13340,6.46,0.164,1H,5,45,46,0.62,0.69,0.19,1.9,1.39,86.27,0.595,-10250,12200,5.75,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,-11470,13420,6.51,5.534,1H,5,50,51,0.62,1.28,7.4,1.78,1.21,74.78,0.957,-10310,12260,5.79,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,-11550,13500,6.56,3.377,1H,5,55,56,0.62,1.44,5.18,1.68,1.05,65.2,0.939,-10380,12330,5.83,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,-11630,13580,6.61,3.69,1H,5,60,61,0.62,1.57,5.92,1.65,1.01,62.33,0.979,-10440,12390,5.87,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
