year (AD),age (BP),depth (m),temperature (degC),C370x3A4 (percent),C26OH0x2F0x28C26OH0x2BC290x29 (missing)
-311460,313410,23.16,16.95,0.1,73.21
-312510,314460,23.18,16.91,0.13,72.71
-312930,314880,23.2,17.13,0.09,70.29
-313380,315330,23.22,17.21,0.13,66.48
-313710,315660,23.24,17.38,0.12,69.68
-314230,316180,23.26,17.31,0.13,66.95
-314540,316490,23.28,17.31,0.17,65.84
-314770,316720,23.3,16.57,0.18,65.8
-315000,316950,23.32,16.89,0.04,65.57
-315260,317210,23.34,16.42,0.37,63.27
-315550,317500,23.36,17.01,0.07,67.8
-315800,317750,23.38,16.81,0.3,67.31
-316070,318020,23.4,16.44,0.51,63.75
-316340,318290,23.42,16.24,0.23,66.54
-316570,318520,23.44,17.29,0.3,66.28
-316810,318760,23.46,18.31,0.14,68.85
-317080,319030,23.48,18.1,0.09,65.55
-317570,319520,23.5,17.48,0.08,65.24
-317910,319860,23.52,18.09,0.08,73.75
-318270,320220,23.54,16.51,0.27,63.55
-318650,320600,23.56,15.77,0.47,64.58
-319160,321110,23.58,16.01,0.18,67.32
-319560,321510,23.6,16.61,0.18,71.75
-319830,321780,23.62,17.03,0.03,68.87
-320090,322040,23.64,17.39,0.05,66.93
-320320,322270,23.66,17.28,0.1,70.73
-320530,322480,23.68,17.58,0.03,67.29
-320900,322850,23.7,17.27,0.02,70.24
-321050,323000,23.72,17.26,0.1,70.42
-321210,323160,23.74,17.7,0.06,68.2
-321360,323310,23.76,17.71,0.07,67.2
-321550,323500,23.78,18.02,0.01,69.44
-321780,323730,23.8,17.98,0.08,67.39
-322050,324000,23.82,17.6,0.14,69.73
-322230,324180,23.84,17.81,0.02,68.98
-322390,324340,23.86,18.35,0.09,67.43
-322520,324470,23.88,18.19,0.03,68.05
-322850,324800,23.9,18.24,0.07,69.31
-323080,325030,23.92,18.36,0.04,69.2
-323350,325300,23.94,18.64,0.06,68.83
-323640,325590,23.96,18.74,0.01,67.48
-323990,325940,23.98,18.55,0.12,66.44
-324400,326350,24,19.25,0.01,65.72
-324850,326800,24.02,19.06,0.01,66.99
-325250,327200,24.04,19.13,0.02,68.7
-325640,327590,24.06,19,0.01,68.98
-326010,327960,24.08,19.4,0,62.62
-326410,328360,24.1,19.32,0,67.96
-326830,328780,24.12,18.96,0.09,68.37
-327280,329230,24.14,19.47,0.01,67.52
-327860,329810,24.16,19.43,0.05,69.51
-328170,330120,24.18,19.88,0.06,66.27
-328450,330400,24.2,19.74,0.05,67.52
-328680,330630,24.22,19.56,0.04,67.54
-328910,330860,24.24,19.57,0.11,66.65
-329180,331130,24.26,19.86,0.03,67.73
-329490,331440,24.28,19.59,0.12,68.57
-329740,331690,24.3,20.2,0.02,68.35
-329990,331940,24.32,19.79,0.1,69
-330220,332170,24.34,20.36,0.08,68.37
-330580,332530,24.36,20.09,0.01,66.77
-330810,332760,24.38,20.31,0.04,63.39
-331020,332970,24.4,20.53,0.09,61.6
-331210,333160,24.42,20.26,0.08,62.96
-331550,333500,24.44,20.06,0.01,63.77
-331990,333940,24.46,19.67,0.05,60.53
-332520,334470,24.48,19.88,0.01,64.65
-333010,334960,24.5,19.94,0.04,68.13
-333400,335350,24.52,19.83,0.05,64.53
-333700,335650,24.54,19.61,0.17,67.84
-334010,335960,24.56,19.78,0.07,58
-334310,336260,24.58,19.75,0.05,68.29
-334600,336550,24.6,19.5,0.33,68.1
-334830,336780,24.62,16.74,0.5,70.47
-335570,337520,24.64,14.73,1.07,68.66
-336180,338130,24.66,13.08,1.52,71.63
-337280,339230,24.68,12.77,1.77,66.73
-337520,339470,24.7,11.81,2.04,67.29
-339160,341110,24.72,8.61,4.24,66.35
-339330,341280,24.74,7.67,4.33,64.64
-339530,341480,24.76,8.87,3.4,68.97
-339740,341690,24.78,8,3.37,68.89
-340140,342090,24.8,7.05,4.63,67.38
-340410,342360,24.82,6.34,5.73,69.29
-340680,342630,24.84,10.15,2.19,70.9
-340960,342910,24.86,10.66,1.55,72.23
-341310,343260,24.88,11.2,1.55,71.42
-341630,343580,24.9,11.71,0.67,71.56
-341960,343910,24.92,11.4,0.69,71.65
-342350,344300,24.94,12.22,0.45,72.28
-342700,344650,24.96,11.11,0.81,72.18
-343060,345010,24.98,11.28,0.6,73.97
-344020,345970,25,11.31,0.9,70.57
-344350,346300,25.02,9.42,2.01,71.29
-344740,346690,25.04,10.67,1.18,71.08
-345110,347060,25.06,11.96,0.97,73.61
-345340,347290,25.08,10.8,1.46,74.13
-345640,347590,25.1,12.2,0.52,75.49
-345980,347930,25.12,13.33,0.3,74.69
-346640,348590,25.14,12.77,0.57,73.33
-346960,348910,25.16,12.22,1.5,68.84
-347070,349020,25.18,12.39,1.8,70.25
-347560,349510,25.2,12.05,1.32,73.18
-348040,349990,25.22,12.97,0.74,75.5
-348580,350530,25.24,13.74,0.31,74.13
-349160,351110,25.26,13.72,0.49,73.51
-350120,352070,25.28,13.98,0.32,70.01
-351460,353410,25.3,14.13,0.49,71.19
-352810,354760,25.32,10.52,3.72,68.47
-353800,355750,25.34,11.57,1.55,70.03
-355100,357050,25.36,12.48,0.88,73.01
-356590,358540,25.38,13.2,0.36,73.17
-357920,359870,25.4,13.61,0.36,74.7
-359000,360950,25.42,13.89,0.41,71.54
-359660,361610,25.44,12,1.54,70.3
-360820,362770,25.46,11.44,2.36,70.51
-361510,363460,25.48,12.24,2.01,71.08
-362170,364120,25.5,13.25,0.49,73.7
-362610,364560,25.52,13.58,0.33,74.86
-363700,365650,25.54,14.09,0.33,72.33
-364050,366000,25.56,13.74,0.33,69.72
-364400,366350,25.58,11.33,1.59,71.68
-365070,367020,25.6,13.59,0.68,73.62
-365750,367700,25.62,8.56,6.12,73.39
-366270,368220,25.64,14.27,0.29,74.55
-366660,368610,25.66,14.83,0.14,74.35
-367490,369440,25.68,14.77,0.06,76.23
-368210,370160,25.7,15.01,0.08,75.62
-368940,370890,25.72,15.2,0.05,76.15
-369380,371330,25.74,15.3,0.04,75.38
-370030,371980,25.76,15.63,0.08,76.47
-370260,372210,25.78,14.9,0.02,76.94
-370470,372420,25.8,15.28,0.08,73.14
-370690,372640,25.82,15.23,0.05,75.53
-370900,372850,25.84,15.25,0.04,75.22
-371120,373070,25.86,15.2,0.07,76.91
-371340,373290,25.88,14.65,0.26,72.73
-372330,374280,25.9,13.53,1.33,71.04
-372690,374640,25.92,14.26,0.53,73.08
-373400,375350,25.94,9.81,4.89,70.14
-373970,375920,25.96,7.94,9.51,73.21
-374330,376280,25.98,13.26,1.55,76.34
-375290,377240,26,14.71,0.28,80.01
-375590,377540,26.02,14.59,0.28,79.05
-376170,378120,26.04,14.31,0.24,79.5
-376600,378550,26.06,14.48,0.25,78.09
-376990,378940,26.08,14.56,0.14,79.78
-377850,379800,26.1,14.87,0.14,74.79
-378150,380100,26.12,14.07,0.43,77.58
-379160,381110,26.14,13.29,1.17,77.89
-379970,381920,26.16,14.36,0.39,78.53
-380520,382470,26.18,13.29,1.25,77.96
-380800,382750,26.2,13.2,0.77,78.16
-381080,383030,26.22,14.83,0.04,77.7
-381340,383290,26.24,15.11,0.16,78.29
-381580,383530,26.26,15.28,0.13,78.2
-381830,383780,26.28,15.35,0.15,78.13
-382050,384000,26.3,16.22,0.17,75.02
-382250,384200,26.32,15.91,0.13,77.55
-382410,384360,26.34,16.07,0.11,76.39
-382560,384510,26.36,16.38,0.14,77.65
-382810,384760,26.38,16.45,0.14,77.28
-383060,385010,26.4,16.29,0.09,76.6
-383190,385140,26.42,16.68,0.37,72.62
-383320,385270,26.44,16.42,0.29,74.28
-383470,385420,26.46,16.46,0.31,74.53
-383620,385570,26.48,16.21,0.56,71.43
-383770,385720,26.5,15.66,0.77,70.94
-384150,386100,26.52,15.76,0.6,72.39
-384600,386550,26.54,15.41,0.08,72.59
-385050,387000,26.56,15.47,0.15,77.67
-385490,387440,26.58,13.41,0.92,76.9
-385940,387890,26.6,16.01,0.23,75.96
-386330,388280,26.62,15.85,0.26,75.31
-386710,388660,26.64,16.01,0.2,76.85
-387100,389050,26.66,16.58,0.26,75.92
-387280,389230,26.68,16.53,0.37,74.58
-387460,389410,26.7,16.6,0.34,73.25
-387640,389590,26.72,16.64,0.3,72.08
-387810,389760,26.74,16.48,0.4,72.93
-387990,389940,26.76,16.37,0.16,74.96
-388170,390120,26.78,16.19,0.5,69.6
-388370,390320,26.8,15.34,0.71,69.8
-388570,390520,26.82,15,0.88,69.42
-389110,391060,26.84,15.24,0.12,72.33
-389310,391260,26.86,14.92,0.37,76.86
-389510,391460,26.88,15.87,0.16,76.19
-389650,391600,26.9,15.89,0.23,75.25
-389790,391740,26.92,16.01,0.05,73.5
-389940,391890,26.94,16.2,0.28,74.21
-390100,392050,26.96,16.14,0.23,75.46
-390520,392470,26.98,16.09,0.19,74.67
-390700,392650,27,16.3,0.27,72.44
-390850,392800,27.02,16.18,0.19,73.9
-390970,392920,27.04,16.34,0.2,74.53
-391090,393040,27.06,16.19,0.08,74.29
-391200,393150,27.08,16.48,0.3,74.69
-391320,393270,27.1,16.77,0.16,72.12
-391460,393410,27.12,16.71,0.3,73.05
-391600,393550,27.14,16.91,0.24,73.11
-391740,393690,27.16,16.66,0.17,74.02
-391890,393840,27.18,16.41,0.19,77.06
-392040,393990,27.2,17.06,0.24,72.78
-392250,394200,27.22,17.27,0.36,70.89
-392490,394440,27.24,17.36,0.18,71.63
-392760,394710,27.26,17.59,0.24,70.42
-393160,395110,27.28,17.45,0.32,69.89
-393550,395500,27.3,17.38,0.28,70.08
-393780,395730,27.32,17.33,0.16,71.41
-394000,395950,27.34,17.3,0.18,72.45
-394370,396320,27.36,17.4,0.22,70.5
-394710,396660,27.38,17.19,0.14,78.32
-395030,396980,27.4,17.66,0.18,70.3
-395340,397290,27.42,17.7,0.27,72.87
-395660,397610,27.44,17.57,0.27,73.68
-395960,397910,27.46,17.65,0.3,70.49
-396180,398130,27.48,17.56,0.22,71.73
-396330,398280,27.5,17.69,0.28,70.32
-396480,398430,27.52,17.59,0.14,73.07
-396790,398740,27.54,17.67,0.23,71.78
-397090,399040,27.56,17.55,0.18,73.73
-397190,399140,27.58,17.64,0.3,71.38
-397280,399230,27.6,17.73,0.23,70.66
-397380,399330,27.62,17.72,0.29,71.64
-397760,399710,27.64,17.59,0.21,72.37
-397890,399840,27.66,17.75,0.19,72.52
-398020,399970,27.68,18.06,0.16,68.32
-398140,400090,27.7,17.88,0.21,66.17
-398270,400220,27.72,17.65,0.2,67.49
-398420,400370,27.74,17.93,0.16,65.3
-398570,400520,27.76,17.8,0.16,69.46
-398750,400700,27.78,17.95,0.17,69.33
-398930,400880,27.8,17.98,0.15,68.78
-399120,401070,27.82,18.02,0.16,70.55
-399300,401250,27.84,18.23,0.13,69.22
-399460,401410,27.86,18.22,0.1,68.51
-399590,401540,27.88,18.15,0.09,68.27
-399810,401760,27.9,18.32,0.08,66.97
-400030,401980,27.92,18.08,0.14,72.62
-400250,402200,27.94,18.46,0.3,67.18
-400630,402580,27.96,18.01,0.2,70.02
-401000,402950,27.98,18.05,0.16,69.36
-401370,403320,28,18.35,0.27,68.2
-401740,403690,28.02,18.18,0.2,70.05
-401950,403900,28.04,18.24,0.21,68.99
-402170,404120,28.06,18.44,0.19,70.9
-402380,404330,28.08,18.44,0.18,69.45
-402750,404700,28.1,18.44,0.19,68.05
-403130,405080,28.12,18.68,0.26,68.03
-403260,405210,28.14,18.72,0.23,67.39
-403400,405350,28.16,18.8,0.21,70.52
-403530,405480,28.18,18.49,0.15,71.9
-403780,405730,28.2,18.35,0.13,71.51
-404030,405980,28.22,18.31,0.08,70.32
-404450,406400,28.24,18.31,0.2,69.49
-404860,406810,28.26,18.45,0.18,71.94
-405180,407130,28.28,18.72,0.21,68.72
-405390,407340,28.3,18.63,0.16,70.37
-405610,407560,28.32,18.71,0.19,67.73
-406240,408190,28.34,18.8,0.19,68.25
-406700,408650,28.36,18.68,0.16,68.75
-407170,409120,28.38,18.54,0.25,70.05
-407290,409240,28.4,18.43,0.22,70.13
-407420,409370,28.42,18.51,0.2,71.09
-407540,409490,28.44,18.6,0.15,70.68
-407660,409610,28.46,18.47,0.16,70.18
-407780,409730,28.48,18.5,0.14,69.44
-407910,409860,28.5,18.37,0.14,69.39
-408030,409980,28.52,18.52,0.2,69.2
-408250,410200,28.54,18.58,0.2,64.73
-408480,410430,28.56,18.46,0.08,67.57
-408710,410660,28.58,18.58,0.23,65.49
-408840,410790,28.6,18.46,0.16,69.73
-408970,410920,28.62,18.66,0.19,69.84
-409180,411130,28.64,18.34,0.12,68.33
-409470,411420,28.66,18.48,0.17,69.99
-409690,411640,28.68,18.38,0.18,65.61
-409920,411870,28.7,18.3,0.17,71.61
-410140,412090,28.72,18.34,0.15,70.96
-410420,412370,28.74,18.19,0.21,68.01
-410690,412640,28.76,18.14,0.21,69.04
-410970,412920,28.78,17.94,0.19,68.42
-411130,413080,28.8,17.8,0.22,70.57
-411290,413240,28.82,17.62,0.21,70.34
-411440,413390,28.84,17.79,0.16,69.38
-411600,413550,28.86,17.44,0.23,69.95
-411760,413710,28.88,17.47,0.23,68.73
-412050,414000,28.9,17.69,0.23,69.4
-412350,414300,28.92,17.68,0.23,66.92
-412640,414590,28.94,17.46,0.12,70.84
-413210,415160,28.96,17.12,0.25,65.7
-413490,415440,28.98,16.96,0.25,67.3
-413780,415730,29,17.62,0.16,69.12
-413960,415910,29.02,17.99,0.18,67.53
-414140,416090,29.04,17.89,0.22,67.15
-414310,416260,29.06,17.74,0.17,67.7
-414490,416440,29.08,17.75,0.21,67.69
-414670,416620,29.1,18.1,0.22,68.94
-414850,416800,29.12,18.08,0.25,67.5
-415030,416980,29.14,17.92,0.17,69.7
-415200,417150,29.16,18.16,0.21,67.93
-415380,417330,29.18,18.22,0.23,67.96
-415560,417510,29.2,18.35,0.26,67.12
-415740,417690,29.22,18.32,0.27,68.55
-415920,417870,29.24,18.32,0.28,67.37
-416090,418040,29.26,18.42,0.27,66.17
-416270,418220,29.28,18.34,0.31,65.77
-416450,418400,29.3,18.3,0.26,67.28
-416630,418580,29.32,18.33,0.21,65.61
-416810,418760,29.34,18.2,0.27,66.5
-416980,418930,29.36,18.14,0.26,65.82
-417160,419110,29.38,18.35,0.28,64.68
-417340,419290,29.4,18.35,0.31,66.39
-417520,419470,29.42,18.45,0.29,66.92
-417690,419640,29.44,18,0.23,69.35
-417870,419820,29.46,18.35,0.27,67.61
-418050,420000,29.48,18.41,0.21,69.92
