year (AD) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3]
NA,NA,NA,NA,NA,1932.25,-24.45,-24.39,NA,NA
NA,NA,NA,NA,NA,1932.167,-26.11,-23.52,NA,NA
NA,NA,NA,NA,NA,1932.083,-26.02,-22.64,NA,NA
NA,NA,NA,NA,NA,1932,-26.26,-20.48,NA,NA
NA,NA,NA,NA,NA,1931.917,-24.51,-18.32,NA,NA
NA,NA,NA,NA,NA,1931.833,-21.99,-17.74,NA,NA
NA,NA,NA,NA,NA,1931.75,-19.56,-17.16,NA,NA
NA,NA,NA,NA,NA,1931.667,-18.15,-16.58,NA,NA
NA,NA,NA,NA,NA,1931.583,-17.7,-16.64,NA,NA
NA,NA,NA,NA,NA,1931.5,-18.23,-16.7,NA,NA
NA,NA,NA,NA,NA,1931.417,-18.53,-16.76,NA,NA
NA,NA,NA,NA,NA,1931.333,-17.64,-16.64,NA,NA
NA,NA,NA,NA,NA,1931.25,-17.22,-16.52,NA,NA
NA,NA,NA,NA,NA,1931.167,-16.66,-16.83,NA,NA
NA,NA,NA,NA,NA,1931.083,-16.1,-16.95,NA,NA
NA,NA,NA,NA,NA,1931,-15.94,-17.07,NA,NA
NA,NA,NA,NA,NA,1930.917,-15.51,-16.14,NA,NA
NA,NA,NA,NA,NA,1930.833,-15.79,-15.2,NA,NA
NA,NA,NA,NA,NA,1930.75,-18.07,-16.06,NA,NA
NA,NA,NA,NA,NA,1930.667,-15.09,-16.91,NA,NA
NA,NA,NA,NA,NA,1930.583,-9.99,-16.43,NA,NA
NA,NA,NA,NA,NA,1930.5,-11.19,-15.95,NA,NA
NA,NA,NA,NA,NA,1930.417,-16.38,-16.1,NA,NA
NA,NA,NA,NA,NA,1930.333,-18.64,-18.91,NA,NA
NA,NA,NA,NA,NA,1930.25,-19.69,-21.72,NA,NA
NA,NA,NA,NA,NA,1930.167,-21.59,-21.44,NA,NA
NA,NA,NA,NA,NA,1930.083,-21.09,-18.5,NA,NA
NA,NA,NA,NA,NA,1930,-18.89,-18.9,NA,NA
NA,NA,NA,NA,NA,1929.917,-18.13,-19.29,NA,NA
NA,NA,NA,NA,NA,1929.833,-17.91,-18.5,NA,NA
NA,NA,NA,NA,NA,1929.75,-19.5,-18.86,NA,NA
NA,NA,NA,NA,NA,1929.667,-19.87,-19.22,NA,NA
NA,NA,NA,NA,NA,1929.583,-20.29,-19.86,NA,NA
NA,NA,NA,NA,NA,1929.5,-20.18,-18.61,NA,NA
NA,NA,NA,NA,NA,1929.417,-19.32,-18.17,NA,NA
NA,NA,NA,NA,NA,1929.333,-18.15,-17.72,NA,NA
NA,NA,NA,NA,NA,1929.25,-17.1,-17.33,NA,NA
NA,NA,NA,NA,NA,1929.167,-16.51,-17.52,NA,NA
NA,NA,NA,NA,NA,1929.083,-16.66,-17.7,NA,NA
NA,NA,NA,NA,NA,1929,-21.08,-18.72,NA,NA
NA,NA,NA,NA,NA,1928.917,-20.59,-19.87,NA,NA
NA,NA,NA,NA,NA,1928.833,-18.02,-21.02,NA,NA
NA,NA,NA,NA,NA,1928.75,-13.71,-19.1,NA,NA
NA,NA,NA,NA,NA,1928.667,-12.09,-13.66,NA,NA
NA,NA,NA,NA,NA,1928.583,-10,-12.36,NA,NA
NA,NA,NA,NA,NA,1928.5,-11.11,-11.06,NA,NA
NA,NA,NA,NA,NA,1928.417,-13.76,-13.14,NA,NA
NA,NA,NA,NA,NA,1928.333,-16.77,-15.22,NA,NA
NA,NA,NA,NA,NA,1928.25,-18.4,-20.56,NA,NA
NA,NA,NA,NA,NA,1928.167,-20.78,-18.66,NA,NA
NA,NA,NA,NA,NA,1928.083,-20.52,-16.76,NA,NA
NA,NA,NA,NA,NA,1928,-16.51,-14.32,NA,NA
NA,NA,NA,NA,NA,1927.917,-12.83,-11.87,NA,NA
NA,NA,NA,NA,NA,1927.833,-11.81,-12.32,NA,NA
NA,NA,NA,NA,NA,1927.75,-11.69,-12.77,NA,NA
NA,NA,NA,NA,NA,1927.667,-12.7,-13.84,NA,NA
NA,NA,NA,NA,NA,1927.583,-11.7,-14.91,NA,NA
NA,NA,NA,NA,NA,1927.5,-11.47,-16.02,NA,NA
NA,NA,NA,NA,NA,1927.417,-17.34,-18.51,NA,NA
NA,NA,NA,NA,NA,1927.333,-19.57,-21.09,NA,NA
NA,NA,NA,NA,NA,1927.25,-21.17,-21.76,NA,NA
NA,NA,NA,NA,NA,1927.167,-18.26,-21.24,NA,NA
NA,NA,NA,NA,NA,1927.083,-16.3,-22.64,NA,NA
NA,NA,NA,NA,NA,1927,-14.95,-24.83,NA,NA
NA,NA,NA,NA,NA,1926.917,-15.26,-22.8,NA,NA
NA,NA,NA,NA,NA,1926.833,-16.07,-16.83,NA,NA
NA,NA,NA,NA,NA,1926.75,-14.2,-16.54,NA,NA
NA,NA,NA,NA,NA,1926.667,-12.01,-16.16,NA,NA
NA,NA,NA,NA,NA,1926.583,-9.76,-14.3,NA,NA
NA,NA,NA,NA,NA,1926.5,-10.24,-15.11,NA,NA
NA,NA,NA,NA,NA,1926.417,-17.66,-20.63,NA,NA
NA,NA,NA,NA,NA,1926.333,-21.05,-21.43,NA,NA
NA,NA,NA,NA,NA,1926.25,-20.63,-22.49,NA,NA
NA,NA,NA,NA,NA,1926.167,-21.43,-15.71,NA,NA
NA,NA,NA,NA,NA,1926.083,-26.82,-17.91,NA,NA
NA,NA,NA,NA,NA,1926,-21.94,-18.79,NA,NA
NA,NA,NA,NA,NA,1925.917,-15.13,-17,NA,NA
NA,NA,NA,NA,NA,1925.833,-13.6,-15.88,NA,NA
NA,NA,NA,NA,NA,1925.75,-14.36,-17.65,NA,NA
NA,NA,NA,NA,NA,1925.667,-14.3,-14.43,NA,NA
NA,NA,NA,NA,NA,1925.583,-14.24,-15.36,NA,NA
NA,NA,NA,NA,NA,1925.5,-11.53,-11.53,NA,NA
NA,NA,NA,NA,NA,1925.417,-10.46,-17.32,NA,NA
NA,NA,NA,NA,NA,1925.333,-16.2,-22.87,NA,NA
NA,NA,NA,NA,NA,1925.25,-22.26,-24.18,NA,NA
NA,NA,NA,NA,NA,1925.167,-24.35,-20.7,NA,NA
NA,NA,NA,NA,NA,1925.083,-23.35,-18.05,NA,NA
NA,NA,NA,NA,NA,1925,-18.11,-18.12,NA,NA
NA,NA,NA,NA,NA,1924.917,-13.06,-18.14,NA,NA
NA,NA,NA,NA,NA,1924.833,-14.14,-17.68,NA,NA
NA,NA,NA,NA,NA,1924.75,-16.84,-18.29,NA,NA
NA,NA,NA,NA,NA,1924.667,-16.9,-19.31,NA,NA
NA,NA,NA,NA,NA,1924.583,-12.1,-14.7,NA,NA
NA,NA,NA,NA,NA,1924.5,-14.54,-14.98,NA,NA
NA,NA,NA,NA,NA,1924.417,-18.66,-17.87,NA,NA
NA,NA,NA,NA,NA,1924.333,-18.43,-20.75,NA,NA
NA,NA,NA,NA,NA,1924.25,-18.23,-21.57,NA,NA
NA,NA,NA,NA,NA,1924.167,-17.65,-22.69,NA,NA
NA,NA,NA,NA,NA,1924.083,-20.81,-21.68,NA,NA
NA,NA,NA,NA,NA,1924,-21.05,-19.98,NA,NA
NA,NA,NA,NA,NA,1923.917,-18.92,-18.27,NA,NA
NA,NA,NA,NA,NA,1923.833,-16.28,-20.64,NA,NA
NA,NA,NA,NA,NA,1923.75,-21.03,-21.98,NA,NA
NA,NA,NA,NA,NA,1923.667,-19.22,-18.45,NA,NA
NA,NA,NA,NA,NA,1923.583,-9.77,-14.91,NA,NA
NA,NA,NA,NA,NA,1923.5,-8.08,-7.98,NA,NA
NA,NA,NA,NA,NA,1923.417,-12.99,-11.95,NA,NA
NA,NA,NA,NA,NA,1923.333,-18.25,-15.9,NA,NA
NA,NA,NA,NA,NA,1923.25,-18.29,-16.37,NA,NA
NA,NA,NA,NA,NA,1923.167,-18.42,-16.5,NA,NA
NA,NA,NA,NA,NA,1923.083,-22.04,-16.62,NA,NA
NA,NA,NA,NA,NA,1923,-17.68,-16.69,NA,NA
NA,NA,NA,NA,NA,1922.917,-16.19,-17.34,NA,NA
NA,NA,NA,NA,NA,1922.833,-16.84,-18.7,NA,NA
NA,NA,NA,NA,NA,1922.75,-15.13,-18.46,NA,NA
NA,NA,NA,NA,NA,1922.667,-19.61,-18.21,NA,NA
NA,NA,NA,NA,NA,1922.583,-14.8,-16.24,NA,NA
NA,NA,NA,NA,NA,1922.5,-17.4,-16.68,NA,NA
NA,NA,NA,NA,NA,1922.417,-23.4,-20.9,NA,NA
NA,NA,NA,NA,NA,1922.333,-24.24,-21.14,NA,NA
NA,NA,NA,NA,NA,1922.25,-24.45,-21.99,NA,NA
NA,NA,NA,NA,NA,1922.167,-25.22,-21.84,NA,NA
NA,NA,NA,NA,NA,1922.083,-26.68,-21.46,NA,NA
NA,NA,NA,NA,NA,1922,-24.88,-22.68,NA,NA
NA,NA,NA,NA,NA,1921.917,-21.51,-21.99,NA,NA
NA,NA,NA,NA,NA,1921.833,-19.76,-20.06,NA,NA
NA,NA,NA,NA,NA,1921.75,-17.74,-16.79,NA,NA
NA,NA,NA,NA,NA,1921.667,-19,-16.95,NA,NA
NA,NA,NA,NA,NA,1921.583,-14.48,-9.84,NA,NA
NA,NA,NA,NA,NA,1921.5,-11.24,-13.08,NA,NA
NA,NA,NA,NA,NA,1921.417,-17.25,-16.21,NA,NA
NA,NA,NA,NA,NA,1921.333,-22.91,-20.34,NA,NA
NA,NA,NA,NA,NA,1921.25,-21.45,-23.29,NA,NA
NA,NA,NA,NA,NA,1921.167,-15.62,-21.06,NA,NA
NA,NA,NA,NA,NA,1921.083,-17.35,-18.44,NA,NA
NA,NA,NA,NA,NA,1921,-19.98,-15.84,NA,NA
NA,NA,NA,NA,NA,1920.917,-19.69,-13.33,NA,NA
NA,NA,NA,NA,NA,1920.833,-19.88,-17.46,NA,NA
NA,NA,NA,NA,NA,1920.75,-19.97,-17.22,NA,NA
NA,NA,NA,NA,NA,1920.667,-20.82,-12.11,NA,NA
NA,NA,NA,NA,NA,1920.583,-15.58,-12.81,NA,NA
NA,NA,NA,NA,NA,1920.5,-11.52,-17.58,NA,NA
NA,NA,NA,NA,NA,1920.417,-14.23,-19.04,NA,NA
NA,NA,NA,NA,NA,1920.333,-19.38,-19.22,NA,NA
NA,NA,NA,NA,NA,1920.25,-19.17,-19.4,NA,NA
NA,NA,NA,NA,NA,1920.167,-18.57,-19.54,NA,NA
NA,NA,NA,NA,NA,1920.083,-18.47,-19.25,NA,NA
NA,NA,NA,NA,NA,1920,-18.81,-17.78,NA,NA
NA,NA,NA,NA,NA,1919.917,-18.09,-16.67,NA,NA
NA,NA,NA,NA,NA,1919.833,-23.6,-19.68,NA,NA
NA,NA,NA,NA,NA,1919.75,-26.09,-25.95,NA,NA
NA,NA,NA,NA,NA,1919.667,-20.66,-20.99,NA,NA
NA,NA,NA,NA,NA,1919.583,-13.09,-14.14,NA,NA
NA,NA,NA,NA,NA,1919.5,-18.29,-18.7,NA,NA
NA,NA,NA,NA,NA,1919.417,-24.23,-24.94,NA,NA
NA,NA,NA,NA,NA,1919.333,-24.82,-21.12,NA,NA
NA,NA,NA,NA,NA,1919.25,-20.47,-20.94,NA,NA
NA,NA,NA,NA,NA,1919.167,-21.19,-20.75,NA,NA
NA,NA,NA,NA,NA,1919.083,-19.46,-19.8,NA,NA
NA,NA,NA,NA,NA,1919,-18.88,-19.91,NA,NA
NA,NA,NA,NA,NA,1918.917,-19.2,-19.65,NA,NA
NA,NA,NA,NA,NA,1918.833,-18.03,-19.39,NA,NA
NA,NA,NA,NA,NA,1918.75,-14.06,-16.24,NA,NA
NA,NA,NA,NA,NA,1918.667,-14.97,-14.9,NA,NA
NA,NA,NA,NA,NA,1918.583,-12.23,-16.5,NA,NA
NA,NA,NA,NA,NA,1918.5,-20.49,-22.49,NA,NA
NA,NA,NA,NA,NA,1918.417,-20.37,-24.78,NA,NA
NA,NA,NA,NA,NA,1918.333,-26.63,-28.13,NA,NA
NA,NA,NA,NA,NA,1918.25,-27.07,-25.26,NA,NA
NA,NA,NA,NA,NA,1918.167,-19.56,-21.44,NA,NA
NA,NA,NA,NA,NA,1918.083,-17.88,-17.62,NA,NA
NA,NA,NA,NA,NA,1918,-15.4,-16.76,NA,NA
NA,NA,NA,NA,NA,1917.917,-16.67,-18.63,NA,NA
NA,NA,NA,NA,NA,1917.833,-16.81,-17.71,NA,NA
NA,NA,NA,NA,NA,1917.75,-17.85,-17.39,NA,NA
NA,NA,NA,NA,NA,1917.667,-20.31,-15.59,NA,NA
NA,NA,NA,NA,NA,1917.583,-17.57,-14.66,NA,NA
NA,NA,NA,NA,NA,1917.5,-12.17,-13.31,NA,NA
NA,NA,NA,NA,NA,1917.417,-19.36,-14.87,NA,NA
NA,NA,NA,NA,NA,1917.333,-22.46,-20.95,NA,NA
NA,NA,NA,NA,NA,1917.25,-23.67,-23.69,NA,NA
NA,NA,NA,NA,NA,1917.167,-17.11,-21.42,NA,NA
NA,NA,NA,NA,NA,1917.083,-15.22,-18.71,NA,NA
NA,NA,NA,NA,NA,1917,-14.5,-16.68,NA,NA
NA,NA,NA,NA,NA,1916.917,-17.65,-17.63,NA,NA
NA,NA,NA,NA,NA,1916.833,-24.03,-22.16,NA,NA
NA,NA,NA,NA,NA,1916.75,-24.3,-23,NA,NA
NA,NA,NA,NA,NA,1916.667,-20.69,-20.47,NA,NA
NA,NA,NA,NA,NA,1916.583,-16.36,-15.29,NA,NA
NA,NA,NA,NA,NA,1916.5,-13.51,-18.28,NA,NA
NA,NA,NA,NA,NA,1916.417,-20.36,-18.47,NA,NA
NA,NA,NA,NA,NA,1916.333,-17.87,-17.72,NA,NA
NA,NA,NA,NA,NA,1916.25,-16.01,-17.29,NA,NA
NA,NA,NA,NA,NA,1916.167,-17.75,-17.84,NA,NA
NA,NA,NA,NA,NA,1916.083,-17.8,-24.54,NA,NA
NA,NA,NA,NA,NA,1916,-18.16,-17.82,NA,NA
NA,NA,NA,NA,NA,1915.917,-19.78,-16.72,NA,NA
NA,NA,NA,NA,NA,1915.833,-15.45,-17.21,NA,NA
NA,NA,NA,NA,NA,1915.75,-17.39,-17.35,NA,NA
NA,NA,NA,NA,NA,1915.667,-14.91,-14.66,NA,NA
NA,NA,NA,NA,NA,1915.583,-16.18,-16.99,NA,NA
NA,NA,NA,NA,NA,1915.5,-13.56,-15.72,NA,NA
NA,NA,NA,NA,NA,1915.417,-12.39,-17.04,NA,NA
NA,NA,NA,NA,NA,1915.333,-20.04,-14.79,NA,NA
NA,NA,NA,NA,NA,1915.25,-23.12,-16.16,NA,NA
NA,NA,NA,NA,NA,1915.167,-23.67,-17.88,NA,NA
NA,NA,NA,NA,NA,1915.083,-23.28,-23.72,NA,NA
NA,NA,NA,NA,NA,1915,-19.71,-22.6,NA,NA
NA,NA,NA,NA,NA,1914.917,-20.64,-20.68,NA,NA
NA,NA,NA,NA,NA,1914.833,-19.71,-20.35,NA,NA
NA,NA,NA,NA,NA,1914.75,-17.77,-16.22,NA,NA
NA,NA,NA,NA,NA,1914.667,-14.73,-12.54,NA,NA
NA,NA,NA,NA,NA,1914.583,-12.02,-11.77,NA,NA
NA,NA,NA,NA,NA,1914.5,-10.79,-12.42,NA,NA
NA,NA,NA,NA,NA,1914.417,-18.77,-13.07,NA,NA
NA,NA,NA,NA,NA,1914.333,-23.43,-24.09,NA,NA
NA,NA,NA,NA,NA,1914.25,-19.43,-23.57,NA,NA
NA,NA,NA,NA,NA,1914.167,-15.9,-20.44,NA,NA
NA,NA,NA,NA,NA,1914.083,-15.36,-17.19,NA,NA
NA,NA,NA,NA,NA,1914,-16.17,-17.24,NA,NA
NA,NA,NA,NA,NA,1913.917,-14.7,-15.81,NA,NA
NA,NA,NA,NA,NA,1913.833,-14.31,-16.49,NA,NA
NA,NA,NA,NA,NA,1913.75,-12.65,-15.06,NA,NA
NA,NA,NA,NA,NA,1913.667,-11.85,-13.81,NA,NA
NA,NA,NA,NA,NA,1913.583,-14.12,-16.22,NA,NA
NA,NA,NA,NA,NA,1913.5,-17.95,-16.64,NA,NA
NA,NA,NA,NA,NA,1913.417,-20.11,-16.94,NA,NA
NA,NA,NA,NA,NA,1913.333,-22.47,-22.06,NA,NA
NA,NA,NA,NA,NA,1913.25,-21.9,-22.68,NA,NA
NA,NA,NA,NA,NA,1913.167,-19.44,-21.5,NA,NA
NA,NA,NA,NA,NA,1913.083,-18.34,-20.32,NA,NA
NA,NA,NA,NA,NA,1913,-18.35,-19.31,NA,NA
NA,NA,NA,NA,NA,1912.917,-18.05,-17.13,NA,NA
NA,NA,NA,NA,NA,1912.833,-20.86,-18.98,NA,NA
NA,NA,NA,NA,NA,1912.75,-18.48,-16.05,NA,NA
NA,NA,NA,NA,NA,1912.667,-14.59,-13.97,NA,NA
NA,NA,NA,NA,NA,1912.583,-9.33,-11.89,NA,NA
NA,NA,NA,NA,NA,1912.5,-9.81,-15.05,NA,NA
NA,NA,NA,NA,NA,1912.417,-17.47,-17.22,NA,NA
NA,NA,NA,NA,NA,1912.333,-23.3,-16.83,NA,NA
NA,NA,NA,NA,NA,1912.25,-23.68,-16.3,NA,NA
NA,NA,NA,NA,NA,1912.167,-22.52,-18.82,NA,NA
NA,NA,NA,NA,NA,1912.083,-16.45,-20.44,NA,NA
NA,NA,NA,NA,NA,1912,-14.59,-16.15,NA,NA
NA,NA,NA,NA,NA,1911.917,-13.92,-15.64,NA,NA
NA,NA,NA,NA,NA,1911.833,-15.09,-15.12,NA,NA
NA,NA,NA,NA,NA,1911.75,-19.07,-15.53,NA,NA
NA,NA,NA,NA,NA,1911.667,-18.48,-14.53,NA,NA
NA,NA,NA,NA,NA,1911.583,-18.29,-12.67,NA,NA
NA,NA,NA,NA,NA,1911.5,-17.38,-16.12,NA,NA
NA,NA,NA,NA,NA,1911.417,-19.56,-19.04,NA,NA
NA,NA,NA,NA,NA,1911.333,-23.72,-18.52,NA,NA
NA,NA,NA,NA,NA,1911.25,-23.84,-21.46,NA,NA
NA,NA,NA,NA,NA,1911.167,-23.76,-23.42,NA,NA
NA,NA,NA,NA,NA,1911.083,-16.45,-18.61,NA,NA
NA,NA,NA,NA,NA,1911,-16.04,-17.97,NA,NA
NA,NA,NA,NA,NA,1910.917,-16.32,-18.21,NA,NA
NA,NA,NA,NA,NA,1910.833,-15.51,-17.53,NA,NA
NA,NA,NA,NA,NA,1910.75,-16.25,-16.93,NA,NA
NA,NA,NA,NA,NA,1910.667,-15.17,-17.25,NA,NA
NA,NA,NA,NA,NA,1910.583,-14.73,-15.84,NA,NA
NA,NA,NA,NA,NA,1910.5,-14.68,-16.22,NA,NA
NA,NA,NA,NA,NA,1910.417,-14.54,-15.67,NA,NA
NA,NA,NA,NA,NA,1910.333,-16.03,-15.4,NA,NA
NA,NA,NA,NA,NA,1910.25,-19.25,-16.83,NA,NA
NA,NA,NA,NA,NA,1910.167,-21.1,-22.99,NA,NA
NA,NA,NA,NA,NA,1910.083,-21.47,-23.57,NA,NA
NA,NA,NA,NA,NA,1910,-21.85,-20.33,NA,NA
NA,NA,NA,NA,NA,1909.917,-19.89,-18.89,NA,NA
NA,NA,NA,NA,NA,1909.833,-17.87,-22.02,NA,NA
NA,NA,NA,NA,NA,1909.75,-21.21,-18.88,NA,NA
NA,NA,NA,NA,NA,1909.667,-19.42,-17.31,NA,NA
NA,NA,NA,NA,NA,1909.583,-15.38,-14.79,NA,NA
NA,NA,NA,NA,NA,1909.5,-14.78,-16.15,NA,NA
NA,NA,NA,NA,NA,1909.417,-17.01,-17.51,NA,NA
NA,NA,NA,NA,NA,1909.333,-16.75,-16.31,NA,NA
NA,NA,NA,NA,NA,1909.25,-17.01,-14.9,NA,NA
NA,NA,NA,NA,NA,1909.167,-16.12,-14.43,NA,NA
NA,NA,NA,NA,NA,1909.083,-15.11,-13.33,NA,NA
NA,NA,NA,NA,NA,1909,-14.92,-15.08,NA,NA
NA,NA,NA,NA,NA,1908.917,-15.3,-20.44,NA,NA
NA,NA,NA,NA,NA,1908.833,-20.52,-18.6,NA,NA
NA,NA,NA,NA,NA,1908.75,-16.42,-16.76,NA,NA
NA,NA,NA,NA,NA,1908.667,-14.18,-11.71,NA,NA
NA,NA,NA,NA,NA,1908.583,-11.96,-11.23,NA,NA
NA,NA,NA,NA,NA,1908.5,-13.2,-13.48,NA,NA
NA,NA,NA,NA,NA,1908.417,-25.54,-16.7,NA,NA
NA,NA,NA,NA,NA,1908.333,-21.85,-20.27,NA,NA
NA,NA,NA,NA,NA,1908.25,-20.91,-19.57,NA,NA
NA,NA,NA,NA,NA,1908.167,-18.92,-22.61,NA,NA
NA,NA,NA,NA,NA,1908.083,-19.45,-29.31,NA,NA
NA,NA,NA,NA,NA,1908,-21.72,-23.08,NA,NA
NA,NA,NA,NA,NA,1907.917,-19.97,-21.51,NA,NA
NA,NA,NA,NA,NA,1907.833,-16.95,-20.27,NA,NA
NA,NA,NA,NA,NA,1907.75,-19.76,-15.95,NA,NA
NA,NA,NA,NA,NA,1907.667,-15.57,-16.42,NA,NA
NA,NA,NA,NA,NA,1907.583,-12.67,-11.97,NA,NA
NA,NA,NA,NA,NA,1907.5,-17.67,-12.8,NA,NA
NA,NA,NA,NA,NA,1907.417,-21.27,-19.46,NA,NA
NA,NA,NA,NA,NA,1907.333,-27.78,-26.57,NA,NA
NA,NA,NA,NA,NA,1907.25,-25.65,-27.24,NA,NA
NA,NA,NA,NA,NA,1907.167,-25.03,-21.11,NA,NA
NA,NA,NA,NA,NA,1907.083,-24.29,-23.17,NA,NA
NA,NA,NA,NA,NA,1907,-17.75,-20.86,NA,NA
NA,NA,NA,NA,NA,1906.917,-18.03,-18.32,NA,NA
NA,NA,NA,NA,NA,1906.833,-17.3,-19.71,NA,NA
NA,NA,NA,NA,NA,1906.75,-20.03,-21.71,NA,NA
NA,NA,NA,NA,NA,1906.667,-21.9,-19.97,NA,NA
NA,NA,NA,NA,NA,1906.583,-22.22,-12.57,NA,NA
NA,NA,NA,NA,NA,1906.5,-14.16,-16.66,NA,NA
NA,NA,NA,NA,NA,1906.417,-9.81,-21.73,NA,NA
NA,NA,NA,NA,NA,1906.333,-16.45,-22.2,NA,NA
NA,NA,NA,NA,NA,1906.25,-20.67,-22.67,NA,NA
NA,NA,NA,NA,NA,1906.167,-21.55,-20.67,NA,NA
NA,NA,NA,NA,NA,1906.083,-22.84,-18.74,NA,NA
NA,NA,NA,NA,NA,1906,-20.53,-21.08,NA,NA
NA,NA,NA,NA,NA,1905.917,-17.71,-19.4,NA,NA
NA,NA,NA,NA,NA,1905.833,-17.68,-20.72,NA,NA
NA,NA,NA,NA,NA,1905.75,-18.24,-18.67,NA,NA
NA,NA,NA,NA,NA,1905.667,-17.08,-16.61,NA,NA
NA,NA,NA,NA,NA,1905.583,-16.87,-12.3,NA,NA
NA,NA,NA,NA,NA,1905.5,-15.21,-13.65,NA,NA
NA,NA,NA,NA,NA,1905.417,-25.3,-15,NA,NA
NA,NA,NA,NA,NA,1905.333,-18.1,-24.27,NA,NA
NA,NA,NA,NA,NA,1905.25,-24.35,-24.17,NA,NA
NA,NA,NA,NA,NA,1905.167,-22.61,-24.07,NA,NA
NA,NA,NA,NA,NA,1905.083,-20.87,-22.61,NA,NA
NA,NA,NA,NA,NA,1905,-17.26,-21.15,NA,NA
NA,NA,NA,NA,NA,1904.917,-14.35,-18.28,NA,NA
NA,NA,NA,NA,NA,1904.833,-13.76,-15.41,NA,NA
NA,NA,NA,NA,NA,1904.75,-14.62,-14.18,NA,NA
NA,NA,NA,NA,NA,1904.667,-12.98,-12.98,NA,NA
NA,NA,NA,NA,NA,1904.583,-11.33,-11.78,NA,NA
NA,NA,NA,NA,NA,1904.5,-12.76,-14.78,NA,NA
NA,NA,NA,NA,NA,1904.417,-16.85,-16.48,NA,NA
NA,NA,NA,NA,NA,1904.333,-16.36,-18.17,NA,NA
NA,NA,NA,NA,NA,1904.25,-13.87,-16.37,NA,NA
NA,NA,NA,NA,NA,1904.167,-13.93,-12.91,NA,NA
NA,NA,NA,NA,NA,1904.083,-13.34,-12.73,NA,NA
NA,NA,NA,NA,NA,1904,-12.11,-12.54,NA,NA
NA,NA,NA,NA,NA,1903.917,-14.62,-17.7,NA,NA
NA,NA,NA,NA,NA,1903.833,-19.76,-14.43,NA,NA
NA,NA,NA,NA,NA,1903.75,-16.47,-12.75,NA,NA
NA,NA,NA,NA,NA,1903.667,-12.1,-11.07,NA,NA
NA,NA,NA,NA,NA,1903.583,-12.19,-12.45,NA,NA
NA,NA,NA,NA,NA,1903.5,-14.05,-11.47,NA,NA
NA,NA,NA,NA,NA,1903.417,-16.41,-12.46,NA,NA
NA,NA,NA,NA,NA,1903.333,-15.35,-13.61,NA,NA
NA,NA,NA,NA,NA,1903.25,-20.77,-14.75,NA,NA
NA,NA,NA,NA,NA,1903.167,-22.39,-12.98,NA,NA
NA,NA,NA,NA,NA,1903.083,-19.53,-12.55,NA,NA
NA,NA,NA,NA,NA,1903,-12.37,-12.11,NA,NA
NA,NA,NA,NA,NA,1902.917,-12.68,-12.49,NA,NA
NA,NA,NA,NA,NA,1902.833,-15.02,-12.87,NA,NA
NA,NA,NA,NA,NA,1902.75,-14.44,-13.16,NA,NA
NA,NA,NA,NA,NA,1902.667,-13.04,-12.76,NA,NA
NA,NA,NA,NA,NA,1902.583,-13.72,-12.35,NA,NA
NA,NA,NA,NA,NA,1902.5,-15.47,-14.72,NA,NA
NA,NA,NA,NA,NA,1902.417,-22.3,-18.63,NA,NA
NA,NA,NA,NA,NA,1902.333,-27.15,-22.54,NA,NA
NA,NA,NA,NA,NA,1902.25,-26.52,-23.71,NA,NA
NA,NA,NA,NA,NA,1902.167,-24.2,-24.88,NA,NA
NA,NA,NA,NA,NA,1902.083,-25.94,-24.6,NA,NA
NA,NA,NA,NA,NA,1902,-24.23,-24.32,NA,NA
NA,NA,NA,NA,NA,1901.917,-18.61,-21.56,NA,NA
NA,NA,NA,NA,NA,1901.833,-18.9,-18.46,NA,NA
NA,NA,NA,NA,NA,1901.75,-18.11,-17.99,NA,NA
NA,NA,NA,NA,NA,1901.667,-17.61,-17.51,NA,NA
NA,NA,NA,NA,NA,1901.583,-15.31,-16.73,NA,NA
NA,NA,NA,NA,NA,1901.5,-10.49,-12.58,NA,NA
NA,NA,NA,NA,NA,1901.417,-12.06,-18.72,NA,NA
NA,NA,NA,NA,NA,1901.333,-17.8,-21.75,NA,NA
NA,NA,NA,NA,NA,1901.25,-19.38,-18.07,NA,NA
NA,NA,NA,NA,NA,1901.167,-16.99,-17.31,NA,NA
NA,NA,NA,NA,NA,1901.083,-16.18,-16.55,NA,NA
NA,NA,NA,NA,NA,1901,-15.1,-14.45,NA,NA
NA,NA,NA,NA,NA,1900.917,-14.25,-16.65,NA,NA
NA,NA,NA,NA,NA,1900.833,-14.8,-18.86,NA,NA
NA,NA,NA,NA,NA,1900.75,-15.85,-18.04,NA,NA
NA,NA,NA,NA,NA,1900.667,-15.9,-17.21,NA,NA
NA,NA,NA,NA,NA,1900.583,-14.19,-15.16,NA,NA
NA,NA,NA,NA,NA,1900.5,-12.75,-15.57,NA,NA
NA,NA,NA,NA,NA,1900.417,-23.43,-13.29,NA,NA
NA,NA,NA,NA,NA,1900.333,-27.11,-20.06,NA,NA
NA,NA,NA,NA,NA,1900.25,-26.66,-24.16,NA,NA
NA,NA,NA,NA,NA,1900.167,-20.79,-26.33,NA,NA
NA,NA,NA,NA,NA,1900.083,-23.76,-23.24,NA,NA
