year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),d18O (missing),d18O (missing),d18O (missing),d18O (missing),d13C (missing),d13C (missing),d13C (missing),d13C (missing),d18O (missing)
-65470,67420,-65470,67420,-65470,67420,-65470,67420,-2780,4730,-3,-3,-3,-3,-5.39,-5.39,-5.39,-5.39,-2.86
-65732,67682,-65732,67682,-65732,67682,-65732,67682,-2830,4780,-3.89,-3.89,-3.89,-3.89,-5.91,-5.91,-5.91,-5.91,-3.24
-65994,67944,-65994,67944,-65994,67944,-65994,67944,-2890,4840,-3.69,-3.69,-3.69,-3.69,-5.63,-5.63,-5.63,-5.63,-3.24
-66256,68206,-66256,68206,-66256,68206,-66256,68206,-2940,4890,-3.9,-3.9,-3.9,-3.9,-5.03,-5.03,-5.03,-5.03,-3.08
-66518,68468,-66518,68468,-66518,68468,-66518,68468,-2990,4940,-3.91,-3.91,-3.91,-3.91,-5.6,-5.6,-5.6,-5.6,-3.14
-66780,68730,-66780,68730,-66780,68730,-66780,68730,-3040,4990,-3.28,-3.28,-3.28,-3.28,-5.29,-5.29,-5.29,-5.29,-3.24
-67042,68992,-67042,68992,-67042,68992,-67042,68992,-3090,5040,-3.17,-3.17,-3.17,-3.17,-5.73,-5.73,-5.73,-5.73,-2.96
-67304,69254,-67304,69254,-67304,69254,-67304,69254,-3140,5090,-3.16,-3.16,-3.16,-3.16,-5.72,-5.72,-5.72,-5.72,-2.74
-67566,69516,-67566,69516,-67566,69516,-67566,69516,-3200,5150,-2.89,-2.89,-2.89,-2.89,-4.83,-4.83,-4.83,-4.83,-3.26
-67828,69778,-67828,69778,-67828,69778,-67828,69778,-3250,5200,-2.79,-2.79,-2.79,-2.79,-4.38,-4.38,-4.38,-4.38,-2.94
-68090,70040,-68090,70040,-68090,70040,-68090,70040,-3260,5210,-3.16,-3.16,-3.16,-3.16,-6.09,-6.09,-6.09,-6.09,-2.9
-68352,70302,-68352,70302,-68352,70302,-68352,70302,-3270,5220,-3.32,-3.32,-3.32,-3.32,-4.49,-4.49,-4.49,-4.49,-3.04
-68614,70564,-68614,70564,-68614,70564,-68614,70564,-3280,5230,-3.06,-3.06,-3.06,-3.06,-6.18,-6.18,-6.18,-6.18,-3.02
-68877,70827,-68877,70827,-68877,70827,-68877,70827,-3290,5240,-3.11,-3.11,-3.11,-3.11,-6.02,-6.02,-6.02,-6.02,-3.18
-69139,71089,-69139,71089,-69139,71089,-69139,71089,-3300,5250,-2.67,-2.67,-2.67,-2.67,-4.82,-4.82,-4.82,-4.82,-3.25
-69401,71351,-69401,71351,-69401,71351,-69401,71351,-3310,5260,-3.53,-3.53,-3.53,-3.53,-6.9,-6.9,-6.9,-6.9,-2.47
-69663,71613,-69663,71613,-69663,71613,-69663,71613,-3330,5280,-3.31,-3.31,-3.31,-3.31,-4.18,-4.18,-4.18,-4.18,-3.06
-69925,71875,-69925,71875,-69925,71875,-69925,71875,-3340,5290,-3.95,-3.95,-3.95,-3.95,-4.74,-4.74,-4.74,-4.74,-2.86
-70187,72137,-70187,72137,-70187,72137,-70187,72137,-3350,5300,-3.93,-3.93,-3.93,-3.93,-5.77,-5.77,-5.77,-5.77,-3.03
-70449,72399,-70449,72399,-70449,72399,-70449,72399,-3360,5310,-4.14,-4.14,-4.14,-4.14,-5.4,-5.4,-5.4,-5.4,-2.88
-70711,72661,-70711,72661,-70711,72661,-70711,72661,-3370,5320,-4.16,-4.16,-4.16,-4.16,-5.93,-5.93,-5.93,-5.93,-3
-70973,72923,-70973,72923,-70973,72923,-70973,72923,-3380,5330,-4.14,-4.14,-4.14,-4.14,-5.29,-5.29,-5.29,-5.29,-2.64
-71235,73185,-71235,73185,-71235,73185,-71235,73185,-3390,5340,-4.61,-4.61,-4.61,-4.61,-6.02,-6.02,-6.02,-6.02,-2.97
-71497,73447,-71497,73447,-71497,73447,-71497,73447,-3400,5350,-3.17,-3.17,-3.17,-3.17,-5.4,-5.4,-5.4,-5.4,-3.08
-71759,73709,-71759,73709,-71759,73709,-71759,73709,-3420,5370,-3.08,-3.08,-3.08,-3.08,-6,-6,-6,-6,-3
-72021,73971,-72021,73971,-72021,73971,-72021,73971,-3430,5380,-3.12,-3.12,-3.12,-3.12,-6.29,-6.29,-6.29,-6.29,-3.13
-72283,74233,-72283,74233,-72283,74233,-72283,74233,-3440,5390,-2.79,-2.79,-2.79,-2.79,-5.59,-5.59,-5.59,-5.59,-2.98
-72545,74495,-72545,74495,-72545,74495,-72545,74495,-3450,5400,-2.71,-2.71,-2.71,-2.71,-5.72,-5.72,-5.72,-5.72,-3.06
-72807,74757,-72807,74757,-72807,74757,-72807,74757,-3460,5410,-3.04,-3.04,-3.04,-3.04,-5.74,-5.74,-5.74,-5.74,-2.65
-73069,75019,-73069,75019,-73069,75019,-73069,75019,-3470,5420,-2.54,-2.54,-2.54,-2.54,-5.85,-5.85,-5.85,-5.85,-2.78
-73272,75222,-73272,75222,-73272,75222,-73272,75222,-3480,5430,-2.57,-2.57,-2.57,-2.57,-5.83,-5.83,-5.83,-5.83,-2.64
-73414,75364,-73414,75364,-73414,75364,-73414,75364,-3530,5480,-2.6,-2.6,-2.6,-2.6,-5.22,-5.22,-5.22,-5.22,-2.85
-73556,75506,-73556,75506,-73556,75506,-73556,75506,-3580,5530,-2.7,-2.7,-2.7,-2.7,-6.32,-6.32,-6.32,-6.32,-2.86
-73699,75649,-73699,75649,-73699,75649,-73699,75649,-3620,5570,-2.62,-2.62,-2.62,-2.62,-5.82,-5.82,-5.82,-5.82,-2.74
-73841,75791,-73841,75791,-73841,75791,-73841,75791,-3670,5620,-3.2,-3.2,-3.2,-3.2,-6.34,-6.34,-6.34,-6.34,-3.11
-73984,75934,-73984,75934,-73984,75934,-73984,75934,-3710,5660,-2.97,-2.97,-2.97,-2.97,-6.22,-6.22,-6.22,-6.22,-2.49
-74126,76076,-74126,76076,-74126,76076,-74126,76076,-3760,5710,-2.8,-2.8,-2.8,-2.8,-6.71,-6.71,-6.71,-6.71,-2.21
-74268,76218,-74268,76218,-74268,76218,-74268,76218,-3810,5760,-2.42,-2.42,-2.42,-2.42,-5.69,-5.69,-5.69,-5.69,-2.82
-74411,76361,-74411,76361,-74411,76361,-74411,76361,-3850,5800,-2.92,-2.92,-2.92,-2.92,-5.94,-5.94,-5.94,-5.94,-2.8
-74553,76503,-74553,76503,-74553,76503,-74553,76503,-3900,5850,-3.23,-3.23,-3.23,-3.23,-5.46,-5.46,-5.46,-5.46,-2.87
-74695,76645,-74695,76645,-74695,76645,-74695,76645,-3940,5890,-3.73,-3.73,-3.73,-3.73,-5.8,-5.8,-5.8,-5.8,-2.45
-74838,76788,-74838,76788,-74838,76788,-74838,76788,-3990,5940,-3.46,-3.46,-3.46,-3.46,-5.62,-5.62,-5.62,-5.62,-2.17
-74980,76930,-74980,76930,-74980,76930,-74980,76930,-4040,5990,-3.09,-3.09,-3.09,-3.09,-5.8,-5.8,-5.8,-5.8,-2.8
-75122,77072,-75122,77072,-75122,77072,-75122,77072,-4080,6030,-3.37,-3.37,-3.37,-3.37,-5.6,-5.6,-5.6,-5.6,-2.78
-75265,77215,-75265,77215,-75265,77215,-75265,77215,-4130,6080,-3.34,-3.34,-3.34,-3.34,-6.2,-6.2,-6.2,-6.2,-2.56
-75407,77357,-75407,77357,-75407,77357,-75407,77357,-4170,6120,-3.63,-3.63,-3.63,-3.63,-6.24,-6.24,-6.24,-6.24,-2.59
-75550,77500,-75550,77500,-75550,77500,-75550,77500,-4220,6170,-3.57,-3.57,-3.57,-3.57,-6.13,-6.13,-6.13,-6.13,-2.46
-75692,77642,-75692,77642,-75692,77642,-75692,77642,-4270,6220,-3.42,-3.42,-3.42,-3.42,-6.23,-6.23,-6.23,-6.23,-2.68
-75834,77784,-75834,77784,-75834,77784,-75834,77784,-4310,6260,-3.19,-3.19,-3.19,-3.19,-5.2,-5.2,-5.2,-5.2,-2.35
-75977,77927,-75977,77927,-75977,77927,-75977,77927,-4360,6310,-2.87,-2.87,-2.87,-2.87,-5.32,-5.32,-5.32,-5.32,-2.85
-76119,78069,-76119,78069,-76119,78069,-76119,78069,-4400,6350,-1.8,-1.8,-1.8,-1.8,-5.72,-5.72,-5.72,-5.72,-2.4
-76261,78211,-76261,78211,-76261,78211,-76261,78211,-4450,6400,-1.91,-1.91,-1.91,-1.91,-5.16,-5.16,-5.16,-5.16,-2.32
-76404,78354,-76404,78354,-76404,78354,-76404,78354,-4500,6450,-2.2,-2.2,-2.2,-2.2,-5.65,-5.65,-5.65,-5.65,-2.45
-76546,78496,-76546,78496,-76546,78496,-76546,78496,-4540,6490,-1.81,-1.81,-1.81,-1.81,-5.62,-5.62,-5.62,-5.62,-2.59
-76688,78638,-76688,78638,-76688,78638,-76688,78638,-4590,6540,-2.06,-2.06,-2.06,-2.06,-5.36,-5.36,-5.36,-5.36,-2.9
-76831,78781,-76831,78781,-76831,78781,-76831,78781,-4630,6580,-1.89,-1.89,-1.89,-1.89,-6.19,-6.19,-6.19,-6.19,-2.34
-76973,78923,-76973,78923,-76973,78923,-76973,78923,-4680,6630,-2.3,-2.3,-2.3,-2.3,-6.54,-6.54,-6.54,-6.54,-2.41
-77116,79066,-77116,79066,-77116,79066,-77116,79066,-4730,6680,-2.08,-2.08,-2.08,-2.08,-6.3,-6.3,-6.3,-6.3,-2.59
-77258,79208,-77258,79208,-77258,79208,-77258,79208,-4770,6720,-2.02,-2.02,-2.02,-2.02,-6.25,-6.25,-6.25,-6.25,-2.62
-77400,79350,-77400,79350,-77400,79350,-77400,79350,-4820,6770,-2.02,-2.02,-2.02,-2.02,-6.43,-6.43,-6.43,-6.43,-2.78
-77543,79493,-77543,79493,-77543,79493,-77543,79493,-4860,6810,-2.01,-2.01,-2.01,-2.01,-6.34,-6.34,-6.34,-6.34,-2.43
-77685,79635,-77685,79635,-77685,79635,-77685,79635,-4910,6860,-1.86,-1.86,-1.86,-1.86,-5.95,-5.95,-5.95,-5.95,-2.28
-77827,79777,-77827,79777,-77827,79777,-77827,79777,-4960,6910,-2.02,-2.02,-2.02,-2.02,-6.36,-6.36,-6.36,-6.36,-2.76
-77970,79920,-77970,79920,-77970,79920,-77970,79920,-5000,6950,-2,-2,-2,-2,-5.81,-5.81,-5.81,-5.81,-2.37
-78112,80062,-78112,80062,-78112,80062,-78112,80062,-5050,7000,-1.65,-1.65,-1.65,-1.65,-6.17,-6.17,-6.17,-6.17,-2.48
-78197,80147,-78197,80147,-78197,80147,-78197,80147,-5090,7040,-1.6,-1.6,-1.6,-1.6,-5.26,-5.26,-5.26,-5.26,-2.79
-78268,80218,-78268,80218,-78268,80218,-78268,80218,-5140,7090,-2.24,-2.24,-2.24,-2.24,-6.32,-6.32,-6.32,-6.32,-2.5
-78339,80289,-78339,80289,-78339,80289,-78339,80289,-5190,7140,-2.01,-2.01,-2.01,-2.01,-6.21,-6.21,-6.21,-6.21,-2.87
-78410,80360,-78410,80360,-78410,80360,-78410,80360,-5230,7180,-1.78,-1.78,-1.78,-1.78,-6.02,-6.02,-6.02,-6.02,-2.51
-78482,80432,-78482,80432,-78482,80432,-78482,80432,-5280,7230,-1.52,-1.52,-1.52,-1.52,-5.9,-5.9,-5.9,-5.9,-2.36
-78553,80503,-78553,80503,-78553,80503,-78553,80503,-5320,7270,-1.75,-1.75,-1.75,-1.75,-5.34,-5.34,-5.34,-5.34,-2.64
-78624,80574,-78624,80574,-78624,80574,-78624,80574,-5360,7310,-1.43,-1.43,-1.43,-1.43,-5.79,-5.79,-5.79,-5.79,-2.75
-78695,80645,-78695,80645,-78695,80645,-78695,80645,-5400,7350,-1.96,-1.96,-1.96,-1.96,-6.01,-6.01,-6.01,-6.01,-2.52
-78767,80717,-78767,80717,-78767,80717,-78767,80717,-5430,7380,-1.55,-1.55,-1.55,-1.55,-5.64,-5.64,-5.64,-5.64,-2.35
-78838,80788,-78838,80788,-78838,80788,-78838,80788,-5470,7420,-1.5,-1.5,-1.5,-1.5,-5.98,-5.98,-5.98,-5.98,-2.14
-78909,80859,-78909,80859,-78909,80859,-78909,80859,-5510,7460,-1.83,-1.83,-1.83,-1.83,-5.95,-5.95,-5.95,-5.95,-2.24
-78980,80930,-78980,80930,-78980,80930,-78980,80930,-5550,7500,-1.62,-1.62,-1.62,-1.62,-6.27,-6.27,-6.27,-6.27,-2.8
-79051,81001,-79051,81001,-79051,81001,-79051,81001,-5590,7540,-1.5,-1.5,-1.5,-1.5,-5.89,-5.89,-5.89,-5.89,-2.11
-79123,81073,-79123,81073,-79123,81073,-79123,81073,-5630,7580,-1.22,-1.22,-1.22,-1.22,-5.46,-5.46,-5.46,-5.46,-1.86
-79194,81144,-79194,81144,-79194,81144,-79194,81144,-5800,7750,-1.42,-1.42,-1.42,-1.42,-6,-6,-6,-6,-2.16
-79265,81215,-79265,81215,-79265,81215,-79265,81215,-5960,7910,-1.02,-1.02,-1.02,-1.02,-5.68,-5.68,-5.68,-5.68,-2.34
-79336,81286,-79336,81286,-79336,81286,-79336,81286,-6120,8070,-1.65,-1.65,-1.65,-1.65,-6.32,-6.32,-6.32,-6.32,-2.4
-79408,81358,-79408,81358,-79408,81358,-79408,81358,-6290,8240,-2.63,-2.63,-2.63,-2.63,-6.85,-6.85,-6.85,-6.85,-2.39
-79479,81429,-79479,81429,-79479,81429,-79479,81429,-6450,8400,-2.08,-2.08,-2.08,-2.08,-6.88,-6.88,-6.88,-6.88,-2.2
-79550,81500,-79550,81500,-79550,81500,-79550,81500,-6470,8420,-1.74,-1.74,-1.74,-1.74,-6.56,-6.56,-6.56,-6.56,-2.17
-79621,81571,-79621,81571,-79621,81571,-79621,81571,-6490,8440,-1.69,-1.69,-1.69,-1.69,-6.32,-6.32,-6.32,-6.32,-2.6
-79692,81642,-79692,81642,-79692,81642,-79692,81642,-6500,8450,-1.14,-1.14,-1.14,-1.14,-5.92,-5.92,-5.92,-5.92,-1.75
-79764,81714,-79764,81714,-79764,81714,-79764,81714,-6520,8470,-1.47,-1.47,-1.47,-1.47,-5.5,-5.5,-5.5,-5.5,-1.76
-79835,81785,-79835,81785,-79835,81785,-79835,81785,-6540,8490,-1.45,-1.45,-1.45,-1.45,-5.86,-5.86,-5.86,-5.86,-1.84
-79906,81856,-79906,81856,-79906,81856,-79906,81856,-6550,8500,-1.6,-1.6,-1.6,-1.6,-5.69,-5.69,-5.69,-5.69,-1.82
-79977,81927,-79977,81927,-79977,81927,-79977,81927,-6570,8520,-1.32,-1.32,-1.32,-1.32,-6.15,-6.15,-6.15,-6.15,-2.66
-80049,81999,-80049,81999,-80049,81999,-80049,81999,-6590,8540,-1.16,-1.16,-1.16,-1.16,-5.57,-5.57,-5.57,-5.57,-2.34
-80120,82070,-80120,82070,-80120,82070,-80120,82070,-6600,8550,-1.34,-1.34,-1.34,-1.34,-6.17,-6.17,-6.17,-6.17,-2.66
-80191,82141,-80191,82141,-80191,82141,-80191,82141,-6620,8570,-1.54,-1.54,-1.54,-1.54,-5.97,-5.97,-5.97,-5.97,-2.84
-80262,82212,-80262,82212,-80262,82212,-80262,82212,-6640,8590,-1.18,-1.18,-1.18,-1.18,-5.7,-5.7,-5.7,-5.7,-2.72
-80333,82283,-80333,82283,-80333,82283,-80333,82283,-6650,8600,-1.45,-1.45,-1.45,-1.45,-6.17,-6.17,-6.17,-6.17,-2.38
-80405,82355,-80405,82355,-80405,82355,-80405,82355,-6670,8620,-1.53,-1.53,-1.53,-1.53,-6.26,-6.26,-6.26,-6.26,-2.11
-80476,82426,-80476,82426,-80476,82426,-80476,82426,-6690,8640,-1.46,-1.46,-1.46,-1.46,-6.11,-6.11,-6.11,-6.11,-1.9
-80547,82497,-80547,82497,-80547,82497,-80547,82497,-6700,8650,-1.36,-1.36,-1.36,-1.36,-5.95,-5.95,-5.95,-5.95,-1.7
-80618,82568,-80618,82568,-80618,82568,-80618,82568,-6720,8670,-1.3,-1.3,-1.3,-1.3,-5.8,-5.8,-5.8,-5.8,-1.95
-80715,82665,-80715,82665,-80715,82665,-80715,82665,-6730,8680,-1.51,-1.51,-1.51,-1.51,-6.2,-6.2,-6.2,-6.2,-1.92
-80823,82773,-80823,82773,-80823,82773,-80823,82773,-6750,8700,-1.82,-1.82,-1.82,-1.82,-6.39,-6.39,-6.39,-6.39,-1.97
-80930,82880,-80930,82880,-80930,82880,-80930,82880,-6770,8720,-1.41,-1.41,-1.41,-1.41,-6.05,-6.05,-6.05,-6.05,-2.44
-81038,82988,-81038,82988,-81038,82988,-81038,82988,-6780,8730,-1.93,-1.93,-1.93,-1.93,-6.19,-6.19,-6.19,-6.19,-1.98
-81145,83095,-81145,83095,-81145,83095,-81145,83095,-6800,8750,-2.07,-2.07,-2.07,-2.07,-6.48,-6.48,-6.48,-6.48,-1.95
-81253,83203,-81253,83203,-81253,83203,-81253,83203,-6820,8770,-1.78,-1.78,-1.78,-1.78,-6,-6,-6,-6,-2.08
-81360,83310,-81360,83310,-81360,83310,-81360,83310,-6830,8780,-1.82,-1.82,-1.82,-1.82,-6.44,-6.44,-6.44,-6.44,-2.05
-81468,83418,-81468,83418,-81468,83418,-81468,83418,-6850,8800,-1.65,-1.65,-1.65,-1.65,-5.82,-5.82,-5.82,-5.82,-1.99
-81575,83525,-81575,83525,-81575,83525,-81575,83525,-6870,8820,-1.73,-1.73,-1.73,-1.73,-5.67,-5.67,-5.67,-5.67,-1.86
-81683,83633,-81683,83633,-81683,83633,-81683,83633,-6880,8830,-1.78,-1.78,-1.78,-1.78,-5.85,-5.85,-5.85,-5.85,-2.07
-81790,83740,-81790,83740,-81790,83740,-81790,83740,-6980,8930,-1.75,-1.75,-1.75,-1.75,-6.14,-6.14,-6.14,-6.14,-2.18
-81898,83848,-81898,83848,-81898,83848,-81898,83848,-7070,9020,-1.85,-1.85,-1.85,-1.85,-6.04,-6.04,-6.04,-6.04,-2.11
-82005,83955,-82005,83955,-82005,83955,-82005,83955,-7160,9110,-1.51,-1.51,-1.51,-1.51,-5.15,-5.15,-5.15,-5.15,-2.08
-82113,84063,-82113,84063,-82113,84063,-82113,84063,-7250,9200,-2.19,-2.19,-2.19,-2.19,-5.13,-5.13,-5.13,-5.13,-2.26
-82220,84170,-82220,84170,-82220,84170,-82220,84170,-7350,9300,-2.15,-2.15,-2.15,-2.15,-5.21,-5.21,-5.21,-5.21,-2.31
-82328,84278,-82328,84278,-82328,84278,-82328,84278,-7440,9390,-3.25,-3.25,-3.25,-3.25,-5.64,-5.64,-5.64,-5.64,-2.24
-82435,84385,-82435,84385,-82435,84385,-82435,84385,-7530,9480,-3.02,-3.02,-3.02,-3.02,-6.29,-6.29,-6.29,-6.29,-2.29
-82543,84493,-82543,84493,-82543,84493,-82543,84493,-7620,9570,-2.75,-2.75,-2.75,-2.75,-6.26,-6.26,-6.26,-6.26,-2.39
-82650,84600,-82650,84600,-82650,84600,-82650,84600,-7720,9670,-3.67,-3.67,-3.67,-3.67,-6.12,-6.12,-6.12,-6.12,-2.04
-82757,84707,-82757,84707,-82757,84707,-82757,84707,-7810,9760,-3.91,-3.91,-3.91,-3.91,-6.01,-6.01,-6.01,-6.01,-1.94
-82865,84815,-82865,84815,-82865,84815,-82865,84815,-7900,9850,-3.76,-3.76,-3.76,-3.76,-6.05,-6.05,-6.05,-6.05,-1.73
-82972,84922,-82972,84922,-82972,84922,-82972,84922,-7990,9940,-4.21,-4.21,-4.21,-4.21,-6.16,-6.16,-6.16,-6.16,-1.8
-83080,85030,-83080,85030,-83080,85030,-83080,85030,-8090,10040,-4.32,-4.32,-4.32,-4.32,-6.3,-6.3,-6.3,-6.3,-2.04
-83187,85137,-83187,85137,-83187,85137,-83187,85137,1530,420,-4.28,-4.28,-4.28,-4.28,-6.24,-6.24,-6.24,-6.24,-3.89
-83295,85245,-83295,85245,-83295,85245,-83295,85245,1520,430,-3.91,-3.91,-3.91,-3.91,-6.08,-6.08,-6.08,-6.08,-3.94
-83402,85352,-83402,85352,-83402,85352,-83402,85352,1500,450,-4.08,-4.08,-4.08,-4.08,-5.78,-5.78,-5.78,-5.78,-4.16
-83510,85460,-83510,85460,-83510,85460,-83510,85460,1490,460,-4.33,-4.33,-4.33,-4.33,-5.81,-5.81,-5.81,-5.81,-3.62
-83617,85567,-83617,85567,-83617,85567,-83617,85567,1470,480,-4.22,-4.22,-4.22,-4.22,-5.85,-5.85,-5.85,-5.85,-3.54
-83725,85675,-83725,85675,-83725,85675,-83725,85675,1460,490,-4.46,-4.46,-4.46,-4.46,-6.36,-6.36,-6.36,-6.36,-3.85
-83832,85782,-83832,85782,-83832,85782,-83832,85782,1450,500,-4.49,-4.49,-4.49,-4.49,-6.08,-6.08,-6.08,-6.08,-3.87
-83940,85890,-83940,85890,-83940,85890,-83940,85890,1430,520,-3.89,-3.89,-3.89,-3.89,-6.17,-6.17,-6.17,-6.17,-3.61
-84047,85997,-84047,85997,-84047,85997,-84047,85997,1420,530,-4.68,-4.68,-4.68,-4.68,-6.45,-6.45,-6.45,-6.45,-3.7
-84155,86105,-84155,86105,-84155,86105,-84155,86105,1410,540,-3.79,-3.79,-3.79,-3.79,-5.97,-5.97,-5.97,-5.97,-3.91
-84262,86212,-84262,86212,-84262,86212,-84262,86212,1390,560,-4.17,-4.17,-4.17,-4.17,-6.53,-6.53,-6.53,-6.53,-3.34
-84370,86320,-84370,86320,-84370,86320,-84370,86320,1380,570,-3.9,-3.9,-3.9,-3.9,-5.7,-5.7,-5.7,-5.7,-3.58
-84477,86427,-84477,86427,-84477,86427,-84477,86427,1370,580,-3.84,-3.84,-3.84,-3.84,-5.36,-5.36,-5.36,-5.36,-3.45
-84585,86535,-84585,86535,-84585,86535,-84585,86535,1350,600,-4.27,-4.27,-4.27,-4.27,-6.32,-6.32,-6.32,-6.32,-3.77
-84692,86642,-84692,86642,-84692,86642,-84692,86642,1340,610,-4.34,-4.34,-4.34,-4.34,-6.21,-6.21,-6.21,-6.21,-3.85
-84800,86750,-84800,86750,-84800,86750,-84800,86750,1320,630,-4.02,-4.02,-4.02,-4.02,-6.2,-6.2,-6.2,-6.2,-3.56
-84907,86857,-84907,86857,-84907,86857,-84907,86857,1310,640,-4.35,-4.35,-4.35,-4.35,-6.51,-6.51,-6.51,-6.51,-3.7
-85015,86965,-85015,86965,-85015,86965,-85015,86965,1300,650,-4.64,-4.64,-4.64,-4.64,-6.47,-6.47,-6.47,-6.47,-3.96
-85122,87072,-85122,87072,-85122,87072,-85122,87072,1260,690,-4.74,-4.74,-4.74,-4.74,-6.48,-6.48,-6.48,-6.48,-3.94
-85230,87180,-85230,87180,-85230,87180,-85230,87180,1220,730,-4.64,-4.64,-4.64,-4.64,-6.21,-6.21,-6.21,-6.21,-3.87
-85337,87287,-85337,87287,-85337,87287,-85337,87287,1190,760,-4.44,-4.44,-4.44,-4.44,-6.57,-6.57,-6.57,-6.57,-3.91
-85445,87395,-85445,87395,-85445,87395,-85445,87395,1150,800,-4.42,-4.42,-4.42,-4.42,-6.66,-6.66,-6.66,-6.66,-3.56
-85552,87502,-85552,87502,-85552,87502,-85552,87502,1110,840,-3.94,-3.94,-3.94,-3.94,-6.07,-6.07,-6.07,-6.07,-3.83
-85660,87610,-85660,87610,-85660,87610,-85660,87610,1070,880,-3.33,-3.33,-3.33,-3.33,-6.5,-6.5,-6.5,-6.5,-3.62
-85767,87717,-85767,87717,-85767,87717,-85767,87717,1040,910,-3.07,-3.07,-3.07,-3.07,-5.99,-5.99,-5.99,-5.99,-3.98
-85874,87824,-85874,87824,-85874,87824,-85874,87824,1000,950,-3.38,-3.38,-3.38,-3.38,-6.41,-6.41,-6.41,-6.41,-4.03
-85982,87932,-85982,87932,-85982,87932,-85982,87932,960,990,-3.22,-3.22,-3.22,-3.22,-6.22,-6.22,-6.22,-6.22,-4.04
-86089,88039,-86089,88039,-86089,88039,-86089,88039,930,1020,-3.52,-3.52,-3.52,-3.52,-6.41,-6.41,-6.41,-6.41,-3.54
-86197,88147,-86197,88147,-86197,88147,-86197,88147,890,1060,-3.22,-3.22,-3.22,-3.22,-6.38,-6.38,-6.38,-6.38,-3.37
-86304,88254,-86304,88254,-86304,88254,-86304,88254,850,1100,-3.75,-3.75,-3.75,-3.75,-6.75,-6.75,-6.75,-6.75,-3.91
-86412,88362,-86412,88362,-86412,88362,-86412,88362,810,1140,-3.75,-3.75,-3.75,-3.75,-6.47,-6.47,-6.47,-6.47,-3.88
-86519,88469,-86519,88469,-86519,88469,-86519,88469,780,1170,-3.26,-3.26,-3.26,-3.26,-6.45,-6.45,-6.45,-6.45,-3.97
-86627,88577,-86627,88577,-86627,88577,-86627,88577,740,1210,-3.62,-3.62,-3.62,-3.62,-6.65,-6.65,-6.65,-6.65,-3.73
-86734,88684,-86734,88684,-86734,88684,-86734,88684,700,1250,-3.8,-3.8,-3.8,-3.8,-6.6,-6.6,-6.6,-6.6,-3.44
-86842,88792,-86842,88792,-86842,88792,-86842,88792,660,1290,-3.73,-3.73,-3.73,-3.73,-6.64,-6.64,-6.64,-6.64,-3.82
-86949,88899,-86949,88899,-86949,88899,-86949,88899,630,1320,-3.73,-3.73,-3.73,-3.73,-6.55,-6.55,-6.55,-6.55,-3.51
-87057,89007,-87057,89007,-87057,89007,-87057,89007,590,1360,-4.12,-4.12,-4.12,-4.12,-6.87,-6.87,-6.87,-6.87,-3.32
-87164,89114,-87164,89114,-87164,89114,-87164,89114,550,1400,-3.72,-3.72,-3.72,-3.72,-6.36,-6.36,-6.36,-6.36,-3.39
-87272,89222,-87272,89222,-87272,89222,-87272,89222,520,1430,-3.62,-3.62,-3.62,-3.62,-6.46,-6.46,-6.46,-6.46,-3.31
-87379,89329,-87379,89329,-87379,89329,-87379,89329,480,1470,-3.61,-3.61,-3.61,-3.61,-6.22,-6.22,-6.22,-6.22,-3.59
-87487,89437,-87487,89437,-87487,89437,-87487,89437,440,1510,-3.83,-3.83,-3.83,-3.83,-5.72,-5.72,-5.72,-5.72,-3.6
-87594,89544,-87594,89544,-87594,89544,-87594,89544,400,1550,-3.84,-3.84,-3.84,-3.84,-6.15,-6.15,-6.15,-6.15,-3.55
-87702,89652,-87702,89652,-87702,89652,-87702,89652,370,1580,-3.92,-3.92,-3.92,-3.92,-6.34,-6.34,-6.34,-6.34,-3.35
-87809,89759,-87809,89759,-87809,89759,-87809,89759,330,1620,-4.2,-4.2,-4.2,-4.2,-6.29,-6.29,-6.29,-6.29,-3.67
-87917,89867,-87917,89867,-87917,89867,-87917,89867,280,1670,-4.07,-4.07,-4.07,-4.07,-6.38,-6.38,-6.38,-6.38,-3.66
-88024,89974,-88024,89974,-88024,89974,-88024,89974,240,1710,-4.61,-4.61,-4.61,-4.61,-6.52,-6.52,-6.52,-6.52,-3.6
-88132,90082,-88132,90082,-88132,90082,-88132,90082,200,1750,-4.13,-4.13,-4.13,-4.13,-6.39,-6.39,-6.39,-6.39,-3.71
-88239,90189,-88239,90189,-88239,90189,-88239,90189,150,1800,-4.4,-4.4,-4.4,-4.4,-6.59,-6.59,-6.59,-6.59,-3.7
-88347,90297,-88347,90297,-88347,90297,-88347,90297,110,1840,-4.28,-4.28,-4.28,-4.28,-6.35,-6.35,-6.35,-6.35,-3.48
-88454,90404,-88454,90404,-88454,90404,-88454,90404,60,1890,-4.43,-4.43,-4.43,-4.43,-6.22,-6.22,-6.22,-6.22,-3.4
-88562,90512,-88562,90512,-88562,90512,-88562,90512,20,1930,-4.36,-4.36,-4.36,-4.36,-6.46,-6.46,-6.46,-6.46,-3.65
-88669,90619,-88669,90619,-88669,90619,-88669,90619,-20,1970,-3.94,-3.94,-3.94,-3.94,-6.22,-6.22,-6.22,-6.22,-3.74
